date,name,sig
10/10/19,AWC,0
11/10/19,AWC,0
15/10/19,AWC,0
16/10/19,AWC,0
17/10/19,AWC,0
18/10/19,AWC,0
21/10/19,AWC,0
22/10/19,AWC,0
24/10/19,AWC,0
25/10/19,AWC,0
28/10/19,AWC,0
29/10/19,AWC,0
30/10/19,AWC,0
31/10/19,AWC,0
01/11/19,AWC,0
04/11/19,AWC,0
05/11/19,AWC,0
06/11/19,AWC,0
07/11/19,AWC,0
08/11/19,AWC,0
11/11/19,AWC,BUY
12/11/19,AWC,0
13/11/19,AWC,0
14/11/19,AWC,0
15/11/19,AWC,0
18/11/19,AWC,0
19/11/19,AWC,0
20/11/19,AWC,0
21/11/19,AWC,0
22/11/19,AWC,0
25/11/19,AWC,0
26/11/19,AWC,0
27/11/19,AWC,0
28/11/19,AWC,0
29/11/19,AWC,0
02/12/19,AWC,0
03/12/19,AWC,0
04/12/19,AWC,0
06/12/19,AWC,0
09/12/19,AWC,0
11/12/19,AWC,0
12/12/19,AWC,0
13/12/19,AWC,0
16/12/19,AWC,0
17/12/19,AWC,0
18/12/19,AWC,0
19/12/19,AWC,0
20/12/19,AWC,0
23/12/19,AWC,0
24/12/19,AWC,0
25/12/19,AWC,0
26/12/19,AWC,0
27/12/19,AWC,0
30/12/19,AWC,0
02/01/20,AWC,0
03/01/20,AWC,0
06/01/20,AWC,0
07/01/20,AWC,0
08/01/20,AWC,0
09/01/20,AWC,0
10/01/20,AWC,0
13/01/20,AWC,0
14/01/20,AWC,0
15/01/20,AWC,0
16/01/20,AWC,0
17/01/20,AWC,0
20/01/20,AWC,0
21/01/20,AWC,0
22/01/20,AWC,0
23/01/20,AWC,0
24/01/20,AWC,0
27/01/20,AWC,0
28/01/20,AWC,0
29/01/20,AWC,0
30/01/20,AWC,0
31/01/20,AWC,0
03/02/20,AWC,0
04/02/20,AWC,0
05/02/20,AWC,0
06/02/20,AWC,0
07/02/20,AWC,0
11/02/20,AWC,0
12/02/20,AWC,0
13/02/20,AWC,0
14/02/20,AWC,0
17/02/20,AWC,0
18/02/20,AWC,0
19/02/20,AWC,0
20/02/20,AWC,0
21/02/20,AWC,0
24/02/20,AWC,0
25/02/20,AWC,0
26/02/20,AWC,0
27/02/20,AWC,0
28/02/20,AWC,0
02/03/20,AWC,0
03/03/20,AWC,0
04/03/20,AWC,0
05/03/20,AWC,0
06/03/20,AWC,0
09/03/20,AWC,0
10/03/20,AWC,0
11/03/20,AWC,0
12/03/20,AWC,0
13/03/20,AWC,0
16/03/20,AWC,0
17/03/20,AWC,0
18/03/20,AWC,0
19/03/20,AWC,0
20/03/20,AWC,0
23/03/20,AWC,0
24/03/20,AWC,0
25/03/20,AWC,0
26/03/20,AWC,0
27/03/20,AWC,0
30/03/20,AWC,0
31/03/20,AWC,0
01/04/20,AWC,0
