date,name,sig
03/01/18,BTS,0
04/01/18,BTS,0
05/01/18,BTS,0
08/01/18,BTS,0
09/01/18,BTS,0
10/01/18,BTS,0
11/01/18,BTS,0
12/01/18,BTS,0
15/01/18,BTS,0
16/01/18,BTS,0
17/01/18,BTS,0
18/01/18,BTS,0
19/01/18,BTS,0
22/01/18,BTS,0
23/01/18,BTS,0
24/01/18,BTS,0
25/01/18,BTS,0
26/01/18,BTS,0
29/01/18,BTS,0
30/01/18,BTS,0
31/01/18,BTS,0
01/02/18,BTS,BUY
02/02/18,BTS,0
05/02/18,BTS,0
06/02/18,BTS,0
07/02/18,BTS,0
08/02/18,BTS,0
09/02/18,BTS,0
12/02/18,BTS,0
13/02/18,BTS,0
14/02/18,BTS,0
15/02/18,BTS,0
16/02/18,BTS,0
19/02/18,BTS,0
20/02/18,BTS,0
21/02/18,BTS,0
22/02/18,BTS,0
23/02/18,BTS,0
26/02/18,BTS,0
27/02/18,BTS,0
28/02/18,BTS,0
02/03/18,BTS,0
05/03/18,BTS,0
06/03/18,BTS,0
07/03/18,BTS,0
08/03/18,BTS,0
09/03/18,BTS,0
12/03/18,BTS,0
13/03/18,BTS,0
14/03/18,BTS,0
15/03/18,BTS,0
16/03/18,BTS,0
19/03/18,BTS,0
20/03/18,BTS,0
21/03/18,BTS,0
22/03/18,BTS,0
23/03/18,BTS,0
26/03/18,BTS,0
27/03/18,BTS,0
28/03/18,BTS,0
29/03/18,BTS,SELL
30/03/18,BTS,0
02/04/18,BTS,0
03/04/18,BTS,0
04/04/18,BTS,0
05/04/18,BTS,0
09/04/18,BTS,0
10/04/18,BTS,0
11/04/18,BTS,0
12/04/18,BTS,0
17/04/18,BTS,0
18/04/18,BTS,0
19/04/18,BTS,0
20/04/18,BTS,0
23/04/18,BTS,0
24/04/18,BTS,0
25/04/18,BTS,0
26/04/18,BTS,0
27/04/18,BTS,0
30/04/18,BTS,0
02/05/18,BTS,0
03/05/18,BTS,0
04/05/18,BTS,0
07/05/18,BTS,0
08/05/18,BTS,0
09/05/18,BTS,0
10/05/18,BTS,0
11/05/18,BTS,0
14/05/18,BTS,0
15/05/18,BTS,0
16/05/18,BTS,0
17/05/18,BTS,0
18/05/18,BTS,0
21/05/18,BTS,0
22/05/18,BTS,0
23/05/18,BTS,0
24/05/18,BTS,0
25/05/18,BTS,0
28/05/18,BTS,0
30/05/18,BTS,0
31/05/18,BTS,0
01/06/18,BTS,0
04/06/18,BTS,0
05/06/18,BTS,0
06/06/18,BTS,0
07/06/18,BTS,0
08/06/18,BTS,0
11/06/18,BTS,0
12/06/18,BTS,0
13/06/18,BTS,0
14/06/18,BTS,0
15/06/18,BTS,0
18/06/18,BTS,0
19/06/18,BTS,0
20/06/18,BTS,0
21/06/18,BTS,0
22/06/18,BTS,0
25/06/18,BTS,0
26/06/18,BTS,0
27/06/18,BTS,0
28/06/18,BTS,0
29/06/18,BTS,0
02/07/18,BTS,0
03/07/18,BTS,0
04/07/18,BTS,0
05/07/18,BTS,0
06/07/18,BTS,0
09/07/18,BTS,0
10/07/18,BTS,0
11/07/18,BTS,0
12/07/18,BTS,0
13/07/18,BTS,0
16/07/18,BTS,0
17/07/18,BTS,0
18/07/18,BTS,0
19/07/18,BTS,0
20/07/18,BTS,0
23/07/18,BTS,0
24/07/18,BTS,0
25/07/18,BTS,0
26/07/18,BTS,0
31/07/18,BTS,0
01/08/18,BTS,0
02/08/18,BTS,0
03/08/18,BTS,0
06/08/18,BTS,0
07/08/18,BTS,0
08/08/18,BTS,0
09/08/18,BTS,0
10/08/18,BTS,0
14/08/18,BTS,0
15/08/18,BTS,0
16/08/18,BTS,0
17/08/18,BTS,0
20/08/18,BTS,0
21/08/18,BTS,0
22/08/18,BTS,0
23/08/18,BTS,0
24/08/18,BTS,0
27/08/18,BTS,0
28/08/18,BTS,0
29/08/18,BTS,0
30/08/18,BTS,0
31/08/18,BTS,0
03/09/18,BTS,0
04/09/18,BTS,0
05/09/18,BTS,0
06/09/18,BTS,0
07/09/18,BTS,0
10/09/18,BTS,0
11/09/18,BTS,0
12/09/18,BTS,0
13/09/18,BTS,0
14/09/18,BTS,0
17/09/18,BTS,0
18/09/18,BTS,0
19/09/18,BTS,0
20/09/18,BTS,0
21/09/18,BTS,0
24/09/18,BTS,0
25/09/18,BTS,0
26/09/18,BTS,0
27/09/18,BTS,0
28/09/18,BTS,0
01/10/18,BTS,0
02/10/18,BTS,0
03/10/18,BTS,0
04/10/18,BTS,0
05/10/18,BTS,0
08/10/18,BTS,0
09/10/18,BTS,0
10/10/18,BTS,0
11/10/18,BTS,0
12/10/18,BTS,0
16/10/18,BTS,0
17/10/18,BTS,0
18/10/18,BTS,0
19/10/18,BTS,0
22/10/18,BTS,0
24/10/18,BTS,0
25/10/18,BTS,0
26/10/18,BTS,0
29/10/18,BTS,0
30/10/18,BTS,0
31/10/18,BTS,0
01/11/18,BTS,0
02/11/18,BTS,0
05/11/18,BTS,0
06/11/18,BTS,0
07/11/18,BTS,0
08/11/18,BTS,0
09/11/18,BTS,0
12/11/18,BTS,0
13/11/18,BTS,0
14/11/18,BTS,0
15/11/18,BTS,0
16/11/18,BTS,0
19/11/18,BTS,0
20/11/18,BTS,0
21/11/18,BTS,0
22/11/18,BTS,0
23/11/18,BTS,0
26/11/18,BTS,0
27/11/18,BTS,0
28/11/18,BTS,0
29/11/18,BTS,0
30/11/18,BTS,0
03/12/18,BTS,0
04/12/18,BTS,0
06/12/18,BTS,0
07/12/18,BTS,0
11/12/18,BTS,0
