date,indy1,indy2,check
03/01/18,0,50,1
04/01/18,0,50,1
05/01/18,0,50,1
08/01/18,0,50,1
09/01/18,0,50,1
10/01/18,0,50,1
11/01/18,0,50,1
12/01/18,0,50,1
15/01/18,0,50,1
16/01/18,0,50,1
17/01/18,0,50,1
18/01/18,0,50,1
19/01/18,0,50,1
22/01/18,0,50,1
23/01/18,57.14,50,0
24/01/18,57.14,50,0
25/01/18,49.02,50,1
26/01/18,49.02,50,1
29/01/18,49.02,50,1
30/01/18,56.71,50,0
31/01/18,48.79,50,1
01/02/18,48.79,50,1
02/02/18,48.79,50,1
05/02/18,41.54,50,1
06/02/18,41.54,50,1
07/02/18,35.43,50,1
08/02/18,44.26,50,1
09/02/18,38.58,50,1
12/02/18,46.03,50,1
13/02/18,40.71,50,1
14/02/18,40.71,50,1
15/02/18,47.72,50,1
16/02/18,42.33,50,1
19/02/18,48.59,50,1
20/02/18,48.59,50,1
21/02/18,48.59,50,1
22/02/18,42.79,50,1
23/02/18,49.3,50,1
26/02/18,49.3,50,1
27/02/18,49.3,50,1
28/02/18,49.3,50,1
02/03/18,49.3,50,1
05/03/18,49.3,50,1
06/03/18,49.3,50,1
07/03/18,41.39,50,1
08/03/18,41.39,50,1
09/03/18,41.39,50,1
12/03/18,51.18,50,0
13/03/18,43.38,50,1
14/03/18,43.38,50,1
15/03/18,43.38,50,1
16/03/18,43.38,50,1
19/03/18,43.38,50,1
20/03/18,35.53,50,1
21/03/18,35.53,50,1
22/03/18,35.53,50,1
23/03/18,35.53,50,1
26/03/18,35.53,50,1
27/03/18,35.53,50,1
28/03/18,27.71,50,1
29/03/18,22.4,50,1
30/03/18,22.4,50,1
02/04/18,22.4,50,1
03/04/18,22.4,50,1
04/04/18,17.81,50,1
05/04/18,17.81,50,1
09/04/18,33.59,50,1
10/04/18,33.59,50,1
11/04/18,33.59,50,1
12/04/18,46.44,50,1
17/04/18,46.44,50,1
18/04/18,46.44,50,1
19/04/18,46.44,50,1
20/04/18,36.85,50,1
23/04/18,36.85,50,1
24/04/18,36.85,50,1
25/04/18,36.85,50,1
26/04/18,36.85,50,1
27/04/18,36.85,50,1
30/04/18,36.85,50,1
02/05/18,36.85,50,1
03/05/18,36.85,50,1
04/05/18,36.85,50,1
07/05/18,36.85,50,1
08/05/18,36.85,50,1
09/05/18,36.85,50,1
10/05/18,36.85,50,1
11/05/18,36.85,50,1
14/05/18,22.64,50,1
15/05/18,22.64,50,1
16/05/18,22.64,50,1
17/05/18,22.64,50,1
18/05/18,22.64,50,1
21/05/18,22.64,50,1
22/05/18,22.64,50,1
23/05/18,22.64,50,1
24/05/18,22.64,50,1
25/05/18,22.64,50,1
28/05/18,22.64,50,1
30/05/18,22.64,50,1
31/05/18,60.09,50,0
01/06/18,39.5,50,1
04/06/18,39.5,50,1
05/06/18,39.5,50,1
06/06/18,39.5,50,1
07/06/18,39.5,50,1
08/06/18,39.5,50,1
11/06/18,60.57,50,0
12/06/18,44.05,50,1
13/06/18,44.05,50,1
14/06/18,44.05,50,1
15/06/18,44.05,50,1
18/06/18,32.22,50,1
19/06/18,25,50,1
20/06/18,25,50,1
21/06/18,19.84,50,1
22/06/18,19.84,50,1
25/06/18,19.84,50,1
26/06/18,15.77,50,1
27/06/18,31,50,1
28/06/18,25.95,50,1
29/06/18,37.01,50,1
02/07/18,37.01,50,1
03/07/18,46.3,50,1
04/07/18,46.3,50,1
05/07/18,39.54,50,1
06/07/18,34.16,50,1
09/07/18,42.57,50,1
10/07/18,49.52,50,1
11/07/18,49.52,50,1
12/07/18,49.52,50,1
13/07/18,49.52,50,1
16/07/18,49.52,50,1
17/07/18,49.52,50,1
18/07/18,49.52,50,1
19/07/18,58.04,50,0
