date,indy1,indy2,check
03/01/18,0,0,0
04/01/18,0,0,0
05/01/18,0,0,0
08/01/18,0,0,0
09/01/18,0,0,0
10/01/18,0,0,0
11/01/18,0,0,0
12/01/18,0,0,0
15/01/18,0,0,0
16/01/18,7,0,0
17/01/18,7,0,0
18/01/18,7,0,0
19/01/18,7,0,0
22/01/18,7,0,0
23/01/18,7,7,0
24/01/18,7,7,0
25/01/18,7,7,0
26/01/18,7,7,0
29/01/18,7,7,0
30/01/18,7,7,0
31/01/18,7,7,0
01/02/18,7,7,0
02/02/18,7,7,0
05/02/18,7,7,0
06/02/18,7,7,0
07/02/18,7,7,0
08/02/18,7,7,0
09/02/18,7,7,0
12/02/18,7,7,0
13/02/18,7,7,0
14/02/18,7,7,0
15/02/18,7,7,0
16/02/18,7,7,0
19/02/18,7,7,0
20/02/18,7,7,0
21/02/18,7,7,0
22/02/18,7,7,0
23/02/18,7,7,0
26/02/18,7,7,0
27/02/18,7,7,0
28/02/18,7,7,0
02/03/18,7,7,0
05/03/18,7,7,0
06/03/18,7,7,0
07/03/18,7,7,0
08/03/18,7,7,0
09/03/18,7,7,0
12/03/18,7,7,0
13/03/18,7,7,0
14/03/18,7,7,0
15/03/18,7,7,0
16/03/18,7,7,0
19/03/18,7,7,0
20/03/18,7,7,0
21/03/18,7,7,0
22/03/18,7,7,0
23/03/18,7,7,0
26/03/18,7,7,0
27/03/18,7,7,0
28/03/18,7,7,0
29/03/18,7,7,0
30/03/18,7,7,0
02/04/18,7,7,0
03/04/18,7,7,0
04/04/18,7,7,0
05/04/18,7,7,0
09/04/18,7,7,0
10/04/18,7,7,0
11/04/18,7,7,0
12/04/18,7,7,0
17/04/18,7,7,0
18/04/18,7,7,0
19/04/18,7,7,0
20/04/18,7,7,0
23/04/18,7,7,0
24/04/18,7,7,0
25/04/18,7,7,0
26/04/18,7,7,0
27/04/18,7,7,0
30/04/18,7,7,0
02/05/18,7,7,0
03/05/18,7,7,0
04/05/18,7,7,0
07/05/18,7,7,0
08/05/18,7,7,0
09/05/18,7,7,0
10/05/18,7,7,0
11/05/18,7,7,0
14/05/18,7.01980198019802,7.013245033112582,0
15/05/18,7.039211841976277,7.026314635323012,0
16/05/18,7.058237350055955,7.039211130219396,0
17/05/18,7.057084135203362,7.038691777501258,0
18/05/18,7.055953756288444,7.038179303627069,0
21/05/18,7.054845761114415,7.037673617486313,0
22/05/18,7.053759706438882,7.037174629175236,0
23/05/18,7.052695157796528,7.036682249980862,0
24/05/18,7.071453669523329,7.049441425477804,0
25/05/18,7.0898407255723725,7.0620316052728,0
28/05/18,7.107863681501632,7.074455027719518,0
30/05/18,7.105727767016451,7.073468868411974,0
31/05/18,7.12343612806563,7.0857408039296965,0
01/06/18,7.140793828499974,7.097850197255131,0
04/06/18,7.157807812094034,7.109799201264996,0
05/06/18,7.174484885121875,7.12158994032109,0
06/06/18,7.171029738881838,7.11997947753538,0
07/06/18,7.167643011379227,7.118390345382593,0
08/06/18,7.164323347787559,7.1168222613377905,0
11/06/18,7.161069420108598,7.115274946618085,0
12/06/18,7.157879926641101,7.113748126133077,0
13/06/18,7.154753591460089,7.11224152843595,0
14/06/18,7.151689163906424,7.110754885675209,0
15/06/18,7.148685418086495,7.10928793354706,0
18/06/18,7.145741152381811,7.107840411248423,0
19/06/18,7.14285518896831,7.1064120614305635,0
20/06/18,7.140026373345176,7.105002630153337,0
21/06/18,7.137253573872994,7.1036118668400485,0
22/06/18,7.134535681321053,7.102239524232895,0
25/06/18,7.131871608423607,7.100885358349016,0
26/06/18,7.129260289444922,7.099549128437109,0
27/06/18,7.126700679752943,7.098230596934631,0
28/06/18,7.1241917554014,7.096929529425562,0
29/06/18,7.121732512720184,7.095645694598733,0
02/07/18,7.119321967913844,7.094378864206697,0
03/07/18,7.116959156668026,7.093128813025151,0
04/07/18,7.114643133763709,7.091895318812898,0
05/07/18,7.112372972699081,7.090678162272329,0
06/07/18,7.110147765318901,7.089477127010444,0
09/07/18,7.1079666214512,7.088291999500372,0
10/07/18,7.105828668551176,7.087122569043413,0
11/07/18,7.103733051352143,7.08596862773158,0
12/07/18,7.101678931523388,7.084829970410632,0
13/07/18,7.099665487334806,7.083706394643603,0
16/07/18,7.097691913328176,7.082597700674814,0
17/07/18,7.0957574199949445,7.081503691394353,0
18/07/18,7.093861233460391,7.0804241723030374,0
19/07/18,7.111804575372067,7.092603984590414,0
20/07/18,7.129392603582521,7.10462247486074,0
23/07/18,7.14663235400663,7.116481779829472,0
24/07/18,7.163530723234222,7.1281840079112015,0
25/07/18,7.18009447128899,7.1397312395944965,0
26/07/18,7.196330224332772,7.151125527811788,0
31/07/18,7.212244477316281,7.162368898304346,0
01/08/18,7.227843596577345,7.173463349982434,0
02/08/18,7.243133822387694,7.18441085528068,0
03/08/18,7.258121271449324,7.19521336050875,0
06/08/18,7.272811939341417,7.205872786197376,0
07/08/18,7.287211702918815,7.216391027439795,0
08/08/18,7.301326322662996,7.226769954228672,0
09/08/18,7.315161444986502,7.237011411788557,0
10/08/18,7.32872260449172,7.24711722090394,0
14/08/18,7.342015226184953,7.2570891782429605,0
15/08/18,7.355044627646637,7.266929056676829,0
16/08/18,7.367816021158585,7.276638605595016,0
17/08/18,7.380334515789108,7.286219551216274,0
20/08/18,7.3926051194368485,7.295673596895529,0
21/08/18,7.404632740834138,7.305002423426714,0
22/08/18,7.41642219151069,7.314207689341592,0
23/08/18,7.427978187718399,7.323291031204618,0
24/08/18,7.439305352318034,7.3322540639038944,0
27/08/18,7.450408216628568,7.34109838093828,0
28/08/18,7.4612912222398835,7.349825554700686,0
29/08/18,7.471958722789589,7.3584371367576304,0
30/08/18,7.482414985704646,7.366934658125079,0
31/08/18,7.492664193908515,7.375319629540641,0
03/09/18,7.502710447494485,7.383593541732155,0
04/09/18,7.512557765365881,7.391757865682723,0
05/09/18,7.522210086843784,7.399814052892223,0
06/09/18,7.531671273242917,7.407763535635373,0
07/09/18,7.540945109416325,7.415607727216361,0
10/09/18,7.550035305269467,7.423348022220118,0
11/09/18,7.558945497244329,7.430985796760249,0
12/09/18,7.5676792497741445,7.438522408723689,0
13/09/18,7.57624005670931,7.445959198012117,0
14/09/18,7.584631342715066,7.453297486780168,0
17/09/18,7.592856464641501,7.460538579670497,0
18/09/18,7.600918712866421,7.467683764045722,0
19/09/18,7.60882131261164,7.474734310217301,0
20/09/18,7.6165674252331925,7.481691471671377,0
21/09/18,7.64396212968402,7.501801518404206,0
24/09/18,7.651012384541763,7.508400173789581,0
25/09/18,7.65792303039242,7.514911429765878,0
26/09/18,7.664696831770788,7.521336443941164,0
27/09/18,7.6713364984683965,7.527676358590949,0
28/09/18,7.677844686617537,7.5339323008612675,0
01/10/18,7.684223999753824,7.540105382969065,0
02/10/18,7.690476989857709,7.546196702399938,0
03/10/18,7.696606158375378,7.552207342103251,0
04/10/18,7.702613957219429,7.558138370684665,0
05/10/18,7.708502789749738,7.563990842596126,0
08/10/18,7.714275011734892,7.5697657983233295,0
09/10/18,7.719932932294597,7.575464264570702,0
10/10/18,7.725478814823417,7.581087254443938,0
11/10/18,7.73091487789622,7.586635767630111,0
12/10/18,7.736243296155701,7.592110790575408,0
16/10/18,7.7414662011823205,7.597513296660502,0
17/10/18,7.746585682347027,7.602844246373608,0
18/10/18,7.7516037876470865,7.608104587481242,0
19/10/18,7.756522524525362,7.613295255196722,0
22/10/18,7.7613438606733745,7.618417172346435,0
24/10/18,7.766069724818456,7.6234712495339,0
25/10/18,7.770702007495318,7.628458385301663,0
26/10/18,7.775242561802342,7.633379466291045,0
29/10/18,7.779693204142889,7.638235367399773,0
30/10/18,7.784055714951941,7.643026951937524,0
31/10/18,7.788331839408338,7.647755071779411,0
01/11/18,7.792523288132926,7.652420567517432,0
02/11/18,7.796631737872867,7.657024268609916,0
05/11/18,7.800658832172415,7.66156699352899,0
06/11/18,7.804606182030387,7.66604954990609,0
07/11/18,7.808475366544637,7.6704727346755455,0
08/11/18,7.812267933543753,7.674837334216266,0
09/11/18,7.8159854002062525,7.679144124491548,0
12/11/18,7.8196292536675145,7.6833938711870235,0
13/11/18,7.823200951614693,7.6875873298467985,0
14/11/18,7.826701922869847,7.691725246007768,0
15/11/18,7.830133567961533,7.695808355332169,0
16/11/18,7.833497259685067,7.699837383738365,0
19/11/18,7.836794343651699,7.70381304752991,0
20/11/18,7.8400261388269135,7.707736053522892,0
21/11/18,7.8431939380580635,7.711607099171595,0
22/11/18,7.846299008591568,7.715426872692501,0
23/11/18,7.849342592579854,7.71919605318664,0
26/11/18,7.8523259075782725,7.722915310760327,0
27/11/18,7.8552501470321685,7.726585306644297,0
28/11/18,7.858116480754304,7.73020669331126,0
29/11/18,7.860926055392833,7.733780114591905,0
30/11/18,7.8636799948900045,7.737306205789364,0
03/12/18,7.866379400931787,7.740785593792153,0
04/12/18,7.888827333586603,7.757463930298218,0
06/12/18,7.910830752723502,7.773921361684996,0
07/12/18,7.932398460590363,7.790160813848109,0
11/12/18,7.953539085133128,7.806185173929591,0
12/12/18,7.974261083447324,7.8219972908311854,0
13/12/18,7.994572745161238,7.837599975720838,0
14/12/18,8.014482195752105,7.852996002532483,0
17/12/18,8.033997399796618,7.868188108459205,0
18/12/18,8.053126164157081,7.883178994439878,0
19/12/18,8.071876141104466,7.89797132563935,0
20/12/18,8.090254831379626,7.912567731922273,0
21/12/18,8.108269587193892,7.926970808320654,0
24/12/18,8.14572959536827,7.954428148607797,0
25/12/18,8.162645841004542,7.968276782401071,0
26/12/18,8.1792271114797,7.9819419905811895,0
27/12/18,8.19548003996525,7.995426202626471,0
28/12/18,8.211411128282771,8.008731815836716,0
02/01/19,8.227026749504894,8.021861195759408,0
03/01/19,8.242333150504797,8.034816676610276,0
04/01/19,8.257336454455197,8.047600561688286,0
07/01/19,8.272042663277867,8.060215123785131,0
08/01/19,8.286457660044642,8.0726626055893,0
09/01/19,8.300587211330887,8.084945220084807,0
10/01/19,8.314436969522355,8.09706515094461,0
11/01/19,8.347814455274387,8.122269586031436,0
14/01/19,8.380531000714498,8.147140187540954,0
15/01/19,8.412599693769657,8.171681377109948,0
16/01/19,8.42423138300194,8.182652484697895,0
17/01/19,8.435632741754377,8.193478279602559,0
18/01/19,8.466610311224587,8.217405719607823,0
21/01/19,8.477172483279546,8.227771206765336,0
22/01/19,8.487525503412623,8.237999402702219,0
23/01/19,8.517475493444056,8.261337158957819,0
24/01/19,8.546832414365957,8.28436580585904,0
25/01/19,8.575608010121087,8.307089437569516,0
28/01/19,8.603813792098887,8.32951209402555,0
29/01/19,8.631461043740494,8.35163776165435,0
30/01/19,8.658560825052563,8.37347037408277,0
31/01/19,8.68512397703172,8.39501381283664,0
01/02/19,8.71116112600139,8.416271908030856,0
04/02/19,8.736682687862748,8.437248439050315,0
05/02/19,8.761698872261505,8.457947135221835,0
06/02/19,8.786219686672169,8.478371676477174,0
07/02/19,8.810254940401434,8.498525694007277,0
08/02/19,8.833814248512295,8.518412770907844,0
11/02/19,8.856907035670467,8.538036442816349,0
12/02/19,8.879542539914617,8.557400198540636,0
13/02/19,8.901729816351951,8.57650748067917,0
14/02/19,8.923477740780625,8.595361686233089,0
15/02/19,8.944795013240414,8.613966167210133,0
18/02/19,8.965690161493079,8.632324231220595,0
20/02/19,8.98617154443381,8.650439142065355,0
21/02/19,9.006247355435121,8.668314120316145,0
22/02/19,9.025925625624525,8.685952343888117,0
25/02/19,9.045214227097308,8.70335694860483,0
26/02/19,9.064120876065678,8.72053102875576,0
27/02/19,9.082653135945565,8.737477637646412,0
28/02/19,9.100818420382286,8.754199788141161,0
01/03/19,9.1186239962163,8.770700453198893,0
04/03/19,9.136076986390234,8.786982566401557,0
05/03/19,9.153184372798348,8.803049022475708,0
06/03/19,9.16995299907957,8.818902677807156,0
07/03/19,9.166587593157201,8.8213013178362,0
08/03/19,9.183090809134287,8.836913220911217,0
11/03/19,9.17946524855737,8.839073310700472,0
12/03/19,9.195713461457224,8.854449823141525,0
13/03/19,9.211639927566981,8.869622673166141,0
14/03/19,9.22725101811021,8.884594558289768,0
15/03/19,9.24255297814763,8.899368140299176,0
18/03/19,9.2575519290754,8.913946045725677,0
19/03/19,9.272253871073906,8.928330866312091,0
20/03/19,9.286664685508086,8.94252515947352,0
21/03/19,9.300790137280202,8.956531448752017,0
22/03/19,9.31463587713604,8.970352224265236,0
25/03/19,9.328207443925425,8.98398994314914,0
26/03/19,9.341510266817991,8.997447029994847,0
27/03/19,9.35454966747506,9.010725877279683,0
28/03/19,9.367330862178525,9.023828845792535,0
29/03/19,9.379858963917565,9.03675826505356,0
01/04/19,9.392138984434048,9.049516433728348,0
02/04/19,9.404175836227433,9.062105620036581,0
03/04/19,9.396172354321939,9.06128302904272,0
04/04/19,9.388327357206652,9.06047133329381,0
05/04/19,9.400439686766916,9.072915421594555,0
09/04/19,9.412312168217076,9.0851946875337,0
10/04/19,9.42394955102466,9.097311314188884,0
11/04/19,9.43535649060833,9.109267455722806,0
12/04/19,9.446537550200244,9.121065237766214,0
17/04/19,9.457497202671526,9.1327067577958,0
18/04/19,9.468239832321595,9.144194085507115,0
19/04/19,9.478769736632058,9.155529263182517,0
22/04/19,9.489091127985878,9.166714306054272,0
23/04/19,9.499208135352495,9.177751202662826,0
24/04/19,9.509124805939575,9.188641915210338,0
25/04/19,9.518845106812059,9.19938837990954,0
26/04/19,9.528372926479147,9.209992507327955,0
29/04/19,9.537712076449857,9.220456182727585,0
30/04/19,9.54686629275778,9.230781266400067,0
02/05/19,9.555839237455647,9.240969593997416,0
03/05/19,9.584436480278308,9.26426800997096,0
07/05/19,9.612467441064876,9.287257837653465,0
08/05/19,9.620141353122998,9.296698131194479,0
09/05/19,9.647465286724522,9.319258420847532,0
10/05/19,9.674248152333938,9.3415198987171,0
13/05/19,9.70050066416891,9.363486522575153,0
14/05/19,9.726233324284378,9.385162197772832,0
15/05/19,9.751456426773796,9.40655077793478,0
16/05/19,9.776180061887187,9.427656065644253,0
17/05/19,9.80041412006764,9.448481813119164,0
21/05/19,9.824168295907883,9.469031722879174,0
22/05/19,9.847452092028519,9.489309448403954,0
23/05/19,9.87027482287944,9.50931859478271,0
24/05/19,9.892645618465986,9.529062719355124,0
27/05/19,9.914573428001313,9.548545332343798,0
28/05/19,9.936067023486435,9.567769897478318,0
29/05/19,9.957135003219378,9.586739832611055,0
30/05/19,9.977785795234835,9.605458510324816,0
31/05/19,9.99802766067573,9.623929258532435,0
04/06/19,10.017868697097992,9.64215536106843,0
05/06/19,10.037316841709913,9.660140058272821,0
06/06/19,10.056379874547341,9.67788654756722,0
07/06/19,10.075065421586007,9.695397984023284,0
10/06/19,10.093380957792226,9.712677480923638,0
11/06/19,10.131135790311191,9.74297314342796,0
12/06/19,10.148341022186218,9.759622505766663,0
13/06/19,10.165205556400352,9.776051346749886,0
14/06/19,10.181736139441929,9.792262587190285,0
17/06/19,10.197939384205455,9.808259109214255,0
18/06/19,10.21382177263703,9.824043756774332,0
19/06/19,10.229389658327385,9.839619336154804,0
20/06/19,10.244649269053575,9.854988616470635,0
21/06/19,10.259606709270336,9.870154330159766,0
24/06/19,10.274267962552113,9.885119173468908,0
25/06/19,10.288638893986723,9.899885806932897,0
26/06/19,10.30272525252164,9.914456855847693,0
27/06/19,10.316532673263785,9.928834910737127,0
28/06/19,10.33006667973381,9.943022527813456,0
01/07/19,10.343332686075714,9.957022229431821,0
02/07/19,10.356335999222729,9.970836504538685,0
03/07/19,10.369081821020298,9.984467809114332,0
04/07/19,10.381575250307025,9.997918566609506,0
05/07/19,10.393821284954411,10.011191168376268,0
08/07/19,10.405824823866205,10.024287974093138,0
09/07/19,10.41759066893816,10.037211312184619,0
10/07/19,10.429123526978989,10.049963480235153,0
11/07/19,10.440428011593266,10.0625467453976,0
12/07/19,10.431706664829044,10.061718311683725,0
15/07/19,10.423158018000745,10.060900850601822,0
17/07/19,10.41477865130766,10.060094216819017,0
18/07/19,10.406565212667905,10.059298266927374,0
19/07/19,10.418316396575472,10.071757892530986,0
22/07/19,10.410032903573978,10.070807456868323,0
23/07/19,10.40191344013687,10.069869609757484,0
24/07/19,10.393954758153962,10.068944184462683,0
25/07/19,10.386153673834082,10.068031016456555,0
26/07/19,10.378507066431427,10.067129943390905,0
30/07/19,10.37101187699714,10.066240805067846,0
31/07/19,10.363665107155613,10.065363443411318,0
01/08/19,10.356463817905007,10.064497702438983,0
02/08/19,10.349405128441543,10.063643428234492,0
05/08/19,10.342486215007057,10.062800468920129,0
06/08/19,10.335704309759393,10.061968674629796,0
07/08/19,10.348858679863167,10.074392930594964,0
08/08/19,10.361752567390628,10.086652626878475,0
09/08/19,10.354589150214576,10.085504909966177,0
13/08/19,10.347567582883594,10.084372394602386,0
14/08/19,10.340685056489859,10.083254879442089,0
15/08/19,10.333938817747486,10.082152165807095,0
16/08/19,10.3273261678911,10.08106405765071,0
19/08/19,10.340646441794245,10.09323539463547,0
20/08/19,10.333900967699309,10.092000488746258,0
21/08/19,10.347091047546847,10.104026972339023,0
22/08/19,10.360019937694434,10.115894164758373,0
23/08/19,10.372692810215336,10.127604175821176,0
26/08/19,10.385114734765526,10.139159087399703,0
27/08/19,10.397290680611754,10.150560953791759,0
28/08/19,10.409225518619442,10.161811802085907,0
29/08/19,10.401122043003216,10.159668599409272,0
30/08/19,10.412981012448697,10.17079881663564,0
02/09/19,10.424605150816049,10.181781613766294,0
03/09/19,10.435999108225632,10.192618943385284,0
04/09/19,10.447167442716214,10.203312732214618,0
05/09/19,10.458114622068369,10.213864881456809,0
06/09/19,10.468845025591767,10.224277267132878,0
09/09/19,10.479362945877078,10.234551740415887,0
10/09/19,10.489672590513175,10.244690127960046,0
11/09/19,10.49977808377034,10.254694232225477,0
12/09/19,10.509683468250135,10.264565831798649,0
13/09/19,10.519392706502607,10.2743066817086,0
16/09/19,10.528909682611467,10.28391851373895,0
17/09/19,10.538238203747873,10.293403036735786,0
18/09/19,10.54738200169346,10.302761936911471,0
19/09/19,10.556344734333194,10.311996878144432,0
20/09/19,10.545328006920656,10.307864469162388,0
23/09/19,10.534529432526186,10.303786794074144,0
24/09/19,10.543746671486064,10.313008161040049,0
25/09/19,10.532979410664558,10.308862357582564,0
26/09/19,10.522425362928626,10.304771465429152,0
27/09/19,10.51208030623697,10.300734757277771,0
30/09/19,10.50194010215307,10.296751515459523,0
01/10/19,10.492000694189642,10.292821031811052,0
02/10/19,10.482258106185887,10.288942607548654,0
03/10/19,10.47270844071686,10.285115553144037,0
04/10/19,10.463347877534348,10.28133918820173,0
07/10/19,10.454172672038618,10.277612841338131,0
08/10/19,10.445179153780428,10.273935850062129,0
09/10/19,10.436363724992697,10.270307560657333,0
10/10/19,10.427722859151258,10.266727328065844,0
11/10/19,10.419253099564104,10.26319451577358,0
15/10/19,10.410951057988576,10.25970849569711,0
16/10/19,10.402813413275931,10.256268648071982,0
17/10/19,10.394836910042745,10.252874361342553,0
18/10/19,10.387018357368632,10.249525032053247,0
21/10/19,10.379354627519747,10.246220064741284,0
22/10/19,10.371842654697573,10.242958871830803,0
24/10/19,10.364479433812473,10.239740873528408,0
25/10/19,10.357262019281533,10.236565497720084,0
28/10/19,10.350187523850217,10.233432179869487,0
29/10/19,10.36305509763536,10.243585396030156,0
30/10/19,10.355865887781194,10.240359099393995,0
31/10/19,10.3488190385182,10.237175535163612,0
01/11/19,10.341911730824771,10.234034137346875,0
04/11/19,10.335141201501509,10.23093434744824,0
05/11/19,10.328504742065835,10.227875614369456,0
06/11/19,10.321999697668492,10.224857394311583,0
07/11/19,10.315623466031491,10.221879150678317,0
08/11/19,10.309373496407105,10.21894035398059,0
11/11/19,10.30324728855746,10.216040481742438,0
12/11/19,10.297242391754342,10.2131790184081,0
13/11/19,10.29135640379881,10.210355455250378,0
14/11/19,10.28558697006022,10.207569290280174,0
15/11/19,10.279931782534275,10.204820028157258,0
18/11/19,10.274388578919735,10.202107180102194,0
19/11/19,10.268955141713404,10.19943026380945,0
20/11/19,10.263629297323039,10.196788803361644,0
21/11/19,10.25840891519783,10.194182329144933,0
22/11/19,10.25329190697609,10.19161037776553,0
25/11/19,10.24827622564983,10.18907249196731,0
26/11/19,10.243359864745873,10.186568220550525,0
27/11/19,10.238540857523182,10.184097118291577,0
28/11/19,10.23381727618609,10.181658745863874,0
29/11/19,10.229187231113098,10.179252669759718,0
02/12/19,10.224648870100957,10.176878462213232,0
03/12/19,10.22020037762371,10.174535701124315,0
04/12/19,10.215839974106409,10.172223969983595,0
06/12/19,10.211565915213212,10.16994285779838,0
09/12/19,10.207376491149585,10.167691959019594,0
11/12/19,10.223072006176325,10.178715906582248,0
12/12/19,10.23845671892531,10.189593841594403,0
13/12/19,10.253536783897086,10.200327697997126,0
16/12/19,10.268318233720906,10.21091938411637,0
17/12/19,10.282806981568017,10.221370783002245,0
18/12/19,10.297008823517166,10.231683752763804,0
19/12/19,10.310929440873261,10.241860126899383,0
20/12/19,10.324574402440128,10.25190171462257,0
23/12/19,10.337949166748244,10.26181030118386,0
24/12/19,10.351059084238377,10.271587648188047,0
25/12/19,10.363909399401974,10.281235493907412,0
26/12/19,10.356703272681143,10.277510520478174,0
27/12/19,10.369441821736961,10.287079917557934,0
30/12/19,10.362126142098605,10.283277534543922,0
02/01/20,10.354955327403584,10.279525514218838,0
03/01/20,10.367728489237177,10.28906822263978,0
06/01/20,10.360446736975055,10.28523950445912,0
07/01/20,10.373111158025054,10.294706530890126,0
08/01/20,10.385524798460201,10.304048166242575,0
09/01/20,10.397692624233267,10.313266071325454,0
10/01/20,10.409619502961322,10.322361884950283,0
13/01/20,10.42131020587298,10.331337224222464,0
14/01/20,10.432769409717078,10.340193684828789,0
15/01/20,10.444001698633572,10.348932841321123,0
16/01/20,10.455011565987363,10.357556247396339,0
17/01/20,10.46580341616583,10.366065436172546,0
20/01/20,10.476381566340764,10.374461920461652,0
21/01/20,10.486750248195403,10.382747193038318,0
22/01/20,10.496913609617275,10.39092272690536,0
23/01/20,10.506875716357527,10.39898997555562,0
24/01/20,10.516640553657378,10.40695037323038,0
27/01/20,10.50641004764436,10.401560302061766,0
28/01/20,10.496382125908829,10.39624162256426,0
29/01/20,10.48655277688093,10.390993389152813,0
30/01/20,10.496720048625862,10.399059701879265,0
31/01/20,10.506685988257033,10.40701917602656,0
03/02/20,10.496652602350952,10.401628193562633,0
04/02/20,10.486817897353903,10.396308614839949,0
05/02/20,10.47717793899046,10.391059494113593,0
06/02/20,10.467728870891639,10.385879898165069,0
07/02/20,10.47826889325022,10.394013939248975,0
11/02/20,10.488600202294771,10.402040244689386,0
12/02/20,10.498726930962201,10.409960241448468,0
13/02/20,10.508653130349089,10.417775337588223,0
14/02/20,10.518382771332275,10.425486922520829,0
17/02/20,10.508117765959359,10.41985133414307,0
18/02/20,10.517858008217589,10.427535422432566,0
19/02/20,10.527405374391497,10.435117734718228,0
20/02/20,10.516961703611468,10.429354585914012,0
21/02/20,10.506724838193419,10.423667770206542,0
24/02/20,10.496690682981669,10.418056276561423,0
25/02/20,10.486855223912725,10.412519107335443,0
26/02/20,10.457412546211483,10.39381024498663,0
27/02/20,10.428552891831057,10.375349182139125,0
28/02/20,10.400264715755194,10.357132636680328,0
02/03/20,10.372536701581824,10.33915736996933,0
03/03/20,10.345357756996044,10.321420186261127,0
04/03/20,10.318717009332756,10.303917932138463,0
05/03/20,10.292603801227157,10.286647495951199,0
