date,indy1,indy2,check
03/01/18,0,0,0
04/01/18,0,0,0
05/01/18,0,0,0
08/01/18,0,0,0
09/01/18,0,0,0
10/01/18,0,0,0
11/01/18,0,0,0
12/01/18,0,0,0
15/01/18,0,0,0
16/01/18,1,0,0
17/01/18,1,0,0
18/01/18,1,0,0
19/01/18,1,0,0
22/01/18,1,0,0
23/01/18,1,1,0
24/01/18,1,1,0
25/01/18,1,1,0
26/01/18,1,1,0
29/01/18,1,1,0
30/01/18,1,1,0
31/01/18,1,1,0
01/02/18,1,1,0
02/02/18,1,1,0
05/02/18,1,1,0
06/02/18,1,1,0
07/02/18,1,1,0
08/02/18,1,1,0
09/02/18,1,1,0
12/02/18,1,1,0
13/02/18,1,1,0
14/02/18,1,1,0
15/02/18,1,1,0
16/02/18,1,1,0
19/02/18,1,1,0
20/02/18,1,1,0
21/02/18,1,1,0
22/02/18,1,1,0
23/02/18,1,1,0
26/02/18,1,1,0
27/02/18,1,1,0
28/02/18,1,1,0
02/03/18,1,1,0
05/03/18,1,1,0
06/03/18,1,1,0
07/03/18,1,1,0
08/03/18,1,1,0
09/03/18,1,1,0
12/03/18,1,1,0
13/03/18,1,1,0
14/03/18,1,1,0
15/03/18,1,1,0
16/03/18,1,1,0
19/03/18,1,1,0
20/03/18,1,1,0
21/03/18,1,1,0
22/03/18,1,1,0
23/03/18,1,1,0
26/03/18,1,1,0
27/03/18,1,1,0
28/03/18,1,1,0
29/03/18,1,1,0
30/03/18,1,1,0
02/04/18,1,1,0
03/04/18,1,1,0
04/04/18,1,1,0
05/04/18,1,1,0
09/04/18,1,1,0
10/04/18,1,1,0
11/04/18,1,1,0
12/04/18,1,1,0
17/04/18,1,1,0
18/04/18,1,1,0
19/04/18,1,1,0
20/04/18,1,1,0
23/04/18,1,1,0
24/04/18,1,1,0
25/04/18,1,1,0
26/04/18,1,1,0
27/04/18,1,1,0
30/04/18,1,1,0
02/05/18,1,1,0
03/05/18,1,1,0
04/05/18,1,1,0
07/05/18,1,1,0
08/05/18,1,1,0
09/05/18,1,1,0
10/05/18,1,1,0
11/05/18,1,1,0
14/05/18,1.0198019801980198,1.0132450331125828,0
15/05/18,1.019409861778257,1.0130696022104295,0
16/05/18,1.0190255080796777,1.0128964948963841,0
17/05/18,1.0186487653454266,1.0127256803944453,0
18/05/18,1.018279482863339,1.0125571283362407,0
21/05/18,1.0179175129056492,1.0123908087556281,0
22/05/18,1.017562710669894,1.0122266920833682,0
23/05/18,1.017214934220985,1.0120647491418666,0
24/05/18,1.0168740444344309,1.0119049511399876,0
25/05/18,1.0165399049406798,1.0117472696679348,0
28/05/18,1.0162123820705673,1.0115916766922006,0
30/05/18,1.0158913448018432,1.011438144550582,0
31/05/18,1.035378644904777,1.0245316790598458,0
01/06/18,1.03467807767894,1.024206756158391,0
04/06/18,1.0339913830714362,1.0238861368715249,0
05/06/18,1.0333182863769523,1.0235697641977297,0
06/06/18,1.032658518329884,1.023257581890475,0
07/06/18,1.0320118149966189,1.0229495344482171,0
08/06/18,1.0313779176699531,1.022645567104532,0
11/06/18,1.0307565727655976,1.0223456258183792,0
12/06/18,1.0301475317207343,1.0220496572644933,0
13/06/18,1.029550550894581,1.021757608823904,0
14/06/18,1.028965391470926,1.0214694285745807,0
15/06/18,1.028391819362591,1.021185065282202,0
18/06/18,1.027829605117787,1.020904468391047,0
19/06/18,1.027278523828326,1.0206275880150066,0
20/06/18,1.0267383550396463,1.0203543749287152,0
21/06/18,1.0262088826626237,1.0200847805587985,0
22/06/18,1.0256898948871263,1.0198187569752382,0
25/06/18,1.0251811840972822,1.019556256882851,0
26/06/18,1.024682546788425,1.0192972336128794,0
27/06/18,1.024193783485684,1.0190416411146956,0
28/06/18,1.0237146986641854,1.0187894339476136,0
29/06/18,1.0232451006708352,1.0185405672728107,0
02/07/18,1.0227848016476504,1.0182949968453563,0
03/07/18,1.0223336174566078,1.0180526790063449,0
04/07/18,1.021891367605982,1.017813570675135,0
05/07/18,1.0214578751781407,1.0175776293416896,0
06/07/18,1.0210329667587716,1.0173448130590181,0
09/07/18,1.0206164723675089,1.0171150804357199,0
10/07/18,1.0202082253899345,1.0168883906286241,0
11/07/18,1.0198080625109258,1.0166647033355298,0
12/07/18,1.0194158236493234,1.0164439787880393,0
13/07/18,1.0190313518938912,1.016226177744489,0
16/07/18,1.0186544934405468,1.0160112614829726,0
17/07/18,1.018285097530833,1.0157991917944564,0
18/07/18,1.0179230163916086,1.0155899309759868,0
19/07/18,1.0175681051759333,1.015383441823987,0
20/07/18,1.0172202219051227,1.0151796876276429,0
23/07/18,1.016879227411952,1.0149786321623762,0
24/07/18,1.0165449852849826,1.0147802396834043,0
25/07/18,1.016217361813993,1.0145844749193857,0
26/07/18,1.015896225936488,1.0143913030661489,0
31/07/18,1.0155814491852706,1.0142006897805045,0
01/08/18,1.0152729056370475,1.0140126011741402,0
02/08/18,1.0149704718620565,1.0138270038075952,0
03/08/18,1.014674026874689,1.0136438646843158,0
06/08/18,1.0143834520850912,1.0134631512447885,0
07/08/18,1.014098631251723,1.0132848313607516,0
08/08/18,1.0138194504348572,1.0131088733294835,0
09/08/18,1.0135457979509988,1.0129352458681657,0
10/08/18,1.0132775643282066,1.0127639181083226,0
14/08/18,1.0130146422623014,1.0125948595903316,0
15/08/18,1.0127569265739391,1.0124280402580093,0
16/08/18,1.0125043141665344,1.0122634304532674,0
17/08/18,1.012256703985019,1.01210100091084,0
20/08/18,1.0120139969754147,1.0119407227530806,0
21/08/18,1.0117760960452085,1.0117825674848278,1
22/08/18,1.0115429060245114,1.01162650698834,1
23/08/18,1.0113143336279864,1.0114725135182956,1
24/08/18,1.0110902874175312,1.0113205596968613,1
27/08/18,1.0108706777656988,1.0111706185088234,1
28/08/18,1.0106554168198434,1.011022663296786,1
29/08/18,1.0104444184669752,1.0108766677564311,1
30/08/18,1.0102375982993124,1.0107326059318427,1
31/08/18,1.010034873580514,1.010590452210891,1
03/09/18,1.009836163212583,1.0104501813206805,1
04/09/18,1.009641387703423,1.0103117683230556,1
05/09/18,1.0094504691350383,1.0101751886101675,1
06/09/18,1.0092633311323642,1.010040417900099,1
07/09/18,1.0090798988327134,1.009907432232548,1
10/09/18,1.008900098855828,1.0097762079645674,1
11/09/18,1.0087238592745247,1.0096467217663612,1
12/09/18,1.0085511095859203,1.0095189506171378,1
13/09/18,1.008381780683229,1.0093928718010168,1
14/09/18,1.0082158048281156,1.00926846290299,1
17/09/18,1.0080531156235983,1.0091457018049372,1
18/09/18,1.0078936479874874,1.009024566681693,1
19/09/18,1.007737338126349,1.0089050359971674,1
20/09/18,1.0075841235099856,1.0087870885005161,1
21/09/18,1.0074339428464216,1.0086707032223636,1
24/09/18,1.0072867360573836,1.008555859471074,1
25/09/18,1.0071424442542671,1.008442536829073,1
26/09/18,1.0070010097145787,1.0083307151492178,1
27/09/18,1.0068623758588444,1.0082203745512148,1
28/09/18,1.0067264872279762,1.008111495418086,1
01/10/18,1.0065932894610856,1.008004058392681,1
02/10/18,1.0064627292737374,1.007898044374235,1
03/10/18,1.0063347544366337,1.0077934345149735,1
04/10/18,1.0062093137547201,1.007690210216762,1
05/10/18,1.0060863570467058,1.0075883531277983,1
08/10/18,1.005965835124989,1.0074878451393505,1
09/10/18,1.0058476997759793,1.007388668382538,1
10/10/18,1.0057319037408115,1.0072908052251532,1
11/10/18,1.005618400696439,1.0071942382685286,1
12/10/18,1.0055071452371036,1.007098950344442,1
16/10/18,1.0053980928561708,1.0070049245120654,1
17/10/18,1.0052911999283258,1.006912144054952,1
18/10/18,1.0051864236921213,1.0068205924780653,1
19/10/18,1.0050837222328715,1.006730253504846,1
22/10/18,1.004983054465884,1.006641111074318,1
24/10/18,1.004884380120025,1.0065531493382345,1
25/10/18,1.0047876597216086,1.0064663526582578,1
26/10/18,1.0046928545786065,1.0063807056031815,1
29/10/18,1.0045999267651686,1.0062961929461858,1
30/10/18,1.0045088391064525,1.0062127996621304,1
31/10/18,1.0044195551637505,1.0061305109248837,1
01/11/18,1.0043320392199138,1.0060493121046865,1
02/11/18,1.004246256265064,1.0059691887655515,1
05/11/18,1.0041621719825875,1.0058901266626965,1
06/11/18,1.0040797527354075,1.0058121117400118,1
07/11/18,1.003998965552528,1.0057351301275614,1
08/11/18,1.0039197781158444,1.005659168139117,1
09/11/18,1.003842158747214,1.0055842122697247,1
12/11/18,1.0037660763957839,1.0055102491933046,1
13/11/18,1.0036915006255702,1.0054372657602806,1
14/11/18,1.0036184016032816,1.0053652489952438,1
15/11/18,1.003546750086385,1.0052941860946445,1
16/11/18,1.003476517411407,1.0052240644245167,1
19/11/18,1.0034076754824683,1.0051548715182317,1
20/11/18,1.0033401967600433,1.0050865950742816,1
21/11/18,1.0032740542499434,1.0050192229540924,1
22/11/18,1.0032092214925188,1.004952743179866,1
23/11/18,1.0031456725520729,1.0048871439324505,1
26/11/18,1.0030833820064873,1.0048224135492392,1
27/11/18,1.0030223249370518,1.004758540522097,1
28/11/18,1.0029624769184964,1.0046955134953142,1
29/11/18,1.0029038140092192,1.004633321263588,1
30/11/18,1.00284631274171,1.0045719527700305,1
03/12/18,1.0027899501131612,1.0045113971042023,1
04/12/18,1.0027347035762668,1.0044516435001731,1
06/12/18,1.0026805510302021,1.004392681334608,1
07/12/18,1.0026274708117824,1.004334500124878,1
11/12/18,1.0025754416867967,1.0042770895271975,1
12/12/18,1.0025244428415137,1.0042204393347842,1
13/12/18,1.002474453874355,1.0041645394760454,1
14/12/18,1.0024254547877343,1.0041093800127865,1
17/12/18,1.0023774259800564,1.004054951138445,1
18/12/18,1.0023303482378771,1.0040012431763463,1
19/12/18,1.0022842027282162,1.003948246577984,1
20/12/18,1.0022389709910238,1.003895951921322,1
21/12/18,1.0021946349317956,1.003844349909119,1
24/12/18,1.0021511768143343,1.0037934313672763,1
25/12/18,1.0021085792536544,1.0037431872432063,1
26/12/18,1.0020668252090275,1.0036936086042234,1
27/12/18,1.0020258979771655,1.0036446866359556,1
28/12/18,1.0019857811855384,1.0035964126407775,1
02/01/19,1.0019464587858247,1.003548778036264,1
03/01/19,1.0019079150474914,1.0035017743536645,1
04/01/19,1.0018701345515015,1.0034553932363974,1
07/01/19,1.0018331021841451,1.0034096264385644,1
08/01/19,1.0017968031309938,1.003364465823484,1
09/01/19,1.0017612228709742,1.0033199033622457,1
10/01/19,1.0017263471705589,1.0032759311322823,1
11/01/19,1.0016921620780725,1.0032325413159606,1
14/01/19,1.0016586539181107,1.0031897261991929,1
15/01/19,1.0016258092860688,1.0031474781700644,1
16/01/19,1.0015936150427802,1.0031057897174809,1
17/01/19,1.0015620583092597,1.0030646534298322,1
18/01/19,1.0015311264615516,1.0030240619936754,1
21/01/19,1.0015008071256792,1.0029840081924346,1
22/01/19,1.0014710881726956,1.0029444849051177,1
23/01/19,1.0014419577138303,1.0029054851050498,1
24/01/19,1.0014134040957345,1.0028670018586254,1
25/01/19,1.001385415895819,1.0028290283240742,1
28/01/19,1.001357981917684,1.0027915577502453,1
29/01/19,1.0013310911866409,1.0027545834754077,1
30/01/19,1.0013047329453213,1.0027180989260644,1
31/01/19,1.0012788966493744,1.0026820976157855,1
01/02/19,1.0012535719632483,1.0026465731440533,1
04/02/19,1.0012287487560552,1.0026115191951255,1
05/02/19,1.0012044170975194,1.0025769295369118,1
06/02/19,1.0011805672540042,1.0025427980198667,1
07/02/19,1.0011571896846179,1.002509118575895,1
08/02/19,1.0011342750373977,1.002475885217274,1
11/02/19,1.0011118141455682,1.0024430920355882,1
12/02/19,1.0010897980238738,1.0024107332006797,1
13/02/19,1.0010682178649852,1.0023788029596112,1
14/02/19,1.0010470650359755,1.002347295635643,1
15/02/19,1.001026331074867,1.002316205627224,1
18/02/19,1.001006007687246,1.0022855274069957,1
20/02/19,1.000986086742944,1.0022552555208104,1
21/02/19,1.0009665602727869,1.00222538458676,1
22/02/19,1.000947420465405,1.00219590929422,1
25/02/19,1.0009286596641098,1.0021668244029058,1
26/02/19,1.0009102703638304,1.00213812474194,1
27/02/19,1.000892245208111,1.0021098052089343,1
28/02/19,1.0008745769861682,1.002081860769081,1
01/03/19,1.0008572586300064,1.0020542864542585,1
04/03/19,1.0008402832115904,1.0020270773621491,1
05/03/19,1.0008236439400737,1.0020002286553658,1
06/03/19,1.0008073341590822,1.0019737355605927,1
07/03/19,1.0007913473440508,1.001947593367737,1
08/03/19,1.0007756770996141,1.0019217974290915,1
11/03/19,1.0007603171570476,1.0018963431585075,1
12/03/19,1.0007452613717596,1.0018712260305802,1
13/03/19,1.0007305037208336,1.001846441579844,1
14/03/19,1.000716038300619,1.0018219853999786,1
15/03/19,1.0007018593243693,1.0017978531430252,1
18/03/19,1.0006879611199264,1.0017740405186142,1
19/03/19,1.0006743381274525,1.0017505432932021,1
20/03/19,1.000660984897206,1.0017273572893186,1
21/03/19,1.0006478960873602,1.0017044783848243,1
22/03/19,1.000635066461868,1.0016819025121777,1
25/03/19,1.0006224908883656,1.0016596256577117,1
26/03/19,1.0006101643361207,1.001637643860921,1
27/03/19,1.0005980818740192,1.0016159532137563,1
28/03/19,1.000586238668593,1.0015945498599317,1
29/03/19,1.0005746299820863,1.0015734299942372,1
01/04/19,1.00056325117056,1.0015525898618631,1
02/04/19,1.0005520976820341,1.0015320257577325,1
03/04/19,1.0005411650546672,1.001511734025842,1
04/04/19,1.000530448914971,1.0014917110586121,1
05/04/19,1.0005199449760607,1.0014719532962464,1
09/04/19,1.0005096490359406,1.0014524572260974,1
10/04/19,1.000499556975823,1.0014332193820432,1
11/04/19,1.00048966475848,1.0014142363438705,1
12/04/19,1.000479968426629,1.001395504736667,1
17/04/19,1.0004704641013493,1.001377021230221,1
18/04/19,1.0004611479805305,1.00135878253843,1
19/04/19,1.0004520163373518,1.0013407854187157,1
22/04/19,1.0004430655187904,1.001323026671448,1
23/04/19,1.000434291944161,1.0013055031393758,1
24/04/19,1.0004256921036825,1.0012882117070663,1
25/04/19,1.0004172625570749,1.00127114930035,1
26/04/19,1.0004089999321824,1.0012543128857758,1
29/04/19,1.0004009009236243,1.0012376994700702,1
30/04/19,1.0003929622914733,1.0012213060996058,1
02/05/19,1.000385180859959,1.0012051298598759,1
03/05/19,1.0003775535161976,1.001189167874977,1
07/05/19,1.000370077208946,1.0011734173070965,1
08/05/19,1.0003627489473828,1.001157875356009,1
09/05/19,1.00035556579991,1.0011425392585784,1
10/05/19,1.000348524892981,1.0011274062882662,1
13/05/19,1.0003416234099518,1.0011124737546468,1
14/05/19,1.0003348585899527,1.0010977390029296,1
15/05/19,1.0003282277267853,1.0010831994134868,1
16/05/19,1.0003217281678392,1.0010688524013875,1
17/05/19,1.0003153573130306,1.0010546954159387,1
21/05/19,1.0003091126137627,1.001040725940231,1
22/05/19,1.000302991571906,1.0010269414906914,1
23/05/19,1.000296991738799,1.0010133396166425,1
24/05/19,1.0002911107142682,1.0009999178998659,1
27/05/19,1.0002853461456689,1.0009866739541722,1
28/05/19,1.0002796957269429,1.0009736054249778,1
29/05/19,1.0002741571976965,1.0009607099888853,1
30/05/19,1.0002687283422966,1.000947985353271,1
31/05/19,1.0002634069889837,1.0009354292558768,1
04/06/19,1.0002581910090038,1.0009230394644082,1
05/06/19,1.0002530783157562,1.0009108137761378,1
06/06/19,1.000248066863959,1.0008987500175135,1
07/06/19,1.000243154648831,1.0008868460437716,1
10/06/19,1.0002383397052899,1.000875099738556,1
11/06/19,1.0002336201071653,1.000863509013542,1
12/06/19,1.0002289939664293,1.0008520718080647,1
13/06/19,1.0002244594324405,1.0008407860887525,1
14/06/19,1.0002200146912041,1.0008296498491664,1
17/06/19,1.0002156579646457,1.0008186611094423,1
18/06/19,1.0002113875099004,1.0008078179159396,1
19/06/19,1.0002072016186152,1.0007971183408941,1
20/06/19,1.0002030986162664,1.0007865604820743,1
21/06/19,1.0001990768614888,1.0007761424624442,1
24/06/19,1.0001951347454197,1.000765862429829,1
25/06/19,1.000191270691055,1.0007557185565863,1
26/06/19,1.0001874831526183,1.0007457090392806,1
27/06/19,1.0001837706149428,1.000735832098363,1
28/06/19,1.0001801315928647,1.0007260859778548,1
01/07/19,1.0001765646306298,1.0007164689450356,1
02/07/19,1.0001730683013104,1.0007069792901344,1
03/07/19,1.0001696412062349,1.0006976153260267,1
04/07/19,1.0001662819744281,1.0006883753879336,1
05/07/19,1.0001629892620632,1.0006792578331265,1
08/07/19,1.0001597617519233,1.0006702610406348,1
09/07/19,1.0001565981528753,1.0006613834109575,1
10/07/19,1.000153497199353,1.0006526233657793,1
11/07/19,1.000150457650851,1.0006439793476896,1
12/07/19,1.0001474782914284,1.0006354498199055,1
15/07/19,1.0001445579292219,1.0006270332659994,1
17/07/19,1.0001416953959699,1.0006187281896286,1
18/07/19,1.0001388895465446,1.0006105331142692,1
19/07/19,1.0001361392584942,1.0006024465829544,1
22/07/19,1.0001334434315934,1.0005944671580147,1
23/07/19,1.0001308009874035,1.0005865934208225,1
24/07/19,1.000128210868841,1.00057882397154,1
25/07/19,1.000125672039755,1.0005711574288707,1
26/07/19,1.0001231834845123,1.0005635924298129,1
30/07/19,1.0001207442075912,1.000556127629418,1
31/07/19,1.0001183532331834,1.0005487617005515,1
01/08/19,1.0001160096048036,1.0005414933336567,1
02/08/19,1.0001137123849064,1.000534321236522,1
05/08/19,1.0001114606545123,1.0005272441340516,1
06/08/19,1.0001092535128389,1.0005202607680377,1
07/08/19,1.000107090076941,1.000513369896938,1
08/08/19,1.0001049694813582,1.000506570295654,1
09/08/19,1.000102890877767,1.0004998607553142,1
13/08/19,1.000100853434643,1.0004932400830584,1
14/08/19,1.0000988563369273,1.0004867071018257,1
15/08/19,1.000096898785701,1.000480260650146,1
16/08/19,1.0000949799978653,1.000473899581932,1
19/08/19,1.0000930992058283,1.0004676227662772,1
20/08/19,1.0000912556571981,1.0004614290872538,1
21/08/19,1.0000894486144813,1.000455317443714,1
22/08/19,1.0000876773547887,1.0004492867490953,1
23/08/19,1.0000859411695453,1.0004433359312264,1
26/08/19,1.0000842393642078,1.0004374639321372,1
27/08/19,1.0000825712579857,1.0004316697078706,1
28/08/19,1.00008093618357,1.0004259522282961,1
29/08/19,1.0000793334868656,1.000420310476928,1
30/08/19,1.0000777625267296,1.0004147434507435,1
02/09/19,1.0000762226747153,1.0004092501600053,1
03/09/19,1.00007471331482,1.0004038296280846,1
04/09/19,1.0000732338432394,1.0003984808912887,1
05/09/19,1.0000717836681259,1.0003932029986888,1
06/09/19,1.0000703622093512,1.0003879950119512,1
09/09/19,1.000068968898275,1.0003828560051704,1
10/09/19,1.000067603177517,1.0003777850647046,1
11/09/19,1.0000662645007345,1.0003727812890133,1
12/09/19,1.0000649523324032,1.0003678437884966,1
13/09/19,1.0000636661476032,1.0003629716853377,1
16/09/19,1.000062405431809,1.0003581641133465,1
17/09/19,1.000061169680684,1.0003534202178055,1
18/09/19,1.0000599583998784,1.000348739155318,1
19/09/19,1.0000587711048312,1.0003441200936583,1
20/09/19,1.0000576073205771,1.0003395622116231,1
23/09/19,1.000056466581556,1.0003350646988864,1
24/09/19,1.000055348431426,1.000330626755855,1
25/09/19,1.000054252422883,1.0003262475935257,1
26/09/19,1.0000531781174795,1.0003219264333465,1
27/09/19,1.0000521250854502,1.000317662507077,1
30/09/19,1.0000510929055402,1.0003134550566521,1
01/10/19,1.0000500811648365,1.0003093033340476,1
02/10/19,1.000049089458602,1.0003052066011462,1
03/10/19,1.0000481173901148,1.0003011641296078,1
04/10/19,1.0000471645705085,1.0002971752007388,1
07/10/19,1.0000462306186173,1.0002932391053647,1
08/10/19,1.0000453151608228,1.0002893551437042,1
09/10/19,1.0000444178309056,1.0002855226252445,1
10/10/19,1.0000435382698976,1.0002817408686187,1
11/10/19,1.0000426761259391,1.0002780092014847,1
15/10/19,1.0000418310541384,1.0002743269604055,1
16/10/19,1.0000410027164326,1.0002706934907313,1
17/10/19,1.0000401907814538,1.0002671081464831,1
18/10/19,1.0000393949243953,1.0002635702902383,1
21/10/19,1.0000386148268825,1.0002600792930165,1
22/10/19,1.0000378501768452,1.0002566345341686,1
24/10/19,1.0000371006683928,1.0002532354012657,1
25/10/19,1.000036366001692,1.0002498812899907,1
28/10/19,1.0000356458828465,1.0002465716040305,1
29/10/19,1.0000349400237802,1.0002433057549704,1
30/10/19,1.0000342481421212,1.0002400831621894,1
31/10/19,1.0000335699610892,1.0002369032527565,1
01/11/19,1.0000329052093844,1.0002337654613294,1
04/11/19,1.0000322536210797,1.0002306692300535,1
05/11/19,1.0000316149355137,1.0002276140084634,1
06/11/19,1.0000309888971868,1.0002245992533845,1
07/11/19,1.0000303752556583,1.0002216244288364,1
08/11/19,1.0000297737654473,1.000218689005938,1
11/11/19,1.0000291841859335,1.000215792462813,1
12/11/19,1.0000286062812616,1.0002129342844976,1
13/11/19,1.0000280398202466,1.0002101139628488,1
14/11/19,1.0000274845762813,1.0002073309964534,1
15/11/19,1.0000269403272461,1.00020458489054,1
18/11/19,1.0000264068554194,1.0002018751568906,1
19/11/19,1.0000258839473912,1.000199201313753,1
20/11/19,1.0000253713939775,1.0001965628857563,1
21/11/19,1.0000248689901363,1.0001939594038258,1
22/11/19,1.0000243765348862,1.0001913904050996,1
25/11/19,1.0000238938312251,1.0001888554328466,1
26/11/19,1.0000234206860523,1.0001863540363851,1
27/11/19,1.000022956910091,1.0001838857710026,1
28/11/19,1.000022502317812,1.0001814501978767,1
29/11/19,1.0000220567273603,1.0001790468839975,1
02/12/19,1.0000216199604819,1.0001766754020902,1
03/12/19,1.0000211918424526,1.0001743353305395,1
04/12/19,1.000020772202008,1.0001720262533138,1
06/12/19,1.0000203608712752,1.0001697477598925,1
09/12/19,1.0000199576857054,1.000167499445192,1
11/12/19,1.0000195624840083,1.000165280909494,1
12/12/19,1.0000191751080874,1.000163091758375,1
13/12/19,1.0000187954029767,1.000160931602635,1
16/12/19,1.000018423216779,1.000158800058229,1
17/12/19,1.000018058400605,1.0001566967461997,1
18/12/19,1.0000177008085138,1.0001546212926076,1
19/12/19,1.000017350297454,1.000152573328467,1
20/12/19,1.0000170067272074,1.0001505524896794,1
23/12/19,1.000016669960332,1.0001485584169685,1
24/12/19,1.0000163398621076,1.0001465907558167,1
25/12/19,1.0000160163004816,1.0001446491564019,1
26/12/19,1.0000156991460167,1.0001427332735355,1
27/12/19,1.0000153882718381,1.0001408427666012,1
30/12/19,1.000015083553584,1.000138977299494,1
02/01/20,1.0000147848693546,1.0001371365405602,1
03/01/20,1.0000144920996643,1.0001353201625396,1
06/01/20,1.0000142051273937,1.0001335278425059,1
07/01/20,1.0000139238377423,1.0001317592618104,1
08/01/20,1.0000136481181832,1.0001300141060248,1
09/01/20,1.0000133778584173,1.0001282920648853,1
10/01/20,1.0000131129503298,1.0001265928322378,1
13/01/20,1.000012853287947,1.000124916105983,1
14/01/20,1.0000125987673938,1.0001232615880231,1
15/01/20,1.0000123492868513,1.0001216289842083,1
16/01/20,1.0000121047465176,1.000120018004285,1
17/01/20,1.0000118650485668,1.0001184283618443,1
20/01/20,1.00001163009711,1.0001168597742702,1
21/01/20,1.0000113997981575,1.0001153119626904,1
22/01/20,1.00001117405958,1.0001137846519264,1
23/01/20,1.0000109527910734,1.0001122775704439,1
24/01/20,1.0000107359041215,1.0001107904503055,1
27/01/20,1.0000105233119607,1.0001093230271227,1
28/01/20,1.0000103149295456,1.0001078750400085,1
