date,indy1,indy2,check
03/01/18,0,0,0
04/01/18,0,0,0
05/01/18,0,0,0
08/01/18,0,0,0
09/01/18,8,0,0
10/01/18,8,0,0
11/01/18,8,0,0
12/01/18,8,0,0
15/01/18,8,0,0
16/01/18,8,8,0
17/01/18,8,8,0
18/01/18,8,8,0
19/01/18,8,8,0
22/01/18,8,8,0
23/01/18,8,8,0
24/01/18,8,8,0
25/01/18,8,8,0
26/01/18,8,8,0
29/01/18,8,8,0
30/01/18,8,8,0
31/01/18,8,8,0
01/02/18,8,8,0
02/02/18,8,8,0
05/02/18,8,8,0
06/02/18,8,8,0
07/02/18,8,8,0
08/02/18,8,8,0
09/02/18,8,8,0
12/02/18,8,8,0
13/02/18,8,8,0
14/02/18,8,8,0
15/02/18,8,8,0
16/02/18,8,8,0
19/02/18,8,8,0
20/02/18,8,8,0
21/02/18,8,8,0
22/02/18,8,8,0
23/02/18,8,8,0
26/02/18,8,8,0
27/02/18,8,8,0
28/02/18,8,8,0
02/03/18,8,8,0
05/03/18,8,8,0
06/03/18,8,8,0
07/03/18,7.96078431372549,7.98019801980198,1
08/03/18,7.923106497500961,7.960788158023723,1
09/03/18,7.886906242697002,7.941762649944045,1
12/03/18,7.891341292003002,7.942915864796638,1
13/03/18,7.895602417806805,7.944046243711556,1
14/03/18,7.860480754363401,7.925352258687565,1
15/03/18,7.865952097329542,7.926830431782861,1
16/03/18,7.871208877826422,7.928279334123794,1
19/03/18,7.837043823794014,7.909897565131244,1
20/03/18,7.804218575802092,7.891879791564289,1
21/03/18,7.772680592437304,7.874218805592719,1
22/03/18,7.742379392733881,7.856907542115636,1
23/03/18,7.713266475371768,7.839939075935128,1
26/03/18,7.685295241043463,7.823306618985917,1
27/03/18,7.658420917865288,7.80700351761986,1
28/03/18,7.632600489713708,7.791023249944219,1
29/03/18,7.607792627371994,7.775359423212651,1
30/03/18,7.623173308651524,7.7798077514658655,1
02/04/18,7.637950825959308,7.784167994011096,1
03/04/18,7.612933146509923,7.768639914921767,1
04/04/18,7.588896552529142,7.753419322547079,1
05/04/18,7.605018256351528,7.758302108239216,1
09/04/18,7.620507736494605,7.763088205105767,1
10/04/18,7.635389786043836,7.7677795277769395,1
11/04/18,7.649688225806823,7.772377952969475,1
12/04/18,7.66342594244185,7.776885320237406,1
17/04/18,7.676624925091189,7.781303432707952,1
18/04/18,7.689306300577809,7.785634057802844,1
19/04/18,7.701490367221816,7.789878927945362,1
20/04/18,7.713196627330765,7.794039741253375,1
23/04/18,7.724443818415833,7.798118162218654,1
24/04/18,7.735249943183839,7.80211582237274,1
25/04/18,7.7456322983531,7.806034320939617,1
26/04/18,7.755607502339253,7.809875225475466,1
27/04/18,7.765191521855361,7.813640072495754,1
30/04/18,7.774399697468876,7.817330368089897,1
02/05/18,7.7832467681563715,7.820947588523761,1
03/05/18,7.791746894895337,7.8244931808302205,1
04/05/18,7.799913683330814,7.827968563388038,1
07/05/18,7.807760205553135,7.831375126489265,1
08/05/18,7.81529902102164,7.834714232895418,1
09/05/18,7.783326510393341,7.8181852381846175,1
10/05/18,7.752607823711249,7.801983550299774,1
11/05/18,7.723093791408846,7.7861026879176,1
14/05/18,7.694737172137911,7.770536298057845,1
15/05/18,7.70670826342662,7.775080133739868,1
16/05/18,7.718209900154988,7.779533992477693,1
17/05/18,7.6900448060312625,7.764097675794966,1
18/05/18,7.662984225402585,7.748967028749521,1
21/05/18,7.636984844014249,7.734135998477254,1
22/05/18,7.651220732484278,7.739400632170773,1
23/05/18,7.625682664543718,7.724759035494125,1
24/05/18,7.6011460894635725,7.710407371424934,1
25/05/18,7.6167874192885305,7.71614187892147,1
28/05/18,7.592599677355647,7.701960851616095,1
30/05/18,7.608576160596602,7.707862616930627,1
31/05/18,7.62392611508301,7.713647515605268,1
01/06/18,7.6386741105699505,7.719317861830906,1
04/06/18,7.652843753292697,7.724875923972869,1
05/06/18,7.666457723751807,7.7303239254783565,1
06/06/18,7.6795378130164424,7.735664045765914,1
07/06/18,7.692104957604033,7.740898421097282,1
08/06/18,7.704179272992111,7.746029145431989,1
11/06/18,7.7157800858159495,7.751058271265019,1
12/06/18,7.726925964803559,7.755987810447889,1
13/06/18,7.737634750497538,7.7608197349934755,1
14/06/18,7.74792358381136,7.765555977864892,1
15/06/18,7.7578089334658165,7.770198433748756,1
18/06/18,7.7280909360750005,7.754946979615117,1
19/06/18,7.699538350346569,7.739997534474224,1
20/06/18,7.6721054738623895,7.725344117949982,1
21/06/18,7.645748396456021,7.710980868089586,1
22/06/18,7.620424929928334,7.6969020390185054,1
25/06/18,7.55687885424487,7.6633000184438815,1
26/06/18,7.495824781529385,7.63036338441529,1
27/06/18,7.437164986175292,7.598078960961522,1
28/06/18,7.380805574952731,7.56643383302169,1
29/06/18,7.3266563367192905,7.535415341278686,1
02/07/18,7.274630598024417,7.50501107709495,1
03/07/18,7.224645084376401,7.475208877548515,1
04/07/18,7.176619786949876,7.445996820567356,1
05/07/18,7.130477834520469,7.417363220160082,1
06/07/18,7.086145370421627,7.389296621741071,1
09/07/18,7.043551434326661,7.361785797548179,1
10/07/18,7.002627848666791,7.334819742151185,1
11/07/18,6.963309109503387,7.308387668049182,1
12/07/18,6.925532281679725,7.282479001355139,1
13/07/18,6.889236898084442,7.257083377565928,1
16/07/18,6.854364862865444,7.232190637416108,1
17/07/18,6.820860358439348,7.207790822813808,1
18/07/18,6.788669756147609,7.1838741728571,1
19/07/18,6.757741530416331,7.160431119929236,1
20/07/18,6.767241862556867,7.157254266069251,1
23/07/18,6.776369632652676,7.154140320206493,1
24/07/18,6.785139450980022,7.151088036638048,1
25/07/18,6.7935653548631585,7.148096194328383,1
26/07/18,6.801660831143034,7.145163596420891,1
31/07/18,6.809438837764876,7.142289069759091,1
01/08/18,6.816911824519194,7.139471464417326,1
02/08/18,6.824091752969422,7.136709653240746,1
03/08/18,6.830990115598072,7.134002531394394,1
06/08/18,6.837617954202069,7.131349015921238,1
07/08/18,6.843985877566694,7.128748045308936,1
08/08/18,6.8501040784464315,7.1261985790651945,1
09/08/18,6.855982349879905,7.123699597301528,1
10/08/18,6.861630100865006,7.12125010032526,1
14/08/18,6.867056371419319,7.118849108239611,1
15/08/18,6.872269847049934,7.116495660551698,1
16/08/18,6.877278872655819,7.114188815788299,1
17/08/18,6.8820914658850025,7.111927651119223,1
20/08/18,6.886715329967943,7.109711261988149,1
21/08/18,6.891157866047632,7.10753876175076,1
22/08/18,6.895426185026156,7.1054092813200525,1
23/08/18,6.899527118946699,7.1033219688186655,1
24/08/18,6.903467231929181,7.101275989238098,1
27/08/18,6.907252830677056,7.0992705241046705,1
28/08/18,6.910889974572073,7.0973047711521025,1
29/08/18,6.953600171647678,7.115179924198595,1
30/08/18,6.955419772759534,7.112899133620405,1
31/08/18,6.996383703239552,7.1304654874101,1
03/09/18,6.996525518798785,7.12788201241188,1
04/09/18,7.035877459238049,7.1451516755324365,1
05/09/18,7.034470500052243,7.142277384927834,1
06/09/18,7.033118715736468,7.139460010968866,1
07/09/18,7.0318199425703325,7.136698426593245,1
10/09/18,7.030572101685221,7.133991527056745,1
11/09/18,7.029373195736781,7.131338229491265,1
12/09/18,7.028221305707888,7.128737472471635,1
13/09/18,7.02711458783699,7.126188215591009,1
14/09/18,7.026051270666912,7.123689439044653,1
17/09/18,7.025029652209386,7.1212401432219865,1
18/09/18,7.063263783495293,7.138641328504719,1
19/09/18,7.099998537083713,7.1556979358610615,1
20/09/18,7.135292712100038,7.172416788616288,1
21/09/18,7.169202801821605,7.188804574980322,1
24/09/18,7.201783084103111,7.204867850723286,1
25/09/18,7.23308570825593,7.220613041798072,0
26/09/18,7.263160778520404,7.236046446910981,0
27/09/18,7.292056434264702,7.251174240041457,0
28/09/18,7.319818927038635,7.266002472911923,0
01/10/18,7.346492694605748,7.280537077408717,0
02/10/18,7.332904745797679,7.2749818877570585,0
03/10/18,7.319849657727182,7.269536701860879,0
04/10/18,7.307306533894743,7.26419934142799,0
05/10/18,7.29525529727142,7.258967671300703,0
08/10/18,7.283676658162737,7.2538395986016795,0
09/10/18,7.272552083332825,7.248813071896696,0
10/10/18,7.261863766339381,7.243886080373989,0
11/10/18,7.251594599031955,7.23905665303985,0
12/10/18,7.241728144167956,7.234322857930151,0
16/10/18,7.2322486091025455,7.229682801337474,0
17/10/18,7.223140820510289,7.2251346270535635,1
18/10/18,7.214390200098121,7.22067651562676,1
19/10/18,7.205982741270744,7.2163066836341505,1
22/10/18,7.197904986711107,7.212023382968128,1
24/10/18,7.190144006840083,7.2078249001370756,1
25/10/18,7.182687379120864,7.2037095555799056,1
26/10/18,7.175523168174948,7.199675702994165,1
29/10/18,7.168639906677891,7.195721728677449,1
30/10/18,7.162026577004248,7.191846050881856,1
31/10/18,7.155672593592317,7.188047119181225,1
01/11/18,7.149567786000461,7.184323413850904,1
02/11/18,7.143702382627894,7.180673445259797,1
05/11/18,7.138066995073859,7.177095753274454,1
06/11/18,7.132652603110178,7.17358890667496,1
07/11/18,7.127450540243112,7.170151502582386,1
08/11/18,7.122452479841422,7.166782165897587,1
09/11/18,7.117650421808425,7.1634795487511,1
12/11/18,7.113036679776722,7.16024232996395,1
13/11/18,7.108603868805086,7.157069214519119,1
14/11/18,7.104344893557828,7.1539589330434925,1
15/11/18,7.061037250673207,7.131108261102037,1
16/11/18,7.019427946725238,7.108710077713878,1
19/11/18,6.979450380186994,7.086755422709643,1
20/11/18,6.9410405613561315,7.065235513349056,1
21/11/18,6.904137009930401,7.044141740807491,1
22/11/18,6.868680656599797,7.023465666732095,1
23/11/18,6.834614748497844,7.003199019866113,1
26/11/18,6.801884758360674,6.983333692740051,1
27/11/18,6.770438297248491,6.963861738428367,1
28/11/18,6.740225030689727,6.944775367370379,1
29/11/18,6.711196598113659,6.926066944254134,1
30/11/18,6.683306535442536,6.907728984961973,1
03/12/18,6.656510200719299,6.889754153576587,1
04/12/18,6.6307647026518755,6.872135259446358,1
06/12/18,6.606028831959645,6.854865254308806,1
07/12/18,6.582262995412209,6.837937229471008,1
11/12/18,6.559429152454867,6.821344413045839,1
12/12/18,6.537490754319382,6.805080167242951,1
13/12/18,6.5164126855225435,6.789137985713388,1
14/12/18,6.496161207658914,6.7735114909467855,1
17/12/18,6.47670390539778,6.758194431720116,1
18/12/18,6.458009634597867,6.743180680596946,1
19/12/18,6.440048472456774,6.728464231476214,1
20/12/18,6.422791669615332,6.714039197189556,1
21/12/18,6.406211604140221,6.699899807146198,1
24/12/18,6.390281737311193,6.6860404050244915,1
25/12/18,6.374976571142127,6.672455446509155,1
26/12/18,6.360271607567926,6.659139497073331,1
27/12/18,6.346143309231929,6.646087229804552,1
28/12/18,6.332569061811069,6.633293423273769,1
02/01/19,6.319527137818477,6.620752959446565,1
03/01/19,6.306996661825596,6.6084608216357426,1
04/01/19,6.294957577048121,6.5964120924944405,1
07/01/19,6.283390613242313,6.584601952049006,1
08/01/19,6.272277255860261,6.573025675770808,1
09/01/19,6.261599716414761,6.561678632686237,1
10/01/19,6.251340904006339,6.550556283524133,1
11/01/19,6.241484397966874,6.539654178899893,1
14/01/19,6.232014421576016,6.528967957535539,1
15/01/19,6.222915816808329,6.518493344515033,1
16/01/19,6.214174020070748,6.508226149574141,1
17/01/19,6.2057750388915025,6.498162265424158,1
18/01/19,6.197705429523208,6.488297666108828,1
21/01/19,6.189952275424258,6.478628405393802,1
22/01/19,6.182503166584091,6.469150615187984,1
23/01/19,6.214561865933734,6.479662484194162,1
24/01/19,6.245363361387313,6.489966197378436,1
25/01/19,6.274956955058399,6.500065876638269,1
28/01/19,6.303390015644344,6.509965562249392,1
29/01/19,6.330708054246527,6.519669214482078,1
30/01/19,6.356954797217251,6.529180715185403,1
31/01/19,6.382172256149908,6.538503869340147,1
01/02/19,6.406400795124422,6.547642406580936,1
04/02/19,6.429679195315621,6.556599982688244,1
05/02/19,6.452044717067949,6.565380181050853,1
06/02/19,6.473533159535872,6.57398651409935,1
07/02/19,6.494178917985446,6.582422424711244,1
08/02/19,6.514015038848761,6.590691287588249,1
11/02/19,6.533073272619398,6.598796410606304,1
12/02/19,6.55138412467354,6.606741036138852,1
13/02/19,6.568976904098107,6.614528342353925,1
14/02/19,6.5858797706040635,6.62216144448553,1
15/02/19,6.602119779599983,6.629643396079876,1
18/02/19,6.617722925498023,6.636977190216908,1
20/02/19,6.63271418332163,6.644165760707662,1
21/02/19,6.647117548681566,6.651211983267906,1
22/02/19,6.66095607618425,6.658118676668542,0
25/02/19,6.674251916333887,6.664888603863224,0
26/02/19,6.68702635098746,6.671524473093655,0
27/02/19,6.699299827419324,6.6780289389729885,0
28/02/19,6.711091991049939,6.68440460354778,0
01/03/19,6.722421716891118,6.690654017338914,0
04/03/19,6.733307139758133,6.696779680361906,0
05/03/19,6.743765683297029,6.702784043127017,0
06/03/19,6.753814087873616,6.708669507619551,0
07/03/19,6.763468437368768,6.714438428260748,0
08/03/19,6.772744184922934,6.720093112849645,0
11/03/19,6.781656177671055,6.725635823486285,0
12/03/19,6.790218680507484,6.731068777476656,0
13/03/19,6.798445398918955,6.736394148219692,0
14/03/19,6.806349500922133,6.741614066076728,0
15/03/19,6.813943638140873,6.746730619223724,0
18/03/19,6.8212399660569165,6.751745854486621,0
19/03/19,6.828250163466449,6.756661778160153,0
20/03/19,6.834985451173647,6.761480356810447,0
21/03/19,6.841456609951152,6.766203518061725,0
22/03/19,6.847673997796204,6.770833151367434,0
25/03/19,6.8536475665100784,6.775371108766098,0
26/03/19,6.859386877627331,6.779819205622215,0
27/03/19,6.864901117720376,6.784179221352468,0
28/03/19,6.870199113103891,6.7884529001375675,0
29/03/19,6.875289343962562,6.792641951619992,0
01/04/19,6.880179957924814,6.7967480515879135,0
02/04/19,6.8848787831042335,6.8007728426455785,0
03/04/19,6.8893933406295575,6.8047179348704185,0
04/04/19,6.8937308566833,6.808584906457143,0
05/04/19,6.897898274068269,6.8123753043490805,0
09/04/19,6.862686577045984,6.7962886646589995,0
10/04/19,6.828855730887319,6.7805205722895145,0
11/04/19,6.796351584578012,6.765064719372891,0
12/04/19,6.765122110672992,6.7499149229496656,0
17/04/19,6.73511732201915,6.735065122495217,0
18/04/19,6.745504878018399,6.740311357693332,0
19/04/19,6.755485078880422,6.7454537070459395,0
22/04/19,6.725858213041975,6.730692247500476,1
23/04/19,6.6973931850795445,6.716223094084625,1
24/04/19,6.670044432723484,6.702040458558197,1
25/04/19,6.643768180459817,6.688138667299619,1
26/04/19,6.6185223694613935,6.67451215903626,1
29/04/19,6.594266590266829,6.6611554826197,1
30/04/19,6.570962018099503,6.648063294845052,1
02/05/19,6.587787036997562,6.655032338511487,1
03/05/19,6.564736564958442,6.642061401115219,1
07/05/19,6.542590032999287,6.629347313964423,1
08/05/19,6.521311992489512,6.616884990915622,1
09/05/19,6.500868384940904,6.604669446541055,1
10/05/19,6.481226487492241,6.592695794134301,1
13/05/19,6.462354860531761,6.580959243755404,1
14/05/19,6.444223297373653,6.569455100314703,1
15/05/19,6.426802775908019,6.5581787616946094,1
16/05/19,6.4100654121469205,6.547125716908577,1
17/05/19,6.393984415592139,6.536291544296526,1
21/05/19,6.378534046353232,6.525671909756001,1
22/05/19,6.363689573947222,6.515262565008357,1
23/05/19,6.349427237713997,6.505059345899281,1
24/05/19,6.335724208784036,6.495058170732959,1
27/05/19,6.322558553537603,6.485255038639237,1
28/05/19,6.3099091984969125,6.475646027973114,1
29/05/19,6.297755896595072,6.466227294745924,1
30/05/19,6.286079194767814,6.456995071087588,1
31/05/19,6.274860402816135,6.447945663739319,1
04/06/19,6.264081563490013,6.439075452576165,1
05/06/19,6.253725423745307,6.4303808891588154,1
06/06/19,6.243775407127844,6.421858495314086,1
07/06/19,6.234215587240477,6.41350486174351,1
10/06/19,6.225030662250655,6.40531664665948,1
11/06/19,6.216205930397687,6.397290574448401,1
12/06/19,6.207727266460523,6.389423434360314,1
13/06/19,6.199581099148346,6.381712079224466,1
14/06/19,6.191754389377822,6.374153424190318,1
17/06/19,6.184234609402221,6.36674444549348,1
18/06/19,6.177009722758997,6.3594821792460845,1
19/06/19,6.170068165003742,6.3523637202511125,1
20/06/19,6.163398825199674,6.345386220840199,1
21/06/19,6.15699102813302,6.338546889734452,1
24/06/19,6.150834517225843,6.3318429909278295,1
25/06/19,6.144919438118947,6.325271842592625,1
26/06/19,6.139236322898596,6.318830816006632,1
27/06/19,6.133776074941789,6.312517334501551,1
28/06/19,6.1285299543558365,6.306328872432213,1
01/07/19,6.123489563988941,6.300262954166229,1
02/07/19,6.118646835989375,6.29431715309363,1
03/07/19,6.113994018891752,6.288489090656132,1
04/07/19,6.109523665209722,6.282776435395614,1
05/07/19,6.105228619515223,6.277176902021443,1
08/07/19,6.101102006985215,6.271688250496266,1
09/07/19,6.09713722239756,6.266308285139904,1
10/07/19,6.0933279195584396,6.261034853750995,1
11/07/19,6.089668001144383,6.255865846746024,1
12/07/19,6.086151608942642,6.25079919631541,1
15/07/19,6.082773114474303,6.245832875596293,1
17/07/19,6.079527109985115,6.240964897861713,1
18/07/19,6.07640839978962,6.236193315725838,1
19/07/19,6.073411991954733,6.23151622036493,1
22/07/19,6.070533090309449,6.226931740753743,1
23/07/19,6.067767086767902,6.222438042917036,1
24/07/19,6.025893867678965,6.198231348997886,1
25/07/19,5.985662735613123,6.174503995552383,1
26/07/19,5.947009295000844,6.15124649068996,1
30/07/19,5.909871675589046,6.128449530478278,1
31/07/19,5.874190433409083,6.106103995221282,1
01/08/19,5.839908455628335,6.08420094581096,1
02/08/19,5.806970869133107,6.062731620151338,1
05/08/19,5.775324952696514,6.041687429653291,1
06/08/19,5.744920052590769,6.021059955798771,1
07/08/19,5.715707501508778,6.000840946773053,1
08/08/19,5.687640540665297,5.981022314163686,1
09/08/19,5.660674244952932,5.961596129724801,1
13/08/19,5.634765451033209,5.942554622205498,1
14/08/19,5.609872688247592,5.923890174241033,1
15/08/19,5.585956112237883,5.905595319305568,1
16/08/19,5.562977441169731,5.887662738725259,1
19/08/19,5.580115580731702,5.889887238948521,1
20/08/19,5.5573659501147725,5.872265709464392,1
21/08/19,5.5355084618749775,5.8549931211581665,1
22/08/19,5.514508130036743,5.8380625643035495,1
23/08/19,5.494331340623538,5.821467266000509,1
26/08/19,5.474945797853987,5.805200587465845,1
27/08/19,5.456320472447948,5.789256021377413,1
28/08/19,5.438425551959793,5.773627189270929,1
29/08/19,5.421232393059409,5.758307838988336,1
30/08/19,5.40471347568453,5.743291842176686,1
02/09/19,5.428058045265529,5.7483751720345735,1
03/09/19,5.450487141529626,5.753357841895275,1
04/09/19,5.47203666539121,5.7582418450260615,1
05/09/19,5.492741109885672,5.763029135223565,1
06/09/19,5.512633615380351,5.7677216275953755,1
09/09/19,5.531746022620338,5.77232119932616,1
10/09/19,5.55010892369405,5.776829690428612,1
11/09/19,5.567751711000166,5.781248904479531,1
12/09/19,5.545486938019767,5.765778629143303,1
13/09/19,5.524095293391541,5.75061469589294,1
16/09/19,5.503542536787951,5.735751038548526,1
17/09/19,5.4837957706394045,5.721181711052515,1
18/09/19,5.464823387477075,5.70690088509108,1
19/09/19,5.4465950193407195,5.692902847762543,1
20/09/19,5.429081489170495,5.679181999291997,1
23/09/19,5.412254764104985,5.665732850791166,1
24/09/19,5.396087910610672,5.652550022062628,1
25/09/19,5.380555051371037,5.639628239447527,1
26/09/19,5.365631323866291,5.626962333715893,1
27/09/19,5.3512928405774165,5.614547237998747,1
30/09/19,5.337516650750851,5.602377985761148,1
01/10/19,5.324280703662582,5.590449708815383,1
02/10/19,5.3115638133228735,5.578757635373494,1
03/10/19,5.299345624565114,5.567297088138375,1
04/10/19,5.287606580464521,5.5560634824326645,1
07/10/19,5.27632789103454,5.545052324364691,1
08/10/19,5.265491503150832,5.534259209030736,1
09/10/19,5.255080071654721,5.5236798187529,1
10/10/19,5.245076931589829,5.513309921351852,1
11/10/19,5.235466071527483,5.503145368453795,1
15/10/19,5.22623210793817,5.493182093830948,1
16/10/19,5.217360260568046,5.48341611177489,1
17/10/19,5.2088363287810635,5.47384351550212,1
18/10/19,5.200646668828865,5.464460475591187,1
21/10/19,5.192778172012047,5.455263238450767,1
22/10/19,5.185218243697849,5.446248124818078,1
24/10/19,5.177954783160679,5.4374115282870275,1
25/10/19,5.170976164213202,5.428749913865502,1
28/10/19,5.1642712165969975,5.420259816561235,1
29/10/19,5.1578292081029975,5.411937839995666,1
30/10/19,5.151639827393076,5.4037806550452565,1
31/10/19,5.145693167495309,5.395784998509707,1
01/11/19,5.1399797099464735,5.387947671806544,1
04/11/19,5.134490309556416,5.380265539691563,1
05/11/19,5.129216179769889,5.3727355290046015,1
06/11/19,5.124148878602442,5.365354627440154,1
07/11/19,5.119280295127837,5.358119882342329,1
08/11/19,5.1146026364953725,5.35102839952367,1
11/11/19,5.110108415456338,5.34407734210736,1
12/11/19,5.105790438379619,5.337263929392362,1
13/11/19,5.101641793737281,5.330585435741028,1
14/11/19,5.097655841041702,5.3240391894887305,1
15/11/19,5.093826200216537,5.317622571875092,1
18/11/19,5.129362427659025,5.331134996194398,1
19/11/19,5.16350507755475,5.3443798477549045,1
20/11/19,5.1963088000035835,5.357362425027085,1
21/11/19,5.227826101964228,5.370087921561202,1
22/11/19,5.2581074312989635,5.382561428064941,1
25/11/19,5.287201257522534,5.394787934439893,1
26/11/19,5.315154149384395,5.4067723317777165,1
27/11/19,5.3420108494085365,5.418519414316772,1
28/11/19,5.367814345510163,5.430033881360004,1
29/11/19,5.3926059398038815,5.4413203391548555,1
02/12/19,5.416425314713533,5.452383302735948,1
03/12/19,5.439310596489473,5.463227197731276,1
04/12/19,5.461298416234984,5.473856362132636,1
06/12/19,5.482423968539494,5.484275048031,1
09/12/19,5.5027210678124545,5.494487423317515,0
11/12/19,5.522222202408044,5.5044975733508315,0
12/12/19,5.540958586627337,5.514309502591409,0
13/12/19,5.558960210681167,5.5239271362034605,0
16/12/19,5.5762558886936695,5.533354321625175,0
17/12/19,5.55365761854882,5.522792849909824,0
18/12/19,5.531945555076317,5.512440516248244,0
19/12/19,5.511084945073324,5.502293179292833,0
20/12/19,5.4910423982077035,5.492346779702876,1
23/12/19,5.471785833572107,5.482597338520641,1
24/12/19,5.453284428333985,5.473040955579639,1
25/12/19,5.435508568399319,5.4636738079443985,1
26/12/19,5.4184298010111105,5.454492148381143,1
27/12/19,5.4020207892067535,5.445492303858744,1
30/12/19,5.386255268061391,5.436670674079363,1
02/01/20,5.371108002647219,5.428023730038188,1
03/01/20,5.356554747641446,5.419548012611689,1
06/01/20,5.342572208518252,5.411240131173834,1
07/01/20,5.329138004262634,5.403096762239699,1
08/01/20,5.3162306315464525,5.395114648135942,1
09/01/20,5.303829430309337,5.387290595697606,1
10/01/20,5.291914550689363,5.3796214749907225,1
13/01/20,5.280466921250564,5.372104218060213,1
14/01/20,5.269468218456424,5.364735817702585,1
15/01/20,5.258900837340486,5.35751332626293,1
16/01/20,5.248747863327134,5.350433854455743,1
17/01/20,5.238993045157443,5.343494570209095,1
20/01/20,5.229620768876759,5.336692697531687,1
21/01/20,5.181400346567867,5.310223535204327,1
22/01/20,5.1350709212122645,5.284278514705231,1
23/01/20,5.090558336066685,5.258847256988296,1
24/01/20,5.047791342495443,5.233919588533082,1
27/01/20,5.006701485926994,5.209485537275001,1
28/01/20,4.967222996282798,5.185535328616091,1
29/01/20,4.92929268270308,5.162059381514782,1
