date,indy1,indy2,check
03/01/18,0,50,1
04/01/18,0,50,1
05/01/18,0,50,1
08/01/18,0,50,1
09/01/18,0,50,1
10/01/18,0,50,1
11/01/18,0,50,1
12/01/18,0,50,1
15/01/18,0,50,1
16/01/18,0,50,1
17/01/18,0,50,1
18/01/18,0,50,1
19/01/18,0,50,1
22/01/18,0,50,1
23/01/18,28.57,50,1
24/01/18,28.57,50,1
25/01/18,24.51,50,1
26/01/18,24.51,50,1
29/01/18,35.19,50,1
30/01/18,35.19,50,1
31/01/18,30.23,50,1
01/02/18,30.23,50,1
02/02/18,25.98,50,1
05/02/18,43.18,50,1
06/02/18,38.38,50,1
07/02/18,38.38,50,1
08/02/18,45.42,50,1
09/02/18,45.42,50,1
12/02/18,40.11,50,1
13/02/18,46.81,50,1
14/02/18,41.77,50,1
15/02/18,41.77,50,1
16/02/18,41.77,50,1
19/02/18,41.77,50,1
20/02/18,41.77,50,1
21/02/18,41.77,50,1
22/02/18,35.77,50,1
23/02/18,44.38,50,1
26/02/18,44.38,50,1
27/02/18,38.41,50,1
28/02/18,38.41,50,1
02/03/18,29.28,50,1
05/03/18,23.31,50,1
06/03/18,16.2,50,1
07/03/18,22.56,50,1
08/03/18,22.56,50,1
09/03/18,22.56,50,1
12/03/18,22.56,50,1
13/03/18,29.73,50,1
14/03/18,27.04,50,1
15/03/18,27.04,50,1
16/03/18,39.72,50,1
19/03/18,33.46,50,1
20/03/18,33.46,50,1
21/03/18,39.03,50,1
22/03/18,35.8,50,1
23/03/18,32.87,50,1
26/03/18,30.21,50,1
27/03/18,35.81,50,1
28/03/18,30.53,50,1
29/03/18,35.64,50,1
30/03/18,35.64,50,1
02/04/18,35.64,50,1
03/04/18,35.64,50,1
04/04/18,32.43,50,1
05/04/18,38.4,50,1
09/04/18,43.75,50,1
10/04/18,48.56,50,1
11/04/18,48.56,50,1
12/04/18,48.56,50,1
17/04/18,48.56,50,1
18/04/18,48.56,50,1
19/04/18,48.56,50,1
20/04/18,48.56,50,1
23/04/18,55.03,50,0
24/04/18,55.03,50,0
25/04/18,55.03,50,0
26/04/18,55.03,50,0
27/04/18,47.07,50,1
30/04/18,47.07,50,1
02/05/18,47.07,50,1
03/05/18,55.17,50,0
04/05/18,55.17,50,0
07/05/18,55.17,50,0
08/05/18,67.56,50,0
09/05/18,58.81,50,0
10/05/18,58.81,50,0
11/05/18,51.12,50,0
14/05/18,57.15,50,0
15/05/18,50.45,50,0
16/05/18,50.45,50,0
17/05/18,50.45,50,0
18/05/18,50.45,50,0
21/05/18,57.2,50,0
22/05/18,57.2,50,0
23/05/18,57.2,50,0
24/05/18,48.88,50,1
25/05/18,42.27,50,1
28/05/18,49.61,50,1
30/05/18,43.63,50,1
31/05/18,43.63,50,1
01/06/18,43.63,50,1
04/06/18,37.92,50,1
05/06/18,45.59,50,1
06/06/18,45.59,50,1
07/06/18,45.59,50,1
08/06/18,45.59,50,1
11/06/18,45.59,50,1
12/06/18,45.59,50,1
13/06/18,45.59,50,1
14/06/18,45.59,50,1
15/06/18,55.53,50,0
18/06/18,46.4,50,1
19/06/18,39.42,50,1
20/06/18,39.42,50,1
21/06/18,39.42,50,1
22/06/18,39.42,50,1
25/06/18,39.42,50,1
26/06/18,27.46,50,1
27/06/18,27.46,50,1
28/06/18,23.35,50,1
29/06/18,48.33,50,1
02/07/18,48.33,50,1
03/07/18,48.33,50,1
04/07/18,48.33,50,1
05/07/18,48.33,50,1
06/07/18,60.7,50,0
09/07/18,60.7,50,0
10/07/18,60.7,50,0
11/07/18,60.7,50,0
12/07/18,66.15,50,0
13/07/18,66.15,50,0
16/07/18,66.15,50,0
17/07/18,71.15,50,0
18/07/18,71.15,50,0
19/07/18,60.75,50,0
