date,indy1,indy2,check
03/01/18,0,50,1
04/01/18,0,50,1
05/01/18,0,50,1
08/01/18,0,50,1
09/01/18,0,50,1
10/01/18,0,50,1
11/01/18,0,50,1
12/01/18,0,50,1
15/01/18,0,50,1
16/01/18,0,50,1
17/01/18,0,50,1
18/01/18,0,50,1
19/01/18,0,50,1
22/01/18,0,50,1
23/01/18,58.33,50,0
24/01/18,58.33,50,0
25/01/18,53.19,50,0
26/01/18,53.19,50,0
29/01/18,53.19,50,0
30/01/18,53.19,50,0
31/01/18,53.19,50,0
01/02/18,47.17,50,1
02/02/18,47.17,50,1
05/02/18,37.36,50,1
06/02/18,37.36,50,1
07/02/18,33.34,50,1
08/02/18,27.07,50,1
09/02/18,44.07,50,1
12/02/18,44.07,50,1
13/02/18,44.07,50,1
14/02/18,44.07,50,1
15/02/18,49.36,50,1
16/02/18,54.04,50,0
19/02/18,49.15,50,1
20/02/18,49.15,50,1
21/02/18,40.62,50,1
22/02/18,37.14,50,1
23/02/18,42.44,50,1
26/02/18,51.29,50,0
27/02/18,51.29,50,0
28/02/18,51.29,50,0
02/03/18,46.8,50,1
05/03/18,42.76,50,1
06/03/18,42.76,50,1
07/03/18,38.88,50,1
08/03/18,44.33,50,1
09/03/18,44.33,50,1
12/03/18,44.33,50,1
13/03/18,54.46,50,0
14/03/18,54.46,50,0
15/03/18,58.81,50,0
16/03/18,58.81,50,0
19/03/18,58.81,50,0
20/03/18,58.81,50,0
21/03/18,63.5,50,0
22/03/18,63.5,50,0
23/03/18,67.76,50,0
26/03/18,67.76,50,0
27/03/18,67.76,50,0
28/03/18,59.14,50,0
29/03/18,59.14,50,0
30/03/18,64.39,50,0
02/04/18,56.57,50,0
03/04/18,56.57,50,0
04/04/18,39.75,50,1
05/04/18,50.35,50,0
09/04/18,50.35,50,0
10/04/18,50.35,50,0
11/04/18,55.26,50,0
12/04/18,55.26,50,0
17/04/18,59.87,50,0
18/04/18,63.87,50,0
19/04/18,67.38,50,0
20/04/18,67.38,50,0
23/04/18,73.37,50,0
24/04/18,66.77,50,0
25/04/18,66.77,50,0
26/04/18,60.45,50,0
27/04/18,60.45,50,0
30/04/18,64.36,50,0
02/05/18,70.62,50,0
03/05/18,70.62,50,0
04/05/18,58.67,50,0
07/05/18,62.12,50,0
08/05/18,52.66,50,0
09/05/18,56.25,50,0
10/05/18,56.25,50,0
11/05/18,62.79,50,0
14/05/18,62.79,50,0
15/05/18,53.51,50,0
16/05/18,53.51,50,0
17/05/18,49.28,50,1
18/05/18,56.66,50,0
21/05/18,52.54,50,0
22/05/18,55.98,50,0
23/05/18,55.98,50,0
24/05/18,51.64,50,0
25/05/18,51.64,50,0
28/05/18,51.64,50,0
30/05/18,40.01,50,1
31/05/18,44.5,50,1
01/06/18,41.18,50,1
04/06/18,45.55,50,1
05/06/18,49.59,50,1
06/06/18,49.59,50,1
07/06/18,53.58,50,0
08/06/18,49.37,50,1
11/06/18,53.32,50,0
12/06/18,53.32,50,0
13/06/18,48.9,50,1
14/06/18,48.9,50,1
15/06/18,44.61,50,1
18/06/18,34.75,50,1
19/06/18,32.2,50,1
20/06/18,41.46,50,1
21/06/18,36.15,50,1
22/06/18,40.27,50,1
25/06/18,37.65,50,1
26/06/18,41.73,50,1
27/06/18,41.73,50,1
28/06/18,38.79,50,1
29/06/18,38.79,50,1
02/07/18,43.42,50,1
03/07/18,51.34,50,0
04/07/18,47.74,50,1
05/07/18,38.92,50,1
06/07/18,42.72,50,1
09/07/18,42.72,50,1
10/07/18,49.94,50,1
11/07/18,46.77,50,1
12/07/18,50.18,50,0
13/07/18,53.39,50,0
16/07/18,49.92,50,1
17/07/18,46.66,50,1
18/07/18,50.17,50,0
19/07/18,53.47,50,0
