date,indy1,indy2,check
03/01/18,0,50,1
04/01/18,0,50,1
05/01/18,0,50,1
08/01/18,0,50,1
09/01/18,0,50,1
10/01/18,0,50,1
11/01/18,0,50,1
12/01/18,0,50,1
15/01/18,0,50,1
16/01/18,0,50,1
17/01/18,0,50,1
18/01/18,0,50,1
19/01/18,0,50,1
22/01/18,0,50,1
23/01/18,50,50,0
24/01/18,39.39,50,1
25/01/18,50.66,50,0
26/01/18,64.77,50,0
29/01/18,64.77,50,0
30/01/18,64.77,50,0
31/01/18,64.77,50,0
01/02/18,64.77,50,0
02/02/18,53.66,50,0
05/02/18,53.66,50,0
06/02/18,44.75,50,1
07/02/18,44.75,50,1
08/02/18,53.67,50,0
09/02/18,53.67,50,0
12/02/18,60.98,50,0
13/02/18,66.64,50,0
14/02/18,66.64,50,0
15/02/18,66.64,50,0
16/02/18,66.64,50,0
19/02/18,66.64,50,0
20/02/18,72.44,50,0
21/02/18,52.71,50,0
22/02/18,58.76,50,0
23/02/18,63.75,50,0
26/02/18,63.75,50,0
27/02/18,49.78,50,1
28/02/18,55.08,50,0
02/03/18,55.08,50,0
05/03/18,55.08,50,0
06/03/18,55.08,50,0
07/03/18,48.23,50,1
08/03/18,38.04,50,1
09/03/18,30.99,50,1
12/03/18,28.18,50,1
13/03/18,34.57,50,1
14/03/18,45.1,50,1
15/03/18,45.1,50,1
16/03/18,45.1,50,1
19/03/18,40.98,50,1
20/03/18,34.25,50,1
21/03/18,39.59,50,1
22/03/18,39.59,50,1
23/03/18,39.59,50,1
26/03/18,39.59,50,1
27/03/18,39.59,50,1
28/03/18,39.59,50,1
29/03/18,39.59,50,1
30/03/18,39.59,50,1
02/04/18,39.59,50,1
03/04/18,26.84,50,1
04/04/18,21.8,50,1
05/04/18,28.98,50,1
09/04/18,28.98,50,1
10/04/18,26.19,50,1
11/04/18,33.12,50,1
12/04/18,33.12,50,1
17/04/18,39.69,50,1
18/04/18,50.23,50,0
19/04/18,50.23,50,0
20/04/18,58.61,50,0
23/04/18,53.74,50,0
24/04/18,53.74,50,0
25/04/18,49.01,50,1
26/04/18,49.01,50,1
27/04/18,49.01,50,1
30/04/18,44.16,50,1
02/05/18,39.9,50,1
03/05/18,45.55,50,1
04/05/18,50.56,50,0
07/05/18,50.56,50,0
08/05/18,50.56,50,0
09/05/18,55.65,50,0
10/05/18,60.08,50,0
11/05/18,63.95,50,0
14/05/18,57.9,50,0
15/05/18,48.09,50,1
16/05/18,48.09,50,1
17/05/18,43.79,50,1
18/05/18,43.79,50,1
21/05/18,49.08,50,1
22/05/18,44.57,50,1
23/05/18,44.57,50,1
24/05/18,44.57,50,1
25/05/18,39.98,50,1
28/05/18,35.99,50,1
30/05/18,29.62,50,1
31/05/18,27.04,50,1
01/06/18,33.29,50,1
04/06/18,33.29,50,1
05/06/18,44.35,50,1
06/06/18,48.91,50,1
07/06/18,44.94,50,1
08/06/18,44.94,50,1
11/06/18,41.08,50,1
12/06/18,46.07,50,1
13/06/18,46.07,50,1
14/06/18,46.07,50,1
15/06/18,51.23,50,0
18/06/18,51.23,50,0
19/06/18,46.11,50,1
20/06/18,41.64,50,1
21/06/18,41.64,50,1
22/06/18,41.64,50,1
25/06/18,41.64,50,1
26/06/18,41.64,50,1
27/06/18,41.64,50,1
28/06/18,41.64,50,1
29/06/18,41.64,50,1
02/07/18,41.64,50,1
03/07/18,41.64,50,1
04/07/18,58.54,50,0
05/07/18,50.64,50,0
06/07/18,50.64,50,0
09/07/18,50.64,50,0
10/07/18,57.76,50,0
11/07/18,57.76,50,0
12/07/18,68.34,50,0
13/07/18,68.34,50,0
16/07/18,59.67,50,0
17/07/18,59.67,50,0
18/07/18,59.67,50,0
19/07/18,65.19,50,0
