date,indy1,indy2,check
03/01/18,0,50,1
04/01/18,0,50,1
05/01/18,0,50,1
08/01/18,0,50,1
09/01/18,0,50,1
10/01/18,0,50,1
11/01/18,0,50,1
12/01/18,0,50,1
15/01/18,0,50,1
16/01/18,0,50,1
17/01/18,0,50,1
18/01/18,0,50,1
19/01/18,0,50,1
22/01/18,0,50,1
23/01/18,84.21,50,0
24/01/18,79.69,50,0
25/01/18,64.74,50,0
26/01/18,67.97,50,0
29/01/18,69.48,50,0
30/01/18,69.48,50,0
31/01/18,65.88,50,0
01/02/18,65.88,50,0
02/02/18,62.15,50,0
05/02/18,55.39,50,0
06/02/18,55.39,50,0
07/02/18,49.18,50,1
08/02/18,46.39,50,1
09/02/18,49.48,50,1
12/02/18,52.44,50,0
13/02/18,52.44,50,0
14/02/18,49.11,50,1
15/02/18,52.37,50,0
16/02/18,55.44,50,0
19/02/18,58.34,50,0
20/02/18,54.52,50,0
21/02/18,54.52,50,0
22/02/18,54.52,50,0
23/02/18,57.96,50,0
26/02/18,66.2,50,0
27/02/18,70.37,50,0
28/02/18,70.37,50,0
02/03/18,70.37,50,0
05/03/18,53.79,50,0
06/03/18,53.79,50,0
07/03/18,42.24,50,1
08/03/18,48.23,50,1
09/03/18,53.42,50,0
12/03/18,55.81,50,0
13/03/18,55.81,50,0
14/03/18,52.68,50,0
15/03/18,59.94,50,0
16/03/18,63.92,50,0
19/03/18,57.75,50,0
20/03/18,57.75,50,0
21/03/18,51.93,50,0
22/03/18,56.63,50,0
23/03/18,56.63,50,0
26/03/18,58.96,50,0
27/03/18,52.85,50,0
28/03/18,50.06,50,0
29/03/18,44.94,50,1
30/03/18,44.94,50,1
02/04/18,50.77,50,0
03/04/18,48.03,50,1
04/04/18,40.9,50,1
05/04/18,49.05,50,1
09/04/18,53.64,50,0
10/04/18,48.9,50,1
11/04/18,51.22,50,0
12/04/18,51.22,50,0
17/04/18,51.22,50,0
18/04/18,53.84,50,0
19/04/18,64.2,50,0
20/04/18,65.85,50,0
23/04/18,54.94,50,0
24/04/18,52.59,50,0
25/04/18,50.28,50,0
26/04/18,50.28,50,0
27/04/18,52.69,50,0
30/04/18,52.69,50,0
02/05/18,52.69,50,0
03/05/18,49.68,50,1
04/05/18,46.8,50,1
07/05/18,49.93,50,1
08/05/18,41.96,50,1
09/05/18,41.96,50,1
10/05/18,39.52,50,1
11/05/18,43.09,50,1
14/05/18,43.09,50,1
15/05/18,43.09,50,1
16/05/18,40.13,50,1
17/05/18,50.98,50,0
18/05/18,45.11,50,1
21/05/18,51.17,50,0
22/05/18,48.3,50,1
23/05/18,48.3,50,1
24/05/18,40.42,50,1
25/05/18,38.18,50,1
28/05/18,32.39,50,1
30/05/18,35.88,50,1
31/05/18,35.88,50,1
01/06/18,32.04,50,1
04/06/18,30.3,50,1
05/06/18,37.61,50,1
06/06/18,37.61,50,1
07/06/18,41.19,50,1
08/06/18,41.19,50,1
11/06/18,36.35,50,1
12/06/18,36.35,50,1
13/06/18,34.04,50,1
14/06/18,28.22,50,1
15/06/18,28.22,50,1
18/06/18,23.55,50,1
19/06/18,22.23,50,1
20/06/18,37.36,50,1
21/06/18,32.29,50,1
22/06/18,35.43,50,1
25/06/18,30.81,50,1
26/06/18,33.9,50,1
27/06/18,33.9,50,1
28/06/18,29.34,50,1
29/06/18,25.62,50,1
02/07/18,23.48,50,1
03/07/18,32.57,50,1
04/07/18,31.23,50,1
05/07/18,29.92,50,1
06/07/18,35.75,50,1
09/07/18,34.22,50,1
10/07/18,46.56,50,1
11/07/18,44.75,50,1
12/07/18,44.75,50,1
13/07/18,42.82,50,1
16/07/18,42.82,50,1
17/07/18,38.93,50,1
18/07/18,44.38,50,1
19/07/18,46.93,50,1
