date,indy1,indy2,check
03/01/18,0,0,0
04/01/18,0,0,0
05/01/18,0,0,0
08/01/18,0,0,0
09/01/18,0,0,0
10/01/18,0,0,0
11/01/18,0,0,0
12/01/18,0,0,0
15/01/18,0,0,0
16/01/18,2,0,0
17/01/18,2,0,0
18/01/18,2,0,0
19/01/18,2,0,0
22/01/18,2,0,0
23/01/18,2,2,0
24/01/18,2,2,0
25/01/18,2,2,0
26/01/18,2,2,0
29/01/18,2,2,0
30/01/18,2,2,0
31/01/18,2,2,0
01/02/18,2,2,0
02/02/18,2,2,0
05/02/18,2,2,0
06/02/18,2,2,0
07/02/18,2,2,0
08/02/18,2,2,0
09/02/18,2,2,0
12/02/18,2,2,0
13/02/18,2,2,0
14/02/18,2,2,0
15/02/18,2,2,0
16/02/18,2,2,0
19/02/18,2,2,0
20/02/18,2,2,0
21/02/18,2,2,0
22/02/18,2,2,0
23/02/18,2,2,0
26/02/18,2,2,0
27/02/18,2,2,0
28/02/18,2,2,0
02/03/18,2,2,0
05/03/18,2,2,0
06/03/18,2,2,0
07/03/18,2,2,0
08/03/18,2,2,0
09/03/18,2,2,0
12/03/18,2,2,0
13/03/18,2,2,0
14/03/18,2,2,0
15/03/18,2,2,0
16/03/18,2,2,0
19/03/18,2,2,0
20/03/18,2,2,0
21/03/18,2,2,0
22/03/18,2,2,0
23/03/18,2,2,0
26/03/18,2,2,0
27/03/18,2,2,0
28/03/18,2,2,0
29/03/18,2,2,0
30/03/18,2,2,0
02/04/18,2,2,0
03/04/18,2,2,0
04/04/18,2,2,0
05/04/18,2,2,0
09/04/18,2,2,0
10/04/18,2,2,0
11/04/18,2,2,0
12/04/18,2,2,0
17/04/18,2,2,0
18/04/18,2,2,0
19/04/18,2,2,0
20/04/18,2,2,0
23/04/18,2,2,0
24/04/18,2,2,0
25/04/18,2,2,0
26/04/18,2,2,0
27/04/18,2,2,0
30/04/18,2,2,0
02/05/18,2,2,0
03/05/18,2,2,0
04/05/18,2,2,0
07/05/18,2,2,0
08/05/18,2,2,0
09/05/18,2,2,0
10/05/18,2,2,0
11/05/18,2,2,0
14/05/18,2,2,0
15/05/18,2,2,0
16/05/18,2,2,0
17/05/18,2,2,0
18/05/18,2,2,0
21/05/18,2,2,0
22/05/18,2,2,0
23/05/18,2,2,0
24/05/18,2,2,0
25/05/18,2,2,0
28/05/18,2,2,0
30/05/18,2,2,0
31/05/18,2,2,0
01/06/18,2,2,0
04/06/18,2,2,0
05/06/18,2,2,0
06/06/18,2,2,0
07/06/18,2,2,0
08/06/18,2,2,0
11/06/18,2,2,0
12/06/18,2,2,0
13/06/18,2,2,0
14/06/18,2,2,0
15/06/18,2,2,0
18/06/18,2,2,0
19/06/18,2,2,0
20/06/18,2,2,0
21/06/18,2,2,0
22/06/18,2,2,0
25/06/18,2,2,0
26/06/18,2,2,0
27/06/18,2,2,0
28/06/18,2,2,0
29/06/18,2,2,0
02/07/18,2,2,0
03/07/18,2,2,0
04/07/18,2,2,0
05/07/18,2,2,0
06/07/18,2,2,0
09/07/18,2,2,0
10/07/18,2,2,0
11/07/18,2,2,0
12/07/18,2,2,0
13/07/18,2,2,0
16/07/18,2,2,0
17/07/18,2,2,0
18/07/18,2,2,0
19/07/18,2,2,0
20/07/18,2,2,0
23/07/18,1.9801980198019802,1.9867549668874172,1
24/07/18,1.980590138221743,1.9869303977895705,1
25/07/18,1.9809744919203223,1.9871035051036159,1
26/07/18,1.9813512346545734,1.9872743196055547,1
31/07/18,1.981720517136661,1.9874428716637593,1
01/08/18,1.9820824870943508,1.9876091912443719,1
02/08/18,1.982437289330106,1.9877733079166318,1
03/08/18,1.982785065779015,1.9879352508581334,1
06/08/18,1.9831259555655691,1.9880950488600124,1
07/08/18,1.9834600950593202,1.9882527303320652,1
08/08/18,1.9837876179294327,1.9884083233077994,1
09/08/18,1.9841086551981568,1.988561855449418,1
10/08/18,1.9844233352932428,1.9887133540527369,1
14/08/18,1.9847317840993173,1.9888628460520383,1
15/08/18,1.9850341250082417,1.989010358024859,1
16/08/18,1.9853304789684745,1.9891559161967152,1
17/08/18,1.9856209645334553,1.9892995464457652,1
20/08/18,1.9661037177110106,1.976196241194828,1
21/08/18,1.9469729510236637,1.9632664896558236,1
22/08/18,1.9282210113994327,1.950507993104091,1
23/08/18,1.9098403973123153,1.9379184832616527,1
24/08/18,1.8918237557813784,1.9254957218939488,1
27/08/18,1.8939658596272917,1.9264825335244926,1
28/08/18,1.8960655455752662,1.9274562748023139,1
29/08/18,1.878321673385657,1.9151720857320846,1
30/08/18,1.8807311451998023,1.9162956342654345,1
31/08/18,1.8830929047007963,1.9174043013612565,1
03/09/18,1.8854078966869192,1.9184982841246836,1
04/09/18,1.8876770472475743,1.9195777770501845,1
05/09/18,1.870099283935741,1.9073979389435596,1
06/09/18,1.8528695951449343,1.8953794231959629,1
07/09/18,1.835981088310381,1.883520093087407,1
10/09/18,1.81942700735374,1.8718178401988321,1
11/09/18,1.8032007299803985,1.8602705840372582,1
12/09/18,1.7872957650302916,1.8488762716659037,1
13/09/18,1.771705749881177,1.837632877339203,1
14/09/18,1.7762264281013518,1.83978343525524,1
17/09/18,1.780657587940929,1.8419055089604686,1
18/09/18,1.7850010020411087,1.843999475729204,1
19/09/18,1.7892584079412848,1.846065707838751,1
20/09/18,1.7934315087741306,1.8481045726355887,1
21/09/18,1.7975219739469201,1.8501164326006803,1
24/09/18,1.8015314398093574,1.8521016454139163,1
25/09/18,1.805461510308182,1.8540605640177055,1
26/09/18,1.809313757628812,1.8559935366797227,1
27/09/18,1.813089722824281,1.8579009070548256,1
28/09/18,1.816790916431721,1.8597830142461524,1
01/10/18,1.8204188190766375,1.8616401928654087,1
02/10/18,1.8239748820652188,1.863472773092357,1
03/10/18,1.8274605279649174,1.8652810807335178,1
04/10/18,1.830877151173533,1.8670654372800937,1
05/10/18,1.8342261184770272,1.8688261599651255,1
08/10/18,1.837508769596294,1.870563561819892,1
09/10/18,1.8407264177231,1.8722779517295622,1
10/10/18,1.8438803500454148,1.8739696344881112,1
11/10/18,1.8469718282623373,1.8756389108525071,1
12/10/18,1.8500020890888256,1.8772860775961826,1
16/10/18,1.852972344750433,1.878911427561796,1
17/10/18,1.8558837834682462,1.8805152497132953,1
18/10/18,1.8587375699342215,1.8820978291872914,1
19/10/18,1.8615348457771081,1.8836594473437511,1
22/10/18,1.8642767300191456,1.8852003818160192,1
24/10/18,1.8669643195237169,1.886720906560178,1
25/10/18,1.8695986894341383,1.8882212919037518,1
26/10/18,1.8721808936037594,1.8897018045937684,1
29/10/18,1.8747119650175463,1.891162707844182,1
30/10/18,1.8771929162053176,1.8926042613826697,1
31/10/18,1.8796247396467964,1.8940267214968065,1
01/11/18,1.8820084081686421,1.8954303410796303,1
02/11/18,1.8843448753336196,1.896815369674602,1
05/11/18,1.8866350758220627,1.8981820535199714,1
06/11/18,1.8888799258057842,1.8995306355925545,1
07/11/18,1.8910803233145805,1.9008613556509313,1
08/11/18,1.89323714859548,1.9021744502780713,1
09/11/18,1.8953512644648765,1.9034701529233948,1
12/11/18,1.8974235166536908,1.904748693944277,1
13/11/18,1.8994547341456969,1.906010300647002,1
14/11/18,1.9014457295091485,1.907255197327174,1
15/11/18,1.9033972992218386,1.9084836053095957,1
16/11/18,1.905310223989723,1.9096957429876142,1
19/11/18,1.9071852690592335,1.9108918258619505,1
20/11/18,1.9090231845234071,1.9120720665790107,1
21/11/18,1.9108247056219536,1.9132366749686927,1
22/11/18,1.9125905530353802,1.9143858580816902,1
23/11/18,1.9143214331732934,1.9155198202263035,1
26/11/18,1.9160180384569905,1.916638763004763,1
27/11/18,1.917681047596456,1.9177428853490708,1
28/11/18,1.9193111258618727,1.9188323835563679,0
29/11/18,1.9209089253497564,1.9199074513238332,0
30/11/18,1.9224750852438206,1.9209682797831202,0
03/12/18,1.9240102320706756,1.922015057534337,0
04/12/18,1.925514979950464,1.9230479706795778,0
06/12/18,1.926989930842534,1.9240672028560073,0
07/12/18,1.9284356747862461,1.9250729352685105,0
11/12/18,1.9298527901370135,1.9260653467219078,0
12/12/18,1.9312418437976666,1.9270446136527435,0
13/12/18,1.9326033914452376,1.9280109101606542,0
14/12/18,1.9339379777532528,1.9289644080393211,0
17/12/18,1.935246136609624,1.9299052768070122,0
18/12/18,1.9365283913302256,1.9308336837367206,0
19/12/18,1.9377852548682408,1.9317497938859032,0
20/12/18,1.9390172300193649,1.932653770125825,0
21/12/18,1.9402248096229417,1.9335457731705161,0
24/12/18,1.941408476759121,1.9344259616053436,0
25/12/18,1.9425687049421088,1.9352944919152066,0
26/12/18,1.9437059583095917,1.9361515185123561,0
27/12/18,1.9250187116103918,1.9237521606512653,0
28/12/18,1.9265034895983049,1.924762065808202,0
02/01/19,1.9279588660419027,1.9257585947378948,0
03/01/19,1.909583442951964,1.9134968914963333,1
04/01/19,1.9113738698242024,1.9146426280328057,1
07/01/19,1.893326862500951,1.9025281561383314,1
08/01/19,1.8954392018573678,1.9038191739378236,1
09/01/19,1.8777077325136575,1.8918480590512299,1
10/01/19,1.880129361572793,1.8932805350902864,1
11/01/19,1.8825030375812526,1.8946940379367727,1
14/01/19,1.8650277299063762,1.8828437857786697,1
15/01/19,1.8478984679280321,1.8711504906027934,1
16/01/19,1.8509103794542097,1.8728571066212993,1
17/01/19,1.8538626491679877,1.8745411184541299,1
18/01/19,1.8369544778973346,1.8629577923818896,1
21/01/19,1.8203811218993675,1.8515278878470303,1
22/01/19,1.804135951168687,1.8402493727762086,1
23/01/19,1.8080144471851487,1.8423652751235435,1
24/01/19,1.8118161413002942,1.8444531522742251,1
25/01/19,1.8155425543438528,1.8465133754229108,1
28/01/19,1.8191951770301131,1.8485463108477729,1
29/01/19,1.8029734903562495,1.8373072868630342,1
30/01/19,1.8068750053987,1.8394621572357093,1
31/01/19,1.8106992627175376,1.841588486278945,1
01/02/19,1.8144477921686755,1.8436866520235946,1
04/02/19,1.8181220933138502,1.8457570274934807,1
05/02/19,1.8217236360205067,1.8477999807717127,1
06/02/19,1.8252538610498037,1.849815875066127,1
07/02/19,1.8287141806329759,1.8518050687738605,1
08/02/19,1.8321059790362832,1.8537679155450677,1
11/02/19,1.8354306131147726,1.8557047643457953,1
12/02/19,1.8386894128550741,1.8576159595200232,1
13/02/19,1.8418836819074489,1.8595018408508839,1
14/02/19,1.8450146981073015,1.861362743621071,1
15/02/19,1.8480837139863648,1.8631989986724475,1
18/02/19,1.8510919572737636,1.8650109324648654,1
20/02/19,1.8540406313871545,1.8667988671342048,1
21/02/19,1.8569309159141416,1.8685631205496458,1
22/02/19,1.8597639670841586,1.8703040063701803,1
25/02/19,1.8625409182310069,1.8720218341003767,1
26/02/19,1.8652628802462345,1.873716909145405,1
27/02/19,1.8679309420235368,1.8753895328653334,1
28/02/19,1.8705461708943578,1.8770400026287064,1
01/03/19,1.8731096130548657,1.8786686118654123,1
04/03/19,1.8756222939844722,1.8802756501188507,1
05/03/19,1.8780852188560668,1.881861403097409,1
06/03/19,1.880499372938125,1.8834261527252578,1
07/03/19,1.8828657219888552,1.884970177192473,1
08/03/19,1.8851852126425412,1.8864937510044932,1
11/03/19,1.8874587727882335,1.8879971450309239,1
12/03/19,1.869885331742922,1.8762355934411103,1
13/03/19,1.8526598796292009,1.8646298239915593,1
14/03/19,1.8357755255771375,1.8531777733426644,1
15/03/19,1.8192255151696695,1.8418774054838212,1
18/03/19,1.8030032277405672,1.8307267113714527,1
19/03/19,1.7871021737259025,1.8197237085718307,1
20/03/19,1.771515992067964,1.8088664409086277,1
21/03/19,1.7562384476705786,1.798152978115136,1
22/03/19,1.7412634289048246,1.7875814154910945,1
25/03/19,1.7265849451641349,1.77714987356406,1
26/03/19,1.7121971244678154,1.7668564977552645,1
27/03/19,1.698094211112017,1.756699458049897,1
28/03/19,1.6842705633672246,1.7466769486717526,1
29/03/19,1.6707206512213388,1.736787187762193,1
01/04/19,1.6574390541674509,1.727028417063356,1
02/04/19,1.644420459035422,1.7173989016055633,1
03/04/19,1.6316596578664038,1.707896929398867,1
04/04/19,1.6191515458294452,1.6985208111286834,1
05/04/19,1.6068911191793571,1.6892688798554558,1
09/04/19,1.5948734732550134,1.6801394907182974,1
10/04/19,1.5830938005172903,1.6711310206425583,1
11/04/19,1.5715473886258589,1.662241868051266,1
12/04/19,1.5602296185540596,1.6534704525803883,1
17/04/19,1.5491359627411079,1.6448152147978665,1
18/04/19,1.538261983280888,1.6362746159263717,1
19/04/19,1.527603330146613,1.627847137569731,1
22/04/19,1.5171557394506405,1.6195312814429796,1
23/04/19,1.5069150317387467,1.6113255691059865,1
24/04/19,1.4968771103181775,1.6032285417006091,1
25/04/19,1.4870379596188077,1.5952387596913296,1
26/04/19,1.477393643586752,1.5873548026093252,1
29/04/19,1.4679403041097867,1.57957526879993,1
30/04/19,1.4586741594739494,1.571898775173441,1
02/05/19,1.449591502850703,1.5643239569592233,1
03/05/19,1.4406887008140554,1.5568494674630746,1
07/05/19,1.4319621918870444,1.5494739778278022,1
08/05/19,1.423408485117004,1.5421961767969703,1
09/05/19,1.4150241586790435,1.5350147704817787,1
10/05/19,1.4068058585071812,1.5279284821310266,1
13/05/19,1.3987502969525836,1.5209360519041255,1
14/05/19,1.390854251468374,1.5140362366471172,1
15/05/19,1.3831145633204853,1.5072278096716587,1
16/05/19,1.3755281363240401,1.5005095605369347,1
17/05/19,1.3680919356047523,1.4938802948344587,1
21/05/19,1.3608029863848563,1.487338833975724,1
22/05/19,1.3536583727930769,1.480884014982668,1
23/05/19,1.3466552366981646,1.474514690280911,1
24/05/19,1.3397907765655277,1.4682297274957334,1
27/05/19,1.3330622463365074,1.462028009250757,1
28/05/19,1.326466954329844,1.45590843296929,1
29/05/19,1.3200022621648966,1.449869910678306,1
30/05/19,1.3136655837061857,1.4439113688150171,1
31/05/19,1.3074543840288355,1.4380317480360103,1
04/06/19,1.301366178404502,1.4322300030289108,1
05/06/19,1.2953985313073832,1.4265051023265412,1
06/06/19,1.2895490554399103,1.4208560281235405,1
07/06/19,1.2838154107777338,1.4152817760954142,1
10/06/19,1.2781953036336202,1.4097813552199783,1
11/06/19,1.2726864857398852,1.4043537876011707,1
12/06/19,1.2672867533489964,1.398998108295195,1
13/06/19,1.2619939463519867,1.3937133651389673,1
14/06/19,1.2568059474143236,1.3884986185808352,1
17/06/19,1.2517206811288915,1.3833529415135395,1
18/06/19,1.246736113185745,1.3782754191093867,1
19/06/19,1.2418502495583046,1.3732651486576066,1
20/06/19,1.237061135705665,1.3683212394038635,1
21/06/19,1.2323668557907013,1.3634428123918918,1
24/06/19,1.2277655319136578,1.358629000307231,1
25/06/19,1.223255323360912,1.3538789473230293,1
26/06/19,1.2188344258686168,1.3491918089478898,1
27/06/19,1.2145010709009214,1.3445667518757323,1
28/06/19,1.2102535249424873,1.340002953837643,1
01/07/19,1.2060900888050123,1.3354996034556874,1
02/07/19,1.2020090969474873,1.3310559000986584,1
03/07/19,1.1980089168099133,1.3266710537397357,1
04/07/19,1.194087948160212,1.3223442848160305,1
05/07/19,1.1902446224540693,1.3180748240899904,1
08/07/19,1.186477402207454,1.3138619125126396,1
09/07/19,1.1827847803815639,1.3097048010886312,1
10/07/19,1.1791652797799488,1.3056027507430863,1
11/07/19,1.1756174524575735,1.3015550321901976,1
12/07/19,1.172139879141582,1.2975609258035725,1
15/07/19,1.1687311686635309,1.2936197214882934,1
17/07/19,1.165389957402867,1.2897307185546736,1
18/07/19,1.162114908741424,1.2858932255936846,1
19/07/19,1.1589047125287226,1.2821065603540331,1
22/07/19,1.1557580845578568,1.2783700496208672,1
23/07/19,1.1526737660517605,1.2746830290960875,1
24/07/19,1.1496505231596466,1.2710448432802453,1
25/07/19,1.1466871464634159,1.2674548453560035,1
26/07/19,1.1437824504938432,1.2639123970731425,1
30/07/19,1.1409352732563414,1.2604168686350876,1
31/07/19,1.1381444757661168,1.2569676385869408,1
01/08/19,1.1354089415925304,1.2535640937049946,1
02/08/19,1.1327275764124802,1.25020562888771,1
05/08/19,1.130099307572629,1.2468916470481377,1
06/08/19,1.1275230836602999,1.243621559007765,1
07/08/19,1.124997874082868,1.2403947833917681,1
08/08/19,1.1225226686554846,1.2372107465256519,1
09/08/19,1.1200964771969601,1.234068882333259,1
13/08/19,1.117718329133654,1.2309686322361297,1
14/08/19,1.1153872731112056,1.2279094450541943,1
15/08/19,1.113102376613954,1.224890776907781,1
16/08/19,1.1108627255918955,1.221912091120923,1
19/08/19,1.1086674240950263,1.2189728581259438,1
20/08/19,1.1065155939149267,1.2160725553693088,1
21/08/19,1.1044063742334431,1.213210667218722,1
22/08/19,1.1023389212783254,1.2103866848714542,1
23/08/19,1.1003124079856854,1.2076001062638853,1
26/08/19,1.0983260236691372,1.2048504359822443,1
27/08/19,1.096378973695491,1.2021371851745324,1
28/08/19,1.0944704791668673,1.1994598714636113,1
29/08/19,1.0925997766091076,1.1968180188614443,1
30/08/19,1.090766117666353,1.1942111576844716,1
02/09/19,1.0889687688016727,1.1916388244701077,1
03/09/19,1.0872070110036198,1.1891005618943447,1
04/09/19,1.0854801394985976,1.186595918690446,1
05/09/19,1.0837874634689224,1.1841244495687182,1
06/09/19,1.0821283057764686,1.1816857151373446,1
09/09/19,1.080502002691786,1.1792792818242672,1
10/09/19,1.0789079036285822,1.1769047218001047,1
11/09/19,1.0773453708834617,1.1745616129020902,1
12/09/19,1.075813779380819,1.1722495385590161,1
13/09/19,1.074312516422783,1.169968087717175,1
16/09/19,1.072840981444114,1.1677168547672787,1
17/09/19,1.0713985857719532,1.1654954394723478,1
18/09/19,1.0699847523903303,1.163303446896555,1
19/09/19,1.0685989157093336,1.1611404873350113,1
20/09/19,1.0672405213388518,1.1590061762444814,1
23/09/19,1.0659090258667954,1.156900134175018,1
24/09/19,1.0646038966417104,1.1548219867025011,1
25/09/19,1.0633246115596964,1.1527713643620707,1
26/09/19,1.062070658855544,1.1507479025824408,1
27/09/19,1.0608415368980084,1.1487512416210839,1
30/09/19,1.059636753989137,1.146781026500275,1
01/10/19,1.0584558281675698,1.1448369069439799,1
02/10/19,1.0572982870157368,1.1429185373155828,1
03/10/19,1.0561636674708708,1.141025576556436,1
04/10/19,1.0550515156397644,1.139157688125225,1
07/10/19,1.0539613866171949,1.137314539938136,1
08/10/19,1.0528928443079435,1.1354958043098162,1
09/10/19,1.0518454612523407,1.1337011578951166,1
10/10/19,1.0508188184552647,1.131930281631605,1
11/10/19,1.0498125052185268,1.1301828606828421,1
15/10/19,1.0488261189765757,1.128458584382407,1
16/10/19,1.0478592651354555,1.1267571461786665,1
17/10/19,1.0469115569149514,1.1250782435802735,1
18/10/19,1.0459826151938634,1.123421578102389,1
21/10/19,1.0450720683583414,1.1217868552136157,1
22/10/19,1.0441795521532258,1.120173784283634,1
24/10/19,1.0433047095363301,1.1185820785315328,1
25/10/19,1.0424471905356107,1.1170114549748238,1
28/10/19,1.041606652109163,1.1154616343791308,1
29/10/19,1.0407827580079914,1.1139323412085462,1
30/10/19,1.0399751786414966,1.1124233035766449,1
31/10/19,1.0391835909456253,1.1109342531981463,1
01/11/19,1.0384076782536327,1.1094649253412172,1
04/11/19,1.0376471301694024,1.1080150587804063,1
05/11/19,1.0369016424432755,1.1065843957502022,1
06/11/19,1.0361709168503395,1.105172681899206,1
07/11/19,1.0354546610711248,1.103779666244912,1
08/11/19,1.034752588574667,1.1024051011290854,1
11/11/19,1.0340644185038814,1.1010487421737334,1
12/11/19,1.0333898755632105,1.0997103482376573,1
13/11/19,1.0327286899084935,1.0983896813735825,1
14/11/19,1.0320805970390183,1.0970865067858528,1
15/11/19,1.031445337691711,1.0958005927886891,1
18/11/19,1.0308226577374198,1.094531710764998,1
19/11/19,1.0302123080792531,1.0932796351257263,1
20/11/19,1.0296140445529314,1.0920441432697565,1
21/11/19,1.029027627829111,1.0908250155443293,1
22/11/19,1.0284528233176435,1.0896220352059938,1
25/11/19,1.0278894010737298,1.0884349883820734,1
26/11/19,1.027337135705933,1.087263664032642,1
27/11/19,1.0267958062860136,1.0861078539130045,1
28/11/19,1.026265196260548,1.0849673525366732,1
29/11/19,1.0257450933642995,1.0838419571388365,1
02/12/19,1.0252352895353034,1.0827314676403088,1
03/12/19,1.024735580831634,1.0816356866119603,1
04/12/19,1.0242457673498195,1.0805544192396164,1
06/12/19,1.0237656531448727,1.0794874732894228,1
09/12/19,1.0232950461519048,1.0784346590736689,1
11/12/19,1.0228337581092928,1.077395789417064,1
12/12/19,1.0223816044833662,1.0763706796234604,1
13/12/19,1.0219384043945867,1.0753591474430173,1
16/12/19,1.0215039805451889,1.0743610130397985,1
17/12/19,1.0210781591482545,1.0733760989598011,1
18/12/19,1.02066076985819,1.0724042300994063,1
19/12/19,1.0202516457025823,1.0714452336742486,1
20/12/19,1.0198506230154025,1.070498939188497,1
23/12/19,1.0194575413715332,1.0695651784045432,1
24/12/19,1.019072243522592,1.0686437853130923,1
25/12/19,1.018694575334026,1.0677345961036475,1
26/12/19,1.0183243857234512,1.0668374491353874,1
27/12/19,1.0179615266002144,1.0659521849084286,1
30/12/19,1.0176058528061507,1.0650786460354693,1
02/01/20,1.017257222057514,1.0642166772138075,1
03/01/20,1.0169154948880583,1.0633661251977307,1
06/01/20,1.0165805345932453,1.0625268387712707,1
07/01/20,1.0162522071755573,1.0616986687213201,1
08/01/20,1.0159303812908929,1.060881467811104,1
09/01/20,1.0156149281960236,1.0600750907540033,1
10/01/20,1.0153057216970924,1.0592793941877252,1
13/01/20,1.0150026380991302,1.058494236648815,1
14/01/20,1.0147055561565732,1.0577194785475061,1
15/01/20,1.01441435702476,1.0569549821429034,1
16/01/20,1.0141289242123883,1.056200611518494,1
17/01/20,1.0138491435349153,1.0554562325579842,1
20/01/20,1.0135749030688774,1.0547217129214546,1
21/01/20,1.0133060931071174,1.0539969220218326,1
22/01/20,1.0130426061148972,1.0532817310016758,1
23/01/20,1.0127843366868794,1.0525760127102628,1
24/01/20,1.012531181504961,1.0518796416809877,1
27/01/20,1.012283039296942,1.051192494109054,1
28/01/20,1.0120398107960125,1.050514447829464,1
29/01/20,1.011801398701042,1.049845382295299,1
30/01/20,1.011567707637655,1.0491851785562882,1
31/01/20,1.0113386441200778,1.0485337192376618,1
03/02/20,1.0111141165137396,1.0478908885192821,1
04/02/20,1.010894034998616,1.0472565721150533,1
05/02/20,1.010678311533297,1.0466306572526023,1
06/02/20,1.0104668598197664,1.04601303265323,1
07/02/20,1.01025959526888,1.0454035885121276,1
11/02/20,1.010056434966526,1.0448022164788544,1
12/02/20,1.009857297640456,1.0442088096380748,1
13/02/20,1.0096621036277738,1.0436232624905506,1
14/02/20,1.0094707748430654,1.0430454709343844,1
17/02/20,1.009283234747163,1.0424753322465117,1
18/02/20,1.0090994083165261,1.0419127450644388,1
19/02/20,1.0089192220132286,1.041357609368221,1
20/02/20,1.008742603755541,1.0408098264626817,1
21/02/20,1.0085694828890945,1.0402692989598648,1
24/02/20,1.0083997901586175,1.0397359307617209,1
25/02/20,1.008233457680229,1.0392096270430227,1
26/02/20,1.008070418914284,1.0386902942345058,1
27/02/20,1.0079106086387535,1.0381778400062343,1
28/02/20,1.0077539629231347,1.0376721732511849,1
02/03/20,1.0076004191028747,1.03717320406905,1
03/03/20,1.0074499157543029,1.0366808437502546,1
04/03/20,1.0073023926700593,1.0361950047601851,1
05/03/20,1.0071577908350087,1.0357156007236263,1
