date,indy1,indy2,check
03/01/18,0,50,1
04/01/18,0,50,1
05/01/18,0,50,1
08/01/18,0,50,1
09/01/18,0,50,1
10/01/18,0,50,1
11/01/18,0,50,1
12/01/18,0,50,1
15/01/18,0,50,1
16/01/18,0,50,1
17/01/18,0,50,1
18/01/18,0,50,1
19/01/18,0,50,1
22/01/18,0,50,1
23/01/18,46.15,50,1
24/01/18,46.15,50,1
25/01/18,42.37,50,1
26/01/18,42.37,50,1
29/01/18,42.37,50,1
30/01/18,42.37,50,1
31/01/18,42.37,50,1
01/02/18,42.37,50,1
02/02/18,42.37,50,1
05/02/18,42.37,50,1
06/02/18,42.37,50,1
07/02/18,42.37,50,1
08/02/18,42.37,50,1
09/02/18,57.94,50,0
12/02/18,57.94,50,0
13/02/18,63.64,50,0
14/02/18,63.64,50,0
15/02/18,63.64,50,0
16/02/18,68.9,50,0
19/02/18,59.61,50,0
20/02/18,59.61,50,0
21/02/18,59.61,50,0
22/02/18,51.02,50,0
23/02/18,57.6,50,0
26/02/18,57.6,50,0
27/02/18,57.6,50,0
28/02/18,57.6,50,0
02/03/18,48.78,50,1
05/03/18,56.03,50,0
06/03/18,56.03,50,0
07/03/18,62.23,50,0
08/03/18,54.03,50,0
09/03/18,59.74,50,0
12/03/18,64.49,50,0
13/03/18,64.49,50,0
14/03/18,64.49,50,0
15/03/18,64.49,50,0
16/03/18,64.49,50,0
19/03/18,69.68,50,0
20/03/18,69.68,50,0
21/03/18,59.59,50,0
22/03/18,59.59,50,0
23/03/18,59.59,50,0
26/03/18,70.32,50,0
27/03/18,70.32,50,0
28/03/18,70.32,50,0
29/03/18,70.32,50,0
30/03/18,74.82,50,0
02/04/18,74.82,50,0
03/04/18,63.64,50,0
04/04/18,54.81,50,0
05/04/18,60.68,50,0
09/04/18,69.28,50,0
10/04/18,69.28,50,0
11/04/18,61.48,50,0
12/04/18,61.48,50,0
17/04/18,61.48,50,0
18/04/18,53.91,50,0
19/04/18,53.91,50,0
20/04/18,53.91,50,0
23/04/18,53.91,50,0
24/04/18,53.91,50,0
25/04/18,45.74,50,1
26/04/18,45.74,50,1
27/04/18,53.85,50,0
30/04/18,53.85,50,0
02/05/18,60.67,50,0
03/05/18,60.67,50,0
04/05/18,60.67,50,0
07/05/18,66.79,50,0
08/05/18,66.79,50,0
09/05/18,56.57,50,0
10/05/18,48.57,50,1
11/05/18,48.57,50,1
14/05/18,55.82,50,0
15/05/18,48.46,50,1
16/05/18,48.46,50,1
17/05/18,48.46,50,1
18/05/18,55.75,50,0
21/05/18,61.59,50,0
22/05/18,47.95,50,1
23/05/18,57.97,50,0
24/05/18,52.53,50,0
25/05/18,56.89,50,0
28/05/18,51.77,50,0
30/05/18,47.19,50,1
31/05/18,47.19,50,1
01/06/18,52.1,50,0
04/06/18,63.17,50,0
05/06/18,63.17,50,0
06/06/18,63.17,50,0
07/06/18,63.17,50,0
08/06/18,63.17,50,0
11/06/18,56.83,50,0
12/06/18,56.83,50,0
13/06/18,61.33,50,0
14/06/18,55.14,50,0
15/06/18,55.14,50,0
18/06/18,49.36,50,1
19/06/18,49.36,50,1
20/06/18,49.36,50,1
21/06/18,49.36,50,1
22/06/18,43.26,50,1
25/06/18,43.26,50,1
26/06/18,50.37,50,0
27/06/18,50.37,50,0
28/06/18,39.03,50,1
29/06/18,39.03,50,1
02/07/18,30.94,50,1
03/07/18,37.87,50,1
04/07/18,37.87,50,1
05/07/18,37.87,50,1
06/07/18,44.79,50,1
09/07/18,44.79,50,1
10/07/18,44.79,50,1
11/07/18,44.79,50,1
12/07/18,38.96,50,1
13/07/18,46.47,50,1
16/07/18,46.47,50,1
17/07/18,46.47,50,1
18/07/18,40.28,50,1
19/07/18,40.28,50,1
