date,indy1,indy2,check
03/01/18,0,50,1
04/01/18,0,50,1
05/01/18,0,50,1
08/01/18,0,50,1
09/01/18,0,50,1
10/01/18,0,50,1
11/01/18,0,50,1
12/01/18,0,50,1
15/01/18,0,50,1
16/01/18,0,50,1
17/01/18,0,50,1
18/01/18,0,50,1
19/01/18,0,50,1
22/01/18,0,50,1
23/01/18,36.84,50,1
24/01/18,34.87,50,1
25/01/18,34.87,50,1
26/01/18,47.84,50,1
29/01/18,47.84,50,1
30/01/18,42.89,50,1
31/01/18,40.62,50,1
01/02/18,46.69,50,1
02/02/18,42.06,50,1
05/02/18,38,50,1
06/02/18,38,50,1
07/02/18,41.29,50,1
08/02/18,37.06,50,1
09/02/18,37.06,50,1
12/02/18,37.06,50,1
13/02/18,37.06,50,1
14/02/18,44.68,50,1
15/02/18,41.95,50,1
16/02/18,45.53,50,1
19/02/18,48.93,50,1
20/02/18,48.93,50,1
21/02/18,45.63,50,1
22/02/18,39.84,50,1
23/02/18,43.69,50,1
26/02/18,55.85,50,0
27/02/18,47.56,50,1
28/02/18,52.61,50,0
02/03/18,43.57,50,1
05/03/18,41.64,50,1
06/03/18,41.64,50,1
07/03/18,37.76,50,1
08/03/18,40.73,50,1
09/03/18,38.74,50,1
12/03/18,44.58,50,1
13/03/18,47.28,50,1
14/03/18,49.91,50,1
15/03/18,47.37,50,1
16/03/18,47.37,50,1
19/03/18,44.72,50,1
20/03/18,39.92,50,1
21/03/18,39.92,50,1
22/03/18,39.92,50,1
23/03/18,37.41,50,1
26/03/18,37.41,50,1
27/03/18,37.41,50,1
28/03/18,34.69,50,1
29/03/18,26.41,50,1
30/03/18,30.85,50,1
02/04/18,35.07,50,1
03/04/18,31,50,1
04/04/18,29.17,50,1
05/04/18,37.14,50,1
09/04/18,40.74,50,1
10/04/18,36.27,50,1
11/04/18,43,50,1
12/04/18,46.07,50,1
17/04/18,43.54,50,1
18/04/18,49.5,50,1
19/04/18,52.21,50,0
20/04/18,46.8,50,1
23/04/18,46.8,50,1
24/04/18,44.14,50,1
25/04/18,39.33,50,1
26/04/18,45.7,50,1
27/04/18,48.61,50,1
30/04/18,51.41,50,0
02/05/18,48.56,50,1
03/05/18,51.46,50,0
04/05/18,51.46,50,0
07/05/18,57.06,50,0
08/05/18,57.06,50,0
09/05/18,50.32,50,0
10/05/18,42.25,50,1
11/05/18,39.96,50,1
14/05/18,39.96,50,1
15/05/18,35.48,50,1
16/05/18,30.04,50,1
17/05/18,39.95,50,1
18/05/18,39.95,50,1
21/05/18,39.95,50,1
22/05/18,39.95,50,1
23/05/18,37.57,50,1
24/05/18,35.3,50,1
25/05/18,42.75,50,1
28/05/18,49.07,50,1
30/05/18,51.92,50,0
31/05/18,54.66,50,0
01/06/18,41.83,50,1
04/06/18,44.63,50,1
05/06/18,40.44,50,1
06/06/18,45.91,50,1
07/06/18,45.91,50,1
08/06/18,43.59,50,1
11/06/18,46.5,50,1
12/06/18,44.05,50,1
13/06/18,39.56,50,1
14/06/18,32.44,50,1
15/06/18,35.56,50,1
18/06/18,30.94,50,1
19/06/18,28.3,50,1
20/06/18,39.43,50,1
21/06/18,35.04,50,1
22/06/18,39.85,50,1
25/06/18,35.59,50,1
26/06/18,37.97,50,1
27/06/18,36.52,50,1
28/06/18,36.52,50,1
29/06/18,36.52,50,1
02/07/18,30.66,50,1
03/07/18,36.17,50,1
04/07/18,32.06,50,1
05/07/18,29.63,50,1
06/07/18,28.47,50,1
09/07/18,31.36,50,1
10/07/18,45.57,50,1
11/07/18,47.52,50,1
12/07/18,47.52,50,1
13/07/18,45.63,50,1
16/07/18,49.93,50,1
17/07/18,49.93,50,1
18/07/18,47.74,50,1
19/07/18,50.1,50,0
