date,indy1,indy2,check
03/01/18,0,0,0
04/01/18,0,0,0
05/01/18,0,0,0
08/01/18,0,0,0
09/01/18,0,0,0
10/01/18,0,0,0
11/01/18,0,0,0
12/01/18,0,0,0
15/01/18,0,0,0
16/01/18,4,0,0
17/01/18,4,0,0
18/01/18,4,0,0
19/01/18,4,0,0
22/01/18,4,0,0
23/01/18,4,4,0
24/01/18,4,4,0
25/01/18,4,4,0
26/01/18,4,4,0
29/01/18,4,4,0
30/01/18,4,4,0
31/01/18,4,4,0
01/02/18,4,4,0
02/02/18,4,4,0
05/02/18,4,4,0
06/02/18,4,4,0
07/02/18,4,4,0
08/02/18,4,4,0
09/02/18,4,4,0
12/02/18,4,4,0
13/02/18,4,4,0
14/02/18,4,4,0
15/02/18,4,4,0
16/02/18,4,4,0
19/02/18,4,4,0
20/02/18,4,4,0
21/02/18,4,4,0
22/02/18,4,4,0
23/02/18,4,4,0
26/02/18,4,4,0
27/02/18,4,4,0
28/02/18,4,4,0
02/03/18,4,4,0
05/03/18,4,4,0
06/03/18,3.98019801980198,3.986754966887417,1
07/03/18,3.960788158023723,3.973685364676988,1
08/03/18,3.9615646301420653,3.974033902893187,1
09/03/18,3.942523746376876,3.9611327915965884,1
12/03/18,3.9238599098149574,3.9484025559463025,1
13/03/18,3.9253676343730772,3.949085965801318,1
14/03/18,3.926845502999353,3.949760323870175,1
15/03/18,3.928294106900356,3.95042575004408,1
16/03/18,3.9297140255755965,3.9510823626262774,1
19/03/18,3.911303846851327,3.938485245240499,1
20/03/18,3.8932582261215978,3.9260549770916184,1
21/03/18,3.8953719246142393,3.9270343813685504,1
22/03/18,3.8974437676911853,3.928000813403404,1
23/03/18,3.8994745841725478,3.928954445013955,1
26/03/18,3.881663206268141,3.9166504126296644,1
27/03/18,3.8642045289162965,3.9045093475617216,1
28/03/18,3.847091567947657,3.892529091302626,1
29/03/18,3.830317477493248,3.880707513934379,1
30/03/18,3.813875547245857,3.8690425137498177,1
02/04/18,3.797759199775642,3.857532016878959,1
03/04/18,3.7819619878988964,3.8461739769202974,1
04/04/18,3.7664775920989184,3.834966374576982,1
05/04/18,3.7512998179979498,3.823907217297817,1
09/04/18,3.7364225938791784,3.8129945389230113,1
10/04/18,3.7218399682578087,3.8022263993346272,1
11/04/18,3.7075461075002285,3.791600884111652,1
12/04/18,3.693535293490323,3.7811161041896435,1
17/04/18,3.679801921342,3.77077019552488,1
18/04/18,3.6663404971570097,3.760561318762961,1
19/04/18,3.653145635827168,3.750487658911796,1
20/04/18,3.6600140390781153,3.753792458131507,1
23/04/18,3.6469444541458755,3.7438084520635404,1
24/04/18,3.6341336728756604,3.73395668448654,1
25/04/18,3.621576570442479,3.7242354038973144,1
26/04/18,3.609268123503024,3.7146428819913897,1
27/04/18,3.5972034081861324,3.705177413355742,1
30/04/18,3.5853775981230407,3.6958373151656,1
02/05/18,3.5935879427146635,3.6998659599978434,1
03/05/18,3.6016357062252644,3.703841245295885,1
04/05/18,3.60952410808219,3.7077638778085222,1
07/05/18,3.6172563039617502,3.7116345549236414,1
08/05/18,3.6050334068535967,3.70220893167962,1
09/05/18,3.5930525473119412,3.692908151127572,1
10/05/18,3.6011109127117047,3.6969755928344914,1
11/05/18,3.6090097065193936,3.7009891611413193,1
14/05/18,3.6167520885685143,3.7049495696030235,1
15/05/18,3.624341156121613,3.7088575223235134,1
16/05/18,3.6317799451093036,3.712713714080818,1
17/05/18,3.639071431344763,3.7165188304506085,1
18/05/18,3.6462185317141738,3.720273547928084,1
21/05/18,3.653224105343596,3.723978534048242,1
22/05/18,3.6600909547427327,3.7276344475045566,1
23/05/18,3.666821826926045,3.7312419382660855,1
24/05/18,3.673419414511668,3.7348016476930246,1
25/05/18,3.6798863567985656,3.738314208650733,1
28/05/18,3.686225240822356,3.7417802456222464,1
30/05/18,3.6924386023902303,3.745200374819303,1
31/05/18,3.6985289270953743,3.7485752042918947,1
01/06/18,3.7044986513113076,3.751905334036373,1
04/06/18,3.710350163166529,3.7551913561021166,1
05/06/18,3.7160858034998654,3.7584338546967904,1
06/06/18,3.7217078667968977,3.76163340629021,1
07/06/18,3.7272186021078504,3.7647905797168297,1
08/06/18,3.732620213947299,3.767905936276872,1
11/06/18,3.7379148631760652,3.7709800298361187,1
12/06/18,3.7431046678656483,3.774013406924382,1
13/06/18,3.7481917041455364,3.777006606832668,1
14/06/18,3.7531780070337435,3.779960161709057,1
15/06/18,3.758065571250897,3.7828745966533077,1
18/06/18,3.762856352018206,3.7857504298102174,1
19/06/18,3.7477502856416076,3.7753431393491548,1
20/06/18,3.752745329490289,3.778318726907444,1
21/06/18,3.7378394813815703,3.7680098695974116,1
22/06/18,3.743030778779955,3.7710825865563864,1
25/06/18,3.7283172980120347,3.760869572164911,1
26/06/18,3.713895173298925,3.75079182948723,1
27/06/18,3.6997586352137977,3.740847566845015,1
28/06/18,3.6859020285759008,3.731035016290776,1
29/06/18,3.672319810188259,3.7213524332935473,1
02/07/18,3.6590065466201747,3.711798096428732,1
03/07/18,3.6459569120336366,3.70237030707206,1
04/07/18,3.6331656860527723,3.6930673890975956,1
05/07/18,3.6206277516754897,3.6838876885797465,1
06/07/18,3.60833809322647,3.67482957349922,1
09/07/18,3.5962917943506985,3.665891433452873,1
10/07/18,3.584484036046724,3.6570716793674043,1
11/07/18,3.572910094738868,3.648368743216843,1
12/07/18,3.5615653403876033,3.639781077743772,1
13/07/18,3.5702472148353737,3.6445521892968347,1
16/07/18,3.5589551907792276,3.6360150742068105,1
17/07/18,3.567688751357857,3.6408360666014223,1
18/07/18,3.55644738994483,3.632348171679549,1
19/07/18,3.565230609945923,3.637217732319555,1
20/07/18,3.573839904798479,3.64202279546764,1
23/07/18,3.5822787185648455,3.646764215395221,1
24/07/18,3.590550427108116,3.65144283505886,1
25/07/18,3.5986583394426086,3.6560594862501334,1
26/07/18,3.6066056990576065,3.660614989743509,1
31/07/18,3.594593705016862,3.651865122329688,1
01/08/18,3.6026215524422707,3.6564761803120764,1
02/08/18,3.5906884523939087,3.647781131566221,1
03/08/18,3.5987936315544253,3.652446282141503,1
06/08/18,3.5869363319196843,3.643804609530357,1
07/08/18,3.5753138302975125,3.6352773961590943,1
08/08/18,3.5639214772223142,3.626863126011292,1
09/08/18,3.55275471529712,3.618560303150215,1
10/08/18,3.5418090773704445,3.6103674514528614,1
14/08/18,3.5310801847492477,3.6022831143475256,1
15/08/18,3.5205637454472822,3.594305854554843,1
16/08/18,3.510255552468128,3.5864342538322624,1
17/08/18,3.5001514821222246,3.5786669127219013,1
20/08/18,3.49024749237723,3.5710024503017435,1
21/08/18,3.4805396212410473,3.5634395039401308,1
22/08/18,3.4710239851768683,3.5559767290535067,1
23/08/18,3.4616967775496037,3.5486127988673677,1
24/08/18,3.452554267103077,3.541346404180383,1
27/08/18,3.4435927964673727,3.534176253131636,1
28/08/18,3.4348087806957417,3.5271010709709523,1
29/08/18,3.446000686028499,3.533364632944847,1
30/08/18,3.4569709694734794,3.5395452338329947,1
31/08/18,3.4677240195829153,3.5456439724577233,1
03/09/18,3.478264138007016,3.551661933087422,1
04/09/18,3.4885955412147975,3.5576001856293105,1
05/09/18,3.4789203819828214,3.5502147527070678,1
06/09/18,3.4694368100623696,3.5429271400884312,1
07/09/18,3.4799430118433126,3.548981085252823,1
10/09/18,3.4704391898266134,3.541709812600468,1
11/09/18,3.4611235623052945,3.5345348481951637,1
12/09/18,3.4519924026556845,3.5274549164309894,1
13/09/18,3.462844038246661,3.533713791710049,1
14/09/18,3.473480789964549,3.5398897679787904,1
17/09/18,3.4839069129355478,3.5459839432373497,1
18/09/18,3.494126578025933,3.551997400942815,1
19/09/18,3.504143873510568,3.5579312102018505,1
20/09/18,3.5139628067083786,3.5637864259607666,1
21/09/18,3.5235873055854405,3.5695640891930744,1
24/09/18,3.5330212203263227,3.575265227084557,1
25/09/18,3.5422683248743163,3.5808908532158874,1
26/09/18,3.5513323184411614,3.586441967742829,1
27/09/18,3.560216826986881,3.59191955757405,1
28/09/18,3.568925404670309,3.597324596546579,1
01/10/18,3.577461535270897,3.6026580455989423,1
02/10/18,3.585828633582364,3.607920852942003,1
03/10/18,3.594030046778753,3.613113954227539,1
04/10/18,3.602069055753431,3.6182382727145916,1
05/10/18,3.609948876431581,3.623294719433604,1
08/10/18,3.617672661056698,3.6282841933483905,1
09/10/18,3.625243499451615,3.6332075815159617,1
10/10/18,3.632664420254553,3.638065759244227,1
11/10/18,3.6399383921307007,3.642859590247615,1
12/10/18,3.647068324959796,3.6475899268006264,1
16/10/18,3.654057071000196,3.65225760988936,0
17/10/18,3.660907426029895,3.6568634693610242,0
18/10/18,3.6676221304649466,3.6614083240714743,0
19/10/18,3.67420387045574,3.6658929820307926,0
22/10/18,3.680655278961567,3.670318240546941,0
24/10/18,3.686978936803912,3.6746848863675114,0
25/10/18,3.693177373698884,3.6789936958195972,0
26/10/18,3.6992530692692034,3.6832454349478145,0
29/10/18,3.70520845403615,3.6874408596504926,0
30/10/18,3.71104591039187,3.6915807158140623,0
31/10/18,3.716767773552427,3.6956657394456642,0
01/11/18,3.722376332491983,3.699696656804,0
02/11/18,3.7278738308584782,3.70367418452845,0
05/11/18,3.7332624678711817,3.707599029766484,0
06/11/18,3.738544399200465,3.711471890299378,0
07/11/18,3.743721737830159,3.715293454666274,0
08/11/18,3.748796554902829,3.719064402286588,0
09/11/18,3.7537708805483176,3.7227854035808052,0
12/11/18,3.7586467046958756,3.726457120089669,0
13/11/18,3.763425977870215,3.7300802045917925,0
14/11/18,3.7681106119717946,3.7336553012197156,0
15/11/18,3.77270248104166,3.7371830455744215,0
16/11/18,3.7772034220111323,3.7406640648383362,0
19/11/18,3.7816152354366546,3.744098977886835,0
20/11/18,3.7859396862200874,3.747488395398268,0
21/11/18,3.790178504314739,3.750832919962529,0
22/11/18,3.7943333854174175,3.7541331461881913,0
23/11/18,3.7984059916467756,3.757389660808215,0
26/11/18,3.8023979522082256,3.760603042784265,0
27/11/18,3.8063108640456864,3.763773863409639,0
28/11/18,3.8101462924804252,3.7669026864108357,0
29/11/18,3.8139057718372484,3.7699900680477785,0
30/11/18,3.817590806058293,3.7730365572127087,0
03/12/18,3.8212028693046634,3.776042695527772,0
04/12/18,3.824743406546155,3.779009017441312,0
06/12/18,3.8282138341393006,3.7819360503228836,0
07/12/18,3.831615540393968,3.7848243145570177,0
11/12/18,3.834949886128741,3.787674323635733,0
12/12/18,3.8382182052153007,3.790486584249829,0
13/12/18,3.8414218051120272,3.7932615963789704,0
14/12/18,3.844561967387037,3.7959998533805734,0
17/12/18,3.847639948230858,3.7987018420775196,0
18/12/18,3.8506569789589595,3.8013680428447048,0
19/12/18,3.8536142665043265,3.8039989296944436,0
20/12/18,3.8565129939002802,3.8065949703607425,0
21/12/18,3.85935432075374,3.8091566263824546,0
24/12/18,3.8621393837091116,3.811684353185336,0
25/12/18,3.8648692969029907,3.814178600163014,0
26/12/18,3.8675451524098623,3.8166398107568815,0
27/12/18,3.870168020678974,3.819068422534936,0
28/12/18,3.872738950962559,3.821464867269573,0
02/01/19,3.8752589717355774,3.823829571014347,0
03/01/19,3.8777290911071502,3.8261629541797197,0
04/01/19,3.88015029722384,3.828465431607803,0
07/01/19,3.8825235586649525,3.8307374126461102,0
08/01/19,3.884849824830003,3.832979301220334,0
09/01/19,3.8871300263185176,3.8351914959061575,0
10/01/19,3.8893650753023095,3.837374390000116,0
11/01/19,3.8915558658903824,3.8395283715895183,0
14/01/19,3.8937032744866125,3.8416538236214453,0
15/01/19,3.895808160140343,3.84375112397083,0
16/01/19,3.897871364890039,3.8458206455076405,0
17/01/19,3.8998937141001373,3.847862756163168,0
18/01/19,3.9018760167912236,3.849877818995444,0
21/01/19,3.9038190659636745,3.8518661922537825,0
22/01/19,3.9057236389148886,3.853828229442474,0
23/01/19,3.9075904975502374,3.8557642793836333,0
24/01/19,3.9094203886878565,3.857674686279214,0
25/01/19,3.9112140443574037,3.859559789772205,0
28/01/19,3.9129721820929007,3.8614199250070103,0
29/01/19,3.914695505219774,3.8632554226890368,0
30/01/19,3.916384703136214,3.8650666091434864,0
31/01/19,3.918040451588962,3.866853806373374,0
01/02/19,3.919663412943636,3.868617332116773,0
04/02/19,3.9212542364497027,3.870357499903306,0
05/02/19,3.9228135585002035,3.8720746191098847,0
06/02/19,3.924342002886338,3.873768995015714,0
07/02/19,3.9258401810470045,3.875440928856565,0
08/02/19,3.9273086923134004,3.8770907178783327,0
11/02/19,3.9287481241487785,3.878718655389878,0
12/02/19,3.930159052383456,3.8803250308151775,0
13/02/19,3.93154204144517,3.881910129744778,0
14/02/19,3.9328976445848696,3.883474233986569,0
15/02/19,3.9342264040980406,3.885017621615886,0
18/02/19,3.9355288515416436,3.886540567024947,0
20/02/19,3.9368055079467594,3.8880433409716364,0
21/02/19,3.938056884027022,3.889526210627641,0
22/02/19,3.9392834803829224,3.8909894396259506,0
25/02/19,3.9404857877020723,3.892433288107726,0
26/02/19,3.9416642869554965,3.893858012768551,0
27/02/19,3.9428194495900413,3.8952638669040667,0
28/02/19,3.9439517377169713,3.8966511004550064,0
01/03/19,3.9450616042968334,3.898019960051629,0
04/03/19,3.9461494933206587,3.8993706890575677,0
05/03/19,3.9472158399875763,3.900703527613097,0
06/03/19,3.948261070878911,3.902018712677824,0
07/03/19,3.949285604128834,3.90331647807282,0
08/03/19,3.950289849591629,3.904597054522186,0
11/03/19,3.9512742090056565,3.9058606696940776,0
12/03/19,3.9522390761540596,3.907107548241176,0
13/03/19,3.953184837022296,3.9083379118406305,0
14/03/19,3.954111869952548,3.90955197923347,0
15/03/19,3.9550205457950716,3.91074996626349,0
18/03/19,3.9559112280565554,3.9119320859156295,0
19/03/19,3.9567842730455345,3.913098548353833,0
20/03/19,3.9576400300149297,3.9142495609584183,0
21/03/19,3.958478841301763,3.9153853283629427,0
22/03/19,3.959301042464104,3.9165060524905857,0
25/03/19,3.9601069624153102,3.9176119325900483,0
26/03/19,3.9608969235556013,3.918703165270975,0
27/03/19,3.961671241901035,3.919779944538909,0
28/03/19,3.9624302272099254,3.9208424618297846,0
29/03/19,3.9631741831067586,3.9218909060439597,0
01/04/19,3.9639034072036545,3.9229254635798014,0
02/04/19,3.9646181912194236,3.923946318366824,0
03/04/19,3.965318821096267,3.9249536518983894,0
04/04/19,3.9660055771141627,3.9259476432639735,0
05/04/19,3.966678734002991,3.926928469181007,0
09/04/19,3.9673385610524368,3.9278963040262918,0
10/04/19,3.9679853222197154,3.928851319867003,0
11/04/19,3.9686192762351666,3.9297936864912812,0
12/04/19,3.9692406767057573,3.9307235714384166,0
17/04/19,3.9698497722165342,3.931641140028636,0
18/04/19,3.9704468064300684,3.9325465553924954,0
19/04/19,3.9710320181839283,3.9334399784998797,0
22/04/19,3.9716056415862266,3.934321568188623,0
23/04/19,3.972167906109272,3.935191481192747,0
24/04/19,3.9727190366813656,3.9360498721703268,0
25/04/19,3.973259253776784,3.9368968937309847,0
26/04/19,3.9737887735039763,3.9377326964630246,0
29/04/19,3.9743078076920164,3.938557428960203,0
30/04/19,3.974816563975343,3.9393712378481474,0
02/05/19,3.9753152458768213,3.9401742678104235,0
03/05/19,3.9758040528891616,3.940966661614259,0
07/05/19,3.9762831805547227,3.9417485601359243,0
08/05/19,3.976752820543738,3.9425201023857794,0
09/05/19,3.9772131607309906,3.9432814255329878,0
10/05/19,3.977664385270971,3.944032664929902,0
13/05/19,3.9781066746715457,3.9447739541361284,0
14/05/19,3.9785402058661683,3.9455054249422723,0
15/05/19,3.97896515228466,3.946227207393368,0
16/05/19,3.9793816839225875,3.946939429811999,0
17/05/19,3.979789967409269,3.9476422188211115,0
21/05/19,3.980190166074432,3.9483356993665275,0
22/05/19,3.980582440013552,3.949019994739156,0
23/05/19,3.9809669461518973,3.9496952265969156,0
24/05/19,3.981343838307305,3.9503615149863607,0
27/05/19,3.981713267251715,3.951018978364025,0
28/05/19,3.9820753807714833,3.9516677336174815,0
29/05/19,3.9824303237265033,3.952307896086124,0
30/05/19,3.982778238108157,3.952939579581672,0
31/05/19,3.983119263096114,3.953562896408405,0
04/06/19,3.983453535114013,3.9541779573831284,0
05/06/19,3.9837811878840323,3.954784871854875,0
06/06/19,3.984102352480388,3.9553837477243468,0
07/06/19,3.9844171573817664,3.9559746914630973,0
10/06/19,3.9847257285227213,3.95655780813246,0
11/06/19,3.9850281893440536,3.957133201402229,0
12/06/19,3.985324660842191,3.9577009735690867,0
13/06/19,3.985615261617593,3.958261225574794,0
14/06/19,3.985900107922195,3.9588140570241346,0
17/06/19,3.986179313705914,3.959359566202623,0
18/06/19,3.9864529906622326,3.959897850093979,0
19/06/19,3.9867212482728815,3.96042900439737,0
20/06/19,3.986984193851636,3.960953123544425,0
21/06/19,3.9872419325872475,3.9614703007160217,0
24/06/19,3.98749456758552,3.9619806278588556,0
25/06/19,3.987742199910559,3.962484195701785,0
26/06/19,3.9879849286252016,3.96298109377196,0
27/06/19,3.988222850830643,3.963471410410742,0
28/06/19,3.9884560617052838,3.9639552327894076,0
01/07/19,3.9886846545428027,3.964432646924647,0
02/07/19,3.98890872078948,3.964903737693857,0
03/07/19,3.9891283500807773,3.96536858885023,0
04/07/19,3.9893436302771974,3.9658272830376444,0
05/07/19,3.989554647499431,3.9662799018053576,0
08/07/19,3.989761486162809,3.966726525622505,0
09/07/19,3.98996422901107,3.9671672338924058,0
10/07/19,3.990162957149465,3.9676021049666788,0
11/07/19,3.990357750077198,3.968031216159173,0
12/07/19,3.990548685719234,3.968454643759714,0
15/07/19,3.9907358404574667,3.968872463047665,0
17/07/19,3.9909192891612792,3.9692847483053115,0
18/07/19,3.9910991052174913,3.969691572831069,0
19/07/19,3.9912753605597193,3.9700930089525115,0
22/07/19,3.9914481256971506,3.970489128039233,0
23/07/19,3.9916174697427516,3.970880000515535,0
24/07/19,3.991783460440915,3.971265695872945,0
25/07/19,3.99194616419456,3.971646282682575,0
26/07/19,3.9921056460916975,3.9720218286073092,0
30/07/19,3.992261969931466,3.972392400413835,0
31/07/19,3.9924151982496547,3.9727580639845126,0
01/08/19,3.992565392343721,3.9731188843290886,0
02/08/19,3.9927126122973107,3.973474925596253,0
05/08/19,3.9928569170042945,3.973826251085044,0
06/08/19,3.9929983641923283,3.9741729232561034,0
07/08/19,3.993137010445946,3.9745150037427774,0
08/08/19,3.9932729112291945,3.974852553362078,0
09/08/19,3.9934061209078244,3.9751856321254944,0
13/08/19,3.993536692771036,3.97551429924966,0
14/08/19,3.9936646790527974,3.975838613166883,0
15/08/19,3.993790130952742,3.9761586315355335,0
16/08/19,3.9939130986566482,3.9764744112502948,0
19/08/19,3.994033631356517,3.9767860084522777,0
20/08/19,3.994151777270249,3.9770934785390026,0
21/08/19,3.994267583660937,3.9773968761742475,0
22/08/19,3.9943810968557703,3.9776962552977673,0
23/08/19,3.994492362264567,3.977991669134883,0
26/08/19,3.994601424397942,3.9782831702059442,0
27/08/19,3.9947083268851116,3.978570810335667,0
28/08/19,3.994813112491347,3.978854640662347,0
29/08/19,3.994915823135083,3.9791347116469513,0
30/08/19,3.9950164999046853,3.979411073082091,0
02/09/19,3.9951151830748897,3.979683774100871,0
03/09/19,4.0150138923209315,3.9931978962982106,0
04/09/19,4.014716587522497,3.993287990386976,0
05/09/19,4.014425169947795,3.9933768911765526,0
06/09/19,4.014139523018136,3.9934646144722272,0
09/09/19,4.013859532463321,3.9935511758699462,0
10/09/19,4.013585086275928,3.993636590759086,0
11/09/19,4.013316074666504,3.993720874325191,0
12/09/19,4.013052390019642,3.993804041552672,0
13/09/19,4.012793926850937,3.9938861072274707,0
16/09/19,4.01254058176478,3.9939670859396896,0
17/09/19,4.012292253413002,3.994046992086184,0
18/09/19,4.012048842454329,3.9941258398731216,0
19/09/19,4.011810251514639,3.9942036433185106,0
20/09/19,4.011576385148013,3.994280416254689,0
23/09/19,4.011347149798548,3.994356172330786,0
24/09/19,4.011122453762932,3.994430925015146,0
25/09/19,4.010902207153765,3.994504687597727,0
26/09/19,4.0106863218635915,3.994577473192459,0
27/09/19,4.010474711529659,3.994649294739579,0
30/09/19,4.0102672914993684,3.9947201650079287,0
01/10/19,4.010063978796411,3.9947900965972276,0
02/10/19,4.009864692087571,3.994859101940311,0
03/10/19,4.009669351650193,3.99492719330534,0
04/10/19,4.009477879340288,3.9949943827979846,0
07/10/19,4.009290198561272,3.995060682363574,0
08/10/19,4.009106234233326,3.995126103789222,0
09/10/19,4.00892591276336,3.995190658705921,0
10/10/19,4.008749162015571,3.9952543585906106,0
11/10/19,4.008575911282589,3.9953172147682183,0
15/10/19,4.008406091257192,3.9953792384136726,0
16/10/19,4.008239634004574,3.995440440553889,0
17/10/19,4.008076472935176,3.995500832069731,0
18/10/19,4.0079165427780445,3.9955604236979467,0
21/10/19,4.007759779554717,3.995619226033073,0
22/10/19,4.007606120553634,3.995677249529324,0
24/10/19,4.007455504305047,3.9957345045024457,0
25/10/19,4.007307870556432,3.9957910011315523,0
28/10/19,4.007163160248384,3.9958467494609358,0
29/10/19,4.00702131549099,3.9959017594018507,0
30/10/19,4.006882279540673,3.9959560407342765,0
31/10/19,4.006745996777492,3.9960096031086567,0
01/11/19,4.006612412682888,3.996062456047615,0
04/11/19,4.006481473817881,3.9961146089476465,0
05/11/19,4.0063531278016855,3.9961660710807902,0
06/11/19,4.006227323290761,3.9962168515962766,0
07/11/19,4.006104009958271,3.9962669595221536,0
08/11/19,4.005983138473949,3.9963164037668935,0
11/11/19,4.005864660484366,3.9963651931209743,0
12/11/19,4.005748528593586,3.9964133362584446,0
13/11/19,4.005634696344209,3.996460841738465,0
14/11/19,4.005523118198779,3.99650771800683,0
15/11/19,4.005413749521575,3.996553973397468,0
18/11/19,4.005306546560752,3.9965996161339254,0
19/11/19,4.005201466430837,3.996644654330827,0
20/11/19,4.005098467095572,3.9966890959953196,0
21/11/19,4.0049975073511055,3.996732949028494,0
22/11/19,4.0048985468095,3.996776221226792,0
25/11/19,4.004801545882579,3.996818920283391,0
26/11/19,4.004706465766092,3.9968610537895715,0
27/11/19,4.0046132684241895,3.996902629236067,0
28/11/19,4.004521916574205,3.9969436540143977,0
29/11/19,4.0044323736717455,3.9969841354181805,0
02/12/19,4.004344603896067,3.99702408064443,0
03/12/19,4.004258572135749,3.997063496794835,0
04/12/19,4.004174243974645,3.9971023908770227,0
06/12/19,4.004091585678117,3.997140769805804,0
09/12/19,4.0040105641795405,3.9971786404044027,0
11/12/19,4.003931147067075,3.997216009405669,0
12/12/19,4.003853302570697,3.997252883453276,0
13/12/19,4.003776999549495,3.997289269102901,0
16/12/19,4.003702207479208,3.9973251728233925,0
17/12/19,3.9838269162419957,3.9841155678853344,1
18/12/19,3.964345195128293,3.971080924602085,1
19/12/19,3.9650512308683266,3.9714639587133154,1
20/12/19,3.9459413055045975,3.9585968864124768,1
23/12/19,3.9272097945045066,3.945900238910325,1
24/12/19,3.9088492045143184,3.9333717589247574,1
25/12/19,3.89085219056354,3.921009219071449,1
26/12/19,3.8732115531266382,3.908810421467854,1
27/12/19,3.8559202352429423,3.8967731973424518,1
30/12/19,3.838971319693577,3.884895406649174,1
02/01/20,3.822358026234298,3.8731749376869335,1
03/01/20,3.806073708883124,3.8616097067241926,1
06/01/20,3.790111853261676,3.8501976576285077,1
07/01/20,3.7744660739891676,3.8389367615009777,1
08/01/20,3.759130112127996,3.8278250163155345,1
