date,indy1,indy2,check
03/01/18,0,50,0
04/01/18,0,50,0
05/01/18,0,50,0
08/01/18,0,50,0
09/01/18,0,50,0
10/01/18,0,50,0
11/01/18,0,50,0
12/01/18,0,50,0
15/01/18,0,50,0
16/01/18,0,50,0
17/01/18,0,50,0
18/01/18,0,50,0
19/01/18,0,50,0
22/01/18,0,50,0
23/01/18,73.4,50,1
24/01/18,74.29,50,1
25/01/18,70.11,50,1
26/01/18,70.11,50,1
29/01/18,70.11,50,1
30/01/18,66.37,50,1
31/01/18,68.2,50,1
01/02/18,74.82,50,1
02/02/18,75.43,50,1
05/02/18,75.43,50,1
06/02/18,74.38,50,1
07/02/18,68.25,50,1
08/02/18,69.16,50,1
09/02/18,74.33,50,1
12/02/18,75.99,50,1
13/02/18,67.51,50,1
14/02/18,67.93,50,1
15/02/18,68.38,50,1
16/02/18,73.56,50,1
19/02/18,68.89,50,1
20/02/18,67.05,50,1
21/02/18,67.52,50,1
22/02/18,58.59,50,1
23/02/18,61.34,50,1
26/02/18,62.94,50,1
27/02/18,57.81,50,1
28/02/18,60.68,50,1
02/03/18,55.03,50,1
05/03/18,55.67,50,1
06/03/18,54.02,50,1
07/03/18,48.61,50,0
08/03/18,47.16,50,0
09/03/18,44.99,50,0
12/03/18,53.45,50,1
13/03/18,60.07,50,1
14/03/18,56.9,50,1
15/03/18,57.51,50,1
16/03/18,55.82,50,1
19/03/18,56.51,50,1
20/03/18,61.06,50,1
21/03/18,60.1,50,1
22/03/18,60.77,50,1
23/03/18,56.67,50,1
26/03/18,60.92,50,1
27/03/18,64.09,50,1
28/03/18,62.99,50,1
29/03/18,59.68,50,1
30/03/18,54.54,50,1
02/04/18,56.94,50,1
03/04/18,51.13,50,1
04/04/18,41.31,50,0
05/04/18,51.37,50,1
09/04/18,47.96,50,0
10/04/18,47.96,50,0
11/04/18,47.96,50,0
12/04/18,51.2,50,1
17/04/18,52,50,1
18/04/18,55.18,50,1
19/04/18,59.51,50,1
20/04/18,56.57,50,1
23/04/18,51.12,50,1
24/04/18,51.12,50,1
25/04/18,51.12,50,1
26/04/18,48.22,50,0
27/04/18,46.34,50,0
30/04/18,50.51,50,1
02/05/18,47.52,50,0
03/05/18,42.97,50,0
04/05/18,42.1,50,0
07/05/18,44.52,50,0
08/05/18,40.85,50,0
09/05/18,43.36,50,0
10/05/18,40.57,50,0
11/05/18,45.6,50,0
14/05/18,44.58,50,0
15/05/18,38.98,50,0
16/05/18,33.66,50,0
17/05/18,32.31,50,0
18/05/18,45.34,50,0
21/05/18,44.5,50,0
22/05/18,47.64,50,0
23/05/18,48.67,50,0
24/05/18,46.68,50,0
25/05/18,45.67,50,0
28/05/18,44.63,50,0
30/05/18,41.58,50,0
31/05/18,41.58,50,0
01/06/18,43.08,50,0
04/06/18,43.08,50,0
05/06/18,39.54,50,0
06/06/18,42.91,50,0
07/06/18,42.91,50,0
08/06/18,41.57,50,0
11/06/18,40.21,50,0
12/06/18,36.38,50,0
13/06/18,34.04,50,0
14/06/18,31.85,50,0
15/06/18,31.85,50,0
18/06/18,26.82,50,0
19/06/18,31.48,50,0
20/06/18,39.73,50,0
21/06/18,37.31,50,0
22/06/18,46.15,50,0
25/06/18,51.98,50,1
26/06/18,59.13,50,1
27/06/18,67.05,50,1
28/06/18,56.55,50,1
29/06/18,59.14,50,1
02/07/18,61.6,50,1
03/07/18,62.41,50,1
04/07/18,59.69,50,1
05/07/18,57.02,50,1
06/07/18,54.39,50,1
09/07/18,57.55,50,1
10/07/18,59.56,50,1
11/07/18,73.21,50,1
12/07/18,66.01,50,1
13/07/18,60.66,50,1
16/07/18,49.43,50,0
17/07/18,53.69,50,1
18/07/18,55.7,50,1
19/07/18,56.38,50,1
20/07/18,55.46,50,1
23/07/18,54.51,50,1
24/07/18,50.75,50,1
25/07/18,48.07,50,0
26/07/18,47.18,50,0
31/07/18,49.21,50,0
01/08/18,49.21,50,0
02/08/18,47.11,50,0
03/08/18,48.3,50,0
06/08/18,48.3,50,0
07/08/18,48.3,50,0
08/08/18,51.05,50,1
09/08/18,53.7,50,1
10/08/18,52.18,50,1
14/08/18,49.18,50,0
15/08/18,40.41,50,0
16/08/18,43.51,50,0
17/08/18,49.2,50,0
20/08/18,55.26,50,1
21/08/18,53.88,50,1
22/08/18,57.33,50,1
23/08/18,59.51,50,1
24/08/18,62.6,50,1
27/08/18,64.54,50,1
28/08/18,58.05,50,1
29/08/18,59.16,50,1
30/08/18,59.16,50,1
31/08/18,61.51,50,1
03/09/18,62.67,50,1
04/09/18,64.94,50,1
05/09/18,57.41,50,1
06/09/18,55.68,50,1
07/09/18,52.27,50,1
10/09/18,52.27,50,1
11/09/18,53.91,50,1
12/09/18,53.91,50,1
13/09/18,58.82,50,1
14/09/18,58.82,50,1
17/09/18,50.5,50,1
18/09/18,57.04,50,1
19/09/18,59.89,50,1
20/09/18,54.09,50,1
21/09/18,66.8,50,1
24/09/18,69.29,50,1
25/09/18,62.54,50,1
26/09/18,71.51,50,1
27/09/18,76.12,50,1
28/09/18,74.68,50,1
01/10/18,75.19,50,1
02/10/18,70.61,50,1
03/10/18,72.97,50,1
04/10/18,68.52,50,1
05/10/18,53.34,50,1
08/10/18,58.65,50,1
09/10/18,55.72,50,1
10/10/18,55.72,50,1
11/10/18,53.65,50,1
12/10/18,55.44,50,1
16/10/18,57.21,50,1
17/10/18,54.86,50,1
18/10/18,52.53,50,1
19/10/18,53.59,50,1
22/10/18,51.14,50,1
24/10/18,52.31,50,1
25/10/18,46.31,50,0
26/10/18,50.01,50,1
29/10/18,48.8,50,0
30/10/18,46.39,50,0
31/10/18,50.36,50,1
01/11/18,50.36,50,1
02/11/18,59.61,50,1
05/11/18,52.97,50,1
06/11/18,48.33,50,0
07/11/18,45.13,50,0
08/11/18,44.09,50,0
09/11/18,39.19,50,0
12/11/18,38.28,50,0
13/11/18,43.92,50,0
14/11/18,48.94,50,0
15/11/18,44.64,50,0
16/11/18,45.92,50,0
19/11/18,43.74,50,0
20/11/18,39.68,50,0
21/11/18,42.55,50,0
22/11/18,42.55,50,0
23/11/18,46.94,50,0
26/11/18,45.69,50,0
27/11/18,45.69,50,0
28/11/18,47.32,50,0
29/11/18,48.97,50,0
30/11/18,48.97,50,0
03/12/18,56.82,50,1
04/12/18,55,50,1
06/12/18,48.32,50,0
07/12/18,48.32,50,0
11/12/18,42.36,50,0
12/12/18,44.21,50,0
13/12/18,40.05,50,0
14/12/18,37.52,50,0
17/12/18,31.15,50,0
18/12/18,31.15,50,0
19/12/18,30.16,50,0
20/12/18,30.16,50,0
21/12/18,34.95,50,0
24/12/18,39.43,50,0
25/12/18,34.34,50,0
26/12/18,32.11,50,0
27/12/18,38.56,50,0
28/12/18,50.4,50,1
02/01/19,51.83,50,1
03/01/19,55.93,50,1
04/01/19,55.93,50,1
07/01/19,57.33,50,1
08/01/19,57.33,50,1
09/01/19,58.85,50,1
10/01/19,52.78,50,1
11/01/19,41.91,50,0
14/01/19,36.18,50,0
15/01/19,35.14,50,0
16/01/19,31.28,50,0
17/01/19,36.88,50,0
18/01/19,28.54,50,0
21/01/19,28.54,50,0
22/01/19,32.1,50,0
23/01/19,47.58,50,0
24/01/19,44.59,50,0
25/01/19,46.98,50,0
28/01/19,49.33,50,0
29/01/19,46.03,50,0
30/01/19,46.03,50,0
31/01/19,52.21,50,1
01/02/19,54.46,50,1
04/02/19,57.67,50,1
05/02/19,54.89,50,1
06/02/19,56.03,50,1
07/02/19,57.2,50,1
08/02/19,54.11,50,1
11/02/19,54.11,50,1
12/02/19,58.05,50,1
13/02/19,63.66,50,1
14/02/19,61.88,50,1
15/02/19,53.77,50,1
18/02/19,55.04,50,1
20/02/19,55.04,50,1
21/02/19,53.34,50,1
22/02/19,53.34,50,1
25/02/19,56.46,50,1
26/02/19,52.67,50,1
27/02/19,47.53,50,0
28/02/19,47.53,50,0
01/03/19,49.44,50,0
04/03/19,54.76,50,1
05/03/19,52.76,50,1
06/03/19,52.76,50,1
07/03/19,52.76,50,1
08/03/19,50.47,50,1
11/03/19,50.47,50,1
12/03/19,48.05,50,0
13/03/19,52.92,50,1
14/03/19,52.92,50,1
15/03/19,43.47,50,0
18/03/19,39.65,50,0
19/03/19,39.65,50,0
20/03/19,45.23,50,0
21/03/19,50.18,50,1
22/03/19,54.6,50,1
25/03/19,49.84,50,0
26/03/19,49.84,50,0
27/03/19,54.45,50,1
28/03/19,54.45,50,1
29/03/19,54.45,50,1
01/04/19,61.14,50,1
02/04/19,63.08,50,1
03/04/19,56.94,50,1
04/04/19,43.32,50,0
05/04/19,45.65,50,0
09/04/19,45.65,50,0
10/04/19,45.65,50,0
