date,indy1,indy2,check
03/01/18,0,0,0
04/01/18,0,0,0
05/01/18,0,0,0
08/01/18,0,0,0
09/01/18,0,0,0
10/01/18,0,0,0
11/01/18,0,0,0
12/01/18,0,0,0
15/01/18,0,0,0
16/01/18,70.9,0,0
17/01/18,70.88217821782179,0,0
18/01/18,70.86470934222136,0,0
19/01/18,70.84758638494965,0,0
22/01/18,70.83080249613877,0,0
23/01/18,70.79454898136375,0,0
24/01/18,70.77881533816843,0,0
25/01/18,70.76339325226411,0,0
26/01/18,70.74827655419948,0,0
29/01/18,70.73345919669057,0,0
30/01/18,70.69913327200364,0,0
31/01/18,70.68528904879564,0,0
01/02/18,70.67171896862146,0,0
02/02/18,70.65841760290618,0,0
05/02/18,70.62557765037339,0,0
06/02/18,70.59338799393035,70.2,1
07/02/18,70.56183575642677,70.19043824701195,1
08/02/18,70.51110633550744,70.17298455580071,1
09/02/18,70.44157947737858,70.14770181033616,1
12/02/18,70.37342938871762,70.12262052101077,1
13/02/18,70.32643078696084,70.10570721008638,1
14/02/18,70.3001648307834,70.09689679406975,1
15/02/18,70.27441899255007,70.08815658057118,1
16/02/18,70.22938099269759,70.07151788271803,1
19/02/18,70.20503681462436,70.06297989162067,1
20/02/18,70.16137271928527,70.04654180483485,1
21/02/18,70.11857325949744,70.03023469882022,1
22/02/18,70.05681933356679,70.00608940241528,1
23/02/18,70.0160902378526,69.99010462630042,1
26/02/18,70.03557359947928,69.99815160138967,1
27/02/18,70.03486917176681,69.99816632966545,1
28/02/18,70.03417869311797,69.99818094058445,1
02/03/18,70.01369990711562,69.99022730759174,1
05/03/18,69.99362664162818,69.98233705016072,1
06/03/18,69.95414888634842,69.96654153581682,0
07/03/18,69.91545286879696,69.95087188214497,0
08/03/18,69.87752310901881,69.9353270862713,0
09/03/18,69.82054245339468,69.91193802582292,0
12/03/18,69.78449210778291,69.89670345988011,0
13/03/18,69.74915563040108,69.881590284901,0
14/03/18,69.71451888524462,69.86659753362689,0
15/03/18,69.66076603603184,69.84375611901632,0
16/03/18,69.6278795798728,69.82906483519946,0
19/03/18,69.57584236046938,69.806522485915,0
20/03/18,69.52483558105415,69.78415975694357,0
21/03/18,69.49464081707288,69.76994334453764,0
22/03/18,69.46504396921004,69.75584021031821,0
23/03/18,69.43603319754251,69.74184945167026,0
26/03/18,69.38779491640305,69.72000204568086,0
27/03/18,69.3405118487515,69.6983287226077,0
28/03/18,69.2941650794693,69.67682809533592,0
29/03/18,69.22893408779663,69.64753066031332,0
30/03/18,69.1847967791274,69.62643479847816,0
02/04/18,69.14153347657042,69.6055070311596,0
03/04/18,69.13873083347,69.60068227393921,0
04/04/18,69.11618170805475,69.58792783350943,0
05/04/18,69.11388108017248,69.58324314957709,0
09/04/18,69.131427989476,69.5865639212936,0
10/04/18,69.18823139562498,69.6057944876578,0
11/04/18,69.22410800165221,69.61690369492746,0
12/04/18,69.25927417983732,69.62792438261728,0
17/04/18,69.27394201786035,69.63088912857252,0
18/04/18,69.28831940364529,69.63383025105401,0
19/04/18,69.30241208872162,69.63674793829661,0
20/04/18,69.31622571072714,69.63964237703529,0
23/04/18,69.34956777586126,69.65048188000712,0
24/04/18,69.3624476218838,69.6532668849473,0
25/04/18,69.37507242145045,69.65602969861305,0
26/04/18,69.40724920518412,69.66673862531734,0
27/04/18,69.43878882488345,69.67736222192835,0
30/04/18,69.46970389765804,69.68790116836716,0
02/05/18,69.50000679077372,69.69835613913715,0
03/05/18,69.52970962659998,69.70872780336713,0
04/05/18,69.55882428745939,69.71901682485424,0
07/05/18,69.58736242038098,69.7292238621064,0
08/05/18,69.57573148136353,69.72341331340435,0
09/05/18,69.58413283816822,69.7256171913852,0
10/05/18,69.59236783147182,69.72780350858531,0
11/05/18,69.62024173579911,69.73794053242129,0
14/05/18,69.64756368162487,69.74799678315897,0
15/05/18,69.67434459882043,69.7579729044087,0
16/05/18,69.68079322062596,69.75990140716242,0
17/05/18,69.6871141469502,69.76181454336033,0
18/05/18,69.6735079262185,69.75574430795507,0
21/05/18,69.66017113560032,69.74972244095942,0
22/05/18,69.64709843984586,69.7437485569677,0
23/05/18,69.61448262915584,69.7298541461552,0
24/05/18,69.60231465630127,69.7240385752695,0
25/05/18,69.59038763340422,69.71826934359405,0
28/05/18,69.55889480898037,69.70457795440205,0
30/05/18,69.50822362464413,69.68302753245463,0
31/05/18,69.47835781029474,69.66961695450678,0
01/06/18,69.4490833982097,69.65631323375374,0
04/06/18,69.44019065765109,69.65108364623379,0
05/06/18,69.43147401096493,69.64589572873392,0
06/06/18,69.42292997114384,69.64074914922209,0
07/06/18,69.4145551202301,69.63564357831196,0
08/06/18,69.3865441277503,69.6226105617517,0
11/06/18,69.3590878083889,69.60968139392898,0
12/06/18,69.33217517851982,69.5968552473638,0
13/06/18,69.28599349181646,69.57616317367963,0
14/06/18,69.2407262939587,69.5556359770766,0
15/06/18,69.19635547625654,69.53527234379312,0
18/06/18,69.13306130840988,69.50710284304577,0
19/06/18,69.05121851022355,69.47118967298167,0
20/06/18,68.97099636150625,69.4355626636352,0
21/06/18,68.87256078999128,69.39225140735125,0
22/06/18,68.79587641791225,69.35725338816917,0
25/06/18,68.70090856805261,69.31456611017579,0
26/06/18,68.60782126967533,69.27221896985566,0
27/06/18,68.49677530393919,69.2222411294584,0
28/06/18,68.38792826821762,69.1726615188651,0
29/06/18,68.28123661934202,69.12347696492992,0
02/07/18,68.19645965658277,69.08265244728108,0
03/07/18,68.15296540595737,69.05808947957365,0
04/07/18,68.13013440781961,69.0416903602145,0
05/07/18,68.08795352845685,69.01745378363908,0
06/07/18,68.04660791403197,68.99341032719575,0
09/07/18,68.0060810246452,68.96955845207864,0
10/07/18,67.94655466772153,68.93792850425332,0
11/07/18,67.8684050703409,68.89858246039473,0
12/07/18,67.79180298974009,68.85954993082984,0
13/07/18,67.73651976222048,68.82879654492682,0
16/07/18,67.64272729168147,68.78235195094334,0
17/07/18,67.51118813739075,68.72034117842585,0
18/07/18,67.38225371882855,68.65882451564956,0
19/07/18,67.29547641746561,68.6137342804651,0
20/07/18,67.23021945870391,68.57697145751318,0
23/07/18,67.1662547169474,68.54050156542144,0
24/07/18,67.12335858393855,68.51229039756947,0
25/07/18,67.08131187930611,68.4843040198996,0
26/07/18,67.05989976288421,68.46450876874502,0
31/07/18,67.0389116487677,68.44487124867534,0
01/08/18,67.03814112106933,68.4333583303592,0
02/08/18,67.01758387114717,68.41396902095394,0
03/08/18,66.9974336954809,68.39473420803797,0
06/08/18,66.95788055299613,68.36768453307353,0
07/08/18,66.91911064105561,68.34085039336776,0
08/08/18,66.90091043034164,68.3221981989983,0
09/08/18,66.8632686396418,68.2957265002015,0
10/08/18,66.82637223093603,68.26946573127559,0
14/08/18,66.79020644418482,68.24341421150447,0
15/08/18,66.73495483142868,68.20960214607416,0
16/08/18,66.68079731001426,68.1760594994919,0
17/08/18,66.62771221476645,68.14278412499395,0
20/08/18,66.59548028972156,68.11774202041232,0
21/08/18,66.56388662061816,68.09289945451262,0
22/08/18,66.53291856872474,68.0682548373452,0
23/08/18,66.5223657257797,68.05177471911934,0
24/08/18,66.49221986982366,68.02745778908651,0
27/08/18,66.48247294170834,68.01130274694239,0
28/08/18,66.47291902207054,67.99527643023369,0
29/08/18,66.46355428896024,67.97937781325972,0
30/08/18,66.45437499610954,67.9636058784927,0
31/08/18,66.4453774714341,67.94795961651268,0
03/09/18,66.43655811556411,67.93243802594286,0
04/09/18,66.40811142020641,67.90907198589551,0
05/09/18,66.38022802574687,67.88589212943418,0
06/09/18,66.35289677771229,67.86289697302435,0
07/09/18,66.30630476231204,67.8321169174624,0
10/09/18,66.26063536107813,67.80158212130732,0
11/09/18,66.17626634402708,67.7553543753208,0
12/09/18,66.093568000581,67.7094949779079,0
13/09/18,66.05211120849029,67.67993724900026,0
14/09/18,66.01147534297563,67.65061503984488,0
17/09/18,65.97164414806522,67.62152647379034,0
18/09/18,65.97220565008374,67.60860594411871,0
19/09/18,65.97275603325039,67.59578836687473,0
20/09/18,65.97329551774048,67.58307292172034,0
21/09/18,65.97382431936938,67.57045879485405,0
24/09/18,65.9743426496789,67.5579451789588,0
25/09/18,65.97485071602189,67.54553127315037,0
26/09/18,65.9555467414472,67.52524815543603,0
27/09/18,65.93662502379478,67.50512665618953,0
28/09/18,65.91807799362063,67.48516548761431,0
01/10/18,65.89989823137071,67.46536337217515,0
02/10/18,65.86227648421486,67.43775091502634,0
03/10/18,65.8253997221512,67.41035847745641,0
04/10/18,65.76945121280167,67.37521617883127,0
05/10/18,65.7146105947264,67.34035389852185,0
08/10/18,65.64105394928627,67.2978012778165,0
09/10/18,65.56895387108258,67.25558772181796,0
10/10/18,65.51808349739778,67.22167865630547,0
11/10/18,65.44841847764734,67.18007165506,0
12/10/18,65.39993494343649,67.14676431119499,0
16/10/18,65.35241147921003,67.11372236449223,0
17/10/18,65.2860270934831,67.07297557274329,0
18/10/18,65.22095725004779,67.0325534566258,0
19/10/18,65.13737393816565,66.98448530159293,0
22/10/18,65.05544574137029,66.93680015974756,0
24/10/18,64.97513988510553,66.88949497919181,0
25/10/18,64.89642424381631,66.84256673234566,0
26/10/18,64.81926732809718,66.79601241575327,0
29/10/18,64.76344025229328,66.75779717738074,0
30/10/18,64.70871866313895,66.71988644289962,0
31/10/18,64.69468463020551,66.69821404096416,0
01/11/18,64.6611265187163,66.6687462000003,0
02/11/18,64.64803490448429,66.64748129004013,0
05/11/18,64.63520253013807,66.6263858215936,0
06/11/18,64.64242624241257,66.61342657201915,0
07/11/18,64.64950691087965,66.60057058339748,0
08/11/18,64.65644736808996,66.58781703293216,0
09/11/18,64.66325039050402,66.5751651043829,0
12/11/18,64.65011671940493,66.55464586052328,0
13/11/18,64.65704510119889,66.54225824410477,0
14/11/18,64.66383628731376,66.52996933379318,0
15/11/18,64.65069101429765,66.50981021559562,0
16/11/18,64.6378060437175,66.48981172782194,0
19/11/18,64.64497820126765,66.4779407180385,0
20/11/18,64.63220635569799,66.4581961704844,0
21/11/18,64.59988543776338,66.43064082251242,0
22/11/18,64.52860057760965,66.38736878408602,0
23/11/18,64.49833125924114,66.36037779775864,0
26/11/18,64.46866133331558,66.3336018790514,0
27/11/18,64.43957893067567,66.30703931427809,0
28/11/18,64.43087439739496,66.28865653089738,0
29/11/18,64.42234223110991,66.27042022387828,0
30/11/18,64.39417703841467,66.24436109858841,0
03/12/18,64.40617353270349,66.23444587071121,0
04/12/18,64.43773445284798,66.23257777612388,0
06/12/18,64.44886842407871,66.22275643926233,0
07/12/18,64.45978192063161,66.21301336006502,0
11/12/18,64.43087534794584,66.18741165998482,0
12/12/18,64.422343162838,66.16998208500486,0
13/12/18,64.3941779516927,66.1447232636104,0
14/12/18,64.36657046750076,66.11966570772506,0
17/12/18,64.33950966616412,66.0948078136396,0
18/12/18,64.29318274208165,66.06217986293332,0
19/12/18,64.26757516303053,66.03778002338804,0
20/12/18,64.26227664495072,66.02154273236502,0
21/12/18,64.257083048021,66.00543482214697,0
24/12/18,64.27179427479287,65.99742338930118,0
25/12/18,64.22680824954945,65.96557141010355,0
26/12/18,64.22231699708313,65.94990948651707,0
27/12/18,64.19811270011118,65.92640423164443,0
28/12/18,64.19418967634661,65.91105439712933,0
02/01/19,64.19034433622093,65.89582687205261,0
03/01/19,64.16677316124625,65.87275255434702,0
04/01/19,64.1634707224097,65.85783022323668,0
07/01/19,64.16023367840158,65.84302679516307,0
08/01/19,64.15706073427482,65.82834132269166,0
09/01/19,64.19355458112086,65.82970912091722,0
10/01/19,64.22932577753431,65.83106602035214,0
11/01/19,64.30399259382077,65.84834836281945,0
14/01/19,64.37718085928967,65.86549299737865,0
15/01/19,64.40931589177897,65.86656476632385,0
16/01/19,64.46061656718929,65.87559612276748,0
17/01/19,64.51090138764098,65.88455551621156,0
18/01/19,64.57999244927186,65.90141164755649,0
21/01/19,64.64771537106846,65.91813346709787,0
22/01/19,64.71409724490869,65.93472204504928,0
23/01/19,64.79896660639564,65.95914657058674,0
24/01/19,64.862353406269,65.97540835090079,0
25/01/19,64.92448502198644,65.99154055527609,0
28/01/19,64.98538630867978,66.00754421619023,0
29/01/19,65.04508162929999,66.02342035789388,0
30/01/19,65.12339684456137,66.04713812396645,0
31/01/19,65.20016126348095,66.07066690385516,0
01/02/19,65.27540559489717,66.09400820342603,0
04/02/19,65.34915993955266,66.11716351654614,0
05/02/19,65.4412557823338,66.14810245266928,0
06/02/19,65.51172596486184,66.17082673591494,0
07/02/19,65.58080069823092,66.19336994917458,0
08/02/19,65.64850761509763,66.21573353523694,0
11/02/19,65.69507182073926,66.22995079790437,0
12/02/19,65.74071396290283,66.24405477561031,0
13/02/19,65.80525428046911,66.26601449851381,0
14/02/19,65.84871459174695,66.27983111605553,0
15/02/19,65.87151232260345,66.28556951353717,0
18/02/19,65.89385861324497,66.29126218673608,0
20/02/19,65.93556438327973,66.30487762747921,0
21/02/19,65.97644429648211,66.31838457865467,0
22/02/19,66.01651470645277,66.33178390472116,0
25/02/19,66.07559362315668,66.35304459073932,0
26/02/19,66.1335026603219,66.37413586890075,0
27/02/19,66.17046300368186,66.38709096157883,0
28/02/19,66.18688947885647,66.39197469893678,0
01/03/19,66.20299067729496,66.39681952205282,0
04/03/19,66.19897105992278,66.39365761351057,0
05/03/19,66.21483301913223,66.39848902694874,0
06/03/19,66.2303808801395,66.40328194306866,0
07/03/19,66.24562086271101,66.4080366686219,0
08/03/19,66.2605590634494,66.41275350791575,0
11/03/19,66.27520145823259,66.41743276283276,0
12/03/19,66.28955390460422,66.42207473285004,0
13/03/19,66.32342412431503,66.43464784254844,0
14/03/19,66.37642562680384,66.45508889559586,0
15/03/19,66.40857561439188,66.46739894423654,0
18/03/19,66.42028698836431,66.47164277735018,0
19/03/19,66.43176645394125,66.47585279506055,0
20/03/19,66.44301860336816,66.48002926681305,0
21/03/19,66.45404793795493,66.48417245990618,0
22/03/19,66.48466085007463,66.49625076699856,0
25/03/19,66.49486558571672,66.50026470511013,0
26/03/19,66.5048682473857,66.50424665965109,1
27/03/19,66.51467283654638,66.5081968854706,1
28/03/19,66.52428327542665,66.51211563538716,1
29/03/19,66.55350538878454,66.52397128769483,1
01/04/19,66.56234686623435,66.5277643451634,1
02/04/19,66.57101326492278,66.53152717906649,1
03/04/19,66.579508051756,66.53526003022931,1
04/04/19,66.58783462498855,66.53896313755816,1
05/04/19,66.59599631558284,66.5426367380557,1
09/04/19,66.62379836873961,66.55424919432618,1
10/04/19,66.65104988619032,66.5657691210646,1
11/04/19,66.6777617696321,66.57719725555812,1
12/04/19,66.70394470488691,66.58853432921902,1
17/04/19,66.72960916617627,66.59978106763161,1
18/04/19,66.7547654203114,66.61093819059869,1
19/04/19,66.7992255109983,66.62997453967758,1
22/04/19,66.8230032236518,66.64089107721003,1
23/04/19,66.84631009051017,66.65172063037967,1
24/04/19,66.86915543525255,66.662463892289,1
25/04/19,66.89154839693072,66.67312155051776,1
26/04/19,66.91349793362515,66.68369428716703,1
29/04/19,66.93501282602861,66.69418277890274,1
30/04/19,66.95610168095874,66.70458769699914,1
02/05/19,66.97677293480113,66.71490970738162,1
03/05/19,67.0168368370823,66.73311759815945,1
07/05/19,67.03630541456582,66.74321227865221,1
08/05/19,67.05538847566352,66.75322652344383,1
09/05/19,67.05429167416523,66.75519284596619,1
10/05/19,67.05321659150849,66.75714350058001,1
13/05/19,67.07196477781525,66.76704673961922,1
14/05/19,67.09034171290801,66.7768710683872,1
15/05/19,67.08855276809795,66.778648988161,1
16/05/19,67.10660122813562,66.78838086873341,1
17/05/19,67.104490312727,66.79006707695068,1
21/05/19,67.08261921742547,66.78377172175585,1
22/05/19,67.06118121312002,66.77752652875381,1
23/05/19,67.04016772375131,66.77133109824581,1
24/05/19,66.99976836288495,66.75721690622791,1
27/05/19,66.9799709695605,66.75118330538147,1
28/05/19,66.98036758402465,66.75316590852584,1
29/05/19,66.960954364539,66.74716458654555,1
30/05/19,66.9419255652412,66.74121108386392,1
31/05/19,66.86386763325623,66.71140063698054,1
04/06/19,66.82695936329077,66.69776397851855,1
05/06/19,66.77097996995828,66.67626785119968,1
06/06/19,66.73591105966207,66.66291113525386,1
07/06/19,66.72133856343115,66.65762897481359,1
10/06/19,66.70705463148201,66.65238890330113,1
11/06/19,66.69305354967048,66.64719058534654,1
12/06/19,66.67932971700374,66.64203368825214,1
13/06/19,66.66587764339971,66.63691788197124,1
14/06/19,66.65269194749081,66.63184283908701,1
17/06/19,66.63976735447119,66.6268082347915,1
18/06/19,66.66670265438265,66.63775000184495,1
19/06/19,66.79211448300873,66.68844522095375,1
20/06/19,66.93484488928578,66.7467046215836,1
21/06/19,67.07474895088409,66.80449980388174,1
24/06/19,67.23168461522302,66.86980259428906,1
25/06/19,67.38551264264434,66.93458504373694,1
26/06/19,67.51649259031475,66.99088317087849,1
27/06/19,67.64487887565505,67.04673270736552,1
28/06/19,67.75092087811733,67.09416910013552,1
01/07/19,67.8746650191447,67.1491956411703,1
02/07/19,67.99595878114184,67.20378372371077,1
03/07/19,68.13465266666378,67.26590496894016,1
04/07/19,68.25079815841302,67.3195630966777,1
05/07/19,68.36464373943454,67.37279366961253,1
08/07/19,68.47623495251504,67.42560009455586,1
09/07/19,68.56581445840584,67.4700176236829,1
10/07/19,68.67342209289285,67.52204935576512,1
11/07/19,68.75909690293457,67.56569836488254,1
12/07/19,68.8628771622824,67.61696770062052,1
15/07/19,68.94480038679166,67.65986038826497,1
17/07/19,69.02510136923142,67.70241130150589,1
18/07/19,69.10381223320704,67.74462316364529,1
19/07/19,69.16116248601482,67.77853054879553,1
22/07/19,69.19757511005413,67.804199628088,1
23/07/19,69.25306867223128,67.83763230037415,1
24/07/19,69.30746335198907,67.8707985768652,1
25/07/19,69.36078090937542,67.90370058023679,1
26/07/19,69.39324069334819,67.9283722887608,1
30/07/19,69.44485968951952,67.96081553745593,1
31/07/19,69.49545652735081,67.99300027420927,1
01/08/19,69.52524946740327,68.01696043138688,1
02/08/19,69.53465046804875,68.03276154348738,1
05/08/19,69.52406333006759,68.04046862282215,1
06/08/19,69.51368583838308,68.04811429116619,1
07/08/19,69.50351384158341,68.05569903785012,1
08/08/19,69.53314723085899,68.07915960328558,1
09/08/19,69.52258985995088,68.08649697696457,1
13/08/19,69.47263758549641,68.07783963053457,1
14/08/19,69.44347644518956,68.07721939443469,1
15/08/19,69.43469473340363,68.08457222794517,1
16/08/19,69.44588889709861,68.09983460063087,1
19/08/19,69.47666337438379,68.12294348827524,1
20/08/19,69.48702647588114,68.13790011386668,1
21/08/19,69.49718436744784,68.15273756315858,1
22/08/19,69.50714111264689,68.1674567857629,1
23/08/19,69.5367026747727,68.19002685121498,1
26/08/19,69.54587687923265,68.20444894801805,1
27/08/19,69.57467139647557,68.22672425520516,1
28/08/19,69.60289572525822,68.24882206990472,1
29/08/19,69.63056115644123,68.27074380639951,1
30/08/19,69.6774807375018,68.30045899519314,1
02/09/19,69.7234712179473,68.32993740957407,1
03/09/19,69.76855099580973,68.35918093619101,1
04/09/19,69.85234206519964,68.40412770163968,1
05/09/19,69.93447390549271,68.448716325531,1
06/09/19,70.01497937271067,68.49294966158254,1
09/09/19,70.09389067226095,68.53683054077312,1
10/09/19,70.17123937182015,68.58036177152394,1
11/09/19,70.24705641396233,68.62354613987833,1
12/09/19,70.30157014833931,68.65841828219006,1
13/09/19,70.33520242262962,68.68504443133595,1
16/09/19,70.38797069148843,68.71942654742092,1
17/09/19,70.43969404413222,68.75353470242155,1
18/09/19,70.5101951521692,68.79533920678472,1
19/09/19,70.5793001986609,68.83681060752747,1
20/09/19,70.62723484819237,68.86998343137186,1
23/09/19,70.654418316545,68.89492380243664,1
24/09/19,70.70086547859361,68.92763357293515,1
25/09/19,70.74639289485908,68.96008270781216,1
26/09/19,70.7910187781292,68.99227328384553,1
27/09/19,70.85456296074051,69.03217548875513,1
30/09/19,70.91684884270605,69.07175974780887,1
01/10/19,70.97790134087028,69.11102859443987,1
02/10/19,71.0179428984768,69.1420164144045,1
03/10/19,71.0571915539525,69.172757319469,1
04/10/19,71.09566300832968,69.2032532770828,1
07/10/19,71.15317463192712,69.24147436650843,1
08/10/19,71.1897454312949,69.27142277793067,1
09/10/19,71.24539403661579,69.30910068408261,1
10/10/19,71.28013870915805,69.33851024038474,1
11/10/19,71.35379932877869,69.3836217125729,1
15/10/19,71.42600132226822,69.42837373079941,1
16/10/19,71.53637753370846,69.48870541421934,1
17/10/19,71.64456807759542,69.54855636709408,1
18/10/19,71.75061623447472,69.60793041994592,1
21/10/19,71.85456442785146,69.66683137277504,1
22/10/19,71.95645424116132,69.72526299530273,1
24/10/19,72.07612841460367,69.7911971547027,1
25/10/19,72.15382884203726,69.84066968733455,1
28/10/19,72.24979262734345,69.89771614400918,1
29/10/19,72.3636581198713,69.96227617473421,1
30/10/19,72.47526885017088,70.02632178290366,1
31/10/19,72.58466946699917,70.08985706750204,1
01/11/19,72.69190373497939,70.15288609485262,1
04/11/19,72.83661851250456,70.23134915385778,1
05/11/19,72.95866567067279,70.30121888171549,1
06/11/19,73.09809803362977,70.37850000616396,1
07/11/19,73.2347693596965,70.45516534476026,1
08/11/19,73.36873432287082,70.53121980416456,1
11/11/19,73.50004651449714,70.60666825194015,1
12/11/19,73.6089564845071,70.67354738937489,1
13/11/19,73.69590784124954,70.73192549782608,1
14/11/19,73.80093936914558,70.79780656955656,1
15/11/19,73.92369304500409,70.87113081999834,1
18/11/19,74.044015955004,70.94387081346449,1
19/11/19,74.18175821332075,71.02399933287911,1
20/11/19,74.29697092196785,71.09552125054542,1
21/11/19,74.40990219083977,71.16647327245342,1
22/11/19,74.52059719696176,71.23685993960518,1
25/11/19,74.62910022276449,71.30668575681948,1
26/11/19,74.71565269360084,71.36798706553007,1
27/11/19,74.78068927392557,71.42083179010753,1
28/11/19,74.78503206058052,71.44935105871225,1
29/11/19,74.78928885146011,71.4776430821488,1
02/12/19,74.77365936925298,71.49774154364563,1
03/12/19,74.75833938174303,71.51767985803889,1
04/12/19,74.74332276032237,71.53745930140113,1
06/12/19,74.74840547793976,71.56504926712701,1
09/12/19,74.71378358728748,71.57648313750846,1
11/12/19,74.69964925882634,71.59579402884306,1
12/12/19,74.70559679825553,71.62291917602359,1
13/12/19,74.7114265646267,71.6498281865732,1
16/12/19,74.69733890988162,71.66855465520608,1
17/12/19,74.66372823839882,71.67916378145942,1
18/12/19,74.6703870851632,71.70562462782229,1
19/12/19,74.67691407357582,71.73187463078784,1
20/12/19,74.68331181469313,71.75791547038315,1
23/12/19,74.68958286786751,71.78374881324862,1
24/12/19,74.65612578137508,71.79344005776457,1
25/12/19,74.64313319164488,71.81102220869872,1
26/12/19,74.63039788091923,71.82846426281267,1
27/12/19,74.6179147545644,71.84576733641576,1
30/12/19,74.60567881883044,71.86293253692241,1
02/01/20,74.61348715905162,71.88792909041307,1
03/01/20,74.60133889847634,71.90475834068866,1
06/01/20,74.54982723712037,71.90551723837241,1
07/01/20,74.51913758886056,71.9142382165527,1
08/01/20,74.48905565640787,71.92288970486703,1
09/01/20,74.47937138598395,71.93944038450952,1
10/01/20,74.4698788832912,71.95585918622658,1
13/01/20,74.4605743509488,71.97214716083832,1
14/01/20,74.47125604696961,71.99627347828184,1
15/01/20,74.46192424405932,72.01223942666206,1
16/01/20,74.47257920952349,72.03604628382014,1
17/01/20,74.48302318557253,72.05966344490524,1
