date,indy1,indy2,check
03/01/18,0,0,0
04/01/18,0,0,0
05/01/18,0,0,0
08/01/18,0,0,0
09/01/18,0,0,0
10/01/18,0,0,0
11/01/18,0,0,0
12/01/18,0,0,0
15/01/18,0,0,0
16/01/18,7,0,0
17/01/18,7,0,0
18/01/18,7,0,0
19/01/18,7,0,0
22/01/18,7,0,0
23/01/18,7,0,0
24/01/18,7,0,0
25/01/18,7,0,0
26/01/18,7,0,0
29/01/18,7,0,0
30/01/18,7,0,0
31/01/18,7,0,0
01/02/18,7,0,0
02/02/18,7,0,0
05/02/18,7,0,0
06/02/18,7,7,0
07/02/18,7,7,0
08/02/18,7,7,0
09/02/18,7,7,0
12/02/18,7,7,0
13/02/18,7,7,0
14/02/18,7,7,0
15/02/18,7,7,0
16/02/18,7,7,0
19/02/18,7,7,0
20/02/18,7,7,0
21/02/18,7,7,0
22/02/18,7,7,0
23/02/18,7,7,0
26/02/18,7,7,0
27/02/18,7,7,0
28/02/18,7,7,0
02/03/18,7,7,0
05/03/18,7,7,0
06/03/18,7,7,0
07/03/18,7,7,0
08/03/18,7,7,0
09/03/18,7,7,0
12/03/18,7,7,0
13/03/18,7,7,0
14/03/18,7,7,0
15/03/18,7,7,0
16/03/18,7,7,0
19/03/18,7,7,0
20/03/18,7,7,0
21/03/18,7,7,0
22/03/18,7,7,0
23/03/18,7,7,0
26/03/18,7,7,0
27/03/18,7,7,0
28/03/18,7,7,0
29/03/18,7,7,0
30/03/18,7,7,0
02/04/18,7,7,0
03/04/18,7,7,0
04/04/18,7,7,0
05/04/18,7,7,0
09/04/18,7,7,0
10/04/18,7,7,0
11/04/18,7,7,0
12/04/18,7,7,0
17/04/18,7,7,0
18/04/18,7,7,0
19/04/18,7,7,0
20/04/18,7,7,0
23/04/18,7,7,0
24/04/18,7,7,0
25/04/18,7,7,0
26/04/18,7,7,0
27/04/18,7,7,0
30/04/18,7,7,0
02/05/18,7,7,0
03/05/18,7,7,0
04/05/18,7,7,0
07/05/18,7,7,0
08/05/18,7,7,0
09/05/18,7,7,0
10/05/18,7,7,0
11/05/18,7,7,0
14/05/18,7.01980198019802,7.00796812749004,1
15/05/18,7.039211841976277,7.015872763924382,1
16/05/18,7.058237350055955,7.023714415207853,1
17/05/18,7.057084135203362,7.023525455724125,1
18/05/18,7.055953756288444,7.023338001893654,1
21/05/18,7.054845761114415,7.023152041719203,1
22/05/18,7.053759706438882,7.0229675632991295,1
23/05/18,7.052695157796528,7.022784554826626,1
24/05/18,7.071453669523329,7.030571132079004,1
25/05/18,7.0898407255723725,7.038295664891123,1
28/05/18,7.107863681501632,7.045958647640995,1
30/05/18,7.105727767016451,7.045592443277322,1
31/05/18,7.12343612806563,7.053197284366745,1
01/06/18,7.140793828499974,7.060741529112827,1
04/06/18,7.157807812094034,7.068225660354956,1
05/06/18,7.174484885121875,7.075650157085195,1
06/06/18,7.171029738881838,7.0750473669888985,1
07/06/18,7.167643011379227,7.074449380000939,1
08/06/18,7.164323347787559,7.073856157849537,1
11/06/18,7.161069420108598,7.073267662567868,1
12/06/18,7.157879926641101,7.072683856491629,1
13/06/18,7.154753591460089,7.072104702256636,1
14/06/18,7.151689163906424,7.071530162796424,1
15/06/18,7.148685418086495,7.070960201339879,1
18/06/18,7.145741152381811,7.0703947814088846,1
19/06/18,7.14285518896831,7.069833866815985,1
20/06/18,7.140026373345176,7.069277421662073,1
21/06/18,7.137253573872994,7.068725410334088,1
22/06/18,7.134535681321053,7.068177797502741,1
25/06/18,7.131871608423607,7.067634548120249,1
26/06/18,7.129260289444922,7.067095627418095,1
27/06/18,7.126700679752943,7.066561000904803,1
28/06/18,7.1241917554014,7.066030634363729,1
29/06/18,7.121732512720184,7.065504493850871,1
02/07/18,7.119321967913844,7.064982545692697,1
03/07/18,7.116959156668026,7.06446475648399,1
04/07/18,7.114643133763709,7.063951093085711,1
05/07/18,7.112372972699081,7.063441522622877,1
06/07/18,7.110147765318901,7.062936012482456,1
09/07/18,7.1079666214512,7.062434530311281,1
10/07/18,7.105828668551176,7.0619370440139795,1
11/07/18,7.103733051352143,7.0614435217509195,1
12/07/18,7.101678931523388,7.060953931936171,1
13/07/18,7.099665487334806,7.060468243235484,1
16/07/18,7.097691913328176,7.059986424564285,1
17/07/18,7.0957574199949445,7.059508445085686,1
18/07/18,7.093861233460391,7.059034274208509,1
19/07/18,7.111804575372067,7.066532009075373,1
20/07/18,7.129392603582521,7.073970001034931,1
23/07/18,7.14663235400663,7.081348726126286,1
24/07/18,7.163530723234222,7.0886686565954,1
25/07/18,7.18009447128899,7.095930260925317,1
26/07/18,7.196330224332772,7.103134003866151,1
31/07/18,7.212244477316281,7.110280346464827,1
01/08/18,7.227843596577345,7.11736974609459,1
02/08/18,7.243133822387694,7.124402656484274,1
03/08/18,7.258121271449324,7.131379527747347,1
06/08/18,7.272811939341417,7.138300806410715,1
07/08/18,7.287211702918815,7.145166935443299,1
08/08/18,7.301326322662996,7.151978354284388,1
09/08/18,7.315161444986502,7.1587354988717635,1
10/08/18,7.32872260449172,7.165438801669598,1
14/08/18,7.342015226184953,7.1720886916961355,1
15/08/18,7.355044627646637,7.178685594551147,1
16/08/18,7.367816021158585,7.185229932443169,1
17/08/18,7.380334515789108,7.191722124216531,1
20/08/18,7.3926051194368485,7.198162585378152,1
21/08/18,7.404632740834138,7.204551728124143,1
22/08/18,7.41642219151069,7.210889961366181,1
23/08/18,7.427978187718399,7.217177690757686,1
24/08/18,7.439305352318034,7.223415318719776,1
27/08/18,7.450408216628568,7.229603244467029,1
28/08/18,7.4612912222398835,7.235741864033028,1
29/08/18,7.471958722789589,7.241831570295713,1
30/08/18,7.482414985704646,7.24787275300252,1
31/08/18,7.492664193908515,7.253865798795329,1
03/09/18,7.502710447494485,7.259811091235207,1
04/09/18,7.512557765365881,7.265709010826958,1
05/09/18,7.522210086843784,7.271559935043476,1
06/09/18,7.531671273242917,7.277364238349903,1
07/09/18,7.540945109416325,7.283122292227593,1
10/09/18,7.550035305269467,7.288834465197891,1
11/09/18,7.558945497244329,7.294501122845717,1
12/09/18,7.5676792497741445,7.3001226278429625,1
13/09/18,7.57624005670931,7.305699339971704,1
14/09/18,7.584631342715066,7.311231616147228,1
17/09/18,7.592856464641501,7.316719810440875,1
18/09/18,7.600918712866421,7.322164274102701,1
19/09/18,7.60882131261164,7.327565355583955,1
20/09/18,7.6165674252331925,7.332923400559381,1
21/09/18,7.64396212968402,7.346206879439387,1
24/09/18,7.651012384541763,7.351416386376124,1
25/09/18,7.65792303039242,7.35658438329743,1
26/09/18,7.664696831770788,7.361711200960399,1
27/09/18,7.6713364984683965,7.366797167486611,1
28/09/18,7.677844686617537,7.371842608383132,1
01/10/18,7.684223999753824,7.376847846563346,1
02/10/18,7.690476989857709,7.381813202367622,1
03/10/18,7.696606158375378,7.386738993583816,1
04/10/18,7.702613957219429,7.391625535467611,1
05/10/18,7.708502789749738,7.39647314076269,1
08/10/18,7.714275011734892,7.401282119720756,1
09/10/18,7.719932932294597,7.406052780121388,1
10/10/18,7.725478814823417,7.410785427291735,1
11/10/18,7.73091487789622,7.415480364126064,1
12/10/18,7.736243296155701,7.420137891105139,1
16/10/18,7.7414662011823205,7.424758306315457,1
17/10/18,7.746585682347027,7.4293419054683225,1
18/10/18,7.7516037876470865,7.433888981918774,1
19/10/18,7.756522524525362,7.438399826684361,1
22/10/18,7.7613438606733745,7.442874728463769,1
24/10/18,7.766069724818456,7.447313973655293,1
25/10/18,7.770702007495318,7.451717846375171,1
26/10/18,7.775242561802342,7.456086628475767,1
29/10/18,7.779693204142889,7.4604205995636095,1
30/10/18,7.784055714951941,7.464720037017286,1
31/10/18,7.788331839408338,7.468985216005196,1
01/11/18,7.792523288132926,7.473216409503163,1
02/11/18,7.796631737872867,7.477413888311903,1
05/11/18,7.800658832172415,7.481577921074358,1
06/11/18,7.804606182030387,7.485708774292889,1
07/11/18,7.808475366544637,7.489806712346332,1
08/11/18,7.812267933543753,7.493871997506919,1
09/11/18,7.8159854002062525,7.497904889957064,1
12/11/18,7.8196292536675145,7.501905647806011,1
13/11/18,7.823200951614693,7.505874527106362,1
14/11/18,7.826701922869847,7.509811781870455,1
15/11/18,7.830133567961533,7.513717664086626,1
16/11/18,7.833497259685067,7.517592423735339,1
19/11/18,7.836794343651699,7.5214363088051766,1
20/11/18,7.8400261388269135,7.525249565308721,1
21/11/18,7.8431939380580635,7.5290324372982935,1
22/11/18,7.846299008591568,7.532785166881574,1
23/11/18,7.849342592579854,7.536507994237099,1
26/11/18,7.8523259075782725,7.540201157629633,1
27/11/18,7.8552501470321685,7.543864893425412,1
28/11/18,7.858116480754304,7.547499436107281,1
29/11/18,7.860926055392833,7.551105018289693,1
30/11/18,7.8636799948900045,7.5546818707336,1
03/12/18,7.866379400931787,7.558230222361221,1
04/12/18,7.888827333586603,7.5697184277607334,1
06/12/18,7.910830752723502,7.581115093674991,1
07/12/18,7.932398460590363,7.592420949502282,1
11/12/18,7.953539085133128,7.603636718828957,1
12/12/18,7.974261083447324,7.614763119475739,1
13/12/18,7.994572745161238,7.625800863543661,1
14/12/18,8.014482195752105,7.636750657459648,1
17/12/18,8.033997399796618,7.647613202021723,1
18/12/18,8.053126164157081,7.6583891924438605,1
19/12/18,8.071876141104466,7.669079318400483,1
20/12/18,8.090254831379626,7.679684264070598,1
21/12/18,8.108269587193892,7.690204708181589,1
24/12/18,8.14572959536827,7.708609451542692,1
25/12/18,8.162645841004542,7.718899416072232,1
26/12/18,8.1792271114797,7.729107388852533,1
27/12/18,8.19548003996525,7.739234023204306,1
28/12/18,8.211411128282771,7.7492799672425186,1
02/01/19,8.227026749504894,7.759245863917877,1
03/01/19,8.242333150504797,7.769132351057974,1
04/01/19,8.257336454455197,7.778940061408109,1
07/01/19,8.272042663277867,7.788669622671789,1
08/01/19,8.286457660044642,7.798321657550899,1
09/01/19,8.300587211330887,7.807896783785553,1
10/01/19,8.314436969522355,7.817395614193637,1
11/01/19,8.347814455274387,7.834786884200062,1
14/01/19,8.380531000714498,7.852039578349862,1
15/01/19,8.412599693769657,7.86915480083313,1
16/01/19,8.42423138300194,7.87816551955159,1
17/01/19,8.435632741754377,7.887104439714526,1
18/01/19,8.466610311224587,7.9039402609120195,1
21/01/19,8.477172483279546,7.912673804649772,1
22/01/19,8.487525503412623,7.921337758397583,1
23/01/19,8.517475493444056,7.937900804147404,1
24/01/19,8.546832414365957,7.954331873437066,1
25/01/19,8.575608010121087,7.97063201787183,1
28/01/19,8.603813792098887,7.986802280677632,1
29/01/19,8.631461043740494,8.002843696767851,1
30/01/19,8.658560825052563,8.018757292809541,1
31/01/19,8.68512397703172,8.034544087289147,1
01/02/19,8.71116112600139,8.050205090577679,1
04/02/19,8.736682687862748,8.065741304995386,1
05/02/19,8.761698872261505,8.081153724875902,1
06/02/19,8.786219686672169,8.096443336629878,1
07/02/19,8.810254940401434,8.111611118808126,1
08/02/19,8.833814248512295,8.126658042164236,1
11/02/19,8.856907035670467,8.141585069716712,1
12/02/19,8.879542539914617,8.156393156810603,1
13/02/19,8.901729816351951,8.171083251178645,1
14/02/19,8.923477740780625,8.185656293001923,1
15/02/19,8.944795013240414,8.200113214970035,1
18/02/19,8.965690161493079,8.214454942340792,1
20/02/19,8.98617154443381,8.228682392999431,1
21/02/19,9.006247355435121,8.242796477517365,1
22/02/19,9.025925625624525,8.256798099210453,1
25/02/19,9.045214227097308,8.270688154196824,1
26/02/19,9.064120876065678,8.28446753145422,1
27/02/19,9.082653135945565,8.298137112876896,1
28/02/19,9.100818420382286,8.31169777333206,1
01/03/19,9.1186239962163,8.325150380715868,1
04/03/19,9.136076986390234,8.338495796008969,1
05/03/19,9.153184372798348,8.351734873331607,1
06/03/19,9.16995299907957,8.364868459998288,1
07/03/19,9.166587593157201,8.369929269081966,1
08/03/19,9.183090809134287,8.382917880483705,1
11/03/19,9.17946524855737,8.387834869483834,1
12/03/19,9.195713461457224,8.400680806778784,1
13/03/19,9.211639927566981,8.413424386007637,1
14/03/19,9.22725101811021,8.426066422772516,1
15/03/19,9.24255297814763,8.43860772617672,1
18/03/19,9.2575519290754,8.451049098876506,1
19/03/19,9.272253871073906,8.463391337132471,1
20/03/19,9.286664685508086,8.4756352308605,1
21/03/19,9.300790137280202,8.487781563682328,1
22/03/19,9.31463587713604,8.499831112975695,1
25/03/19,9.328207443925425,8.511784649924095,1
26/03/19,9.341510266817991,8.523642939566134,1
27/03/19,9.35454966747506,8.535406740844492,1
28/03/19,9.367330862178525,8.547076806654495,1
29/03/19,9.379858963917565,8.558653883892308,1
01/04/19,9.392138984434048,8.570138713502729,1
02/04/19,9.404175836227433,8.581532030526612,1
03/04/19,9.396172354321939,8.584866436657874,1
04/04/19,9.388327357206652,8.588174273815978,1
05/04/19,9.400439686766916,8.59942388119593,1
09/04/19,9.412312168217076,8.610583850270066,1
10/04/19,9.42394955102466,8.621654895287834,1
11/04/19,9.43535649060833,8.632637724807454,1
12/04/19,9.446537550200244,8.643533041741259,1
17/04/19,9.457497202671526,8.654341543400692,1
18/04/19,9.468239832321595,8.665063921540925,1
19/04/19,9.478769736632058,8.67570086240514,1
22/04/19,9.489091127985878,8.686253046768446,1
23/04/19,9.499208135352495,8.696721149981446,1
24/04/19,9.509124805939575,8.707105842013467,1
25/04/19,9.518845106812059,8.717407787495432,1
26/04/19,9.528372926479147,8.7276276457624,1
29/04/19,9.537712076449857,8.737766070895768,1
30/04/19,9.54686629275778,8.747823711765124,1
02/05/19,9.555839237455647,8.757801212069785,1
03/05/19,9.584436480278308,8.775667337870026,1
07/05/19,9.612467441064876,8.793391104102136,1
08/05/19,9.620141353122998,8.803005517615267,1
09/05/19,9.647465286724522,8.820511449745823,1
10/05/19,9.674248152333938,8.83787789237733,1
13/05/19,9.70050066416891,8.855105956979902,1
14/05/19,9.726233324284378,8.872196746167313,1
15/05/19,9.751456426773796,8.889151353767573,1
16/05/19,9.776180061887187,8.905970864892932,1
17/05/19,9.80041412006764,8.922656356009323,1
21/05/19,9.824168295907883,8.939208895005265,1
22/05/19,9.847452092028519,8.955629541260203,1
23/05/19,9.87027482287944,8.971919345712314,1
24/05/19,9.892645618465986,8.988079350925762,1
27/05/19,9.914573428001313,9.00411059115743,1
28/05/19,9.936067023486435,9.020014092423107,1
29/05/19,9.957135003219378,9.035790872563162,1
30/05/19,9.977785795234835,9.051441941307678,1
31/05/19,9.99802766067573,9.066968300341083,1
04/06/19,10.017868697097992,9.082370943366254,1
05/06/19,10.037316841709913,9.097650856168116,1
06/06/19,10.056379874547341,9.112809016676737,1
07/06/19,10.075065421586007,9.127846395029911,1
10/06/19,10.093380957792226,9.14276395363525,1
11/06/19,10.131135790311191,9.165530774721821,1
12/06/19,10.148341022186218,9.180148059385392,1
13/06/19,10.165205556400352,9.194648871661204,1
14/06/19,10.181736139441929,9.209034139616096,1
17/06/19,10.197939384205455,9.223304783921943,1
18/06/19,10.21382177263703,9.237461717914597,1
19/06/19,10.229389658327385,9.251505847652329,1
20/06/19,10.244649269053575,9.265438071973824,1
21/06/19,10.259606709270336,9.279259282555707,1
24/06/19,10.274267962552113,9.292970363969605,1
25/06/19,10.288638893986723,9.306572193738772,1
26/06/19,10.30272525252164,9.32006564239424,1
27/06/19,10.316532673263785,9.33345157353054,1
28/06/19,10.33006667973381,9.346730843860975,1
01/07/19,10.343332686075714,9.359904303272442,1
02/07/19,10.356335999222729,9.372972794879834,1
03/07/19,10.369081821020298,9.385937155079995,1
04/07/19,10.381575250307025,9.398798213605254,1
05/07/19,10.393821284954411,9.411556793576526,1
08/07/19,10.405824823866205,9.424213711555996,1
09/07/19,10.41759066893816,9.436769777599375,1
10/07/19,10.429123526978989,9.449225795307747,1
11/07/19,10.440428011593266,9.461582561879,1
12/07/19,10.431706664829044,9.465872740668809,1
15/07/19,10.423158018000745,9.470128734767066,1
17/07/19,10.41477865130766,9.474350816561751,1
18/07/19,10.406565212667905,9.478539256270421,1
19/07/19,10.418316396575472,9.49066244944755,1
22/07/19,10.410032903573978,9.494720915985816,1
23/07/19,10.40191344013687,9.498747044145292,1
24/07/19,10.393954758153962,9.502741091602301,1
25/07/19,10.386153673834082,9.506703313979973,1
26/07/19,10.378507066431427,9.510633964864594,1
30/07/19,10.37101187699714,9.514533295821849,1
31/07/19,10.363665107155613,9.51840155641291,1
01/08/19,10.356463817905007,9.522238994210417,1
02/08/19,10.349405128441543,9.526045854814319,1
05/08/19,10.342486215007057,9.529822381867591,1
06/08/19,10.335704309759393,9.533568817071833,1
07/08/19,10.348858679863167,9.545253527692775,1
08/08/19,10.361752567390628,9.556845133049805,1
09/08/19,10.354589150214576,9.560376247527495,1
13/08/19,10.347567582883594,9.563879225634846,1
14/08/19,10.340685056489859,9.567354291566042,1
15/08/19,10.333938817747486,9.570801667728862,1
16/08/19,10.3273261678911,9.57422157475891,1
19/08/19,10.340646441794245,9.58558235902378,1
20/08/19,10.333900967699309,9.5888844916212,1
21/08/19,10.347091047546847,9.600128439895135,1
22/08/19,10.360019937694434,9.611282794955732,1
23/08/19,10.372692810215336,9.622348270693138,1
26/08/19,10.385114734765526,9.63332557530913,1
27/08/19,10.397290680611754,9.644215411362444,1
28/08/19,10.409225518619442,9.655018475813739,1
29/08/19,10.401122043003216,9.657767332580162,1
30/08/19,10.412981012448697,9.66846241359546,1
02/09/19,10.424605150816049,9.679072274841712,1
03/09/19,10.435999108225632,9.689597595360901,1
04/09/19,10.447167442716214,9.70003904878432,1
05/09/19,10.458114622068369,9.71039730337568,1
06/09/19,10.468845025591767,9.720673022073882,1
09/09/19,10.479362945877078,9.730866862535445,1
10/09/19,10.489672590513175,9.740979477176596,1
11/09/19,10.49977808377034,9.75101151321503,1
12/09/19,10.509683468250135,9.760963612711324,1
13/09/19,10.519392706502607,9.770836412610038,1
16/09/19,10.528909682611467,9.780630544780475,1
17/09/19,10.538238203747873,9.790346636057125,1
18/09/19,10.54738200169346,9.799985308279776,1
19/09/19,10.556344734333194,9.809547178333323,1
20/09/19,10.545328006920656,9.8110647306972,1
23/09/19,10.534529432526186,9.812570191010371,1
24/09/19,10.543746671486064,9.822031783113873,1
25/09/19,10.532979410664558,9.823449856555197,1
26/09/19,10.522425362928626,9.824856630606549,1
27/09/19,10.51208030623697,9.826252195302912,1
30/09/19,10.50194010215307,9.827636639961852,1
01/10/19,10.492000694189642,9.829010053189249,1
02/10/19,10.482258106185887,9.830372522884952,1
03/10/19,10.47270844071686,9.831724136248418,1
04/10/19,10.463347877534348,9.833064979784288,1
07/10/19,10.454172672038618,9.834395139307919,1
08/10/19,10.445179153780428,9.835714699950884,1
09/10/19,10.436363724992697,9.837023746166414,1
10/10/19,10.427722859151258,9.838322361734809,1
11/10/19,10.419253099564104,9.839610629768794,1
15/10/19,10.410951057988576,9.840888632718844,1
16/10/19,10.402813413275931,9.842156452378456,1
17/10/19,10.394836910042745,9.843414169889384,1
18/10/19,10.387018357368632,9.844661865746838,1
21/10/19,10.379354627519747,9.845899619804632,1
22/10/19,10.371842654697573,9.847127511280291,1
24/10/19,10.364479433812473,9.84834561876013,1
25/10/19,10.357262019281533,9.849554020204272,1
28/10/19,10.350187523850217,9.850752792951647,1
29/10/19,10.36305509763536,9.85991014121498,1
30/10/19,10.355865887781194,9.86102639506984,1
31/10/19,10.3488190385182,9.862133754471675,1
01/11/19,10.341911730824771,9.863232290292617,1
04/11/19,10.335141201501509,9.864322072840086,1
05/11/19,10.328504742065835,9.86540317186128,1
06/11/19,10.321999697668492,9.866475656547644,1
07/11/19,10.315623466031491,9.867539595539297,1
08/11/19,10.309373496407105,9.868595056929422,1
11/11/19,10.30324728855746,9.86964210826863,1
12/11/19,10.297242391754342,9.870680816569278,1
13/11/19,10.29135640379881,9.871711248309762,1
14/11/19,10.28558697006022,9.872733469438767,1
15/11/19,10.279931782534275,9.873747545379494,1
18/11/19,10.274388578919735,9.87475354103384,1
19/11/19,10.268955141713404,9.875751520786558,1
20/11/19,10.263629297323039,9.876741548509374,1
21/11/19,10.25840891519783,9.877723687565076,1
22/11/19,10.25329190697609,9.87869800081157,1
25/11/19,10.24827622564983,9.8796645506059,1
26/11/19,10.243359864745873,9.880623398808243,1
27/11/19,10.238540857523182,9.881574606785867,1
28/11/19,10.23381727618609,9.882518235417054,1
29/11/19,10.229187231113098,9.883454345095005,1
02/12/19,10.224648870100957,9.884382995731698,1
03/12/19,10.22020037762371,9.885304246761725,1
04/12/19,10.215839974106409,9.886218157146095,1
06/12/19,10.211565915213212,9.887124785376006,1
09/12/19,10.207376491149585,9.888024189476596,1
11/12/19,10.223072006176325,9.896884554500687,1
12/12/19,10.23845671892531,9.905674319006657,1
13/12/19,10.253536783897086,9.914394045548436,1
16/12/19,10.268318233720906,9.923044292197453,1
17/12/19,10.282806981568017,9.93162561257835,1
18/12/19,10.297008823517166,9.940138555904419,1
19/12/19,10.310929440873261,9.94858366701275,1
20/12/19,10.324574402440128,9.956961486399102,1
23/12/19,10.337949166748244,9.965272550252495,1
24/12/19,10.351059084238377,9.973517390489526,1
25/12/19,10.363909399401974,9.981696534788414,1
26/12/19,10.356703272681143,9.981842379132729,1
27/12/19,10.369441821736961,9.989955188860755,1
30/12/19,10.362126142098605,9.990035227196525,1
02/01/20,10.354955327403584,9.990114627776633,1
03/01/20,10.367728489237177,9.998161523172834,1
06/01/20,10.360446736975055,9.99817617239058,1
07/01/20,10.373111158025054,10.006158832371533,1
08/01/20,10.385524798460201,10.014077885500047,1
09/01/20,10.397692624233267,10.021933838603632,1
10/01/20,10.409619502961322,10.029727194471333,1
13/01/20,10.42131020587298,10.037458451885904,1
14/01/20,10.432769409717078,10.045128105655737,1
15/01/20,10.444001698633572,10.052736646646528,1
16/01/20,10.455011565987363,10.060284561812692,1
17/01/20,10.46580341616583,10.067772334228527,1
20/01/20,10.476381566340764,10.075200443119137,1
21/01/20,10.486750248195403,10.082569363891096,1
22/01/20,10.496913609617275,10.08987956816288,1
23/01/20,10.506875716357527,10.09713152379505,1
24/01/20,10.516640553657378,10.104325694920188,1
27/01/20,10.50641004764436,10.103494414482578,1
28/01/20,10.496382125908829,10.102669757793473,1
29/01/20,10.48655277688093,10.101851672074003,1
30/01/20,10.496720048625862,10.109008232455883,1
31/01/20,10.506685988257033,10.11610776845225,1
03/02/20,10.496652602350952,10.11518260695064,1
04/02/20,10.486817897353903,10.114264817253822,1
05/02/20,10.47717793899046,10.113354340622317,1
06/02/20,10.467728870891639,10.112451118784689,1
07/02/20,10.47826889325022,10.119523221423854,1
11/02/20,10.488600202294771,10.126538972647568,1
12/02/20,10.498726930962201,10.133498821471093,1
13/02/20,10.508653130349089,10.140403213331881,1
14/02/20,10.518382771332275,10.14725259011808,1
17/02/20,10.508117765959359,10.146079262706781,1
18/02/20,10.517858008217589,10.152883412007922,1
19/02/20,10.527405374391497,10.159633344979971,1
20/02/20,10.516961703611468,10.158361366135509,1
21/02/20,10.506724838193419,10.157099522580644,1
24/02/20,10.496690682981669,10.155847733556097,1
25/02/20,10.486855223912725,10.154605918946089,1
26/02/20,10.457412546211483,10.145405871783172,1
27/02/20,10.428552891831057,10.136279131768964,1
28/02/20,10.400264715755194,10.127225114782757,1
02/03/20,10.372536701581824,10.118243241358194,1
03/03/20,10.345357756996044,10.109332936646176,1
04/03/20,10.318717009332756,10.100493630378079,1
05/03/20,10.292603801227157,10.09172475682925,1
