date,indy1,indy2,check
03/01/18,0,50,0
04/01/18,0,50,0
05/01/18,0,50,0
08/01/18,0,50,0
09/01/18,0,50,0
10/01/18,0,50,0
11/01/18,0,50,0
12/01/18,0,50,0
15/01/18,0,50,0
16/01/18,0,50,0
17/01/18,0,50,0
18/01/18,0,50,0
19/01/18,0,50,0
22/01/18,0,50,0
23/01/18,59.26,50,1
24/01/18,60.82,50,1
25/01/18,50.41,50,1
26/01/18,50.41,50,1
29/01/18,57.21,50,1
30/01/18,55.17,50,1
31/01/18,55.17,50,1
01/02/18,66.3,50,1
02/02/18,62.15,50,1
05/02/18,54.76,50,1
06/02/18,49.96,50,0
07/02/18,52.92,50,1
08/02/18,54.38,50,1
09/02/18,50.98,50,1
12/02/18,50.98,50,1
13/02/18,55.78,50,1
14/02/18,55.78,50,1
15/02/18,58.89,50,1
16/02/18,65.44,50,1
19/02/18,61.24,50,1
20/02/18,50.72,50,1
21/02/18,50.72,50,1
22/02/18,55.18,50,1
23/02/18,62.5,50,1
26/02/18,62.5,50,1
27/02/18,57.09,50,1
28/02/18,59.6,50,1
02/03/18,62,50,1
05/03/18,60.08,50,1
06/03/18,63.7,50,1
07/03/18,64.85,50,1
08/03/18,70.8,50,1
09/03/18,66.74,50,1
12/03/18,66.74,50,1
13/03/18,64.6,50,1
14/03/18,53.48,50,1
15/03/18,58.6,50,1
16/03/18,53.82,50,1
19/03/18,50.84,50,1
20/03/18,53.6,50,1
21/03/18,50.54,50,1
22/03/18,50.54,50,1
23/03/18,53.61,50,1
26/03/18,56.52,50,1
27/03/18,56.52,50,1
28/03/18,49.35,50,0
29/03/18,49.35,50,0
30/03/18,58.51,50,1
02/04/18,64.31,50,1
03/04/18,58.98,50,1
04/04/18,51.35,50,1
05/04/18,55.1,50,1
09/04/18,63.25,50,1
10/04/18,63.25,50,1
11/04/18,60.09,50,1
12/04/18,58.51,50,1
17/04/18,55.39,50,1
18/04/18,59.99,50,1
19/04/18,51.42,50,1
20/04/18,54.89,50,1
23/04/18,54.89,50,1
24/04/18,53.42,50,1
25/04/18,58.25,50,1
26/04/18,41.88,50,0
27/04/18,33.83,50,0
30/04/18,30.92,50,0
02/05/18,32.18,50,0
03/05/18,34.73,50,0
04/05/18,34.04,50,0
07/05/18,32.64,50,0
08/05/18,29.99,50,0
09/05/18,29.99,50,0
10/05/18,29.3,50,0
11/05/18,39.76,50,0
14/05/18,38.03,50,0
15/05/18,38.03,50,0
16/05/18,43.71,50,0
17/05/18,40.69,50,0
18/05/18,42.13,50,0
21/05/18,41.06,50,0
22/05/18,38.93,50,0
23/05/18,38.93,50,0
24/05/18,43.98,50,0
25/05/18,47.12,50,0
28/05/18,45.74,50,0
30/05/18,43.02,50,0
31/05/18,44.79,50,0
01/06/18,48.24,50,0
04/06/18,48.24,50,0
05/06/18,46.55,50,0
06/06/18,44.86,50,0
07/06/18,41.61,50,0
08/06/18,43.8,50,0
11/06/18,45.99,50,0
12/06/18,44.14,50,0
13/06/18,46.46,50,0
14/06/18,48.75,50,0
15/06/18,44.64,50,0
18/06/18,36.37,50,0
19/06/18,30.33,50,0
20/06/18,34.98,50,0
21/06/18,32.64,50,0
22/06/18,27.64,50,0
25/06/18,26.76,50,0
26/06/18,23.52,50,0
27/06/18,21.43,50,0
28/06/18,28.3,50,0
29/06/18,24.46,50,0
02/07/18,28.63,50,0
03/07/18,34.47,50,0
04/07/18,36.34,50,0
05/07/18,33.27,50,0
06/07/18,35.24,50,0
09/07/18,40.86,50,0
10/07/18,42.65,50,0
11/07/18,38.85,50,0
12/07/18,38.85,50,0
13/07/18,42.79,50,0
16/07/18,40.01,50,0
17/07/18,42.04,50,0
18/07/18,44.07,50,0
19/07/18,46.1,50,0
20/07/18,53.4,50,1
23/07/18,49.77,50,0
24/07/18,51.54,50,1
25/07/18,60.54,50,1
26/07/18,56.76,50,1
31/07/18,56.76,50,1
01/08/18,59.68,50,1
02/08/18,57.59,50,1
03/08/18,60.57,50,1
06/08/18,56.31,50,1
07/08/18,59.38,50,1
08/08/18,62.25,50,1
09/08/18,49.17,50,0
10/08/18,47.64,50,0
14/08/18,50.94,50,1
15/08/18,47.7,50,0
16/08/18,44.64,50,0
17/08/18,41.75,50,0
20/08/18,47.26,50,0
21/08/18,47.26,50,0
22/08/18,49.12,50,0
23/08/18,50.98,50,1
24/08/18,50.98,50,1
27/08/18,50.98,50,1
28/08/18,50.98,50,1
29/08/18,50.98,50,1
30/08/18,48.42,50,0
31/08/18,55.63,50,1
03/09/18,52.97,50,1
04/09/18,50.38,50,1
05/09/18,47.85,50,0
06/09/18,50.52,50,1
07/09/18,50.52,50,1
10/09/18,50.52,50,1
11/09/18,47.49,50,0
12/09/18,47.49,50,0
13/09/18,56.57,50,1
14/09/18,53.26,50,1
17/09/18,50.11,50,1
18/09/18,55.75,50,1
19/09/18,52.55,50,1
20/09/18,52.55,50,1
21/09/18,58.13,50,1
24/09/18,60.62,50,1
25/09/18,62.99,50,1
26/09/18,62.99,50,1
27/09/18,62.99,50,1
28/09/18,67.83,50,1
01/10/18,74.9,50,1
02/10/18,60.57,50,1
03/10/18,62.5,50,1
04/10/18,66.08,50,1
05/10/18,57.25,50,1
08/10/18,60.99,50,1
09/10/18,58.25,50,1
10/10/18,61.94,50,1
11/10/18,54.2,50,1
12/10/18,57.97,50,1
16/10/18,61.39,50,1
17/10/18,56.44,50,1
18/10/18,56.44,50,1
19/10/18,58.39,50,1
22/10/18,60.3,50,1
24/10/18,54.87,50,1
25/10/18,56.96,50,1
26/10/18,51.8,50,1
29/10/18,57.95,50,1
30/10/18,55.41,50,1
31/10/18,62.49,50,1
01/11/18,64.02,50,1
02/11/18,61.32,50,1
05/11/18,61.32,50,1
06/11/18,55.85,50,1
07/11/18,53.28,50,1
08/11/18,50.78,50,1
09/11/18,46.1,50,0
12/11/18,46.1,50,0
13/11/18,41.66,50,0
14/11/18,47.15,50,0
15/11/18,44.87,50,0
16/11/18,47.59,50,0
19/11/18,50.24,50,1
20/11/18,43.2,50,0
21/11/18,52.72,50,1
22/11/18,48.35,50,0
23/11/18,52.58,50,1
26/11/18,52.58,50,1
27/11/18,58.49,50,1
28/11/18,55.98,50,1
29/11/18,59.7,50,1
30/11/18,52.54,50,1
03/12/18,63.53,50,1
04/12/18,59.31,50,1
06/12/18,59.31,50,1
07/12/18,60.82,50,1
11/12/18,60.82,50,1
12/12/18,58.31,50,1
13/12/18,55.82,50,1
14/12/18,57.76,50,1
17/12/18,61.41,50,1
18/12/18,49.83,50,0
19/12/18,58.3,50,1
20/12/18,58.3,50,1
21/12/18,56.1,50,1
24/12/18,53.91,50,1
25/12/18,46.16,50,0
26/12/18,46.16,50,0
27/12/18,35.73,50,0
28/12/18,41.8,50,0
02/01/19,41.8,50,0
03/01/19,47.54,50,0
04/01/19,42.97,50,0
07/01/19,48.32,50,0
08/01/19,51.58,50,1
09/01/19,33.42,50,0
10/01/19,30.53,50,0
11/01/19,39.05,50,0
14/01/19,43.99,50,0
15/01/19,42.15,50,0
16/01/19,43.42,50,0
17/01/19,43.42,50,0
18/01/19,43.42,50,0
21/01/19,39.12,50,0
22/01/19,48.7,50,0
23/01/19,47.55,50,0
24/01/19,50.09,50,1
25/01/19,48.81,50,0
28/01/19,53.86,50,1
29/01/19,51.15,50,1
30/01/19,49.79,50,0
31/01/19,51.18,50,1
01/02/19,52.6,50,1
04/02/19,52.6,50,1
05/02/19,50.89,50,1
06/02/19,50.89,50,1
07/02/19,42.82,50,0
08/02/19,48.13,50,0
11/02/19,46.58,50,0
12/02/19,45.01,50,0
13/02/19,41.98,50,0
14/02/19,45.91,50,0
15/02/19,47.81,50,0
18/02/19,44.44,50,0
20/02/19,51.76,50,1
21/02/19,46.78,50,0
22/02/19,50.22,50,1
25/02/19,51.9,50,1
26/02/19,57.98,50,1
27/02/19,56.07,50,1
28/02/19,52.36,50,1
01/03/19,52.36,50,1
04/03/19,46.95,50,0
05/03/19,46.95,50,0
06/03/19,41.92,50,0
07/03/19,44.07,50,0
08/03/19,40.82,50,0
11/03/19,39.26,50,0
12/03/19,43.88,50,0
13/03/19,43.88,50,0
14/03/19,42.03,50,0
15/03/19,40.2,50,0
18/03/19,38.4,50,0
19/03/19,38.4,50,0
20/03/19,38.4,50,0
21/03/19,38.4,50,0
22/03/19,41.9,50,0
25/03/19,35.4,50,0
26/03/19,41.87,50,0
27/03/19,41.87,50,0
28/03/19,45.06,50,0
29/03/19,48.13,50,0
01/04/19,51.07,50,1
02/04/19,48.13,50,0
03/04/19,51.16,50,1
04/04/19,45.44,50,0
05/04/19,45.44,50,0
09/04/19,48.76,50,0
10/04/19,48.76,50,0
