date,indy1,indy2,check
03/01/18,0,0,0
04/01/18,0,0,0
05/01/18,0,0,0
08/01/18,0,0,0
09/01/18,0,0,0
10/01/18,0,0,0
11/01/18,0,0,0
12/01/18,0,0,0
15/01/18,0,0,0
16/01/18,8,0,0
17/01/18,8,0,0
18/01/18,8,0,0
19/01/18,8,0,0
22/01/18,8,0,0
23/01/18,8,0,0
24/01/18,8,0,0
25/01/18,8,0,0
26/01/18,8,0,0
29/01/18,8,0,0
30/01/18,8,0,0
31/01/18,8,0,0
01/02/18,7.98019801980198,0,0
02/02/18,7.980590138221743,0,0
05/02/18,7.980974491920322,0,0
06/02/18,7.961549254456553,7.92,1
07/02/18,7.942508675160384,7.912669322709164,1
08/02/18,7.923845137038396,7.905397057189568,1
09/02/18,7.905551173928725,7.898182738008775,1
12/02/18,7.907421447712315,7.898994030933008,1
13/02/18,7.889452706173457,7.8918307318817495,0
14/02/18,7.8916417614967544,7.89269263840062,0
15/02/18,7.893787469189888,7.893547677138463,1
16/02/18,7.895890687621772,7.894395902818635,1
19/02/18,7.897952258163914,7.895237369728447,1
20/02/18,7.899973005527005,7.896072131722643,1
21/02/18,7.9019537380908265,7.896900242226844,1
22/02/18,7.9038952482276414,7.8977217542409734,1
23/02/18,7.905798312619173,7.898536720342639,1
26/02/18,7.907663692567309,7.8993451926905065,1
27/02/18,7.909492134298649,7.900147223027634,1
28/02/18,7.911284369263032,7.900942862684785,1
02/03/18,7.91304111442614,7.901732162583711,1
05/03/18,7.914763072556315,7.902515173240414,1
06/03/18,7.916450932505695,7.903291944768379,1
07/03/18,7.91810536948578,7.904062526881779,1
08/03/18,7.919727045337547,7.904826968898657,1
09/03/18,7.921316608796209,7.905585319744087,1
12/03/18,7.92287469575074,7.906337627953297,1
13/03/18,7.92440192949825,7.9070839416747845,1
14/03/18,7.925898920993334,7.9078243086733915,1
15/03/18,7.927366269092476,7.908558776333364,1
16/03/18,7.9288045607936155,7.909287391661385,1
19/03/18,7.93021437147097,7.910010201289581,1
20/03/18,7.931596265105208,7.910727251478509,1
21/03/18,7.932950794509065,7.911438588120114,1
22/03/18,7.934278501548489,7.912144256740671,1
23/03/18,7.9355799173594095,7.912844302503694,1
26/03/18,7.936855562560213,7.913538770212828,1
27/03/18,7.938105947460011,7.914227704314717,1
28/03/18,7.939331572262783,7.914911148901851,1
29/03/18,7.940532927267481,7.915589147715382,1
30/03/18,7.941710493064164,7.916261744147929,1
02/04/18,7.94286474072626,7.916928981246351,1
03/04/18,7.943996131999008,7.917590901714508,1
04/04/18,7.945105119484175,7.918247547915986,1
05/04/18,7.946192146821122,7.918898961876815,1
09/04/18,7.9472576488642686,7.919545185288155,1
10/04/18,7.9483020518570555,7.9201862595089665,1
11/04/18,7.94932577360246,7.920822225568656,1
12/04/18,7.950329223630134,7.921453124169702,1
17/04/18,7.9513128033602305,7.922078995690262,1
18/04/18,7.952276906263989,7.922699880186753,1
19/04/18,7.953221918021137,7.92331581739642,1
20/04/18,7.954148216674184,7.923926846739875,1
23/04/18,7.9550561727796465,7.924533007323621,1
24/04/18,7.955946149556287,7.9251343379425565,1
25/04/18,7.95681850303042,7.925730877082456,1
26/04/18,7.957673582178333,7.926322662922437,1
27/04/18,7.958511729065891,7.926909733337397,1
30/04/18,7.959333278985378,7.927492125900446,1
02/05/18,7.979940540787648,7.936038005375343,1
03/05/18,8.000139737999774,7.944515790193069,1
04/05/18,8.01993895110869,7.9529260229405345,1
07/05/18,8.039346100591686,7.961269241881247,1
08/05/18,8.05836895008492,7.969545980989763,1
09/05/18,8.07701510948918,7.977756769985861,1
10/05/18,8.095292038014147,7.985902134368444,1
11/05/18,8.113207047162382,7.9939825954491734,1
14/05/18,8.130767303654215,8.001998670385833,1
15/05/18,8.147979832294725,8.009950872215427,1
16/05/18,8.164851518783939,8.017839709887017,1
17/05/18,8.181389112471386,8.025665688294293,1
18/05/18,8.197599229056111,8.033429308307884,1
21/05/18,8.213488353233219,8.041131066807424,1
22/05/18,8.229062841288007,8.048771456713341,1
23/05/18,8.24432892363874,8.056350967018414,1
24/05/18,8.259292707329061,8.063870082819063,1
25/05/18,8.27396017847106,8.071329285346401,1
28/05/18,8.288337204639951,8.078729051997028,1
30/05/18,8.30242953722134,8.086069856363586,1
31/05/18,8.316242813712005,8.093352168265072,1
01/06/18,8.329782559975135,8.100576453776904,1
04/06/18,8.343054192450875,8.107743175260754,1
05/06/18,8.356063020323136,8.114852791394135,1
06/06/18,8.36881424764347,8.121905757199759,1
07/06/18,8.381312975412907,8.128902524074661,1
08/06/18,8.393564203622553,8.135843539819087,1
11/06/18,8.405572833253789,8.14272924866515,1
12/06/18,8.417343668238862,8.149560091305268,1
13/06/18,8.428881417382646,8.156336504920366,1
14/06/18,8.440190696246356,8.163058923207853,1
15/06/18,8.451276028993952,8.169727776409383,1
18/06/18,8.462141850201993,8.176343491338391,1
19/06/18,8.472792506633636,8.182906491407408,1
20/06/18,8.483232258977525,8.189417196655159,1
21/06/18,8.493465283552228,8.195876023773444,1
22/06/18,8.503495673976936,8.202283386133814,1
25/06/18,8.513327442809075,8.208639693814023,1
26/06/18,8.52296452314949,8.21494535362427,1
27/06/18,8.532410770215836,8.22120076913324,1
28/06/18,8.54166996288483,8.227406340693932,1
29/06/18,8.530943825005922,8.225594337979238,1
02/07/18,8.520430085896894,8.22379677353319,1
03/07/18,8.52992651983953,8.229981659799858,1
04/07/18,8.539234905585282,8.23611726410424,1
05/07/18,8.548358966860821,8.242203979131299,1
06/07/18,8.557302353655656,8.248242194437026,1
09/07/18,8.566068643682277,8.254232296473385,1
10/07/18,8.57466134380738,8.260174668613038,1
11/07/18,8.58308389145476,8.26606969117389,1
12/07/18,8.591339655980407,8.27191774144342,1
13/07/18,8.599431940020398,8.277719193702836,1
16/07/18,8.607363980812075,8.283474419251021,1
17/07/18,8.615138951489064,8.289183786428303,1
18/07/18,8.622759962350667,8.29484766064003,1
19/07/18,8.630230062106099,8.30046640437995,1
20/07/18,8.637552239094097,8.306040377253417,1
23/07/18,8.644729422478372,8.311569936000401,1
24/07/18,8.651764483419395,8.317055434518327,1
25/07/18,8.658660236222971,8.322497223884715,1
26/07/18,8.665419439466081,8.327895652379658,1
31/07/18,8.672044797100416,8.333251065508106,1
01/08/18,8.678538959534071,8.338563806021986,1
02/08/18,8.684904524691813,8.343834213942129,1
03/08/18,8.691144039054352,8.349062626580041,1
06/08/18,8.697259998677039,8.354249378559484,1
07/08/18,8.703254850188385,8.359394801837894,1
08/08/18,8.709130991768813,8.364499225727632,1
09/08/18,8.714890774110025,8.369562976917054,1
10/08/18,8.72053650135537,8.37458637949142,1
14/08/18,8.7260704320216,8.379569754953641,1
15/08/18,8.731494779902361,8.384513422244847,1
16/08/18,8.736811714953799,8.38941769776481,1
17/08/18,8.742023364162634,8.394282895392182,1
20/08/18,8.747131812397038,8.399109326504595,1
21/08/18,8.752139103240662,8.403897299998583,1
22/08/18,8.757047239810154,8.408647122309352,1
23/08/18,8.761858185556488,8.413359097430392,1
24/08/18,8.766573865050418,8.41803352693294,1
27/08/18,8.77119616475239,8.422670709985267,1
28/08/18,8.775726933767194,8.42727094337184,1
29/08/18,8.780167984583684,8.431834521512302,1
30/08/18,8.78452109379985,8.43636173648033,1
31/08/18,8.788788002833515,8.44085287802232,1
03/09/18,8.79297041861899,8.445308233575926,1
04/09/18,8.797070014289902,8.449728088288468,1
05/09/18,8.801088429848518,8.454112725035174,1
06/09/18,8.805027272821814,8.458462424437284,1
07/09/18,8.80888811890455,8.462777464880014,1
10/09/18,8.812672512589609,8.467058122530373,1
11/09/18,8.816381967785855,8.471304671354833,1
12/09/18,8.820017968423759,8.475517383136866,1
13/09/18,8.82358196904903,8.479696527494342,1
14/09/18,8.827075395404496,8.483842371896777,1
17/09/18,8.830499645000446,8.48795518168246,1
18/09/18,8.833856087673704,8.49203522007543,1
19/09/18,8.837146066135611,8.49608274820232,1
20/09/18,8.840370896509164,8.500098025109073,1
21/09/18,8.843531868855518,8.504081307777527,1
24/09/18,8.846630247690062,8.50803285114185,1
25/09/18,8.849667272488277,8.511952908104863,1
26/09/18,8.85264415818158,8.515841729554227,1
27/09/18,8.85556209564333,8.519699564378495,1
28/09/18,8.858422252165244,8.52352665948305,1
01/10/18,8.861225771924348,8.527323259805893,1
02/10/18,8.863973776440698,8.531089608333337,1
03/10/18,8.86666736502603,8.534825946115541,1
04/10/18,8.869307615223535,8.538532512281952,1
05/10/18,8.871895583238912,8.542209544056599,1
08/10/18,8.874432304362893,8.54585727677328,1
09/10/18,8.87691879338541,8.549475943890624,1
10/10/18,8.879356045001542,8.553065777007033,1
11/10/18,8.881745034209432,8.556627005875503,1
12/10/18,8.884086716700335,8.560159858418329,1
16/10/18,8.886382029240922,8.563664560741689,1
17/10/18,8.888631890048032,8.567141337150122,1
18/10/18,8.890837199155992,8.570590410160879,1
19/10/18,8.873196858578646,8.566043873028123,1
22/10/18,8.855905831676099,8.561533563282879,1
24/10/18,8.83895720134588,8.557059192260704,1
25/10/18,8.842146167655862,8.560588601087312,1
26/10/18,8.845271986118123,8.564089887134426,1
29/10/18,8.84833590718509,8.567563274487936,1
30/10/18,8.85133915654776,8.571008985448191,1
31/10/18,8.854282935626022,8.574427240544221,1
01/11/18,8.85716842204927,8.577818258547852,1
02/11/18,8.859996770127502,8.58118225648771,1
05/11/18,8.862769111313096,8.584519449663107,1
06/11/18,8.86548655465343,8.587830051657823,1
07/11/18,8.86815018723455,8.591114274353776,1
08/11/18,8.870761074616043,8.594372327944583,1
09/11/18,8.873320261257309,8.59760442094901,1
12/11/18,8.875828770935382,8.600810760224316,1
13/11/18,8.878287607154483,8.6039915509795,1
14/11/18,8.880697753547464,8.60714699678843,1
15/11/18,8.883060174269296,8.610277299602865,1
16/11/18,8.885375814382776,8.613382659765392,1
19/11/18,8.887645600236583,8.616463276022241,1
20/11/18,8.889870439835859,8.619519345536007,1
21/11/18,8.892051223205446,8.62255106389827,1
22/11/18,8.894188822745932,8.625558625142109,1
23/11/18,8.896284093582645,8.628542221754522,1
26/11/18,8.89833787390774,8.631502044688748,1
27/11/18,8.900350985315509,8.634438283376488,1
28/11/18,8.902324233131043,8.637351125740022,1
29/11/18,8.904258406732408,8.640240758204245,1
30/11/18,8.90615427986642,8.643107365708593,1
03/12/18,8.908012610958174,8.645951131718883,1
04/12/18,8.909834143414448,8.64877223823905,1
06/12/18,8.911619605921093,8.651570865822803,1
07/12/18,8.913369712734536,8.65434719358517,1
11/12/18,8.915085163967515,8.657101399213975,1
12/12/18,8.916766645869147,8.659833658981194,1
13/12/18,8.918414831099462,8.662544147754252,1
14/12/18,8.920030378998483,8.665233039007207,1
17/12/18,8.921613935849997,8.66790050483185,1
18/12/18,8.923166135140097,8.670546715948728,1
19/12/18,8.924687597810589,8.67317184171806,1
20/12/18,8.926178932507408,8.675776050150587,1
21/12/18,8.927640735824093,8.67835950791831,1
24/12/18,8.929073592540448,8.680922380365176,1
25/12/18,8.93047807585648,8.683464831517645,1
26/12/18,8.931854747621697,8.685987024095194,1
27/12/18,8.933204158559882,8.68848911952073,1
28/12/18,8.934526848489389,8.690971277930924,1
02/01/19,8.935823346539104,8.693433658186454,1
03/01/19,8.937094171360112,8.695876417882179,1
04/01/19,8.93833983133318,8.69829971335722,1
07/01/19,8.939560824772126,8.700703699704972,1
08/01/19,8.940757640123174,8.70308853078302,1
09/01/19,8.941930756160339,8.705454359222996,1
10/01/19,8.943080642176966,8.707801336440342,1
11/01/19,8.944207758173462,8.710129612644005,1
14/01/19,8.945312555041314,8.712439336846044,1
15/01/19,8.946395474743467,8.714730656871176,1
16/01/19,8.947456950491121,8.717003719366225,1
17/01/19,8.94849740691704,8.719258669809522,1
18/01/19,8.949517260245416,8.721495652520202,1
21/01/19,8.950516918458378,8.723714810667452,1
22/01/19,8.951496781459202,8.725916286279665,1
23/01/19,8.952457241232286,8.728100220253532,1
24/01/19,8.973200662197984,8.738234879853106,1
25/01/19,8.97373134215446,8.740320657702883,1
28/01/19,8.994053493794967,8.750357943298877,1
29/01/19,8.994171246393087,8.752347123033546,1
30/01/19,9.01408864745461,8.76228858022053,1
31/01/19,9.033611644534716,8.77215082260921,1
01/02/19,9.052748047613237,8.7819344813932,1
04/02/19,9.051703531818916,8.78367205524664,1
05/02/19,9.05067969950567,8.785395783890094,1
06/02/19,9.069478121297637,8.795073905133997,1
07/02/19,9.068102316915505,8.796706782383925,1
08/02/19,9.066753756184506,8.798326648659751,1
11/02/19,9.065431899626397,8.799933607634573,1
12/02/19,9.064136218445675,8.801527762155413,1
13/02/19,9.082668174516058,8.811077341739832,1
14/02/19,9.081031180961284,8.812582701566607,1
15/02/19,9.099228583318487,8.822044193984402,1
18/02/19,9.117065641074557,8.831430296024367,1
20/02/19,9.134549489766151,8.840741608406644,1
21/02/19,9.151687123632168,8.849978727064759,1
22/02/19,9.168485398411729,8.859142243183765,1
25/02/19,9.184951034086744,8.868232743238078,1
26/02/19,9.201090617570175,8.87725080902901,1
27/02/19,9.216910605341063,8.886197017722004,1
28/02/19,9.23241732602738,8.895071941883582,1
01/03/19,9.247616982937728,8.903876149517977,1
04/03/19,9.262515656542922,8.91261020410349,1
05/03/19,9.277119306908409,8.921274664628562,1
06/03/19,9.29143377607854,8.929870085627538,1
07/03/19,9.305464790413618,8.938397017216163,1
08/03/19,9.319217962880675,8.946856005126792,1
11/03/19,9.33269879529888,8.955247590743312,1
12/03/19,9.345912680540486,8.963572311135795,1
13/03/19,9.3588649046882,8.971830699094873,1
14/03/19,9.37156064914982,8.980023283165831,1
15/03/19,9.384004992731013,8.988150587682439,1
18/03/19,9.396202913667032,8.996213132800507,1
19/03/19,9.40815929161422,9.00421143453118,1
20/03/19,9.419878909602058,9.01214600477396,1
21/03/19,9.431366455946572,9.020017351349466,1
22/03/19,9.442626526125848,9.02782597803194,1
25/03/19,9.453663624618406,9.035572384581487,1
26/03/19,9.484284146903189,9.051225194266097,1
27/03/19,9.494496342014017,9.058785152877523,1
28/03/19,9.524308295637502,9.074253000264953,1
29/03/19,9.55352991354567,9.089597597872404,1
01/04/19,9.582172885554668,9.104819927769835,1
02/04/19,9.61024866999913,9.119920964201947,1
03/04/19,9.61796651811796,9.126933546160497,1
04/04/19,9.62553153756117,9.133890250971968,1
05/04/19,9.632946754639166,9.14079152387259,1
09/04/19,9.66001711593344,9.155605934040937,1
10/04/19,9.686551430469413,9.17030230110037,1
11/04/19,9.712560313034375,9.184881565633436,1
12/04/19,9.738054168221813,9.19934466072799,1
17/04/19,9.763043194593658,9.21369251203693,1
18/04/19,9.78753738876012,9.227926037837433,1
19/04/19,9.81154654937873,9.242046149089724,1
22/04/19,9.835080281074202,9.256053749495383,1
23/04/19,9.858147998280653,9.26994973555518,1
24/04/19,9.880758929007769,9.283734996626453,1
25/04/19,9.902922118532368,9.297410414980027,1
26/04/19,9.924646433016875,9.310976865856679,1
29/04/19,9.945940563056144,9.32443521752316,1
30/04/19,9.966813027154043,9.337786331327756,1
02/05/19,9.98727217513119,9.351031061755423,1
03/05/19,10.007326191465227,9.36417025648247,1
07/05/19,10.026983098564925,9.377204756430817,1
08/05/19,10.04625075997948,9.390135395821806,1
09/05/19,10.065136883544243,9.402963002229601,1
10/05/19,10.083649024464158,9.415688396634145,1
13/05/19,10.101794588336155,9.428312393473714,1
14/05/19,10.119580834111677,9.44083580069703,1
15/05/19,10.137014877000555,9.453259419814982,1
16/05/19,10.154103691317376,9.465584045951914,1
17/05/19,10.170854113271487,9.47781046789652,1
21/05/19,10.187272843701754,9.489939468152324,1
22/05/19,10.203366450757164,9.501971822987763,1
23/05/19,10.21914137252435,9.513908302485868,1
24/05/19,10.234603919603076,9.52574967059355,1
27/05/19,10.249760277630738,9.537496685170494,1
28/05/19,10.264616509756863,9.54915009803766,1
29/05/19,10.279178559068608,9.560710655025408,1
30/05/19,10.29345225096824,9.572179096021221,1
31/05/19,10.307443295503523,9.583556155017067,1
04/06/19,10.321157289651968,9.594842560156374,1
05/06/19,10.334599719559849,9.606039033780627,1
06/06/19,10.34777596273688,9.617146292475603,1
07/06/19,10.360691290207438,9.628165047117232,1
10/06/19,10.373350868619172,9.639096002917094,1
11/06/19,10.385759762309881,9.649939859467557,1
12/06/19,10.397922935333447,9.66069731078654,1
13/06/19,10.409845253445656,9.671369045361946,1
14/06/19,10.421531486050693,9.681955746195715,1
17/06/19,10.432986308109095,9.692458090847543,1
18/06/19,10.444214302007925,9.70287675147824,1
19/06/19,10.475021939591926,9.721180522382795,1
20/06/19,10.505219524946542,9.739338446507235,1
21/06/19,10.534819138313937,9.757351685977296,1
24/06/19,10.544030640525541,9.767253266168712,1
25/06/19,10.572861716950777,9.78504407679685,1
26/06/19,10.601121880971554,9.802693127977752,1
27/06/19,10.628822437783999,9.820201549268766,1
28/06/19,10.65597446871897,9.837570461226784,1
01/07/19,10.68258883567503,9.854800975479957,1
02/07/19,10.708676185463643,9.871894194798841,1
03/07/19,10.734246954068324,9.888851213166978,1
04/07/19,10.759311370819447,9.905673115850906,1
05/07/19,10.783879462486388,9.922360979469623,1
08/07/19,10.807961057288637,9.938915872063491,1
09/07/19,10.831565788827476,9.955338853162587,1
10/07/19,10.854703099939803,9.971630973854518,1
11/07/19,10.877382246475648,9.987793276851693,1
12/07/19,10.899612301000882,10.003826796558055,1
15/07/19,10.921402156426607,10.019732559135281,1
17/07/19,10.942760529566675,10.035511582568466,1
18/07/19,10.96369596462476,10.051164876731267,1
19/07/19,10.984216836612388,10.06669344345054,1
22/07/19,11.004331354699271,10.082098276570456,1
23/07/19,11.024047565497305,10.097380362016109,1
24/07/19,11.043373356279536,10.112540677856618,1
25/07/19,11.062316458135387,10.12758019436772,1
26/07/19,11.080884449063399,10.142499874093874,1
30/07/19,11.099084757002737,10.157300671909859,1
31/07/19,11.116924662804664,10.17198353508189,1
01/08/19,11.134411303145166,10.18654940332825,1
02/08/19,11.151551673379915,10.20099920887942,1
05/08/19,11.168352630342689,10.215333876537752,1
06/08/19,11.184820895088379,10.229554323736654,1
07/08/19,11.200963055581678,10.24366146059931,1
08/08/19,11.216785569332536,10.257656189996924,1
09/08/19,11.232294765979416,10.271539407606511,1
13/08/19,11.247496849821408,10.285312001968212,1
14/08/19,11.262397902300192,10.29897485454217,1
15/08/19,11.277003884432862,10.31252883976494,1
16/08/19,11.291320639196567,10.325974825105458,1
19/08/19,11.305353893865941,10.339313671120554,1
20/08/19,11.31910926230424,10.352546231510031,1
21/08/19,11.332592247209107,10.365673353171305,1
22/08/19,11.365610222511897,10.386664003743645,1
23/08/19,11.397974376521562,10.407487398136126,1
26/08/19,11.429697656194403,10.428144869067312,1
27/08/19,11.460792752111345,10.448637738636497,1
28/08/19,11.491272103554685,10.468967318408318,1
29/08/19,11.521147903484295,10.489134909496698,1
30/08/19,11.550432103415298,10.509141802648118,1
02/09/19,11.579136418199154,10.528989278324229,1
03/09/19,11.607272330710062,10.548678606783797,1
04/09/19,11.654653076636595,10.576179175654046,1
05/09/19,11.701095589970524,10.603460616485487,1
06/09/19,11.726816469377049,10.622556547828232,1
09/09/19,11.75202802443889,10.641500320355497,1
10/09/19,11.776740340786635,10.660293146488122,1
11/09/19,11.800963304335415,10.678936228986226,1
12/09/19,11.824706605239664,10.697430761026176,1
13/09/19,11.84797974176957,10.715777926276964,1
16/09/19,11.870792024110767,10.733978898975952,1
17/09/19,11.89315257808877,10.752034844004031,1
18/09/19,11.915070348819686,10.769946916960174,1
19/09/19,11.936554104288604,10.787716264235392,1
20/09/19,11.957612438857145,10.805344023086107,1
23/09/19,11.978253776701559,10.822831321706936,1
24/09/19,11.998486375182717,10.840179279302896,1
25/09/19,12.018318328149396,10.857389006161041,1
26/09/19,12.037757569176142,10.87446160372151,1
27/09/19,12.05681187473701,10.891398164648033,1
30/09/19,12.075488867316475,10.908199772897849,1
01/10/19,12.093796018458722,10.924867503791093,1
02/10/19,12.11174065175657,10.94140242407961,1
03/10/19,12.129329945781192,10.957805592015232,1
04/10/19,12.146570936953841,10.9740780574175,1
07/10/19,12.163470522360695,10.990220861740868,1
08/10/19,12.180035462511968,11.00623503814134,1
09/10/19,12.196272384046384,11.022121611542604,1
10/10/19,12.212187782382099,11.037881598701627,1
11/10/19,12.227788024315126,11.053516008273727,1
15/10/19,12.243079350566312,11.069025840877122,1
16/10/19,12.25806787827787,11.084412089156986,1
17/10/19,12.272759603460488,11.099675737848962,1
18/10/19,12.287160403391963,11.114817763842197,1
21/10/19,12.30127603896836,11.129839136241861,1
22/10/19,12.315112157008592,11.144740816431169,1
24/10/19,12.328674292513373,11.159523758132913,1
25/10/19,12.341967870879445,11.1741889074705,1
28/10/19,12.354998210069951,11.188737203028504,1
29/10/19,12.367770522741832,11.203169575912739,1
30/10/19,12.380289918331103,11.217486949809848,1
31/10/19,12.392561405096824,11.231690241046422,1
01/11/19,12.40458989212461,11.245780358647647,1
04/11/19,12.41638019129046,11.259758204395474,1
05/11/19,12.427937019185698,11.273624672886347,1
06/11/19,12.439264999003804,11.287380651588448,1
07/11/19,12.450368662389867,11.3010270208985,1
08/11/19,12.461252451253433,11.314564654198113,1
11/11/19,12.471920719545444,11.327994417909682,1
12/11/19,12.48237773499999,11.341317171551836,1
13/11/19,12.492627680841574,11.35453376779445,1
14/11/19,12.502674657458572,11.36764505251322,1
15/11/19,12.532324664241571,11.388619992333831,1
18/11/19,12.561387542177382,11.409427801159856,1
19/11/19,12.58987491757981,11.430069810712366,1
20/11/19,12.617798186538625,11.450547342101112,1
21/11/19,12.625366539280435,11.462893578419031,1
22/11/19,12.65258700384914,11.483109565841987,1
25/11/19,12.679268449317474,11.50316446969982,1
26/11/19,12.705421549330989,11.523059573526913,1
27/11/19,12.73105676617592,11.542796150630284,1
28/11/19,12.736382374766496,11.55440733668104,1
29/11/19,12.741602525761218,11.565926003321032,1
02/12/19,12.746719307429313,11.577352887756721,1
03/12/19,12.751734766688138,11.588688721320413,1
04/12/19,12.776452890120057,11.607902357007102,1
06/12/19,12.800681545761243,11.626962895995094,1
09/12/19,12.824430426043198,11.6458715581784,1
11/12/19,12.847709031468085,11.664629553730762,1
12/12/19,12.87052667440931,11.683238083183106,1
13/12/19,12.87309050263883,11.693730210010333,1
16/12/19,12.875603561992516,11.704138734233359,1
17/12/19,12.878066857794645,11.714464322008391,1
18/12/19,12.860679395264057,11.716739506693584,1
19/12/19,12.863438219120214,11.72696468990718,1
20/12/19,12.866142412801002,11.737108397557323,1
23/12/19,12.868793058092072,11.747171278851686,1
24/12/19,12.871391215357574,11.757153977824979,1
25/12/19,12.873937923964355,11.767057133380158,1
26/12/19,12.876434202697734,11.77688137932932,1
27/12/19,12.878881050169065,11.786627344434265,1
30/12/19,12.881279445215222,11.79629565244674,1
02/01/20,12.883630347290168,11.80588692214836,1
03/01/20,12.885934696848778,11.815401767390206,1
06/01/20,12.88819341572306,11.824840797132117,1
07/01/20,12.89040740749092,11.834204615481662,1
08/01/20,12.892577557837635,11.843493821732803,1
09/01/20,12.894704734910157,11.852709010404254,1
10/01/20,12.89678978966441,11.861850771277528,1
13/01/20,12.898833556205709,11.870919689434679,1
14/01/20,12.900836852122428,11.879916345295758,1
15/01/20,12.902800478813072,11.88884131465595,1
16/01/20,12.904725221806872,11.897695168722437,1
17/01/20,12.906611851078024,11.906478474150944,1
20/01/20,12.908461121353707,11.915191793082013,1
