date,indy1,indy2,check
03/01/18,0,50,0
04/01/18,0,50,0
05/01/18,0,50,0
08/01/18,0,50,0
09/01/18,0,50,0
10/01/18,0,50,0
11/01/18,0,50,0
12/01/18,0,50,0
15/01/18,0,50,0
16/01/18,0,50,0
17/01/18,0,50,0
18/01/18,0,50,0
19/01/18,0,50,0
22/01/18,0,50,0
23/01/18,52.94,50,1
24/01/18,49.79,50,0
25/01/18,49.79,50,0
26/01/18,49.79,50,0
29/01/18,49.79,50,0
30/01/18,49.79,50,0
31/01/18,49.79,50,0
01/02/18,45.55,50,0
02/02/18,41.73,50,0
05/02/18,32.83,50,0
06/02/18,30.5,50,0
07/02/18,28.33,50,0
08/02/18,28.33,50,0
09/02/18,33.79,50,0
12/02/18,38.81,50,0
13/02/18,35.88,50,0
14/02/18,35.88,50,0
15/02/18,35.88,50,0
16/02/18,41.41,50,0
19/02/18,37.89,50,0
20/02/18,34.72,50,0
21/02/18,22.52,50,0
22/02/18,13.81,50,0
23/02/18,26.12,50,0
26/02/18,24.25,50,0
27/02/18,24.25,50,0
28/02/18,37.24,50,0
02/03/18,34.68,50,0
05/03/18,33.44,50,0
06/03/18,35.91,50,0
07/03/18,33.26,50,0
08/03/18,31.98,50,0
09/03/18,31.98,50,0
12/03/18,34.87,50,0
13/03/18,40.33,50,0
14/03/18,42.91,50,0
15/03/18,39.26,50,0
16/03/18,39.26,50,0
19/03/18,37.41,50,0
20/03/18,37.41,50,0
21/03/18,40.65,50,0
22/03/18,36.57,50,0
23/03/18,39.82,50,0
26/03/18,42.97,50,0
27/03/18,46.01,50,0
28/03/18,41.27,50,0
29/03/18,41.27,50,0
30/03/18,44.58,50,0
02/04/18,50.58,50,1
03/04/18,45.3,50,0
04/04/18,40.72,50,0
05/04/18,40.72,50,0
09/04/18,40.72,50,0
10/04/18,44.24,50,0
11/04/18,41.58,50,0
12/04/18,45.13,50,0
17/04/18,42.36,50,0
18/04/18,42.36,50,0
19/04/18,42.36,50,0
20/04/18,42.36,50,0
23/04/18,29.98,50,0
24/04/18,28.2,50,0
25/04/18,32.51,50,0
26/04/18,28.79,50,0
27/04/18,27.12,50,0
30/04/18,31.4,50,0
02/05/18,31.4,50,0
03/05/18,43.05,50,0
04/05/18,46.33,50,0
07/05/18,41.22,50,0
08/05/18,36.85,50,0
09/05/18,40.26,50,0
10/05/18,38.05,50,0
11/05/18,41.51,50,0
14/05/18,41.51,50,0
15/05/18,38.99,50,0
16/05/18,38.99,50,0
17/05/18,38.99,50,0
18/05/18,33.84,50,0
21/05/18,38.23,50,0
22/05/18,38.23,50,0
23/05/18,42.64,50,0
24/05/18,39.6,50,0
25/05/18,36.77,50,0
28/05/18,36.77,50,0
30/05/18,45.76,50,0
31/05/18,42.5,50,0
01/06/18,39.48,50,0
04/06/18,36.67,50,0
05/06/18,41.18,50,0
06/06/18,41.18,50,0
07/06/18,55.78,50,1
08/06/18,55.78,50,1
11/06/18,55.78,50,1
12/06/18,55.78,50,1
13/06/18,64.64,50,1
14/06/18,60.3,50,1
15/06/18,60.3,50,1
18/06/18,55.95,50,1
19/06/18,48.42,50,0
20/06/18,51.91,50,1
21/06/18,48.39,50,0
22/06/18,45.09,50,0
25/06/18,42.01,50,0
26/06/18,39.14,50,0
27/06/18,36.45,50,0
28/06/18,36.45,50,0
29/06/18,27.64,50,0
02/07/18,25.95,50,0
03/07/18,34.56,50,0
04/07/18,34.56,50,0
05/07/18,25.85,50,0
06/07/18,29.67,50,0
09/07/18,28.11,50,0
10/07/18,38.54,50,0
11/07/18,38.54,50,0
12/07/18,41.81,50,0
13/07/18,39.55,50,0
16/07/18,37.37,50,0
17/07/18,35.27,50,0
18/07/18,35.27,50,0
19/07/18,42.71,50,0
20/07/18,46.05,50,0
23/07/18,43.33,50,0
24/07/18,46.72,50,0
25/07/18,52.8,50,1
26/07/18,49.75,50,0
31/07/18,46.83,50,0
01/08/18,49.99,50,0
02/08/18,46.98,50,0
03/08/18,46.98,50,0
06/08/18,50.44,50,1
07/08/18,41.66,50,0
08/08/18,45.09,50,0
09/08/18,45.09,50,0
10/08/18,39.68,50,0
14/08/18,35.14,50,0
15/08/18,33.1,50,0
16/08/18,40.53,50,0
17/08/18,38.24,50,0
20/08/18,41.78,50,0
21/08/18,39.35,50,0
22/08/18,42.93,50,0
23/08/18,46.33,50,0
24/08/18,52.45,50,1
27/08/18,52.45,50,1
28/08/18,49.2,50,0
29/08/18,57.67,50,1
30/08/18,54.41,50,1
31/08/18,51.29,50,1
03/09/18,58.9,50,1
04/09/18,64.83,50,1
05/09/18,56.12,50,1
06/09/18,61.66,50,1
07/09/18,64.85,50,1
10/09/18,64.85,50,1
11/09/18,59.15,50,1
12/09/18,59.15,50,1
13/09/18,61.13,50,1
14/09/18,63.06,50,1
17/09/18,64.94,50,1
18/09/18,64.94,50,1
19/09/18,61.32,50,1
20/09/18,61.32,50,1
21/09/18,57.61,50,1
24/09/18,57.61,50,1
25/09/18,60.39,50,1
26/09/18,56.4,50,1
27/09/18,56.4,50,1
28/09/18,59.51,50,1
01/10/18,55.27,50,1
02/10/18,51.34,50,1
03/10/18,51.34,50,1
04/10/18,51.34,50,1
05/10/18,51.34,50,1
08/10/18,46.85,50,0
09/10/18,42.82,50,0
10/10/18,39.19,50,0
11/10/18,33.14,50,0
12/10/18,38.27,50,0
16/10/18,35.35,50,0
17/10/18,35.35,50,0
18/10/18,27.93,50,0
19/10/18,27.93,50,0
22/10/18,25.83,50,0
24/10/18,23.9,50,0
25/10/18,34.46,50,0
26/10/18,29.98,50,0
29/10/18,34.56,50,0
30/10/18,34.56,50,0
31/10/18,43.18,50,0
01/11/18,43.18,50,0
02/11/18,47.21,50,0
05/11/18,43.86,50,0
06/11/18,43.86,50,0
07/11/18,43.86,50,0
08/11/18,37.25,50,0
09/11/18,37.25,50,0
12/11/18,42.29,50,0
13/11/18,57.13,50,1
14/11/18,47.31,50,0
15/11/18,47.31,50,0
16/11/18,44.36,50,0
19/11/18,44.36,50,0
20/11/18,48.11,50,0
21/11/18,48.11,50,0
22/11/18,41.6,50,0
23/11/18,45.57,50,0
26/11/18,52.51,50,1
27/11/18,52.51,50,1
28/11/18,52.51,50,1
29/11/18,56.01,50,1
30/11/18,48.33,50,0
03/12/18,54.98,50,1
04/12/18,57.9,50,1
06/12/18,54.12,50,1
07/12/18,54.12,50,1
11/12/18,47.01,50,0
12/12/18,47.01,50,0
13/12/18,43.68,50,0
14/12/18,40.59,50,0
17/12/18,37.71,50,0
18/12/18,30.68,50,0
19/12/18,38.86,50,0
20/12/18,36.54,50,0
21/12/18,32.37,50,0
24/12/18,25.99,50,0
25/12/18,23.5,50,0
26/12/18,23.5,50,0
27/12/18,22.26,50,0
28/12/18,21.06,50,0
02/01/19,25.38,50,0
03/01/19,23.97,50,0
04/01/19,35.55,50,0
07/01/19,35.55,50,0
08/01/19,35.55,50,0
09/01/19,35.55,50,0
10/01/19,35.55,50,0
11/01/19,35.55,50,0
14/01/19,35.55,50,0
15/01/19,30.37,50,0
16/01/19,35.44,50,0
17/01/19,35.44,50,0
18/01/19,35.44,50,0
21/01/19,35.44,50,0
22/01/19,50.09,50,1
23/01/19,53.85,50,1
24/01/19,53.85,50,1
25/01/19,53.85,50,1
28/01/19,57.82,50,1
29/01/19,57.82,50,1
30/01/19,64.83,50,1
31/01/19,59.51,50,1
01/02/19,62.8,50,1
04/02/19,62.8,50,1
05/02/19,62.8,50,1
06/02/19,62.8,50,1
07/02/19,66.47,50,1
08/02/19,66.47,50,1
11/02/19,59.65,50,1
12/02/19,63.66,50,1
13/02/19,70.07,50,1
14/02/19,72.67,50,1
15/02/19,61.23,50,1
18/02/19,56.44,50,1
20/02/19,65.22,50,1
21/02/19,76.92,50,1
22/02/19,73.13,50,1
25/02/19,77.83,50,1
26/02/19,78.83,50,1
27/02/19,78.83,50,1
28/02/19,79.88,50,1
01/03/19,79.88,50,1
04/03/19,75.54,50,1
05/03/19,79.19,50,1
06/03/19,79.19,50,1
07/03/19,80.33,50,1
08/03/19,75.87,50,1
11/03/19,77.23,50,1
12/03/19,79.7,50,1
13/03/19,75.3,50,1
14/03/19,67.31,50,1
15/03/19,69.08,50,1
18/03/19,65.28,50,1
19/03/19,65.28,50,1
20/03/19,67.36,50,1
21/03/19,63.27,50,1
22/03/19,63.27,50,1
25/03/19,59.11,50,1
26/03/19,51.78,50,1
27/03/19,45.68,50,0
28/03/19,51.8,50,1
29/03/19,51.8,50,1
01/04/19,51.8,50,1
02/04/19,51.8,50,1
03/04/19,51.8,50,1
04/04/19,44.53,50,0
05/04/19,48.43,50,0
09/04/19,45.02,50,0
10/04/19,48.89,50,0
