date,indy1,indy2,check
03/01/18,0,50,0
04/01/18,0,50,0
05/01/18,0,50,0
08/01/18,0,50,0
09/01/18,0,50,0
10/01/18,0,50,0
11/01/18,0,50,0
12/01/18,0,50,0
15/01/18,0,50,0
16/01/18,0,50,0
17/01/18,0,50,0
18/01/18,0,50,0
19/01/18,0,50,0
22/01/18,0,50,0
23/01/18,29.41,50,0
24/01/18,33.62,50,0
25/01/18,29.79,50,0
26/01/18,28.07,50,0
29/01/18,36.03,50,0
30/01/18,36.03,50,0
31/01/18,36.03,50,0
01/02/18,40.16,50,0
02/02/18,35.25,50,0
05/02/18,31.16,50,0
06/02/18,31.16,50,0
07/02/18,31.16,50,0
08/02/18,39.88,50,0
09/02/18,39.88,50,0
12/02/18,39.88,50,0
13/02/18,44.29,50,0
14/02/18,41.05,50,0
15/02/18,41.05,50,0
16/02/18,45.66,50,0
19/02/18,45.66,50,0
20/02/18,45.66,50,0
21/02/18,38.2,50,0
22/02/18,35.11,50,0
23/02/18,48.56,50,0
26/02/18,52.12,50,1
27/02/18,45.35,50,0
28/02/18,48.92,50,0
02/03/18,42.89,50,0
05/03/18,42.89,50,0
06/03/18,40.03,50,0
07/03/18,40.03,50,0
08/03/18,32.48,50,0
09/03/18,28.61,50,0
12/03/18,40.14,50,0
13/03/18,40.14,50,0
14/03/18,40.14,50,0
15/03/18,47.23,50,0
16/03/18,44.4,50,0
19/03/18,39.32,50,0
20/03/18,45.97,50,0
21/03/18,45.97,50,0
22/03/18,45.97,50,0
23/03/18,45.97,50,0
26/03/18,45.97,50,0
27/03/18,49.95,50,0
28/03/18,49.95,50,0
29/03/18,49.95,50,0
30/03/18,54.16,50,1
02/04/18,57.97,50,1
03/04/18,53.21,50,1
04/04/18,53.21,50,1
05/04/18,60.7,50,1
09/04/18,63.82,50,1
10/04/18,63.82,50,1
11/04/18,63.82,50,1
12/04/18,53.26,50,1
17/04/18,53.26,50,1
18/04/18,53.26,50,1
19/04/18,53.26,50,1
20/04/18,47.93,50,0
23/04/18,43.26,50,0
24/04/18,60.02,50,1
25/04/18,51.79,50,1
26/04/18,51.79,50,1
27/04/18,55.34,50,1
30/04/18,58.63,50,1
02/05/18,54.32,50,1
03/05/18,57.67,50,1
04/05/18,49.81,50,0
07/05/18,43.44,50,0
08/05/18,50.29,50,1
09/05/18,44.48,50,0
10/05/18,47.73,50,0
11/05/18,50.83,50,1
14/05/18,47.78,50,0
15/05/18,50.95,50,1
16/05/18,45.06,50,0
17/05/18,37.97,50,0
18/05/18,37.97,50,0
21/05/18,37.97,50,0
22/05/18,41.78,50,0
23/05/18,41.78,50,0
24/05/18,39,50,0
25/05/18,36.39,50,0
28/05/18,47.7,50,0
30/05/18,42.3,50,0
31/05/18,42.3,50,0
01/06/18,39.7,50,0
04/06/18,39.7,50,0
05/06/18,43.71,50,0
06/06/18,43.71,50,0
07/06/18,47.75,50,0
08/06/18,44.33,50,0
11/06/18,44.33,50,0
12/06/18,48.6,50,0
13/06/18,48.6,50,0
14/06/18,48.6,50,0
15/06/18,44.35,50,0
18/06/18,44.35,50,0
19/06/18,44.35,50,0
20/06/18,44.35,50,0
21/06/18,44.35,50,0
22/06/18,39.36,50,0
25/06/18,35.11,50,0
26/06/18,41.87,50,0
27/06/18,41.87,50,0
28/06/18,37.35,50,0
29/06/18,37.35,50,0
02/07/18,49.89,50,0
03/07/18,49.89,50,0
04/07/18,49.89,50,0
05/07/18,49.89,50,0
06/07/18,49.89,50,0
09/07/18,49.89,50,0
10/07/18,43.16,50,0
11/07/18,43.16,50,0
12/07/18,43.16,50,0
13/07/18,43.16,50,0
16/07/18,31.66,50,0
17/07/18,31.66,50,0
18/07/18,27.42,50,0
19/07/18,27.42,50,0
20/07/18,37.17,50,0
23/07/18,37.17,50,0
24/07/18,45.64,50,0
25/07/18,45.64,50,0
26/07/18,45.64,50,0
31/07/18,45.64,50,0
01/08/18,53.99,50,1
02/08/18,46.33,50,0
03/08/18,46.33,50,0
06/08/18,46.33,50,0
07/08/18,54.41,50,1
08/08/18,54.41,50,1
09/08/18,54.41,50,1
10/08/18,45.8,50,0
14/08/18,45.8,50,0
15/08/18,38.7,50,0
16/08/18,33.16,50,0
17/08/18,33.16,50,0
20/08/18,24.9,50,0
21/08/18,24.9,50,0
22/08/18,24.9,50,0
23/08/18,21.54,50,0
24/08/18,18.81,50,0
27/08/18,36.21,50,0
28/08/18,36.21,50,0
29/08/18,36.21,50,0
30/08/18,36.21,50,0
31/08/18,36.21,50,0
03/09/18,36.21,50,0
04/09/18,31.03,50,0
05/09/18,31.03,50,0
06/09/18,31.03,50,0
07/09/18,31.03,50,0
10/09/18,31.03,50,0
11/09/18,25.7,50,0
12/09/18,25.7,50,0
13/09/18,38.04,50,0
14/09/18,38.04,50,0
17/09/18,38.04,50,0
18/09/18,48.69,50,0
19/09/18,67.01,50,1
20/09/18,67.01,50,1
21/09/18,58.88,50,1
24/09/18,58.88,50,1
25/09/18,63.95,50,1
26/09/18,56.46,50,1
27/09/18,61.34,50,1
28/09/18,54.73,50,1
01/10/18,54.73,50,1
02/10/18,48.65,50,0
03/10/18,43.46,50,0
04/10/18,43.46,50,0
05/10/18,43.46,50,0
08/10/18,38.34,50,0
09/10/18,45.28,50,0
10/10/18,45.28,50,0
11/10/18,45.28,50,0
12/10/18,45.28,50,0
16/10/18,45.28,50,0
17/10/18,45.28,50,0
18/10/18,45.28,50,0
19/10/18,45.28,50,0
22/10/18,45.28,50,0
24/10/18,45.28,50,0
25/10/18,45.28,50,0
26/10/18,45.28,50,0
29/10/18,45.28,50,0
30/10/18,45.28,50,0
31/10/18,58.46,50,1
01/11/18,67.02,50,1
02/11/18,67.02,50,1
05/11/18,67.02,50,1
06/11/18,67.02,50,1
07/11/18,67.02,50,1
08/11/18,67.02,50,1
09/11/18,50.72,50,1
12/11/18,50.72,50,1
13/11/18,39.56,50,0
14/11/18,51.14,50,1
15/11/18,51.14,50,1
16/11/18,51.14,50,1
19/11/18,51.14,50,1
20/11/18,40.66,50,0
21/11/18,51.39,50,1
22/11/18,51.39,50,1
23/11/18,51.39,50,1
26/11/18,51.39,50,1
27/11/18,67.29,50,1
28/11/18,67.29,50,1
29/11/18,67.29,50,1
30/11/18,67.29,50,1
03/12/18,73.19,50,1
04/12/18,73.19,50,1
06/12/18,73.19,50,1
07/12/18,73.19,50,1
11/12/18,58.9,50,1
12/12/18,58.9,50,1
13/12/18,48.03,50,0
14/12/18,56.65,50,1
17/12/18,48.06,50,0
18/12/18,41.32,50,0
19/12/18,49.02,50,0
20/12/18,42.95,50,0
21/12/18,49.66,50,0
24/12/18,49.66,50,0
25/12/18,43.7,50,0
26/12/18,38.7,50,0
27/12/18,34.45,50,0
28/12/18,46.98,50,0
02/01/19,46.98,50,0
03/01/19,46.98,50,0
04/01/19,37.93,50,0
07/01/19,43.76,50,0
08/01/19,43.76,50,0
09/01/19,43.76,50,0
10/01/19,49.68,50,0
11/01/19,44.62,50,0
14/01/19,40.22,50,0
15/01/19,40.22,50,0
16/01/19,40.22,50,0
17/01/19,40.22,50,0
18/01/19,47.23,50,0
21/01/19,47.23,50,0
22/01/19,53.54,50,1
23/01/19,53.54,50,1
24/01/19,53.54,50,1
25/01/19,53.54,50,1
28/01/19,59.98,50,1
29/01/19,65.18,50,1
30/01/19,65.18,50,1
31/01/19,69.74,50,1
01/02/19,69.74,50,1
04/02/19,76.79,50,1
05/02/19,76.79,50,1
06/02/19,79.55,50,1
07/02/19,70.51,50,1
08/02/19,70.51,50,1
11/02/19,73.95,50,1
12/02/19,73.95,50,1
13/02/19,73.95,50,1
14/02/19,73.95,50,1
15/02/19,56.31,50,1
18/02/19,49.9,50,0
20/02/19,49.9,50,0
21/02/19,49.9,50,0
22/02/19,56.14,50,1
25/02/19,56.14,50,1
26/02/19,61.67,50,1
27/02/19,66.25,50,1
28/02/19,52.68,50,1
01/03/19,52.68,50,1
04/03/19,52.68,50,1
05/03/19,58.05,50,1
06/03/19,51.73,50,1
07/03/19,56.8,50,1
08/03/19,56.8,50,1
11/03/19,56.8,50,1
12/03/19,61.8,50,1
13/03/19,61.8,50,1
14/03/19,44.05,50,0
15/03/19,44.05,50,0
18/03/19,39.64,50,0
19/03/19,45.51,50,0
20/03/19,41.2,50,0
21/03/19,41.2,50,0
22/03/19,47.02,50,0
25/03/19,42.49,50,0
26/03/19,42.49,50,0
27/03/19,42.49,50,0
28/03/19,48.67,50,0
29/03/19,48.67,50,0
01/04/19,58.9,50,1
02/04/19,53.19,50,1
03/04/19,53.19,50,1
04/04/19,47.81,50,0
05/04/19,47.81,50,0
09/04/19,47.81,50,0
10/04/19,47.81,50,0
