date,indy1,indy2,check
03/01/18,0,0,0
04/01/18,0,0,0
05/01/18,0,0,0
08/01/18,0,0,0
09/01/18,0,0,0
10/01/18,0,0,0
11/01/18,0,0,0
12/01/18,0,0,0
15/01/18,0,0,0
16/01/18,4,0,0
17/01/18,4,0,0
18/01/18,4,0,0
19/01/18,4,0,0
22/01/18,4,0,0
23/01/18,4,0,0
24/01/18,4,0,0
25/01/18,4,0,0
26/01/18,4,0,0
29/01/18,4,0,0
30/01/18,4,0,0
31/01/18,4,0,0
01/02/18,4,0,0
02/02/18,4,0,0
05/02/18,4,0,0
06/02/18,4,4,0
07/02/18,4,4,0
08/02/18,4,4,0
09/02/18,4,4,0
12/02/18,4,4,0
13/02/18,4,4,0
14/02/18,4,4,0
15/02/18,4,4,0
16/02/18,4,4,0
19/02/18,4,4,0
20/02/18,4,4,0
21/02/18,4,4,0
22/02/18,4,4,0
23/02/18,4,4,0
26/02/18,4,4,0
27/02/18,4,4,0
28/02/18,4,4,0
02/03/18,4,4,0
05/03/18,4,4,0
06/03/18,3.98019801980198,3.99203187250996,0
07/03/18,3.960788158023723,3.9841272360756177,0
08/03/18,3.9417626499440455,3.9762855847921466,0
09/03/18,3.9231138845986187,3.968506416785835,0
12/03/18,3.90483440173528,3.9607892341819637,0
13/03/18,3.9067188690276504,3.961101670562984,0
14/03/18,3.9085660201360137,3.9614116174110876,0
15/03/18,3.890574613796687,3.9537509670731508,0
16/03/18,3.8729394729294255,3.946151357773763,0
19/03/18,3.8556535427724072,3.938612303130147,0
20/03/18,3.8387099082620626,3.9311333206350865,0
21/03/18,3.8221017912667743,3.923713931626042,0
22/03/18,3.805822547875353,3.9163536612545196,0
23/03/18,3.7898656657392076,3.9090520384556786,0
26/03/18,3.7742247614671443,3.901808595918183,0
27/03/18,3.778695558269775,3.902590997544333,0
28/03/18,3.7632758442446312,3.8953990374045375,0
29/03/18,3.7481614710912723,3.8882643837200392,0
30/03/18,3.7333463924558017,3.8811865798656964,0
02/04/18,3.7188246817141026,3.8741651728548145,0
03/04/18,3.704590529600952,3.8671997133101548,0
04/04/18,3.6906382418860817,3.8602897554351734,0
05/04/18,3.6769622370962582,3.8534348569854906,0
09/04/18,3.663557044282471,3.8466345792405865,0
10/04/18,3.6504173008313328,3.8398884869757213,0
11/04/18,3.6375377503198214,3.833196148434082,0
12/04/18,3.624913240412498,3.826557135299149,0
17/04/18,3.6125387208003694,3.8199710226672834,0
18/04/18,3.60040924118056,3.813437389020532,0
19/04/18,3.5885199492759945,3.8069558161996513,0
20/04/18,3.576866088894292,3.8005258893773433,0
23/04/18,3.565442998025098,3.794147197031707,0
24/04/18,3.5542461069750964,3.7878193309199006,0
25/04/18,3.5432709365399457,3.781541886052013,0
26/04/18,3.5325130962124223,3.775314460665144,0
27/04/18,3.521968282426038,3.7691366561976927,0
30/04/18,3.511632276833443,3.7630080772638466,0
02/05/18,3.501500944618919,3.756928331628278,0
03/05/18,3.511372213042307,3.7588651576710808,0
04/05/18,3.501246030605826,3.7528184233470085,0
07/05/18,3.511122346831453,3.7547879976629686,0
08/05/18,3.5208030924387512,3.7567418781596777,0
09/05/18,3.5104901599152116,3.750712062397449,0
10/05/18,3.5003814438772864,3.7447302929759556,0
11/05/18,3.5102748806321915,3.7467643145458682,0
14/05/18,3.519972407748386,3.748782128772594,0
15/05/18,3.5294779046246556,3.7507838647983105,0
16/05/18,3.538795173840009,3.7527696507361727,0
17/05/18,3.5479279426748604,3.754739613678514,0
18/05/18,3.5568798646020907,3.7566938797049803,0
21/05/18,3.565654520748584,3.758632573890598,0
22/05/18,3.57425542132782,3.7605558203137806,0
23/05/18,3.582686007044101,3.762463742064268,0
24/05/18,3.5711476702709506,3.756388333760967,0
25/05/18,3.5598378154141,3.750361335085581,0
28/05/18,3.5487519180791676,3.7443823603040225,0
30/05/18,3.5378855434637386,3.7384510267557833,0
31/05/18,3.5272343445832686,3.7325669548294425,0
01/06/18,3.516794060532115,3.7267297679383713,0
04/06/18,3.5065605147790038,3.7209390924966312,0
05/06/18,3.4965296134962514,3.7151945578950643,0
06/06/18,3.506499324120088,3.7174639239676135,0
07/06/18,3.516271614731571,3.719715207441975,0
08/06/18,3.5258503946378768,3.721948552402597,0
11/06/18,3.5352394957341566,3.724164101785843,0
12/06/18,3.5444426740364507,3.726361997389143,0
13/06/18,3.553463611184244,3.728542379880066,0
14/06/18,3.5623059159132686,3.7307053888053243,0
15/06/18,3.5709731254991444,3.732851162599704,0
18/06/18,3.5794687071724285,3.7349798385949255,0
19/06/18,3.5877960595056475,3.7370915530284323,0
20/06/18,3.5959585137728625,3.73918644105211,0
21/06/18,3.603959335282311,3.741264636740938,0
22/06/18,3.6118017246826613,3.7433262731015677,0
25/06/18,3.6194888192434007,3.745371482080838,0
26/06/18,3.627023694109868,3.7474003945742176,0
27/06/18,3.634409363533435,3.749413140434184,0
28/06/18,3.6218468018793075,3.743441720988493,0
29/06/18,3.6095330038222917,3.737517882574242,0
02/07/18,3.597463043350563,3.731641246059706,0
03/07/18,3.5856320919970863,3.7258114353341307,0
04/07/18,3.574035416908035,3.7200280772836596,0
05/07/18,3.56266837894946,3.714290801767455,0
06/07/18,3.551526430851451,3.708599241594009,0
09/07/18,3.540605115389046,3.7029530324976427,0
10/07/18,3.529900063599164,3.6973518131151915,0
11/07/18,3.519406993032844,3.6917952249628794,0
12/07/18,3.5091217060420945,3.6862829124133745,0
13/07/18,3.4990400881006667,3.6808145226730287,0
16/07/18,3.4891581061580794,3.6753897057592995,0
17/07/18,3.4794718070262363,3.6700081144783487,0
18/07/18,3.469977315797994,3.664669404402824,0
19/07/18,3.4804728144950636,3.6673413613398536,0
20/07/18,3.4907604815347653,3.6699920277833606,0
23/07/18,3.500844432395463,3.6726215733787124,0
24/07/18,3.5107287010608994,3.6752301664195195,0
25/07/18,3.5204172416339508,3.677817973858408,0
26/07/18,3.529913929918427,3.6803851613177034,0
31/07/18,3.5194205847715274,3.6749637656099927,0
01/08/18,3.5289370088354577,3.677553695764495,0
02/08/18,3.538264988858518,3.6801229890253357,0
03/08/18,3.547408256405874,3.6826718098299147,0
06/08/18,3.556370469150312,3.6852003213053734,0
07/08/18,3.5651552123354544,3.687708685279036,0
08/08/18,3.57376600021,3.6901970622887648,0
09/08/18,3.5822062774335643,3.692665611593237,0
10/08/18,3.590479420454682,3.695114491182135,0
14/08/18,3.59858873886152,3.6975438577862616,0
15/08/18,3.5867354965078264,3.6919857393975266,0
16/08/18,3.594918952022523,3.6944400362947576,0
17/08/18,3.602940358913166,3.6968747770414128,0
20/08/18,3.6108029260634003,3.6992901174633936,0
21/08/18,3.61850979881462,3.7016862121449603,0
22/08/18,3.6260640602242318,3.704063214438626,0
23/08/18,3.6334687322989994,3.7064212764749715,0
24/08/18,3.6407267772039695,3.708760549172382,0
27/08/18,3.647841098447455,3.711081182246706,0
28/08/18,3.6548145420425553,3.713383324220836,0
29/08/18,3.661649897645673,3.7156671224342155,0
30/08/18,3.6683498996724913,3.7179327230522694,0
31/08/18,3.674917228391848,3.7201802710757574,0
03/09/18,3.68135451099795,3.7224099103500543,0
04/09/18,3.687664322661357,3.7246217835743565,0
05/09/18,3.693849187559152,3.7268160323108157,0
06/09/18,3.6999115798847133,3.728992796993598,0
07/09/18,3.7058539248374913,3.7311522169378724,0
10/09/18,3.7116785995931845,3.733294430348726,0
11/09/18,3.7173879342547056,3.735419574330011,0
12/09/18,3.7229842127843153,3.7375277848931185,0
13/09/18,3.7284696739172993,3.739619196965683,0
14/09/18,3.733846512057551,3.7416939444002195,0
17/09/18,3.739116878155421,3.7437521599826877,0
18/09/18,3.7442828805681847,3.745793975440993,0
19/09/18,3.749346585903468,3.7478195214534153,1
20/09/18,3.7741120000439934,3.7577970551470137,1
21/09/18,3.798387009944112,3.767695086580105,1
24/09/18,3.8023793463808624,3.7695461217467976,1
25/09/18,3.8062926266505483,3.7713824076292934,1
26/09/18,3.8299303964198446,3.781172189241809,1
27/09/18,3.853100091540244,3.7908839646263366,1
28/09/18,3.8758109808166745,3.8005183553464454,1
01/10/18,3.898072149513374,3.810075978013008,1
02/10/18,3.9198925029883567,3.819557444323661,1
03/10/18,3.941280770255914,3.8289633611019585,1
04/10/18,3.962245507478569,3.838294330336206,1
05/10/18,3.982795101389885,3.847550949217989,1
08/10/18,4.002937772649491,3.8567338101803954,1
09/10/18,4.02268157913168,3.86584350093593,1
10/10/18,4.042034419148874,3.87488060451413,1
11/10/18,4.061004034611273,3.883845699298878,1
12/10/18,4.0795980141239205,3.8927393590654207,1
16/10/18,4.097823796022457,3.9015621530170908,1
17/10/18,4.115688671348745,3.9103146458217353,1
18/10/18,4.133199786767582,3.918997397647857,1
19/10/18,4.13056216722763,3.9196428367104237,1
22/10/18,4.127976777777578,3.920283132832253,1
24/10/18,4.12544258415822,3.920918326992952,1
25/10/18,4.122958572590731,3.921548459845598,1
26/10/18,4.120523749371112,3.9221735717193384,1
29/10/18,4.118137140472674,3.922793702621973,1
30/10/18,4.115797791156384,3.923408892242515,1
31/10/18,4.133306745786951,3.93198730744377,1
01/11/18,4.150468988444635,3.9404973687390386,1
02/11/18,4.1672913847130575,3.9489396207809584,1
05/11/18,4.18378066422369,3.9573146038823053,1
06/11/18,4.199943423347973,3.9656228540505736,1
07/11/18,4.2157861278361315,3.973864903022282,1
08/11/18,4.231315115403733,3.982041278297005,1
09/11/18,4.246536598267026,3.9901525031711325,1
12/11/18,4.261456665628075,3.9981990967713625,1
13/11/18,4.276081286110688,4.006181574087925,1
14/11/18,4.2904163101481,4.014100446007544,1
15/11/18,4.304467472323385,4.021956219346129,1
16/11/18,4.318240393663515,4.02974939688122,1
19/11/18,4.331740583888,4.037480477384158,1
20/11/18,4.34497344361299,4.045149955652014,1
21/11/18,4.338142286313723,4.044790195049209,1
22/11/18,4.331446399456026,4.044433301064752,1
23/11/18,4.344685084615313,4.052047378347105,1
26/11/18,4.3576616175932275,4.059600785690953,1
27/11/18,4.3703811895220745,4.067094006522101,1
28/11/18,4.382848888739459,4.074527520414355,1
29/11/18,4.395069702823826,4.081901803120217,1
30/11/18,4.407048520589691,4.0892173266013305,1
03/12/18,4.418790134043361,4.096474559058691,1
04/12/18,4.430299240299928,4.1036739649626055,1
06/12/18,4.441580443462306,4.110816005082425,1
07/12/18,4.452638256463053,4.117901136516031,1
11/12/18,4.463477102869725,4.124929812719091,1
12/12/18,4.474101318654483,4.131902483534079,1
13/12/18,4.484515153928652,4.138819595219066,1
14/12/18,4.494722774642936,4.1456815904762845,1
17/12/18,4.504728264253967,4.152488908480458,1
18/12/18,4.5145356253578495,4.159241984906909,1
19/12/18,4.524148781291357,4.165941251959444,1
20/12/18,4.533571577701429,4.172587138398014,1
21/12/18,4.542807784083579,4.179180069566157,1
24/12/18,4.551861095289845,4.18572046741822,1
25/12/18,4.560735133006878,4.192208750546361,1
26/12/18,4.569433447204761,4.198645334207346,1
27/12/18,4.558157537359122,4.1970625028590804,1
28/12/18,4.547104912856962,4.195492283712793,1
02/01/19,4.556073132404348,4.20190270376289,1
03/01/19,4.545061783247827,4.2002939172787235,1
04/01/19,4.554070460807276,4.206666077300407,1
07/01/19,4.5629007487120825,4.212987463138651,1
08/01/19,4.571556179430655,4.219258479368622,1
09/01/19,4.580040215481533,4.225479527341781,1
10/01/19,4.568554270620513,4.223682877721528,1
11/01/19,4.577097750410206,4.229868671524543,1
14/01/19,4.585472052382281,4.23600517613391,1
15/01/19,4.573878546394513,4.234124656802165,1
16/01/19,4.5625146147827405,4.2322591216882035,1
17/01/19,4.551375711519716,4.230408451395867,1
18/01/19,4.540457380598534,4.228572527480362,1
21/01/19,4.529755254250048,4.226751232440678,1
22/01/19,4.519265051195592,4.224944449712067,1
23/01/19,4.508982574934293,4.223152063658585,1
24/01/19,4.4989037120643065,4.221373959565688,1
25/01/19,4.489024430637291,4.219610023632894,1
28/01/19,4.479340778545463,4.217860142966496,1
29/01/19,4.469848881940603,4.216124205572341,1
30/01/19,4.460544943684353,4.214402100348657,1
31/01/19,4.4514252418292175,4.212693717078947,1
01/02/19,4.442486128129629,4.210998946424931,1
04/02/19,4.4337240265825075,4.209317679919553,1
05/02/19,4.425135431996715,4.207649809960035,1
06/02/19,4.416716908590839,4.205995229800991,1
07/02/19,4.408465088618743,4.2043538335475965,1
08/02/19,4.400376671022332,4.202725516148811,1
11/02/19,4.392448420110999,4.201110173390653,1
12/02/19,4.384677164267217,4.199507701889532,1
13/02/19,4.377059794677767,4.1979179990856315,1
14/02/19,4.389395244288108,4.204309090726383,1
15/02/19,4.381684447371512,4.202681129844101,1
18/02/19,4.374126339502769,4.201066140761678,1
20/02/19,4.366717897136378,4.199464020118159,1
21/02/19,4.379258136797044,4.205842792866221,1
22/02/19,4.391550054880271,4.212170738739797,1
25/02/19,4.403598568645018,4.218448262733902,1
26/02/19,4.39560651778076,4.216707639126461,1
27/02/19,4.387772725349458,4.214980885029836,1
28/02/19,4.380094057520756,4.2132678899299965,1
01/03/19,4.372567442520345,4.2115685441935025,1
04/03/19,4.36518986940113,4.209882739060487,1
05/03/19,4.357958386838731,4.208210366637694,1
06/03/19,4.350870101950835,4.2065513198915765,1
07/03/19,4.343922179139927,4.204905492641444,1
08/03/19,4.337111838958938,4.203272779552668,1
11/03/19,4.330436356999355,4.201653076129937,1
12/03/19,4.323893062801348,4.200046278710575,1
13/03/19,4.31747933878548,4.198452284457901,1
14/03/19,4.31119261920557,4.196870991354651,1
15/03/19,4.305030389122291,4.195302298196447,1
18/03/19,4.298990183397097,4.19374610458532,1
19/03/19,4.293069585706066,4.192202310923285,1
20/03/19,4.287266227573273,4.190670818405969,1
21/03/19,4.281577787423307,4.1891515290162795,1
22/03/19,4.276001989652549,4.187644345518142,1
25/03/19,4.270536603718836,4.1861491714502685,1
26/03/19,4.265179443249155,4.184665911119987,1
27/03/19,4.259928365165014,4.183194469597119,1
28/03/19,4.254781268825113,4.181734752707899,1
29/03/19,4.249736095185011,4.180286667028952,1
01/04/19,4.244790825973427,4.178850119881311,1
02/04/19,4.259745463082863,4.185393146814527,1
03/04/19,4.274403968764391,4.191884038074969,1
04/04/19,4.28877220700668,4.198323209086324,1
05/04/19,4.302855925679815,4.20471107196213,1
09/04/19,4.3166607588346695,4.211048035532153,1
10/04/19,4.330192228956755,4.217334505368551,1
11/04/19,4.343455749175433,4.2235708838118295,1
12/04/19,4.356456625429385,4.229757569996596,1
17/04/19,4.3692000585891995,4.235894959877101,1
18/04/19,4.3816911465379285,4.241983446252583,1
19/04/19,4.393934886210444,4.248023418792402,1
22/04/19,4.405936175592416,4.254015264060989,1
23/04/19,4.417699815679694,4.259959365542574,1
24/04/19,4.429230512398909,4.265856103665741,1
25/04/19,4.4405328784900195,4.271705855827767,1
26/04/19,4.451611435351603,4.2775089964187805,1
29/04/19,4.462470614849591,4.283265896845722,1
30/04/19,4.473114761090193,4.288976925556115,1
02/05/19,4.483548132157714,4.294642448061644,1
03/05/19,4.493774901817957,4.300262826961552,1
07/05/19,4.523601141385918,4.313806549455882,1
08/05/19,4.533034782150554,4.319274226352648,1
09/05/19,4.542281618147572,4.324698336102826,1
10/05/19,4.551345348481283,4.330079225854995,1
13/05/19,4.560229599006407,4.335417239991608,1
14/05/19,4.568937923778557,4.340712720151038,1
15/05/19,4.577473806476011,4.345966005249436,1
16/05/19,4.585840661793317,4.351177431502429,1
17/05/19,4.594041836807311,4.356347332446633,1
21/05/19,4.602080612316078,4.361476038961003,1
22/05/19,4.609960204151403,4.366563879288007,1
23/05/19,4.617683764465237,4.371611179054637,1
24/05/19,4.625254382990678,4.376618261293245,1
27/05/19,4.632675088277992,4.381585446462224,1
28/05/19,4.65975082910417,4.394481179956549,1
29/05/19,4.686290416646662,4.407274158602314,1
30/05/19,4.7123044678021735,4.419965201163252,1
31/05/19,4.737803389231834,4.4325551198790825,1
04/06/19,4.762797381524273,4.4450447205174966,1
05/06/19,4.787296443276267,4.457434802425723,1
06/06/19,4.811310375092578,4.469726158581694,1
07/06/19,4.834848783506587,4.481919575644788,1
10/06/19,4.857921084823288,4.494015834006184,1
11/06/19,4.880536508886193,4.506015707838804,1
12/06/19,4.9027041027696345,4.517919965146861,1
13/06/19,4.924432734397959,4.529729367815014,1
14/06/19,4.9457310960930485,4.541444671657125,1
17/06/19,4.966607708051602,4.553066626464638,1
18/06/19,4.98707092175355,4.564595976054561,1
19/06/19,5.007128923302985,4.576033458317075,1
20/06/19,5.026789736702926,4.5873798052627555,1
21/06/19,5.046061227065245,4.598635743069427,1
24/06/19,5.064951103757022,4.609801992128635,1
25/06/19,5.083466923484606,4.620879267091754,1
26/06/19,5.121418073514613,4.639836404405764,1
27/06/19,5.158617715623235,4.658642488832809,1
28/06/19,5.195080731155448,4.6772987239815516,1
01/07/19,5.2308217067761325,4.695806303870145,1
02/07/19,5.265854940305318,4.714166413002654,1
03/07/19,5.300194446437886,4.732380226444864,1
04/07/19,5.333853962350007,4.750448909899486,1
05/07/19,5.366846953194561,4.768373619780765,1
08/07/19,5.3991866174877385,4.786155503288488,1
09/07/19,5.430885892388972,4.803795698481409,1
10/07/19,5.461957458876318,4.821295334350083,1
11/07/19,5.492413746819361,4.838655530889126,1
12/07/19,5.522266939951651,4.855877399168894,1
15/07/19,5.5515289807446875,4.872962041406592,1
17/07/19,5.560409594987367,4.8819424235467785,1
18/07/19,5.569114355482666,4.890851248857163,1
19/07/19,5.577646744483009,4.899689087511687,1
22/07/19,5.586010175285326,4.908456505141076,1
23/07/19,5.594207993596507,4.917154062869035,1
24/07/19,5.602243478871824,4.925782317348166,1
25/07/19,5.610119845626837,4.934341820795591,1
26/07/19,5.617840244723335,4.942833121028296,1
30/07/19,5.625407764629804,4.95125676149819,1
31/07/19,5.6328254326569365,4.95961328132689,1
01/08/19,5.64009621616868,4.967903215340221,1
02/08/19,5.647223023769301,4.97612709410245,1
05/08/19,5.654208706466938,4.984285443950239,1
06/08/19,5.661056058814127,4.9923787870263325,1
07/08/19,5.667767820025729,5.000407641312975,1
08/08/19,5.674346675074724,5.008372520665063,1
09/08/19,5.680795255766314,5.0162739348430305,1
13/08/19,5.687116141790743,5.0241123895454765,1
14/08/19,5.693311861755283,5.031888386441528,1
15/08/19,5.699384894195772,5.03960242320295,1
16/08/19,5.7053376685681325,5.0472549935359945,1
19/08/19,5.711172566220249,5.054846587212999,1
20/08/19,5.7168919213446,5.062377690103732,1
21/08/19,5.722498021912034,5.069848784206491,1
22/08/19,5.727993110587043,5.0772603476789495,1
23/08/19,5.733379385624923,5.084612854868759,1
26/08/19,5.738659001751162,5.091906776343908,1
27/08/19,5.743834071023416,5.099142578922841,1
28/08/19,5.748906663676418,5.106320725704332,1
29/08/19,5.753878808950152,5.113441676097127,1
30/08/19,5.758752495901634,5.120505885849341,1
02/09/19,5.763529674200611,5.127513807077634,1
03/09/19,5.76821225490951,5.1344658882961385,1
04/09/19,5.772802111247935,5.141362574445173,1
05/09/19,5.777301079342035,5.148204306919713,1
06/09/19,5.7817109589590245,5.154991523597644,1
09/09/19,5.786033514227163,5.161724658867782,1
10/09/19,5.790270474341477,5.16840414365768,1
11/09/19,5.794423534255507,5.175030405461205,1
12/09/19,5.798494355359358,5.1816038683658965,1
13/09/19,5.802484566144321,5.188124953080113,1
16/09/19,5.806395762854335,5.194594076959953,1
17/09/19,5.810229510124546,5.201011654035969,1
18/09/19,5.813987341607228,5.207378095039666,1
19/09/19,5.797868780387283,5.205725679939748,1
20/09/19,5.782069398597436,5.204086431494013,1
23/09/19,5.766582875852932,5.202460244788882,1
24/09/19,5.751403016925151,5.2008470157467395,1
25/09/19,5.736523749263267,5.1992466411192755,1
26/09/19,5.721939120564984,5.197659018480875,1
27/09/19,5.70764329639538,5.196084046222063,1
30/09/19,5.693630557852898,5.194521623543003,1
01/10/19,5.6798952992815535,5.192971650447043,1
02/10/19,5.6664320260284535,5.191434027734317,1
03/10/19,5.653235352245712,5.1899086569953985,1
04/10/19,5.640299998735896,5.188395440604997,1
07/10/19,5.627620790840136,5.1868942817157135,1
08/10/19,5.615192656368054,5.185405084251843,1
09/10/19,5.603010623568686,5.183927752903223,1
10/10/19,5.610871799339603,5.190430320609173,1
11/10/19,5.618577308263571,5.19688107502663,1
15/10/19,5.626130232852412,5.203280429010481,1
16/10/19,5.633533594578107,5.209628792125935,1
17/10/19,5.620988374883491,5.207958443184692,1
18/10/19,5.628493555578867,5.214269531286806,1
21/10/19,5.635850118834731,5.220530331834322,1
22/10/19,5.643061007570677,5.226741245524885,1
24/10/19,5.650129106430663,5.232902669863332,1
25/10/19,5.657057242936987,5.23901499918713,1
28/10/19,5.663848188621403,5.245078624691615,1
29/10/19,5.67050466013385,5.251093934455029,1
30/10/19,5.677029320329219,5.257061313463355,1
31/10/19,5.683424779332601,5.262981143634962,1
01/11/19,5.6896935955834405,5.268853803845041,1
04/11/19,5.695838276859016,5.274679669949862,1
05/11/19,5.701861281277649,5.280459114810819,1
06/11/19,5.7077650182820525,5.286192508318303,1
07/11/19,5.7135518496032,5.291880217415368,1
08/11/19,5.719224090205117,5.2975226061212215,1
11/11/19,5.724784009210956,5.303120035554518,1
12/11/19,5.71043185061272,5.300704736466434,1
13/11/19,5.696363893174844,5.29830868278941,1
14/11/19,5.68257450915158,5.295931721173559,1
15/11/19,5.669058182237688,5.293573699490901,1
18/11/19,5.655809505361694,5.291234466825635,1
19/11/19,5.642823178522849,5.288913873464475,1
20/11/19,5.6300940066709115,5.286611770887069,1
21/11/19,5.617616897627923,5.284328011756494,1
22/11/19,5.605386860051133,5.282062449909828,1
25/11/19,5.593399001436259,5.2798149403487935,1
26/11/19,5.5816485261602935,5.277585339230477,1
27/11/19,5.57013073356306,5.275373503858122,1
28/11/19,5.558841016066761,5.273179292672002,1
29/11/19,5.547774857332766,5.2710025652403525,1
02/12/19,5.536927830454889,5.268843182250389,1
03/12/19,5.526295596188456,5.266701005499391,1
04/12/19,5.5158739012144276,5.26457589788585,1
06/12/19,5.485856596239884,5.254499595910664,1
09/12/19,5.456433693344045,5.244503583194244,1
11/12/19,5.427593422188718,5.234587219981541,1
12/12/19,5.419126225709733,5.232717999105194,1
13/12/19,5.410826696487758,5.230863672419097,1
16/12/19,5.38288953418107,5.221055993754403,1
17/12/19,5.355505583009167,5.21132646392369,1
18/12/19,5.328663888296115,5.201674460227087,1
19/12/19,5.302353712290251,5.192099364926473,1
20/12/19,5.296366510066681,5.190568692695983,1
23/12/19,5.270695886104964,5.181082089566932,1
24/12/19,5.2455335913306085,5.17167107690106,1
25/12/19,5.2208695598191115,5.16233505238392,1
26/12/19,5.196693924971208,5.153073418500383,1
27/12/19,5.172997015565837,5.143885582496396,1
30/12/19,5.149769351891266,5.134770956341046,1
02/01/20,5.146803622150845,5.133697084178966,1
03/01/20,5.124094639533997,5.124663641277142,0
06/01/20,5.101835339741244,5.115702178000033,0
07/01/20,5.08001681816221,5.106812120804814,0
08/01/20,5.058630346515433,5.09799290071872,0
09/01/20,5.037667369356711,5.089243953302634,0
10/01/20,5.0171195006565785,5.080564718614964,0
13/01/20,4.996978520445557,5.071954641175801,0
14/01/20,4.977236371525843,5.063413169931373,0
15/01/20,4.957885156248104,5.054939758218772,0
16/01/20,4.938917133352103,5.046533863730973,0
17/01/20,4.920324714869883,5.038194948482121,0
20/01/20,4.902100463090282,5.0299224787731,0
21/01/20,4.884237087583544,5.021715925157379,0
