date,indy1,indy2,check
03/01/18,0,50,0
04/01/18,0,50,0
05/01/18,0,50,0
08/01/18,0,50,0
09/01/18,0,50,0
10/01/18,0,50,0
11/01/18,0,50,0
12/01/18,0,50,0
15/01/18,0,50,0
16/01/18,0,50,0
17/01/18,0,50,0
18/01/18,0,50,0
19/01/18,0,50,0
22/01/18,0,50,0
23/01/18,50,50,0
24/01/18,50,50,0
25/01/18,50,50,0
26/01/18,61.9,50,1
29/01/18,61.9,50,1
30/01/18,61.9,50,1
31/01/18,61.9,50,1
01/02/18,61.9,50,1
02/02/18,46.03,50,0
05/02/18,46.03,50,0
06/02/18,46.03,50,0
07/02/18,46.03,50,0
08/02/18,46.03,50,0
09/02/18,46.03,50,0
12/02/18,46.03,50,0
13/02/18,46.03,50,0
14/02/18,46.03,50,0
15/02/18,46.03,50,0
16/02/18,64.91,50,1
19/02/18,64.91,50,1
20/02/18,64.91,50,1
21/02/18,45.17,50,0
22/02/18,58.7,50,1
23/02/18,67.36,50,1
26/02/18,73.38,50,1
27/02/18,61.23,50,1
28/02/18,67.1,50,1
02/03/18,57.69,50,1
05/03/18,57.69,50,1
06/03/18,57.69,50,1
07/03/18,57.69,50,1
08/03/18,57.69,50,1
09/03/18,57.69,50,1
12/03/18,57.69,50,1
13/03/18,57.69,50,1
14/03/18,57.69,50,1
15/03/18,57.69,50,1
16/03/18,57.69,50,1
19/03/18,57.69,50,1
20/03/18,57.69,50,1
21/03/18,57.69,50,1
22/03/18,57.69,50,1
23/03/18,57.69,50,1
26/03/18,39.55,50,0
27/03/18,54.84,50,1
28/03/18,54.84,50,1
29/03/18,54.84,50,1
30/03/18,65.69,50,1
02/04/18,65.69,50,1
03/04/18,65.69,50,1
04/04/18,65.69,50,1
05/04/18,49.65,50,0
09/04/18,49.65,50,0
10/04/18,60.76,50,1
11/04/18,60.76,50,1
12/04/18,48.38,50,0
17/04/18,48.38,50,0
18/04/18,58.25,50,1
19/04/18,58.25,50,1
20/04/18,58.25,50,1
23/04/18,58.25,50,1
24/04/18,58.25,50,1
25/04/18,45.62,50,0
26/04/18,45.62,50,0
27/04/18,56.54,50,1
30/04/18,46.48,50,0
02/05/18,55.09,50,1
03/05/18,55.09,50,1
04/05/18,55.09,50,1
07/05/18,55.09,50,1
08/05/18,55.09,50,1
09/05/18,55.09,50,1
10/05/18,55.09,50,1
11/05/18,64.64,50,1
14/05/18,52.59,50,1
15/05/18,52.59,50,1
16/05/18,52.59,50,1
17/05/18,42.66,50,0
18/05/18,42.66,50,0
21/05/18,42.66,50,0
22/05/18,42.66,50,0
23/05/18,42.66,50,0
24/05/18,42.66,50,0
25/05/18,32.96,50,0
28/05/18,32.96,50,0
30/05/18,46.95,50,0
31/05/18,46.95,50,0
01/06/18,37.8,50,0
04/06/18,37.8,50,0
05/06/18,37.8,50,0
06/06/18,37.8,50,0
07/06/18,37.8,50,0
08/06/18,37.8,50,0
11/06/18,37.8,50,0
12/06/18,53.15,50,1
13/06/18,53.15,50,1
14/06/18,53.15,50,1
15/06/18,53.15,50,1
18/06/18,39.9,50,0
19/06/18,39.9,50,0
20/06/18,53.38,50,1
21/06/18,43,50,0
22/06/18,43,50,0
25/06/18,43,50,0
26/06/18,43,50,0
27/06/18,43,50,0
28/06/18,33.55,50,0
29/06/18,33.55,50,0
02/07/18,47.04,50,0
03/07/18,47.04,50,0
04/07/18,47.04,50,0
05/07/18,37.52,50,0
06/07/18,48.7,50,0
09/07/18,48.7,50,0
10/07/18,48.7,50,0
11/07/18,48.7,50,0
12/07/18,48.7,50,0
13/07/18,48.7,50,0
16/07/18,48.7,50,0
17/07/18,37.45,50,0
18/07/18,49.91,50,0
19/07/18,49.91,50,0
20/07/18,49.91,50,0
23/07/18,49.91,50,0
24/07/18,60.5,50,1
25/07/18,49.28,50,0
26/07/18,49.28,50,0
31/07/18,58.26,50,1
01/08/18,58.26,50,1
02/08/18,58.26,50,1
03/08/18,58.26,50,1
06/08/18,58.26,50,1
07/08/18,58.26,50,1
08/08/18,58.26,50,1
09/08/18,58.26,50,1
10/08/18,58.26,50,1
14/08/18,58.26,50,1
15/08/18,58.26,50,1
16/08/18,58.26,50,1
17/08/18,58.26,50,1
20/08/18,58.26,50,1
21/08/18,58.26,50,1
22/08/18,58.26,50,1
23/08/18,58.26,50,1
24/08/18,58.26,50,1
27/08/18,75.03,50,1
28/08/18,75.03,50,1
29/08/18,75.03,50,1
30/08/18,75.03,50,1
31/08/18,75.03,50,1
03/09/18,75.03,50,1
04/09/18,75.03,50,1
05/09/18,75.03,50,1
06/09/18,75.03,50,1
07/09/18,75.03,50,1
10/09/18,75.03,50,1
11/09/18,75.03,50,1
12/09/18,75.03,50,1
13/09/18,75.03,50,1
14/09/18,75.03,50,1
17/09/18,75.03,50,1
18/09/18,75.03,50,1
19/09/18,89.67,50,1
20/09/18,89.67,50,1
21/09/18,89.67,50,1
24/09/18,89.67,50,1
25/09/18,89.67,50,1
26/09/18,94.41,50,1
27/09/18,94.41,50,1
28/09/18,96.35,50,1
01/10/18,96.35,50,1
02/10/18,96.35,50,1
03/10/18,67.19,50,1
04/10/18,67.19,50,1
05/10/18,67.19,50,1
08/10/18,67.19,50,1
09/10/18,67.19,50,1
10/10/18,67.19,50,1
11/10/18,67.19,50,1
12/10/18,78.25,50,1
16/10/18,78.25,50,1
17/10/18,78.25,50,1
18/10/18,78.25,50,1
19/10/18,53.84,50,1
22/10/18,53.84,50,1
24/10/18,39.54,50,0
25/10/18,52.99,50,1
26/10/18,52.99,50,1
29/10/18,52.99,50,1
30/10/18,41.47,50,0
31/10/18,41.47,50,0
01/11/18,41.47,50,0
02/11/18,53.97,50,1
05/11/18,53.97,50,1
06/11/18,53.97,50,1
07/11/18,53.97,50,1
08/11/18,53.97,50,1
09/11/18,53.97,50,1
12/11/18,40.48,50,0
13/11/18,40.48,50,0
14/11/18,40.48,50,0
15/11/18,30.85,50,0
16/11/18,30.85,50,0
19/11/18,24.18,50,0
20/11/18,24.18,50,0
21/11/18,24.18,50,0
22/11/18,24.18,50,0
23/11/18,24.18,50,0
26/11/18,24.18,50,0
27/11/18,24.18,50,0
28/11/18,24.18,50,0
29/11/18,45.5,50,0
30/11/18,45.5,50,0
03/12/18,45.5,50,0
04/12/18,33.67,50,0
06/12/18,33.67,50,0
07/12/18,49.04,50,0
11/12/18,49.04,50,0
12/12/18,49.04,50,0
13/12/18,49.04,50,0
14/12/18,49.04,50,0
17/12/18,36.72,50,0
18/12/18,36.72,50,0
19/12/18,36.72,50,0
20/12/18,36.72,50,0
21/12/18,27.44,50,0
24/12/18,27.44,50,0
25/12/18,21.23,50,0
26/12/18,21.23,50,0
27/12/18,16.81,50,0
28/12/18,16.81,50,0
02/01/19,13.54,50,0
03/01/19,11.2,50,0
04/01/19,11.2,50,0
07/01/19,11.2,50,0
08/01/19,11.2,50,0
09/01/19,11.2,50,0
10/01/19,8.95,50,0
11/01/19,25.12,50,0
14/01/19,25.12,50,0
15/01/19,25.12,50,0
16/01/19,25.12,50,0
17/01/19,20.28,50,0
18/01/19,33.98,50,0
21/01/19,28.67,50,0
22/01/19,46.63,50,0
23/01/19,41.06,50,0
24/01/19,47.78,50,0
25/01/19,47.78,50,0
28/01/19,47.78,50,0
29/01/19,47.78,50,0
30/01/19,47.78,50,0
31/01/19,55.18,50,1
01/02/19,55.18,50,1
04/02/19,55.18,50,1
05/02/19,55.18,50,1
06/02/19,55.18,50,1
07/02/19,45.78,50,0
08/02/19,45.78,50,0
11/02/19,54.72,50,1
12/02/19,61.55,50,1
13/02/19,61.55,50,1
14/02/19,61.55,50,1
15/02/19,61.55,50,1
18/02/19,61.55,50,1
20/02/19,61.55,50,1
21/02/19,61.55,50,1
22/02/19,69.32,50,1
25/02/19,74.81,50,1
26/02/19,62.73,50,1
27/02/19,62.73,50,1
28/02/19,62.73,50,1
01/03/19,68.98,50,1
04/03/19,68.98,50,1
05/03/19,68.98,50,1
06/03/19,68.98,50,1
07/03/19,68.98,50,1
08/03/19,68.98,50,1
11/03/19,75.42,50,1
12/03/19,75.42,50,1
13/03/19,75.42,50,1
14/03/19,59.9,50,1
15/03/19,59.9,50,1
18/03/19,59.9,50,1
19/03/19,59.9,50,1
20/03/19,59.9,50,1
21/03/19,59.9,50,1
22/03/19,45.34,50,0
25/03/19,45.34,50,0
26/03/19,45.34,50,0
27/03/19,45.34,50,0
28/03/19,45.34,50,0
29/03/19,45.34,50,0
01/04/19,60.37,50,1
02/04/19,60.37,50,1
03/04/19,60.37,50,1
04/04/19,60.37,50,1
05/04/19,60.37,50,1
09/04/19,60.37,50,1
10/04/19,60.37,50,1
11/04/19,60.37,50,1
