date,indy1,indy2,check
03/01/18,0,50,0
04/01/18,0,50,0
05/01/18,0,50,0
08/01/18,0,50,0
09/01/18,0,50,0
10/01/18,0,50,0
11/01/18,0,50,0
12/01/18,0,50,0
15/01/18,0,50,0
16/01/18,0,50,0
17/01/18,0,50,0
18/01/18,0,50,0
19/01/18,0,50,0
22/01/18,0,50,0
23/01/18,100,50,1
24/01/18,48.15,50,0
25/01/18,48.15,50,0
26/01/18,48.15,50,0
29/01/18,29.22,50,0
30/01/18,50.27,50,1
31/01/18,38.08,50,0
01/02/18,38.08,50,0
02/02/18,38.08,50,0
05/02/18,38.08,50,0
06/02/18,38.08,50,0
07/02/18,54.18,50,1
08/02/18,42.33,50,0
09/02/18,42.33,50,0
12/02/18,54,50,1
13/02/18,44.34,50,0
14/02/18,44.34,50,0
15/02/18,44.34,50,0
16/02/18,44.34,50,0
19/02/18,55.13,50,1
20/02/18,45.61,50,0
21/02/18,45.61,50,0
22/02/18,45.61,50,0
23/02/18,45.61,50,0
26/02/18,45.61,50,0
27/02/18,45.61,50,0
28/02/18,45.61,50,0
02/03/18,35.34,50,0
05/03/18,47.96,50,0
06/03/18,39.63,50,0
07/03/18,39.63,50,0
08/03/18,32.99,50,0
09/03/18,32.99,50,0
12/03/18,32.99,50,0
13/03/18,52.76,50,1
14/03/18,52.76,50,1
15/03/18,52.76,50,1
16/03/18,52.76,50,1
19/03/18,44.03,50,0
20/03/18,52.5,50,1
21/03/18,52.5,50,1
22/03/18,52.5,50,1
23/03/18,44.15,50,0
26/03/18,52.32,50,1
27/03/18,45.2,50,0
28/03/18,52.2,50,1
29/03/18,52.2,50,1
30/03/18,52.2,50,1
02/04/18,52.2,50,1
03/04/18,52.2,50,1
04/04/18,52.2,50,1
05/04/18,52.2,50,1
09/04/18,52.2,50,1
10/04/18,52.2,50,1
11/04/18,52.2,50,1
12/04/18,52.2,50,1
17/04/18,40.51,50,0
18/04/18,52.07,50,1
19/04/18,43.06,50,0
20/04/18,43.06,50,0
23/04/18,52.58,50,1
24/04/18,52.58,50,1
25/04/18,52.58,50,1
26/04/18,43.5,50,0
27/04/18,52.36,50,1
30/04/18,52.36,50,1
02/05/18,59.69,50,1
03/05/18,59.69,50,1
04/05/18,59.69,50,1
07/05/18,50.07,50,1
08/05/18,50.07,50,1
09/05/18,50.07,50,1
10/05/18,50.07,50,1
11/05/18,50.07,50,1
14/05/18,59.52,50,1
15/05/18,49.44,50,0
16/05/18,49.44,50,0
17/05/18,57.74,50,1
18/05/18,49.07,50,0
21/05/18,56.16,50,1
22/05/18,56.16,50,1
23/05/18,56.16,50,1
24/05/18,47.84,50,0
25/05/18,47.84,50,0
28/05/18,55.49,50,1
30/05/18,47.92,50,0
31/05/18,54.59,50,1
01/06/18,54.59,50,1
04/06/18,47.53,50,0
05/06/18,47.53,50,0
06/06/18,47.53,50,0
07/06/18,54.83,50,1
08/06/18,54.83,50,1
11/06/18,54.83,50,1
12/06/18,54.83,50,1
13/06/18,54.83,50,1
14/06/18,62.4,50,1
15/06/18,52.86,50,1
18/06/18,52.86,50,1
19/06/18,52.86,50,1
20/06/18,52.86,50,1
21/06/18,43.84,50,0
22/06/18,52.56,50,1
25/06/18,45.03,50,0
26/06/18,45.03,50,0
27/06/18,45.03,50,0
28/06/18,45.03,50,0
29/06/18,53.91,50,1
02/07/18,53.91,50,1
03/07/18,53.91,50,1
04/07/18,53.91,50,1
05/07/18,53.91,50,1
06/07/18,53.91,50,1
09/07/18,53.91,50,1
10/07/18,53.91,50,1
11/07/18,53.91,50,1
12/07/18,53.91,50,1
13/07/18,53.91,50,1
16/07/18,53.91,50,1
17/07/18,53.91,50,1
18/07/18,67.62,50,1
19/07/18,51.21,50,1
20/07/18,51.21,50,1
23/07/18,51.21,50,1
24/07/18,51.21,50,1
25/07/18,51.21,50,1
26/07/18,51.21,50,1
31/07/18,51.21,50,1
01/08/18,65.34,50,1
02/08/18,49.81,50,0
03/08/18,49.81,50,0
06/08/18,49.81,50,0
07/08/18,61.3,50,1
08/08/18,61.3,50,1
09/08/18,61.3,50,1
10/08/18,61.3,50,1
14/08/18,70.41,50,1
15/08/18,56.17,50,1
16/08/18,56.17,50,1
17/08/18,56.17,50,1
20/08/18,56.17,50,1
21/08/18,56.17,50,1
22/08/18,56.17,50,1
23/08/18,56.17,50,1
24/08/18,56.17,50,1
27/08/18,67.91,50,1
28/08/18,67.91,50,1
29/08/18,67.91,50,1
30/08/18,67.91,50,1
31/08/18,67.91,50,1
03/09/18,67.91,50,1
04/09/18,67.91,50,1
05/09/18,67.91,50,1
06/09/18,67.91,50,1
07/09/18,67.91,50,1
10/09/18,67.91,50,1
11/09/18,67.91,50,1
12/09/18,67.91,50,1
13/09/18,67.91,50,1
14/09/18,81.73,50,1
17/09/18,55.84,50,1
18/09/18,67.07,50,1
19/09/18,67.07,50,1
20/09/18,67.07,50,1
21/09/18,67.07,50,1
24/09/18,67.07,50,1
25/09/18,67.07,50,1
26/09/18,67.07,50,1
27/09/18,67.07,50,1
28/09/18,77.45,50,1
01/10/18,57.82,50,1
02/10/18,57.82,50,1
03/10/18,44.69,50,0
04/10/18,44.69,50,0
05/10/18,44.69,50,0
08/10/18,44.69,50,0
09/10/18,44.69,50,0
10/10/18,58.38,50,1
11/10/18,46.09,50,0
12/10/18,56.05,50,1
16/10/18,56.05,50,1
17/10/18,56.05,50,1
18/10/18,56.05,50,1
19/10/18,44.9,50,0
22/10/18,44.9,50,0
24/10/18,44.9,50,0
25/10/18,44.9,50,0
26/10/18,44.9,50,0
29/10/18,44.9,50,0
30/10/18,44.9,50,0
31/10/18,44.9,50,0
01/11/18,44.9,50,0
02/11/18,60.3,50,1
05/11/18,46.35,50,0
06/11/18,46.35,50,0
07/11/18,57.7,50,1
08/11/18,57.7,50,1
09/11/18,46.33,50,0
12/11/18,46.33,50,0
13/11/18,56.31,50,1
14/11/18,56.31,50,1
15/11/18,46.32,50,0
16/11/18,54.93,50,1
19/11/18,54.93,50,1
20/11/18,46.32,50,0
21/11/18,46.32,50,0
22/11/18,46.32,50,0
23/11/18,46.32,50,0
26/11/18,46.32,50,0
27/11/18,56.26,50,1
28/11/18,56.26,50,1
29/11/18,56.26,50,1
30/11/18,56.26,50,1
03/12/18,56.26,50,1
04/12/18,56.26,50,1
06/12/18,56.26,50,1
07/12/18,66.63,50,1
11/12/18,53.07,50,1
12/12/18,61.51,50,1
13/12/18,61.51,50,1
14/12/18,50.9,50,1
17/12/18,50.9,50,1
18/12/18,50.9,50,1
19/12/18,50.9,50,1
20/12/18,50.9,50,1
21/12/18,50.9,50,1
24/12/18,50.9,50,1
25/12/18,39.46,50,0
26/12/18,39.46,50,0
27/12/18,39.46,50,0
28/12/18,39.46,50,0
02/01/19,53.51,50,1
03/01/19,35.68,50,0
04/01/19,35.68,50,0
07/01/19,35.68,50,0
08/01/19,35.68,50,0
09/01/19,35.68,50,0
10/01/19,35.68,50,0
11/01/19,35.68,50,0
14/01/19,35.68,50,0
15/01/19,27.41,50,0
16/01/19,27.41,50,0
17/01/19,27.41,50,0
18/01/19,27.41,50,0
21/01/19,44.66,50,0
22/01/19,44.66,50,0
23/01/19,44.66,50,0
24/01/19,44.66,50,0
25/01/19,44.66,50,0
28/01/19,44.66,50,0
29/01/19,44.66,50,0
30/01/19,44.66,50,0
31/01/19,61.29,50,1
01/02/19,46.3,50,0
04/02/19,57.5,50,1
05/02/19,57.5,50,1
06/02/19,57.5,50,1
07/02/19,57.5,50,1
08/02/19,57.5,50,1
11/02/19,57.5,50,1
12/02/19,57.5,50,1
13/02/19,57.5,50,1
14/02/19,57.5,50,1
15/02/19,57.5,50,1
18/02/19,40,50,0
20/02/19,54.81,50,1
21/02/19,54.81,50,1
22/02/19,54.81,50,1
25/02/19,54.81,50,1
26/02/19,54.81,50,1
27/02/19,54.81,50,1
28/02/19,54.81,50,1
01/03/19,54.81,50,1
04/03/19,37.89,50,0
05/03/19,37.89,50,0
06/03/19,37.89,50,0
07/03/19,37.89,50,0
08/03/19,37.89,50,0
11/03/19,37.89,50,0
12/03/19,37.89,50,0
13/03/19,37.89,50,0
14/03/19,37.89,50,0
15/03/19,37.89,50,0
18/03/19,37.89,50,0
19/03/19,37.89,50,0
20/03/19,37.89,50,0
21/03/19,37.89,50,0
22/03/19,66.81,50,1
25/03/19,44.5,50,0
26/03/19,44.5,50,0
27/03/19,44.5,50,0
28/03/19,44.5,50,0
29/03/19,44.5,50,0
01/04/19,44.5,50,0
02/04/19,44.5,50,0
03/04/19,44.5,50,0
04/04/19,44.5,50,0
05/04/19,44.5,50,0
09/04/19,44.5,50,0
10/04/19,44.5,50,0
