date,indy1,indy2,check
03/01/18,0,0,0
04/01/18,0,0,0
05/01/18,0,0,0
08/01/18,0,0,0
09/01/18,0,0,0
10/01/18,0,0,0
11/01/18,0,0,0
12/01/18,0,0,0
15/01/18,0,0,0
16/01/18,3,0,0
17/01/18,3,0,0
18/01/18,3,0,0
19/01/18,3,0,0
22/01/18,3,0,0
23/01/18,3,0,0
24/01/18,3,0,0
25/01/18,3,0,0
26/01/18,3,0,0
29/01/18,3,0,0
30/01/18,3,0,0
31/01/18,3,0,0
01/02/18,3,0,0
02/02/18,3,0,0
05/02/18,3,0,0
06/02/18,3,3,0
07/02/18,3,3,0
08/02/18,3,3,0
09/02/18,3,3,0
12/02/18,3,3,0
13/02/18,3,3,0
14/02/18,3,3,0
15/02/18,3,3,0
16/02/18,3,3,0
19/02/18,3,3,0
20/02/18,3,3,0
21/02/18,3,3,0
22/02/18,3,3,0
23/02/18,3,3,0
26/02/18,3,3,0
27/02/18,3,3,0
28/02/18,3,3,0
02/03/18,3,3,0
05/03/18,3,3,0
06/03/18,3,3,0
07/03/18,3,3,0
08/03/18,3,3,0
09/03/18,3,3,0
12/03/18,2.98019801980198,2.99203187250996,0
13/03/18,2.960788158023723,2.9841272360756177,0
14/03/18,2.9615646301420653,2.9842537122821864,0
15/03/18,2.9623257265748957,2.9843791807102167,0
16/03/18,2.9630717517912344,2.9845036493898167,0
19/03/18,2.944001024032992,2.976658998797069,0
20/03/18,2.9253079344481803,2.9688768553803593,0
21/03/18,2.9267869852511867,2.9691248485645794,0
22/03/18,2.9084347677214604,2.9614027382174513,0
23/03/18,2.8904459604398474,2.953742158630061,0
26/03/18,2.8728133671638107,2.946142619517471,0
27/03/18,2.855529934150666,2.9386036345013955,0
28/03/18,2.8385887473358014,2.9311247210790734,0
29/03/18,2.8219830295667756,2.9237054005923877,0
30/03/18,2.805706137892186,2.916345198197229,0
02/04/18,2.789751560904222,2.9090436428331077,0
03/04/18,2.7741129161338414,2.9018002671930034,0
04/04/18,2.7587839474975278,2.8946146076934576,0
05/04/18,2.7437585227946064,2.887486204444904,0
09/04/18,2.729030631254119,2.8804146012222356,0
10/04/18,2.7145943811302753,2.873399345435604,0
11/04/18,2.700443997345517,2.866439988101456,0
12/04/18,2.6865738191802593,2.859536083813795,0
17/04/18,2.672978298008373,2.852687190715677,0
18/04/18,2.6596519950775144,2.8458928704709305,0
19/04/18,2.6465895793334053,2.8391526882361022,0
20/04/18,2.633785825287199,2.832466212632627,0
23/04/18,2.6212356109250763,2.82583301571922,0
24/04/18,2.6089339156592333,2.819252672964485,0
25/04/18,2.5968758183194467,2.812724763219748,0
26/04/18,2.585056495184408,2.8062488686921006,0
27/04/18,2.5734712180520436,2.7998245749176616,0
30/04/18,2.5621153523480427,2.7934514707350506,0
02/05/18,2.5509843552718436,2.787129148259074,0
03/05/18,2.5400737739793318,2.7808572028546195,0
04/05/18,2.529379243801523,2.7746352331107578,0
07/05/18,2.5188964864985226,2.7684628408150544,0
08/05/18,2.5086213085480566,2.762339630928082,0
09/05/18,2.4985495994678972,2.756265211558137,0
10/05/18,2.488677330171503,2.75023919393616,0
11/05/18,2.4790005513562257,2.744261192390852,0
14/05/18,2.469515391923429,2.7383308243239926,0
15/05/18,2.4602180574298957,2.732447710185953,0
16/05/18,2.451104828569898,2.7266114734514035,0
17/05/18,2.4421720596873255,2.720821740595217,0
18/05/18,2.4334161773172793,2.715078141068562,0
21/05/18,2.424833678756541,2.709380307275187,0
22/05/18,2.416421130662352,2.7037278745478948,0
23/05/18,2.408175167678939,2.698120481125202,0
24/05/18,2.4000924910912373,2.6925577681281885,0
25/05/18,2.392169867505272,2.687039379537526,0
28/05/18,2.3844041275546726,2.6815649621706927,0
30/05/18,2.376792164632798,2.6761341656593727,0
31/05/18,2.3693309336499704,2.670746642427027,0
01/06/18,2.3620174498153177,2.6654020476666522,0
04/06/18,2.3548487874427373,2.660100039318711,0
05/06/18,2.347822078780505,2.6548402780492393,0
06/06/18,2.3409345128640595,2.6496224272281297,0
07/06/18,2.3341833343915037,2.644446152907587,0
08/06/18,2.327565842621375,2.6393111238007534,0
11/06/18,2.3210793902922386,2.6342170112605086,0
12/06/18,2.3147213825636794,2.6291634892584326,0
13/06/18,2.30848927597826,2.624150234363943,0
14/06/18,2.302380577444037,2.619176925723593,0
15/06/18,2.2963928432372245,2.6142432450405364,0
18/06/18,2.290523678024606,2.6093488765541575,0
19/06/18,2.284770733905307,2.6044935070198614,0
20/06/18,2.279131709471539,2.5996768256890257,0
21/06/18,2.273604348887944,2.594898524289113,0
22/06/18,2.2681864409891728,2.5901582970039407,0
25/06/18,2.2628758183953277,2.5854558404541086,0
26/06/18,2.257670356644925,2.580790853677582,0
27/06/18,2.252567973345026,2.5761630381104297,0
28/06/18,2.247566627338194,2.571572097567717,0
29/06/18,2.242664317885952,2.567017738224548,0
02/07/18,2.2378590838684085,2.562499668597261,0
03/07/18,2.233149002999727,2.558017599524773,0
04/07/18,2.2285321910591387,2.5535712441500737,0
05/07/18,2.2240068011371754,2.549160317901866,0
06/07/18,2.2195710228968353,2.5447845384763528,0
09/07/18,2.215223081849373,2.5404436258191705,0
10/07/18,2.210961238644435,2.536137302107464,0
11/07/18,2.2067837883742483,2.531865291732106,0
12/07/18,2.20268905989159,2.527627321280057,0
13/07/18,2.198675415141261,2.5234231195168695,0
16/07/18,2.1947412485048003,2.5192524173693247,0
17/07/18,2.1908849861581707,2.5151149479082147,0
18/07/18,2.1871050854421674,2.5110104463312566,0
19/07/18,2.1834000342452926,2.506938649946147,0
20/07/18,2.179768350398851,2.5028992981537472,0
23/07/18,2.176208581084022,2.4988921324314064,0
24/07/18,2.172719302250675,2.4949168963164152,0
25/07/18,2.1692991180476913,2.490973335389591,0
26/07/18,2.1659466602645687,2.487061197258997,0
31/07/18,2.162660587784082,2.483180231543786,0
01/08/18,2.1594395860457833,2.479330189858178,0
02/08/18,2.156282366520124,2.475510825795563,0
03/08/18,2.1531876661929927,2.4717218949127298,0
06/08/18,2.1501542470604584,2.467963154714222,0
07/08/18,2.1471808956335185,2.464234364636818,0
08/08/18,2.144266422452657,2.4605352860341343,0
09/08/18,2.1414096616120104,2.4568656821613524,0
10/08/18,2.138609470292961,2.4532253181600665,0
14/08/18,2.1358647283069616,2.4496139610432532,0
15/08/18,2.133174337647418,2.4460313796803588,0
16/08/18,2.1305372220504393,2.442477344782507,0
17/08/18,2.127952326564292,2.4389516288878257,0
20/08/18,2.1254186171273752,2.435454006346887,0
21/08/18,2.122935080154556,2.4319842533082663,0
22/08/18,2.1205007221316934,2.428542147704216,0
23/08/18,2.1181145692181946,2.4251274692364535,0
24/08/18,2.1157756668574383,2.4217399993620594,0
27/08/18,2.1134830793949146,2.418379521279493,0
28/08/18,2.1112358897039263,2.4150458199147162,0
29/08/18,2.1090331988187,2.4117386819074276,0
30/08/18,2.106874125574765,2.408457895597408,0
31/08/18,2.104757806256453,2.4052032510109744,0
03/09/18,2.1026833942513745,2.4019745398475405,0
04/09/18,2.1006500597117435,2.3987715554662854,0
05/09/18,2.098656989222402,2.3955940928729285,0
06/09/18,2.096703385475424,2.3924419487066104,0
07/09/18,2.094788466951158,2.3893149212268763,0
10/09/18,2.0929114676055907,2.3862128103007656,0
11/09/18,2.0910716365638957,2.3831354173900023,0
12/09/18,2.089268237820056,2.380082545538289,0
13/09/18,2.0875005499424315,2.377053999358701,0
14/09/18,2.0857678657851557,2.3740495850211816,0
17/09/18,2.0840694922052516,2.3710691102401364,0
18/09/18,2.0824047497853457,2.3681123842621274,0
19/09/18,2.0807729725618733,2.3651792178536644,0
20/09/18,2.079173507758668,2.3622694232890935,0
21/09/18,2.077605715525823,2.359382814338583,0
24/09/18,2.0760689686837277,2.3565192062562037,0
25/09/18,2.0745626524721685,2.3536784157681065,0
26/09/18,2.073086164304403,2.350860261060791,0
27/09/18,2.071638913526098,2.34806456176947,0
28/09/18,2.0702203211790464,2.345291138966526,0
01/10/18,2.0688298197695603,2.3425398151500594,0
02/10/18,2.06746685304145,2.339810414232529,0
03/10/18,2.0661308757535006,2.337102761529481,0
04/10/18,2.064821353461352,2.3344166837483695,0
05/10/18,2.0635377623037012,2.331752008977466,0
08/10/18,2.062279588792737,2.329108566674857,0
09/10/18,2.0610463296087222,2.3264861876575273,0
10/10/18,2.0598374913986484,2.3238847040905353,0
11/10/18,2.0586525905788733,2.321303949476268,0
12/10/18,2.057491153141668,2.318743758643788,0
16/10/18,2.0563527144655955,2.3162039677382595,0
17/10/18,2.055236819129643,2.3136844142104644,0
18/10/18,2.0541430207310363,2.311184936806397,0
19/10/18,2.053070881706659,2.3087053755569436,0
22/10/18,2.0520199731580124,2.3062455717676453,0
24/10/18,2.050989874679636,2.3038053680085406,0
25/10/18,2.0499801741909303,2.3013846081040903,0
26/10/18,2.0489904677713078,2.298983137123181,0
29/10/18,2.048020359498609,2.2966008013692116,0
30/10/18,2.0470694612907154,2.2942374483702537,0
31/10/18,2.046137392750305,2.2918929268692954,0
01/11/18,2.0452237810126754,2.28956708681456,0
02/11/18,2.0443282605965827,2.287259779349902,0
05/11/18,2.0434504732580363,2.2849708568052813,0
06/11/18,2.042590067846986,2.282700172687311,0
07/11/18,2.0417467001668475,2.280447581669882,0
08/11/18,2.040920032836811,2.278212939584863,0
09/11/18,2.040109735156874,2.275996103412872,0
12/11/18,2.03931548297555,2.273796931274124,0
13/11/18,2.0385369585601927,2.2716152824193503,0
14/11/18,2.037773850469892,2.26945101722079,0
15/11/18,2.037025853430884,2.267303997163254,0
16/11/18,2.036292668214431,2.2651740848352597,0
19/11/18,2.0355740015171153,2.263061143920238,0
20/11/18,2.034869565843509,2.2609650391878056,0
21/11/18,2.034179079391162,2.2588856364851138,0
22/11/18,2.0335022659378716,2.2568228027282604,0
23/11/18,2.0328388547311813,2.2547764058937725,0
26/11/18,2.032188580380069,2.2527463150101568,0
27/11/18,2.0315511827487804,2.250732400149518,0
28/11/18,2.030926406852765,2.248734532419243,0
29/11/18,2.0303140027566706,2.246752583953751,0
30/11/18,2.0297137254743602,2.2447864279063108,0
03/12/18,2.0291253348709075,2.2428359384409218,0
04/12/18,2.028548595566533,2.240900990724261,0
06/12/18,2.0279832768424435,2.2389814609176932,0
07/12/18,2.027429152548534,2.2370772261693452,0
11/12/18,2.0268860010129193,2.235188164606243,0
12/12/18,2.0263536049532576,2.2333141553265117,0
13/12/18,2.0258317513898265,2.231455078391639,0
14/12/18,2.025320231560325,2.229610814818797,0
17/12/18,2.024818840836358,2.2277812465732287,0
18/12/18,2.0243273786415785,2.2259662565606932,0
19/12/18,2.023845648371448,2.2241657286199707,0
20/12/18,2.023373457314588,2.222379547515429,0
21/12/18,2.022910616575685,2.2206075989296488,0
24/12/18,2.022456940999929,2.2188497694561056,0
25/12/18,2.0220122490989403,2.2171059465919134,0
26/12/18,2.0215763629781693,2.2153760187306233,0
27/12/18,2.0211491082657305,2.2136598751550807,0
28/12/18,2.020730314042647,2.211957406030339,0
02/01/19,2.0203198127744755,2.210268502396631,0
03/01/19,2.0199174402442877,2.2085930561623948,0
04/01/19,2.019523035486975,2.2069309600973557,0
07/01/19,2.0191364407248567,2.2052821078256635,0
08/01/19,2.0187575013045627,2.2036463938190844,0
09/01/19,2.0183860656351653,2.202023713390247,0
10/01/19,2.0180219851275383,2.2004139626859422,0
11/01/19,2.0176651141349136,2.1988170386804766,0
14/01/19,2.0173153098946184,2.1972328391690783,0
15/01/19,2.0169724324709626,2.1956612627613565,0
16/01/19,2.0166363446992603,2.1941022088748117,0
17/01/19,2.016306912130958,2.192555577728399,0
18/01/19,2.01598400297985,2.1910212703361407,0
21/01/19,2.015667488069358,2.189499188500793,0
22/01/19,2.015357240780856,2.1879892348075596,0
23/01/19,2.0150531370030174,2.186491312617858,0
24/01/19,2.0147550550821656,2.185005326063134,0
25/01/19,2.014462875773608,2.1835311800387265,0
28/01/19,2.0141764821939323,2.1820687801977803,0
29/01/19,2.0138957597742504,2.1806180329452083,0
30/01/19,2.013620596214364,2.1791788454317005,0
31/01/19,2.013350881437842,2.1777511255477826,0
01/02/19,2.0130865075479836,2.17633478191792,0
04/02/19,2.012827368784657,2.1749297238946697,0
05/02/19,2.0125733614819907,2.1735358615528795,0
06/02/19,2.012324384026902,2.172153105683932,0
07/02/19,2.0120803368184483,2.170781367790036,0
08/02/19,2.011841122227984,2.169420560078562,0
11/02/19,2.011606644560103,2.168070595456422,0
12/02/19,2.0113768100143585,2.1667313875244982,0
13/02/19,2.0111515266477378,2.1654028505721117,0
14/02/19,2.0109307043378815,2.164084899571537,0
15/02/19,2.0107142547470325,2.1627774501725607,0
18/02/19,2.0105020912866953,2.161480418697082,0
20/02/19,2.0102941290829985,2.1601937221337586,0
21/02/19,2.0100902849427413,2.1589172781326926,0
22/02/19,2.0098904773201127,2.157651005000161,0
25/02/19,2.009694626284071,2.156394821693387,0
26/02/19,2.0095026534863667,2.1551486478153516,0
27/02/19,2.009314482130201,2.1539124036096515,0
28/02/19,2.0091300369395038,2.1526860099553913,0
01/03/19,2.0089492441288206,2.151469388362121,0
04/03/19,2.0087720313737942,2.1502624609648135,0
05/03/19,2.008598327782234,2.149065150518879,0
06/03/19,2.008428063865754,2.1478773803952227,0
07/03/19,2.0082611715119767,2.1466990745753405,0
08/03/19,2.008097583957284,2.145530157646453,0
11/03/19,2.00793723576011,2.1443705547966805,0
12/03/19,2.0077800627747613,2.143220191810253,0
13/03/19,2.007626002125756,2.142078995062761,0
14/03/19,2.007474992182672,2.140946891516444,0
15/03/19,2.0073269725354903,2.139823808715516,0
18/03/19,2.007181883970431,2.138709674781528,0
19/03/19,2.0070396684462644,2.137604418408767,0
20/03/19,2.0069002690710906,2.136507968859693,0
21/03/19,2.006763630079584,2.1354202559604123,0
22/03/19,2.0066296968106814,2.134341210096186,0
25/03/19,2.0064984156857175,2.133270762206973,0
26/03/19,2.0063697341869906,2.132208843783013,0
27/03/19,2.0062436008367532,2.1311553868604394,0
28/03/19,2.0061199651766195,2.13011032401693,0
29/03/19,2.0059987777473793,2.1290735883673926,0
01/04/19,2.0058799900692135,2.128045113559684,0
02/04/19,2.0057635546222983,2.127024833770364,0
03/04/19,2.0056494248277974,2.1260126837004805,0
04/04/19,2.0055375550292274,2.125008598571393,0
05/04/19,2.005427900474193,2.124012514120625,0
09/04/19,2.0053204172964865,2.1230243665977517,0
10/04/19,2.0052150624985363,2.1220440927603192,0
11/04/19,2.005111793934209,2.1210716298697987,0
12/04/19,2.0050105702919474,2.120106915687569,0
17/04/19,2.0049113510782455,2.119149888470935,0
18/04/19,2.0048140966014487,2.1182004869691746,0
19/04/19,2.0047187679558753,2.1172586504196196,0
22/04/19,2.004625327006254,2.116324318543766,0
23/04/19,2.004533736372467,2.115397431543417,0
24/04/19,2.0044439594145964,2.114477930096856,0
25/04/19,2.004355960218268,2.113565755355048,0
26/04/19,2.0042697035802823,2.1126608489378764,0
29/04/19,2.004185154994534,2.1117631529304033,0
30/04/19,2.004102280638207,2.110872609879165,0
02/05/19,2.0040210473582425,2.1099891627884944,0
03/05/19,2.0039414226580794,2.1091127551168727,0
07/05/19,2.003863374684652,2.108243330773312,0
08/05/19,2.0037868722156493,2.107380834113764,0
09/05/19,2.0037118846470228,2.1065252099375584,0
10/05/19,2.0036383819807453,2.105676403483873,0
13/05/19,2.0035663348128097,2.1048343604282245,0
14/05/19,2.003495714321467,2.1039990268789954,0
15/05/19,2.0034264922556955,2.1031703493739835,0
16/05/19,2.0033586409238997,2.1023482748769795,0
17/05/19,2.0032921331828324,2.101532750774374,0
21/05/19,2.003226942426737,2.100723724871789,0
22/05/19,2.0031630425767024,2.099921145390739,0
23/05/19,2.003100408070233,2.099124960965315,0
24/05/19,2.0030390138510206,2.098335120638898,0
27/05/19,2.0029788353589213,2.097551573860899,0
28/05/19,2.002919848520131,2.0967742704835213,0
29/05/19,2.002862029737554,2.096003160758553,0
30/05/19,2.0028053558813648,2.0952381953341823,0
31/05/19,2.0027498042797536,2.094479325251838,0
04/06/19,2.0224973329078773,2.1016946294330983,0
05/06/19,2.0220518411671273,2.100884313660723,0
06/06/19,2.021615171045006,2.100080454587729,0
07/06/19,2.0211871478559957,2.0992830007663126,0
10/06/19,2.0405695805717188,2.1064600286486526,0
11/06/19,2.0595682027386153,2.1135798690578267,0
12/06/19,2.0583886343675535,2.112674850180872,0
13/06/19,2.0770344039840376,2.1197451700997494,0
14/06/19,2.0953109504397993,2.126759152808118,0
17/06/19,2.113225585084556,2.1337172472080534,0
18/06/19,2.130785474488822,2.1406198986247222,0
19/06/19,2.1479976433108257,2.147467548834884,1
20/06/19,2.164868977106651,2.154260636095164,1
21/06/19,2.181406225084737,2.160999595170103,1
24/06/19,2.197616002805831,2.1676848573599825,1
25/06/19,2.213504794829478,2.1743168505284287,1
26/06/19,2.2290789573081025,2.180895999129796,1
27/06/19,2.2443447205297242,2.187422724236331,1
28/06/19,2.259308191410324,2.1938974435651253,1
01/07/19,2.273975355936852,2.2003205715048453,1
02/07/19,2.288352081561865,2.206692519142257,1
03/07/19,2.302444119550739,2.213013694288534,1
04/07/19,2.3162571072824076,2.219284501505358,1
05/07/19,2.3297965705045383,2.2255053421308135,1
08/07/19,2.3430679255440525,2.23167661430507,1
09/07/19,2.356076481473873,2.2377987129958665,1
10/07/19,2.368827442236767,2.243872030023788,1
11/07/19,2.3813259087271277,2.2498969540873435,1
12/07/19,2.393576880831541,2.2558738707878425,1
15/07/19,2.405585259428936,2.2618031626540747,1
17/07/19,2.4173558483511353,2.267685209166791,1
18/07/19,2.4288933563045783,2.273520386782992,1
19/07/19,2.4402023987539927,2.27930906896002,1
22/07/19,2.4512874997687653,2.2850516261794622,1
23/07/19,2.4621530938327503,2.290748425970861,1
24/07/19,2.4728035276182405,2.296399832935237,1
25/07/19,2.48324306172481,2.302006208768422,1
26/07/19,2.4934758723837245,2.3075679122842114,1
30/07/19,2.5035060531286013,2.313085299437325,1
31/07/19,2.5133376164329855,2.3185587233461913,1
01/08/19,2.5229744953155007,2.323988534315544,1
02/08/19,2.5324205449132133,2.329375079858847,1
05/08/19,2.5416795440238427,2.3347187047205296,1
06/08/19,2.55075519661743,2.340019750898055,1
07/08/19,2.559651133318075,2.3452785576638076,1
08/08/19,2.568370912856331,2.3504954615868052,1
09/08/19,2.5769180234928393,2.355670796554241,1
13/08/19,2.5654939042157534,2.352836766302813,1
14/08/19,2.554296005122372,2.350025317965739,1
15/08/19,2.5433198466050975,2.3472362716074464,1
16/08/19,2.552363017959452,2.3524375762161522,1
19/08/19,2.56122711661372,2.357597436166621,1
20/08/19,2.5699156885619634,2.362716181695174,1
21/08/19,2.5784322095805385,2.367794140406766,1
22/08/19,2.5867800866185475,2.3728316372959553,1
23/08/19,2.5949626591607546,2.3778289947677007,1
26/08/19,2.602983200563512,2.382786532657998,1
27/08/19,2.6108449193642347,2.3877045682543487,1
28/08/19,2.618550960564943,2.392583416316067,1
29/08/19,2.6261044068903896,2.397423389094425,1
30/08/19,2.633508280021273,2.4022247963526366,1
02/09/19,2.6407655418030296,2.4069879453856835,1
03/09/19,2.6478790954306923,2.411713141039981,1
04/09/19,2.6548517866102825,2.4164006857328895,1
05/09/19,2.6616864046972077,2.4210508794720695,1
06/09/19,2.6683856838121147,2.4256640198746826,1
09/09/19,2.674952303934647,2.4302404021864383,1
10/09/19,2.681388891975545,2.4347803193004904,1
11/09/19,2.6876980228275147,2.439284061776184,1
12/09/19,2.693882220395287,2.443751917857649,1
13/09/19,2.699943958605281,2.4481841734922494,1
16/09/19,2.7058856623952754,2.4525811123488848,1
17/09/19,2.7117097086844777,2.4569430158361447,1
18/09/19,2.717418427324389,2.461270163120319,1
19/09/19,2.7230141020308367,2.4655628311432647,1
20/09/19,2.7284989712975527,2.469821294640131,1
23/09/19,2.7338752292916606,2.4740458261569427,1
24/09/19,2.7391450267314297,2.4782366960680426,1
25/09/19,2.744310471746649,2.4823941725933967,1
26/09/19,2.749373630721963,2.48651852181576,1
27/09/19,2.754336529123508,2.4906100076977062,1
30/09/19,2.7592011523091813,2.494668892098521,1
01/10/19,2.763969446322861,2.4986954347909633,1
02/10/19,2.768643318672903,2.502689893477888,1
03/10/19,2.773224639095222,2.506652523808741,1
04/10/19,2.7777152403012573,2.5105835793959224,1
07/10/19,2.782116918711133,2.5144833118310146,1
08/10/19,2.786431435172299,2.518351970700887,1
09/10/19,2.770858535465917,2.5142216761136287,1
10/10/19,2.7753959902091663,2.518092419730253,1
11/10/19,2.7798435943634403,2.521932320768259,1
15/10/19,2.7842031271483227,2.525741624985245,1
16/10/19,2.7686743523533064,2.521552448690542,1
17/10/19,2.7534530780492803,2.5173966522866333,1
18/10/19,2.738533215117611,2.5132739697982935,1
21/10/19,2.723908795016272,2.5091841373696218,1
22/10/19,2.7095739673921875,2.5051268932471547,1
24/10/19,2.695522997740857,2.5011019777631134,1
25/10/19,2.681750265112325,2.497109133318786,1
28/10/19,2.668250259862576,2.4931481043680384,1
29/10/19,2.6550175814494557,2.4892186374009624,1
30/10/19,2.6420469362722385,2.485320480927648,1
31/10/19,2.6293331355539764,2.481453385462089,1
01/11/19,2.6366730734637986,2.485585230996256,1
04/11/19,2.643867666068476,2.489684153458437,1
05/11/19,2.650919791492863,2.4937504151838676,1
06/11/19,2.6578322708692417,2.4977842764174625,1
07/11/19,2.6646078694658906,2.501785995330471,1
08/11/19,2.671249297793299,2.505755828037001,1
11/11/19,2.677759212688481,2.5096940286104115,1
12/11/19,2.6841402183778182,2.5136008490995714,1
13/11/19,2.6903948675188514,2.517476539544993,1
14/11/19,2.696525662221448,2.5213213479948338,1
15/11/19,2.702535055048746,2.5251355205207715,1
18/11/19,2.708425449998276,2.528919301233753,1
19/11/19,2.714199203463657,2.5326729322996195,1
20/11/19,2.7198586251772476,2.536396653954603,1
21/11/19,2.7254059791341336,2.5400907045207015,1
22/11/19,2.730843484497814,2.543755320420935,1
25/11/19,2.7361733164879563,2.5473907361944734,1
26/11/19,2.741397607250571,2.550997184511649,1
27/11/19,2.7465184467109554,2.554574896188847,1
28/11/19,2.7515378834097484,2.5581241002032784,1
29/11/19,2.7564579253224264,2.561645023707635,1
02/12/19,2.7414785604645564,2.557169764554586,1
03/12/19,2.726795816692981,2.5527301648370195,1
04/12/19,2.7124038203228227,2.5483259404160075,1
06/12/19,2.7180987941778163,2.5519249369067167,1
09/12/19,2.723680996273305,2.555495256134552,1
11/12/19,2.709350679515418,2.5510689991135593,1
12/12/19,2.7151061116042214,2.5546461385628536,1
13/12/19,2.7207475747407717,2.558194774908966,1
16/12/19,2.706475345537984,2.5537470077782176,1
17/12/19,2.6924857347352518,2.5493346810230126,1
18/12/19,2.6787731459286133,2.544957512249921,1
19/12/19,2.6653320935339875,2.5406152213156585,1
20/12/19,2.6521572005927205,2.536307530309159,1
23/12/19,2.6392431966205874,2.5320341635337873,1
24/12/19,2.6265849154993877,2.527794847489693,1
25/12/19,2.614177293410291,2.523589310856309,1
26/12/19,2.6020153668081067,2.519417284474984,1
27/12/19,2.609896250633689,2.5232466288217967,1
30/12/19,2.597819097155794,2.5190773329746112,1
02/01/20,2.585981095231917,2.5149412586082796,1
03/01/20,2.5743775091877206,2.510838141009807,1
06/01/20,2.5630036971245973,2.506767717575466,1
07/01/20,2.551855109062724,2.502729727793988,1
08/01/20,2.5409272851208877,2.4987239132298926,1
