date,indy1,indy2,check
03/01/18,0,50,0
04/01/18,0,50,0
05/01/18,0,50,0
08/01/18,0,50,0
09/01/18,0,50,0
10/01/18,0,50,0
11/01/18,0,50,0
12/01/18,0,50,0
15/01/18,0,50,0
16/01/18,0,50,0
17/01/18,0,50,0
18/01/18,0,50,0
19/01/18,0,50,0
22/01/18,0,50,0
23/01/18,38.1,50,0
24/01/18,37.14,50,0
25/01/18,37.14,50,0
26/01/18,42.17,50,0
29/01/18,46.76,50,0
30/01/18,49.63,50,0
31/01/18,44.47,50,0
01/02/18,43.26,50,0
02/02/18,44.87,50,0
05/02/18,43.54,50,0
06/02/18,42.19,50,0
07/02/18,40.82,50,0
08/02/18,35.82,50,0
09/02/18,37.87,50,0
12/02/18,39.93,50,0
13/02/18,39.93,50,0
14/02/18,38.45,50,0
15/02/18,46.93,50,0
16/02/18,46.93,50,0
19/02/18,46.93,50,0
20/02/18,45,50,0
21/02/18,47.34,50,0
22/02/18,41.62,50,0
23/02/18,44.04,50,0
26/02/18,52.54,50,1
27/02/18,57.73,50,1
28/02/18,55.55,50,1
02/03/18,51.37,50,1
05/03/18,47.52,50,0
06/03/18,47.52,50,0
07/03/18,45.55,50,0
08/03/18,47.88,50,0
09/03/18,52.29,50,1
12/03/18,56.27,50,1
13/03/18,47.7,50,0
14/03/18,42.47,50,0
15/03/18,40.86,50,0
16/03/18,39.26,50,0
19/03/18,39.26,50,0
20/03/18,44.32,50,0
21/03/18,39.06,50,0
22/03/18,36,50,0
23/03/18,38.59,50,0
26/03/18,41.16,50,0
27/03/18,41.16,50,0
28/03/18,28.65,50,0
29/03/18,27.65,50,0
30/03/18,27.65,50,0
02/04/18,33.09,50,0
03/04/18,30.61,50,0
04/04/18,18.15,50,0
05/04/18,16.85,50,0
09/04/18,18.94,50,0
10/04/18,26.86,50,0
11/04/18,33.82,50,0
12/04/18,32.97,50,0
17/04/18,32.11,50,0
18/04/18,37.41,50,0
19/04/18,32.81,50,0
20/04/18,32.81,50,0
23/04/18,31.9,50,0
24/04/18,30.1,50,0
25/04/18,26.85,50,0
26/04/18,32.73,50,0
27/04/18,36.39,50,0
30/04/18,36.39,50,0
02/05/18,36.39,50,0
03/05/18,32.03,50,0
04/05/18,30.09,50,0
07/05/18,36.33,50,0
08/05/18,40.16,50,0
09/05/18,35.55,50,0
10/05/18,39.3,50,0
11/05/18,44.52,50,0
14/05/18,44.52,50,0
15/05/18,43.09,50,0
16/05/18,40.3,50,0
17/05/18,36.48,50,0
18/05/18,35.28,50,0
21/05/18,45.02,50,0
22/05/18,48.36,50,0
23/05/18,46.83,50,0
24/05/18,42.47,50,0
25/05/18,44.33,50,0
28/05/18,49.59,50,0
30/05/18,46.44,50,0
31/05/18,43.47,50,0
01/06/18,50.32,50,1
04/06/18,51.89,50,1
05/06/18,62.19,50,1
06/06/18,60.44,50,1
07/06/18,53.94,50,1
08/06/18,47.11,50,0
11/06/18,51.11,50,1
12/06/18,53.63,50,1
13/06/18,54.88,50,1
14/06/18,54.88,50,1
15/06/18,53.21,50,1
18/06/18,53.21,50,1
19/06/18,46.65,50,0
20/06/18,51.48,50,1
21/06/18,45.56,50,0
22/06/18,44.19,50,0
25/06/18,40.27,50,0
26/06/18,45.47,50,0
27/06/18,42.8,50,0
28/06/18,40.25,50,0
29/06/18,48.51,50,0
02/07/18,47.1,50,0
03/07/18,48.7,50,0
04/07/18,53.26,50,1
05/07/18,48.61,50,0
06/07/18,53.03,50,1
09/07/18,47.2,50,0
10/07/18,50.15,50,1
11/07/18,50.15,50,1
12/07/18,50.15,50,1
13/07/18,48.46,50,0
16/07/18,46.76,50,0
17/07/18,53.74,50,1
18/07/18,56.79,50,1
19/07/18,54.85,50,1
20/07/18,68.71,50,1
23/07/18,71.1,50,1
24/07/18,62.53,50,1
25/07/18,64.38,50,1
26/07/18,68.56,50,1
31/07/18,70.07,50,1
01/08/18,70.07,50,1
02/08/18,61.49,50,1
03/08/18,65.17,50,1
06/08/18,66.04,50,1
07/08/18,61.1,50,1
08/08/18,63.08,50,1
09/08/18,64.07,50,1
10/08/18,64.07,50,1
14/08/18,60.33,50,1
15/08/18,56.76,50,1
16/08/18,55.01,50,1
17/08/18,59.09,50,1
20/08/18,60.38,50,1
21/08/18,60.38,50,1
22/08/18,61.77,50,1
23/08/18,61.77,50,1
24/08/18,57.1,50,1
27/08/18,61.77,50,1
28/08/18,55.29,50,1
29/08/18,55.29,50,1
30/08/18,51.14,50,1
31/08/18,47.32,50,0
03/09/18,49.36,50,0
04/09/18,49.36,50,0
05/09/18,41.84,50,0
06/09/18,46.25,50,0
07/09/18,42.76,50,0
10/09/18,42.76,50,0
11/09/18,35.09,50,0
12/09/18,41.83,50,0
13/09/18,55.2,50,1
14/09/18,59,50,1
17/09/18,51.2,50,1
18/09/18,56.19,50,1
19/09/18,56.19,50,1
20/09/18,53.05,50,1
21/09/18,56.94,50,1
24/09/18,53.74,50,1
25/09/18,53.74,50,1
26/09/18,50.45,50,1
27/09/18,52.03,50,1
28/09/18,55.12,50,1
01/10/18,53.27,50,1
02/10/18,49.69,50,0
03/10/18,49.69,50,0
04/10/18,51.58,50,1
05/10/18,46,50,0
08/10/18,42.69,50,0
09/10/18,44.83,50,0
10/10/18,50.77,50,1
11/10/18,43.97,50,0
12/10/18,43.97,50,0
16/10/18,43.97,50,0
17/10/18,40.58,50,0
18/10/18,38.96,50,0
19/10/18,33.25,50,0
22/10/18,44.25,50,0
24/10/18,41.32,50,0
25/10/18,48.65,50,0
26/10/18,44.19,50,0
29/10/18,35.92,50,0
30/10/18,33.06,50,0
31/10/18,38.34,50,0
01/11/18,44.62,50,0
02/11/18,46.09,50,0
05/11/18,42.44,50,0
06/11/18,46.97,50,0
07/11/18,49.8,50,0
08/11/18,49.8,50,0
09/11/18,51.31,50,1
12/11/18,42.96,50,0
13/11/18,44.58,50,0
14/11/18,42.01,50,0
15/11/18,40.75,50,0
16/11/18,39.47,50,0
19/11/18,36.97,50,0
20/11/18,32.53,50,0
21/11/18,34.65,50,0
22/11/18,31.46,50,0
23/11/18,35.7,50,0
26/11/18,37.78,50,0
27/11/18,41.82,50,0
28/11/18,36.69,50,0
29/11/18,38.71,50,0
30/11/18,40.75,50,0
03/12/18,46.5,50,0
04/12/18,49.99,50,0
06/12/18,42.53,50,0
07/12/18,41.2,50,0
11/12/18,39.87,50,0
12/12/18,38.52,50,0
13/12/18,35.91,50,0
14/12/18,32.36,50,0
17/12/18,32.36,50,0
18/12/18,32.36,50,0
19/12/18,39.79,50,0
20/12/18,39.79,50,0
21/12/18,39.79,50,0
24/12/18,34.99,50,0
25/12/18,30.97,50,0
26/12/18,33.7,50,0
27/12/18,32.33,50,0
28/12/18,40.23,50,0
02/01/19,40.23,50,0
03/01/19,42.81,50,0
04/01/19,42.81,50,0
07/01/19,48.02,50,0
08/01/19,43.73,50,0
09/01/19,43.73,50,0
10/01/19,33.36,50,0
11/01/19,36.08,50,0
14/01/19,36.08,50,0
15/01/19,38.97,50,0
16/01/19,41.8,50,0
17/01/19,44.57,50,0
18/01/19,42.4,50,0
21/01/19,52.4,50,1
22/01/19,56.47,50,1
23/01/19,58.38,50,1
24/01/19,61.99,50,1
25/01/19,63.68,50,1
28/01/19,63.68,50,1
29/01/19,63.68,50,1
30/01/19,63.68,50,1
31/01/19,74.41,50,1
01/02/19,75.52,50,1
04/02/19,76.62,50,1
05/02/19,69.89,50,1
06/02/19,72.49,50,1
07/02/19,72.49,50,1
08/02/19,63.01,50,1
11/02/19,55.24,50,1
12/02/19,57.13,50,1
13/02/19,57.13,50,1
14/02/19,57.13,50,1
15/02/19,51.66,50,1
18/02/19,56.18,50,1
20/02/19,48.81,50,0
21/02/19,53.22,50,1
22/02/19,50.86,50,1
25/02/19,57.01,50,1
26/02/19,58.86,50,1
27/02/19,58.86,50,1
28/02/19,53.52,50,1
01/03/19,51.03,50,1
04/03/19,46.37,50,0
05/03/19,44.2,50,0
06/03/19,36.79,50,0
07/03/19,44.33,50,0
08/03/19,46.62,50,0
11/03/19,44.64,50,0
12/03/19,47.06,50,0
13/03/19,44.95,50,0
14/03/19,44.95,50,0
15/03/19,38.88,50,0
18/03/19,38.88,50,0
19/03/19,44.66,50,0
20/03/19,44.66,50,0
21/03/19,44.66,50,0
22/03/19,50.5,50,1
25/03/19,43.14,50,0
26/03/19,48.53,50,0
27/03/19,48.53,50,0
28/03/19,39.78,50,0
29/03/19,37.94,50,0
01/04/19,36.14,50,0
02/04/19,44.63,50,0
03/04/19,44.63,50,0
04/04/19,44.63,50,0
05/04/19,47.54,50,0
09/04/19,55.14,50,1
10/04/19,55.14,50,1
