date,indy1,indy2,check
03/01/18,0,50,0
04/01/18,0,50,0
05/01/18,0,50,0
08/01/18,0,50,0
09/01/18,0,50,0
10/01/18,0,50,0
11/01/18,0,50,0
12/01/18,0,50,0
15/01/18,0,50,0
16/01/18,0,50,0
17/01/18,0,50,0
18/01/18,0,50,0
19/01/18,0,50,0
22/01/18,0,50,0
23/01/18,55.56,50,1
24/01/18,55.56,50,1
25/01/18,49.21,50,0
26/01/18,49.21,50,0
29/01/18,49.21,50,0
30/01/18,49.21,50,0
31/01/18,55.97,50,1
01/02/18,55.97,50,1
02/02/18,55.97,50,1
05/02/18,47.99,50,0
06/02/18,41.61,50,0
07/02/18,41.61,50,0
08/02/18,49.42,50,0
09/02/18,43.2,50,0
12/02/18,43.2,50,0
13/02/18,50.43,50,1
14/02/18,50.43,50,1
15/02/18,50.43,50,1
16/02/18,43.51,50,0
19/02/18,43.51,50,0
20/02/18,33,50,0
21/02/18,33,50,0
22/02/18,28.95,50,0
23/02/18,37.25,50,0
26/02/18,44.26,50,0
27/02/18,39.51,50,0
28/02/18,39.51,50,0
02/03/18,35.13,50,0
05/03/18,35.13,50,0
06/03/18,35.13,50,0
07/03/18,35.13,50,0
08/03/18,35.13,50,0
09/03/18,35.13,50,0
12/03/18,29.95,50,0
13/03/18,25.85,50,0
14/03/18,42.74,50,0
15/03/18,42.74,50,0
16/03/18,37.75,50,0
19/03/18,37.75,50,0
20/03/18,37.75,50,0
21/03/18,37.75,50,0
22/03/18,32.63,50,0
23/03/18,32.63,50,0
26/03/18,32.63,50,0
27/03/18,42.39,50,0
28/03/18,36.67,50,0
29/03/18,44.71,50,0
30/03/18,44.71,50,0
02/04/18,44.71,50,0
03/04/18,44.71,50,0
04/04/18,38.19,50,0
05/04/18,52.96,50,1
09/04/18,58.32,50,1
10/04/18,51.95,50,1
11/04/18,57.01,50,1
12/04/18,51.2,50,1
17/04/18,51.2,50,1
18/04/18,51.2,50,1
19/04/18,51.2,50,1
20/04/18,51.2,50,1
23/04/18,57.48,50,1
24/04/18,57.48,50,1
25/04/18,57.48,50,1
26/04/18,57.48,50,1
27/04/18,57.48,50,1
30/04/18,57.48,50,1
02/05/18,57.48,50,1
03/05/18,57.48,50,1
04/05/18,57.48,50,1
07/05/18,45.96,50,0
08/05/18,37.8,50,0
09/05/18,37.8,50,0
10/05/18,48.42,50,0
11/05/18,48.42,50,0
14/05/18,34.69,50,0
15/05/18,34.69,50,0
16/05/18,43.91,50,0
17/05/18,38.11,50,0
18/05/18,38.11,50,0
21/05/18,46.33,50,0
22/05/18,40.53,50,0
23/05/18,35.72,50,0
24/05/18,28.45,50,0
25/05/18,35.52,50,0
28/05/18,35.52,50,0
30/05/18,31.87,50,0
31/05/18,26.09,50,0
01/06/18,23.77,50,0
04/06/18,36.02,50,0
05/06/18,36.02,50,0
06/06/18,46.08,50,0
07/06/18,46.08,50,0
08/06/18,46.08,50,0
11/06/18,46.08,50,0
12/06/18,46.08,50,0
13/06/18,46.08,50,0
14/06/18,41.05,50,0
15/06/18,41.05,50,0
18/06/18,41.05,50,0
19/06/18,36.12,50,0
20/06/18,43.43,50,0
21/06/18,34.84,50,0
22/06/18,34.84,50,0
25/06/18,34.84,50,0
26/06/18,42.01,50,0
27/06/18,37.56,50,0
28/06/18,37.56,50,0
29/06/18,37.56,50,0
02/07/18,37.56,50,0
03/07/18,51.4,50,1
04/07/18,45.92,50,0
05/07/18,41.19,50,0
06/07/18,51.87,50,1
09/07/18,47.25,50,0
10/07/18,47.25,50,0
11/07/18,47.25,50,0
12/07/18,52.53,50,1
13/07/18,52.53,50,1
16/07/18,47.06,50,0
17/07/18,47.06,50,0
18/07/18,47.06,50,0
19/07/18,53.15,50,1
20/07/18,53.15,50,1
23/07/18,53.15,50,1
24/07/18,59.03,50,1
25/07/18,63.91,50,1
26/07/18,63.91,50,1
31/07/18,71.73,50,1
01/08/18,71.73,50,1
02/08/18,71.73,50,1
03/08/18,63.18,50,1
06/08/18,67.37,50,1
07/08/18,67.37,50,1
08/08/18,67.37,50,1
09/08/18,67.37,50,1
10/08/18,67.37,50,1
14/08/18,67.37,50,1
15/08/18,57.22,50,1
16/08/18,49.24,50,0
17/08/18,55.87,50,1
20/08/18,55.87,50,1
21/08/18,55.87,50,1
22/08/18,55.87,50,1
23/08/18,55.87,50,1
24/08/18,55.87,50,1
27/08/18,55.87,50,1
28/08/18,63.81,50,1
29/08/18,69.69,50,1
30/08/18,69.69,50,1
31/08/18,69.69,50,1
03/09/18,69.69,50,1
04/09/18,57.2,50,1
05/09/18,57.2,50,1
06/09/18,57.2,50,1
07/09/18,57.2,50,1
10/09/18,57.2,50,1
11/09/18,57.2,50,1
12/09/18,57.2,50,1
13/09/18,57.2,50,1
14/09/18,67.68,50,1
17/09/18,67.68,50,1
18/09/18,74.83,50,1
19/09/18,74.83,50,1
20/09/18,74.83,50,1
21/09/18,58.63,50,1
24/09/18,66.45,50,1
25/09/18,66.45,50,1
26/09/18,66.45,50,1
27/09/18,66.45,50,1
28/09/18,73.25,50,1
01/10/18,73.25,50,1
02/10/18,59.31,50,1
03/10/18,59.31,50,1
04/10/18,48.58,50,0
05/10/18,48.58,50,0
08/10/18,40.16,50,0
09/10/18,40.16,50,0
10/10/18,50.18,50,1
11/10/18,42.51,50,0
12/10/18,42.51,50,0
16/10/18,42.51,50,0
17/10/18,42.51,50,0
18/10/18,35.27,50,0
19/10/18,45.31,50,0
22/10/18,45.31,50,0
24/10/18,33.32,50,0
25/10/18,33.32,50,0
26/10/18,33.32,50,0
29/10/18,28.6,50,0
30/10/18,28.6,50,0
31/10/18,38.68,50,0
01/11/18,38.68,50,0
02/11/18,47.31,50,0
05/11/18,47.31,50,0
06/11/18,40.67,50,0
07/11/18,48.46,50,0
08/11/18,48.46,50,0
09/11/18,42.06,50,0
12/11/18,42.06,50,0
13/11/18,36.47,50,0
14/11/18,36.47,50,0
15/11/18,44.95,50,0
16/11/18,39.3,50,0
19/11/18,39.3,50,0
20/11/18,34.3,50,0
21/11/18,34.3,50,0
22/11/18,34.3,50,0
23/11/18,43.31,50,0
26/11/18,43.31,50,0
27/11/18,43.31,50,0
28/11/18,43.31,50,0
29/11/18,43.31,50,0
30/11/18,52.7,50,1
03/12/18,52.7,50,1
04/12/18,52.7,50,1
06/12/18,43.67,50,0
07/12/18,43.67,50,0
11/12/18,43.67,50,0
12/12/18,43.67,50,0
13/12/18,43.67,50,0
14/12/18,43.67,50,0
17/12/18,34.45,50,0
18/12/18,34.45,50,0
19/12/18,47.34,50,0
20/12/18,47.34,50,0
21/12/18,38.55,50,0
24/12/18,38.55,50,0
25/12/18,38.55,50,0
26/12/18,38.55,50,0
27/12/18,30.84,50,0
28/12/18,43.09,50,0
02/01/19,36.19,50,0
03/01/19,36.19,50,0
04/01/19,46.19,50,0
07/01/19,46.19,50,0
08/01/19,46.19,50,0
09/01/19,46.19,50,0
10/01/19,55.55,50,1
11/01/19,55.55,50,1
14/01/19,55.55,50,1
15/01/19,55.55,50,1
16/01/19,55.55,50,1
17/01/19,55.55,50,1
18/01/19,65.04,50,1
21/01/19,65.04,50,1
22/01/19,71.98,50,1
23/01/19,71.98,50,1
24/01/19,71.98,50,1
25/01/19,77.55,50,1
28/01/19,77.55,50,1
29/01/19,77.55,50,1
30/01/19,77.55,50,1
31/01/19,77.55,50,1
01/02/19,77.55,50,1
04/02/19,77.55,50,1
05/02/19,77.55,50,1
06/02/19,77.55,50,1
07/02/19,77.55,50,1
08/02/19,77.55,50,1
11/02/19,53.52,50,1
12/02/19,65.15,50,1
13/02/19,65.15,50,1
14/02/19,65.15,50,1
15/02/19,65.15,50,1
18/02/19,48.75,50,0
20/02/19,59.68,50,1
21/02/19,48.53,50,0
22/02/19,48.53,50,0
25/02/19,48.53,50,0
26/02/19,48.53,50,0
27/02/19,58.87,50,1
28/02/19,58.87,50,1
01/03/19,66.64,50,1
04/03/19,55.37,50,1
05/03/19,55.37,50,1
06/03/19,55.37,50,1
07/03/19,55.37,50,1
08/03/19,55.37,50,1
11/03/19,55.37,50,1
12/03/19,55.37,50,1
13/03/19,65.24,50,1
14/03/19,65.24,50,1
15/03/19,51.92,50,1
18/03/19,51.92,50,1
19/03/19,51.92,50,1
20/03/19,51.92,50,1
21/03/19,51.92,50,1
22/03/19,62.9,50,1
25/03/19,50.49,50,1
26/03/19,50.49,50,1
27/03/19,50.49,50,1
28/03/19,50.49,50,1
29/03/19,60.87,50,1
01/04/19,60.87,50,1
02/04/19,60.87,50,1
03/04/19,48.24,50,0
04/04/19,39.42,50,0
05/04/19,49.38,50,0
09/04/19,49.38,50,0
10/04/19,41.47,50,0
