date,indy1,indy2,check
03/01/18,0,0,0
04/01/18,0,0,0
05/01/18,0,0,0
08/01/18,0,0,0
09/01/18,0,0,0
10/01/18,0,0,0
11/01/18,0,0,0
12/01/18,0,0,0
15/01/18,0,0,0
16/01/18,3,0,0
17/01/18,3,0,0
18/01/18,3,0,0
19/01/18,3,0,0
22/01/18,3,0,0
23/01/18,3,0,0
24/01/18,3,0,0
25/01/18,3,0,0
26/01/18,3,0,0
29/01/18,3,0,0
30/01/18,3,0,0
31/01/18,3,0,0
01/02/18,3,0,0
02/02/18,3,0,0
05/02/18,3,0,0
06/02/18,3,3,0
07/02/18,3,3,0
08/02/18,3,3,0
09/02/18,3,3,0
12/02/18,3,3,0
13/02/18,3,3,0
14/02/18,3,3,0
15/02/18,3,3,0
16/02/18,3,3,0
19/02/18,3,3,0
20/02/18,3,3,0
21/02/18,3,3,0
22/02/18,2.98019801980198,2.99203187250996,0
23/02/18,2.980590138221743,2.9920953635656575,0
26/02/18,2.9611725117223022,2.984190221226489,0
27/02/18,2.961941372876316,2.984316195559346,0
28/02/18,2.942893028858963,2.976473038622618,0
02/03/18,2.9440238599706667,2.9766605044503263,0
05/03/18,2.9451322983870893,2.9768464765264193,0
06/03/18,2.946218787527939,2.9770309667533006,0
07/03/18,2.947283762032336,2.9772139869385335,0
08/03/18,2.9483276479326856,2.977395548795597,0
09/03/18,2.9493508628251077,2.977575663944636,0
12/03/18,2.950353816036492,2.9777543439132046,0
13/03/18,2.9513369087882446,2.977931600137004,0
14/03/18,2.952300534356794,2.9781074439606137,0
15/03/18,2.9532450782309168,2.9782818866382184,0
16/03/18,2.954170918265948,2.9784549393343283,0
19/03/18,2.955078424834939,2.978626613124493,0
20/03/18,2.9559679609768215,2.9787969189960113,0
21/03/18,2.9370379023436173,2.9709977403585928,0
22/03/18,2.918482696356615,2.9632607065708747,0
23/03/18,2.9002949201911377,2.955585322454772,0
26/03/18,2.882467298009135,2.9479710967778416,0
27/03/18,2.864992698048558,2.940417542221843,0
28/03/18,2.8478641297703686,2.9329241753515496,0
29/03/18,2.8310747410620447,2.925490516583808,0
30/03/18,2.81461781549646,2.9181160901568455,0
02/04/18,2.7984867696450446,2.910800424099819,0
03/04/18,2.8024771306421723,2.911511177692649,0
04/04/18,2.786586494391832,2.9042481404201976,0
05/04/18,2.771010524205855,2.897042975954698,0
09/04/18,2.755742989073066,2.889895223158246,0
10/04/18,2.7605797615666683,2.8907725520573835,0
11/04/18,2.7653207563871303,2.891642890288002,0
12/04/18,2.7699678701220387,2.8925062935526396,0
17/04/18,2.7745229618027905,2.893362817109989,0
18/04/18,2.77898785364828,2.8942125157784355,0
19/04/18,2.7833643317938583,2.8950554439395635,0
20/04/18,2.787654147005861,2.8958916555416385,0
23/04/18,2.791859015381983,2.8967212041030597,0
24/04/18,2.795980619037785,2.8975441427157844,0
25/04/18,2.8000206067796114,2.8983605240487265,0
26/04/18,2.784178614566154,2.8912022728610873,0
27/04/18,2.7686503251688044,2.884101059531517,0
30/04/18,2.77323150684863,2.88502455706513,0
02/05/18,2.7777219720595485,2.885940696052659,0
03/05/18,2.78212351716728,2.8868495351279364,0
04/05/18,2.7864379029659476,2.8877511324575944,0
07/05/18,2.7906668553824634,2.888645545744785,0
08/05/18,2.794812066166969,2.889532832232874,0
09/05/18,2.7988751935696032,2.890413048709106,0
10/05/18,2.783055882805849,2.883318124018197,0
11/05/18,2.7873518059186044,2.884247860081797,0
14/05/18,2.791562661246949,2.8851701878899103,0
15/05/18,2.795690133301465,2.8860851664724607,0
16/05/18,2.7997358732360893,2.886992854389015,0
17/05/18,2.803701499508642,2.8878933097325286,0
18/05/18,2.8075885985282727,2.888786590133066,0
21/05/18,2.811398725290089,2.889672752761488,0
22/05/18,2.815133403997216,2.8905518543331095,0
23/05/18,2.8187941286705382,2.8914239511113315,0
24/05/18,2.822382363746369,2.8922890989112413,0
25/05/18,2.8258995446622825,2.8931473531031835,0
28/05/18,2.829347078431346,2.8939987686163056,0
30/05/18,2.832726344204983,2.894843399942072,0
31/05/18,2.836038693824686,2.8956813011377527,0
01/06/18,2.839285452362811,2.8965125258298823,0
04/06/18,2.8424679186526562,2.8973371272176918,0
05/06/18,2.8455873658080493,2.898155158076515,0
06/06/18,2.8486450417326425,2.898966670761164,0
07/06/18,2.851642169619125,2.8997717172092825,0
08/06/18,2.8545799484385483,2.9005703489446666,0
11/06/18,2.857459553419963,2.9013626170805655,0
12/06/18,2.8602821365205577,2.9021485723229516,0
13/06/18,2.8630488268864873,2.902928264973765,0
14/06/18,2.8657607313045768,2.9037017449341334,0
15/06/18,2.86841893464508,2.9044690617075664,0
18/06/18,2.8710245002956727,2.905230264403124,0
19/06/18,2.8735784705868475,2.905985401738557,0
20/06/18,2.87608186720889,2.906734522043429,0
21/06/18,2.8785356916205953,2.9074776732622065,0
22/06/18,2.8809409254498903,2.9082149029573285,0
25/06/18,2.883298530886526,2.90894625831225,0
26/06/18,2.885609451066991,2.909671786134463,0
27/06/18,2.887874610451803,2.9103915328584913,0
28/06/18,2.8900949151953315,2.911105544548862,0
29/06/18,2.8922712535082953,2.911813866903054,0
02/07/18,2.8944044960130815,2.9125165452544244,0
03/07/18,2.8964954960920304,2.913213624575106,0
04/07/18,2.8985450902288217,2.9139051494788903,0
05/07/18,2.9005540983431026,2.9145911642240785,0
06/07/18,2.9025233241184867,2.915271712716317,0
09/07/18,2.904453555324061,2.915946838511406,0
10/07/18,2.9063455641295253,2.916616584818088,0
11/07/18,2.908200107414089,2.9172809945008122,0
12/07/18,2.9100179270692554,2.917940110082479,0
13/07/18,2.911799750295607,2.9185939737471602,0
16/07/18,2.9135462898937137,2.9192426273428005,0
17/07/18,2.9152582445492836,2.9198861123838937,0
18/07/18,2.916936299112664,2.9205244700541417,0
19/07/18,2.9185811248728095,2.9211577412090888,0
20/07/18,2.920193379825823,2.9217859663787373,0
23/07/18,2.921773708938183,2.922409185770142,0
24/07/18,2.9233227444047536,2.9230274392699815,1
25/07/18,2.924841105901689,2.923640766447113,1
26/07/18,2.926329400834329,2.9242492065551042,1
31/07/18,2.927788224580184,2.924852798534745,1
01/08/18,2.929218160727111,2.92545158101654,1
02/08/18,2.930619781306772,2.926045592323181,1
03/08/18,2.9319936470234693,2.926634870472,1
06/08/18,2.93334030747845,2.9272194531774027,1
07/08/18,2.934660301389768,2.92779937785328,1
08/08/18,2.9359541568077923,2.9283746816154053,1
09/08/18,2.9372223913264497,2.9289454012838085,1
10/08/18,2.9384655122902825,2.929511573385133,1
14/08/18,2.9396840169974054,2.9300732341549725,1
15/08/18,2.9408783928984468,2.9306304195401918,1
16/08/18,2.9420491177915467,2.931183165201226,1
17/08/18,2.9431966600134962,2.9317315065143634,1
20/08/18,2.9443214786270904,2.93227547857401,1
21/08/18,2.945424023604772,2.9328151161949343,1
22/08/18,2.946504736008638,2.9333504539144966,1
23/08/18,2.9475640481668828,2.933881525994859,1
24/08/18,2.9486023838467466,2.934408366425179,1
27/08/18,2.9496201584240387,2.9349310089237832,1
28/08/18,2.9506177790493053,2.935449486940327,1
29/08/18,2.951595644810705,2.935963833657934,1
30/08/18,2.9525541468936614,2.936474081995321,1
31/08/18,2.953493668737351,2.936980264608904,1
03/09/18,2.9544145861880966,2.9374824138948887,1
04/09/18,2.9553172676497184,2.9379805619913437,1
05/09/18,2.956202074230912,2.9384747407802574,1
06/09/18,2.9570693598897058,2.938964981889578,1
07/09/18,2.957919471575058,2.9394513166952385,1
10/09/18,2.958752749365651,2.9399337763231648,1
11/09/18,2.959569526605935,2.940412391651267,1
12/09/18,2.9603701300394807,2.9408871933114167,1
13/09/18,2.961154879939689,2.9413582116914054,1
14/09/18,2.9619240902379134,2.9418254769368923,1
17/09/18,2.9626780686490437,2.9422890189533315,1
18/09/18,2.963417116794607,2.9427488674078868,1
19/09/18,2.9641415303234266,2.9432050517313297,1
20/09/18,2.9648515990298936,2.943657601119925,1
21/09/18,2.9655476069698956,2.944106544537296,1
24/09/18,2.9662298325744523,2.9445519107162816,1
25/09/18,2.9668985487610966,2.944993728160773,1
26/09/18,2.9675540230430553,2.94543202514754,1
27/09/18,2.968196517636262,2.9458668297280375,1
28/09/18,2.968826289564257,2.9462981697302046,1
01/10/18,2.969443590761004,2.9467260727602427,1
02/10/18,2.9700486681716773,2.947150566204384,1
03/10/18,2.970641763851446,2.947571677230644,1
04/10/18,2.9712231150623087,2.947989432790559,1
05/10/18,2.9717929543680057,2.9484038596209134,1
08/10/18,2.972351509727055,2.948814984245448,1
09/10/18,2.972899004583945,2.94922283297656,1
10/10/18,2.9734356579585204,2.9496274319169857,1
11/10/18,2.973961684533599,2.950028806961472,1
12/10/18,2.9744772947408546,2.9504269837984323,1
16/10/18,2.974982694844996,2.950821987911592,1
17/10/18,2.9754780870262834,2.951213844581619,1
18/10/18,2.9759636694614064,2.9516025788877416,1
19/10/18,2.9764396364027648,2.951988215709353,1
22/10/18,2.976906178256175,2.9523707797276053,1
24/10/18,2.977363481657043,2.952750295426987,1
25/10/18,2.9778117295450226,2.9531267870968914,1
26/10/18,2.9782511012372,2.9535002788331712,1
29/10/18,2.97868177249983,2.95387079453968,1
30/10/18,2.979103915618645,2.954238357929802,1
31/10/18,2.979517699467781,2.954602992527971,1
01/11/18,2.97992328957733,2.9549647216711743,1
02/11/18,2.980320848199561,2.955323568510448,1
05/11/18,2.980710534373827,2.9556795560123565,1
06/11/18,2.981092503990187,2.9560327069604653,1
07/11/18,2.981466909851768,2.956383043956796,1
08/11/18,2.9818339017358912,2.956730589423276,1
09/11/18,2.9821936264539923,2.95707536560317,1
12/11/18,2.982546227910349,2.9574173945625075,1
13/11/18,2.982891847159649,2.9577566981914916,1
14/11/18,2.9832306224634184,2.958093298205902,1
15/11/18,2.9637607091473113,2.9504590886584445,1
16/11/18,2.944676338669147,2.942885709465947,1
19/11/18,2.9457718567153024,2.9433408034144253,1
20/11/18,2.9270437011367814,2.9358241436262627,0
21/11/18,2.908686400124172,2.928367377541591,0
22/11/18,2.890692610022703,2.9209700279197457,0
23/11/18,2.873055132596511,2.9136316213227755,0
26/11/18,2.8557669121490554,2.906351688085144,0
27/11/18,2.8388210327005594,2.8991297622836685,0
28/11/18,2.8420126954193603,2.899933509197743,0
29/11/18,2.825339176698185,2.8927627242638962,0
30/11/18,2.8089958266645576,2.885649077058606,0
03/12/18,2.8127780875226853,2.8865602397912067,0
04/12/18,2.8164854521261966,2.88746414226299,0
06/12/18,2.820119403569242,2.8883608423246394,0
07/12/18,2.803879415379752,2.8812822698758374,0
11/12/18,2.7879610111148065,2.8742601003947548,0
12/12/18,2.7723578227758994,2.8672938844553544,0
13/12/18,2.7570636084635054,2.8603831762126823,0
14/12/18,2.74207224988007,2.853527533374334,0
17/12/18,2.7273777498824447,2.846726517172148,0
18/12/18,2.7129742300827924,2.839979692334123,0
19/12/18,2.6988559284969944,2.83328662705656,0
20/12/18,2.6850171972396284,2.826646892976428,0
21/12/18,2.671452500264586,2.8200600651439465,0
24/12/18,2.658156411150436,2.813525721995389,0
25/12/18,2.645123610929635,2.8070434453261033,0
26/12/18,2.6323488859607314,2.8006128202637437,0
27/12/18,2.619827125842697,2.794233435241722,0
28/12/18,2.6075533213705646,2.787904881972864,0
02/01/19,2.5955225625315435,2.781626755423279,0
03/01/19,2.58373003654082,2.77539865378644,0
04/01/19,2.572171025916249,2.7692201784574646,0
07/01/19,2.560840906591175,2.763090934007604,0
08/01/19,2.549735146064617,2.757010528158938,0
09/01/19,2.53884930158809,2.750978571759265,0
10/01/19,2.5281790183883257,2.7449946787571995,0
11/01/19,2.5177200279251903,2.739058466177461,0
14/01/19,2.5074681461840975,2.733169554096366,0
15/01/19,2.4974192720022343,2.7273275656175104,0
16/01/19,2.487569385427933,2.72153212684765,0
17/01/19,2.4779145461125283,2.715782866872768,0
18/01/19,2.4684508917340624,2.71007941773434,0
21/01/19,2.4591746364522,2.7044214144057794,0
22/01/19,2.45008206939374,2.69880849476908,0
23/01/19,2.4411695531681215,2.693240299591637,0
24/01/19,2.432433522412317,2.6877164725032574,0
25/01/19,2.4238704823645483,2.682236659973351,0
28/01/19,2.41547700746624,2.6768005112883047,0
29/01/19,2.407249739991661,2.6714076785290355,0
30/01/19,2.3991853887046974,2.6660578165487245,0
31/01/19,2.3912807275422283,2.6607505829507265,0
01/02/19,2.40333457452159,2.6634537655566968,0
04/02/19,2.4151497314617565,2.666135408859034,0
05/02/19,2.4069289447001374,2.6608275569956152,0
06/02/19,2.398870945795184,2.6555619987725425,0
07/02/19,2.3909725112249824,2.6503383971886976,0
08/02/19,2.403032461497755,2.6531245454182697,0
11/02/19,2.414853600874037,2.6558884932635425,0
12/02/19,2.426440658282472,2.6586304176200084,0
13/02/19,2.437798269009552,2.6613504939736337,0
14/02/19,2.448930976553917,2.664048896412091,0
15/02/19,2.440041254245919,2.6587576701458593,0
18/02/19,2.4313275660430294,2.6535086050450953,0
20/02/19,2.442588406319405,2.656269492654298,0
21/02/19,2.433824279461595,2.6510402536690045,0
22/02/19,2.445035679868296,2.6538208094166618,0
25/02/19,2.4560250723461516,2.6565792093416287,0
26/02/19,2.4667968530917723,2.659315629984325,0
27/02/19,2.4773553312483707,2.6620302464784737,0
28/02/19,2.487704730629591,2.6647232325623107,0
01/03/19,2.497849191409203,2.6673947605897026,0
04/03/19,2.507792771777338,2.670045001541179,0
05/03/19,2.5175394495639254,2.672674125034875,0
06/03/19,2.527093123829986,2.675282299337386,0
07/03/19,2.536457616427412,2.6778696913745383,0
08/03/19,2.5456366735278593,2.680436466742072,0
11/03/19,2.534831986923347,2.6750146622261988,0
12/03/19,2.5242412545090236,2.6696360593399344,0
13/03/19,2.5138602395682508,2.664300313847186,0
14/03/19,2.5036847892797707,2.659007084254778,0
15/03/19,2.493710833056409,2.653756031790597,0
18/03/19,2.483934380916678,2.648546820381907,0
19/03/19,2.4743515218886247,2.643379116633844,0
20/03/19,2.4649584224452856,2.638252589808076,0
21/03/19,2.4557513249711214,2.6331669118016374,0
22/03/19,2.446726546258822,2.628121757125927,0
25/03/19,2.437880476035875,2.6231168028858796,0
26/03/19,2.429209575520313,2.618151728759299,0
27/03/19,2.4207103760050592,2.613226216976356,0
28/03/19,2.4123794774703056,2.6083399522992536,0
29/03/19,2.4042135472233688,2.6034926220020482,0
01/04/19,2.3962093185654805,2.5986839158506374,0
02/04/19,2.388363589484976,2.593913526082903,0
03/04/19,2.400475201574382,2.5971492748790554,0
04/04/19,2.412346979761028,2.600359240816274,0
05/04/19,2.4239836732311066,2.6035436293356664,0
09/04/19,2.4353899371275203,2.6067026442413583,0
10/04/19,2.4465703344121237,2.609836487713539,0
11/04/19,2.4575293376910916,2.6129453603213992,0
12/04/19,2.4682713310041393,2.6160294610359696,0
17/04/19,2.4788006115783148,2.619088987242854,0
18/04/19,2.489121391547061,2.622124134754863,0
19/04/19,2.499237799635238,2.6251350978245456,0
22/04/19,2.509153882810778,2.6281220691566207,0
23/04/19,2.518873607903634,2.631085239920313,0
24/04/19,2.508598882994651,2.6260566722715457,0
25/04/19,2.498527617984856,2.621068172890896,0
26/04/19,2.4886557839653536,2.6161194225092954,0
29/04/19,2.4789794318076237,2.6112101044016516,0
30/04/19,2.4694946905837103,2.6063399043665787,0
02/05/19,2.4601977660176964,2.6015085107062874,0
03/05/19,2.451084938967841,2.596715614206636,0
07/05/19,2.442152563938775,2.59196090811734,0
08/05/19,2.4333970676231558,2.587244088132341,0
09/05/19,2.424814947472202,2.5825648523703304,0
10/05/19,2.4164027702945345,2.5779229013554272,0
13/05/19,2.4081571708827614,2.5733179379980133,0
14/05/19,2.400074850667261,2.568749667575718,0
15/05/19,2.3921525763966223,2.5642177977145573,0
16/05/19,2.4041891590422337,2.5676901658602582,0
17/05/19,2.415987393516645,2.5711348657338817,0
21/05/19,2.4077500193876022,2.566583990309707,0
22/05/19,2.3996757615779467,2.562069376841104,0
23/05/19,2.3917613900615518,2.5575907363881867,0
24/05/19,2.403805718971224,2.56111590980342,0
27/05/19,2.4156115463183285,2.5646129941874567,0
28/05/19,2.4271835949060843,2.5680822133572776,0
29/05/19,2.438526494016855,2.5715237893464624,0
30/05/19,2.449644781264046,2.5749379424193988,0
31/05/19,2.4605429044073324,2.5783248910853795,0
04/06/19,2.4712252231319396,2.5816848521125877,0
05/06/19,2.4816960107926933,2.5850180405419696,0
06/06/19,2.491959456123531,2.588324669700998,0
07/06/19,2.502019664913164,2.5916049512173247,0
10/06/19,2.511880661647557,2.594859095032326,0
11/06/19,2.5215463911198825,2.5980873094145385,0
12/06/19,2.531020720008598,2.6012898009729883,0
13/06/19,2.540307438424269,2.604466774670415,0
14/06/19,2.549410261425769,2.6076184338363877,0
17/06/19,2.5583328305064468,2.610744980180321,0
18/06/19,2.5670787150508736,2.613846613804382,0
19/06/19,2.5756514137627375,2.6169235332162994,0
20/06/19,2.5840543560644655,2.619975935342066,0
21/06/19,2.5922909034691295,2.6230040155385437,0
24/06/19,2.600364350925186,2.6260079676059656,0
25/06/19,2.6082779281345885,2.6289879838003403,0
26/06/19,2.6160348008447945,2.631944254845756,0
27/06/19,2.6236380721151944,2.6348769699465864,0
28/06/19,2.631090783558458,2.6377863167996014,0
01/07/19,2.6383959165573003,2.640672481605979,0
02/07/19,2.6455563934571558,2.6435356490832222,1
03/07/19,2.652575078735232,2.6463760024769813,1
04/07/19,2.6594547801464152,2.6491937235727825,1
05/07/19,2.6661982498464862,2.6519889927076608,1
08/07/19,2.6728081854930905,2.6547619887817033,1
09/07/19,2.6792872313249103,2.6575128892694986,1
10/07/19,2.6856379792194667,2.6602418702314945,1
11/07/19,2.6918629697299723,2.6629491063252675,1
12/07/19,2.697964693101656,2.6656347708166996,1
15/07/19,2.70394559026796,2.6682990355910685,1
17/07/19,2.70980805382701,2.670942071164048,1
18/07/19,2.7155544289987525,2.6735640466926216,1
19/07/19,2.721187014563134,2.6761651299859075,1
22/07/19,2.7267080637797054,2.6787454875159002,1
23/07/19,2.732119785289018,2.681305284428124,1
24/07/19,2.7374243439961665,2.683844684552203,1
25/07/19,2.7426238619368366,2.686363850412345,1
26/07/19,2.7477204191262063,2.6888629432377447,1
30/07/19,2.752716054391034,2.691342122972902,1
31/07/19,2.7576127661852707,2.6938015482878592,1
01/08/19,2.7624125133895228,2.6962413765883544,1
02/08/19,2.7671172160946806,2.698661764025897,1
05/08/19,2.751926776172014,2.693094738017723,1
06/08/19,2.737037137039895,2.687572070782522,1
07/08/19,2.7422443224450457,2.690061536353976,1
08/08/19,2.747348395267916,2.6925311655463746,1
09/08/19,2.7523513973418186,2.694981116418515,1
13/08/19,2.7374533498697033,2.689443418279722,1
14/08/19,2.72285031323862,2.6839498452257007,1
15/08/19,2.7085364456497367,2.6785000456621493,1
16/08/19,2.6945060209834053,2.6730936707963155,1
19/08/19,2.6807534265084865,2.6677303746146714,1
20/08/19,2.6672731606370315,2.6624098138607697,1
21/08/19,2.6738618109214465,2.6650997755033132,1
22/08/19,2.6605180126853782,2.659800175698506,1
23/08/19,2.667240428275767,2.6625109312706297,1
26/08/19,2.6540277465277318,2.65723195970672,0
27/08/19,2.6410767020420343,2.6519950516612485,0
28/08/19,2.628382113882786,2.6467998719667367,0
29/08/19,2.615938903706889,2.641646088126364,0
30/08/19,2.6037420937324955,2.636533370292688,0
02/09/19,2.5917868047476937,2.631461391246531,0
03/09/19,2.5800682541586304,2.626429826376041,0
04/09/19,2.5685817540762814,2.621438353655913,0
05/09/19,2.5573227094411077,2.616486653626782,0
06/09/19,2.5462866161848483,2.611574409374776,0
09/09/19,2.5354690594287126,2.606701306511232,0
10/09/19,2.524865711717253,2.601867033152577,0
11/09/19,2.5144723312872084,2.5970712799003652,0
12/09/19,2.50428476037063,2.5923137398214777,0
13/09/19,2.4942989235316078,2.587594108428478,0
16/09/19,2.4845108260359323,2.5829120836601236,0
17/09/19,2.4749165522530427,2.5782673658620348,0
18/09/19,2.4655122640896163,2.5736596577675166,0
19/09/19,2.4562941994541783,2.5690886644785325,0
20/09/19,2.4472586707521153,2.564554093446831,0
23/09/19,2.4384020634104893,2.5600556544552227,0
24/09/19,2.4297208344320635,2.5555930595990057,0
25/09/19,2.4212115109779635,2.5511660232675397,0
26/09/19,2.4128706889784,2.546774262125966,0
27/09/19,2.404695031770907,2.542417495097074,0
30/09/19,2.3966812687655423,2.5380954433433125,0
01/10/19,2.388826194136522,2.5338078302489433,0
02/10/19,2.381126665539759,2.5295543814023382,0
03/10/19,2.3735796028558034,2.5253348245784153,0
04/10/19,2.3661819869576686,2.521148889721217,0
07/10/19,2.358930858503061,2.5169963089266254,0
08/10/19,2.3518233167505254,2.512876816425218,0
09/10/19,2.34485651839903,2.508790148565256,0
10/10/19,2.3380276764505346,2.5047360437958117,0
11/10/19,2.3313340590950786,2.5007142426500284,0
15/10/19,2.3247729886179482,2.4967244877285144,0
16/10/19,2.318341840328484,2.4927665236828687,0
17/10/19,2.3120380415100983,2.48884009719934,0
18/10/19,2.3058590703910866,2.484944956982612,0
21/10/19,2.2998024551358176,2.4810808537397224,0
22/10/19,2.2938657728559004,2.477247540164107,0
24/10/19,2.288046648640932,2.4734447709197713,0
25/10/19,2.2823427546084383,2.46967230262559,0
28/10/19,2.2767518089726275,2.465929893839729,0
29/10/19,2.2712715751315855,2.4622173050441933,0
30/10/19,2.265899860772544,2.4585342986294987,0
31/10/19,2.26063451699487,2.454880638879463,0
01/11/19,2.255473437450417,2.4512560919561204,0
04/11/19,2.250414557500904,2.4476604258847567,0
05/11/19,2.245455853391975,2.4440934105390615,0
06/11/19,2.240595341443619,2.4405548176263996,0
07/11/19,2.235831077256617,2.4370444206732014,0
08/11/19,2.2311611549347035,2.4335619950104665,0
11/11/19,2.226583706322135,2.4301073177593873,0
12/11/19,2.2220969002563504,2.4266801678170813,0
13/11/19,2.2176989418354327,2.4232803258424434,0
14/11/19,2.2133880717000776,2.4199075742421052,0
15/11/19,2.209162565329779,2.416561697156511,0
18/11/19,2.205020732352952,2.4132424804461006,0
19/11/19,2.200960915870715,2.409949711677606,0
20/11/19,2.1969814917940673,2.406683180110454,0
21/11/19,2.1930808681941847,2.403442676683279,0
22/11/19,2.189257484665587,2.4002279940005433,0
25/11/19,2.1855098117019116,2.397038926319264,0
26/11/19,2.181836350084052,2.393875269535844,0
27/11/19,2.1782356302804073,2.3907368211730082,0
28/11/19,2.174706211859013,2.3876233803668487,0
29/11/19,2.1712466829113097,2.3845347478539654,0
02/12/19,2.1678556594873233,2.3814707259587147,0
03/12/19,2.16453178504203,2.378431118580558,0
04/12/19,2.1612737298926827,2.3754157311815094,0
06/12/19,2.158080190686887,2.3724243707736887,0
09/12/19,2.1549498898812063,2.3694568459069663,0
11/12/19,2.1518815752300933,2.3665129666567117,0
12/12/19,2.1488740192849427,2.363592544611638,0
13/12/19,2.1459260189030624,2.3606953928617447,0
16/12/19,2.143036394766368,2.357821325986352,0
17/12/19,2.1402039909096082,2.354970160042238,0
18/12/19,2.137427674257933,2.3521417125518616,0
19/12/19,2.134706334173617,2.3493358024916873,0
20/12/19,2.1320388820117633,2.346552250280598,0
23/12/19,2.1294242506847976,2.343790877768402,0
24/12/19,2.126861394235594,2.3410515082244303,0
25/12/19,2.1243492874190473,2.3383339663262275,0
26/12/19,2.1218869252919372,2.3356380781483295,0
27/12/19,2.119473322810909,2.3329636711511315,0
30/12/19,2.1171075144384157,2.3303105741698475,0
