date,indy1,indy2,check
03/01/18,0,50,0
04/01/18,0,50,0
05/01/18,0,50,0
08/01/18,0,50,0
09/01/18,0,50,0
10/01/18,0,50,0
11/01/18,0,50,0
12/01/18,0,50,0
15/01/18,0,50,0
16/01/18,0,50,0
17/01/18,0,50,0
18/01/18,0,50,0
19/01/18,0,50,0
22/01/18,0,50,0
23/01/18,61.76,50,1
24/01/18,58.09,50,1
25/01/18,58.09,50,1
26/01/18,60.79,50,1
29/01/18,62.11,50,1
30/01/18,54.25,50,1
31/01/18,57.17,50,1
01/02/18,57.17,50,1
02/02/18,53.23,50,1
05/02/18,49.56,50,0
06/02/18,46.13,50,0
07/02/18,42.93,50,0
08/02/18,44.98,50,0
09/02/18,41.74,50,0
12/02/18,43.92,50,0
13/02/18,43.92,50,0
14/02/18,42.1,50,0
15/02/18,42.1,50,0
16/02/18,44.75,50,0
19/02/18,44.75,50,0
20/02/18,42.49,50,0
21/02/18,45.46,50,0
22/02/18,38.96,50,0
23/02/18,44.64,50,0
26/02/18,44.64,50,0
27/02/18,44.64,50,0
28/02/18,47.68,50,0
02/03/18,45.02,50,0
05/03/18,45.02,50,0
06/03/18,42.28,50,0
07/03/18,42.28,50,0
08/03/18,39.5,50,0
09/03/18,47.02,50,0
12/03/18,50.34,50,1
13/03/18,50.34,50,1
14/03/18,46.93,50,0
15/03/18,53.69,50,1
16/03/18,47.21,50,0
19/03/18,47.21,50,0
20/03/18,44.12,50,0
21/03/18,41.22,50,0
22/03/18,38.49,50,0
23/03/18,38.49,50,0
26/03/18,38.49,50,0
27/03/18,38.49,50,0
28/03/18,28.38,50,0
29/03/18,37.26,50,0
30/03/18,37.26,50,0
02/04/18,45.14,50,0
03/04/18,39.76,50,0
04/04/18,33.34,50,0
05/04/18,29.88,50,0
09/04/18,36.93,50,0
10/04/18,36.93,50,0
11/04/18,40.41,50,0
12/04/18,40.41,50,0
17/04/18,30.62,50,0
18/04/18,37.18,50,0
19/04/18,35.38,50,0
20/04/18,38.58,50,0
23/04/18,34.86,50,0
24/04/18,30.16,50,0
25/04/18,26.34,50,0
26/04/18,29.54,50,0
27/04/18,35.58,50,0
30/04/18,32.57,50,0
02/05/18,38.2,50,0
03/05/18,33.66,50,0
04/05/18,36.37,50,0
07/05/18,39.06,50,0
08/05/18,44.13,50,0
09/05/18,42.24,50,0
10/05/18,38.66,50,0
11/05/18,46.04,50,0
14/05/18,50.33,50,1
15/05/18,46.36,50,0
16/05/18,44.47,50,0
17/05/18,42.6,50,0
18/05/18,47.37,50,0
21/05/18,49.62,50,0
22/05/18,51.84,50,1
23/05/18,51.84,50,1
24/05/18,51.84,50,1
25/05/18,54.35,50,1
28/05/18,56.77,50,1
30/05/18,50.94,50,1
31/05/18,43.69,50,0
01/06/18,51.17,50,1
04/06/18,46.72,50,0
05/06/18,56.84,50,1
06/06/18,58.54,50,1
07/06/18,56.16,50,1
08/06/18,49.64,50,0
11/06/18,51.66,50,1
12/06/18,53.65,50,1
13/06/18,49.27,50,0
14/06/18,47.2,50,0
15/06/18,51.59,50,1
18/06/18,43.75,50,0
19/06/18,40.44,50,0
20/06/18,40.44,50,0
21/06/18,37.18,50,0
22/06/18,35.64,50,0
25/06/18,30.22,50,0
26/06/18,30.22,50,0
27/06/18,28.95,50,0
28/06/18,22.74,50,0
29/06/18,25.61,50,0
02/07/18,31.1,50,0
03/07/18,36.18,50,0
04/07/18,42.97,50,0
05/07/18,38.55,50,0
06/07/18,44.68,50,0
09/07/18,41.69,50,0
10/07/18,41.69,50,0
11/07/18,38.7,50,0
12/07/18,45.07,50,0
13/07/18,45.07,50,0
16/07/18,41.72,50,0
17/07/18,43.96,50,0
18/07/18,48.26,50,0
19/07/18,50.31,50,1
20/07/18,60.44,50,1
23/07/18,60.44,50,1
24/07/18,58.15,50,1
25/07/18,61.31,50,1
26/07/18,65.51,50,1
31/07/18,70.17,50,1
01/08/18,71.22,50,1
02/08/18,71.22,50,1
03/08/18,71.22,50,1
06/08/18,71.22,50,1
07/08/18,73.7,50,1
08/08/18,73.7,50,1
09/08/18,78.08,50,1
10/08/18,71.65,50,1
14/08/18,65.82,50,1
15/08/18,67.25,50,1
16/08/18,67.25,50,1
17/08/18,67.25,50,1
20/08/18,70.36,50,1
21/08/18,63.83,50,1
22/08/18,65.55,50,1
23/08/18,68.76,50,1
24/08/18,68.76,50,1
27/08/18,68.76,50,1
28/08/18,61.6,50,1
29/08/18,63.64,50,1
30/08/18,63.64,50,1
31/08/18,67.62,50,1
03/09/18,60.49,50,1
04/09/18,57.23,50,1
05/09/18,46.47,50,0
06/09/18,53.53,50,1
07/09/18,55.63,50,1
10/09/18,55.63,50,1
11/09/18,50.35,50,1
12/09/18,58.78,50,1
13/09/18,62.23,50,1
14/09/18,62.23,50,1
17/09/18,56.72,50,1
18/09/18,60.49,50,1
19/09/18,57.78,50,1
20/09/18,59.72,50,1
21/09/18,59.72,50,1
24/09/18,56.7,50,1
25/09/18,56.7,50,1
26/09/18,45.91,50,0
27/09/18,55.11,50,1
28/09/18,57.07,50,1
01/10/18,52.16,50,1
02/10/18,49.84,50,0
03/10/18,49.84,50,0
04/10/18,45.2,50,0
05/10/18,43.04,50,0
08/10/18,43.04,50,0
09/10/18,38.74,50,0
10/10/18,44.69,50,0
11/10/18,38.63,50,0
12/10/18,41.48,50,0
16/10/18,44.26,50,0
17/10/18,44.26,50,0
18/10/18,47.18,50,0
19/10/18,44.66,50,0
22/10/18,40.06,50,0
24/10/18,32.79,50,0
25/10/18,43.78,50,0
26/10/18,38.67,50,0
29/10/18,35.68,50,0
30/10/18,35.68,50,0
31/10/18,40.97,50,0
01/11/18,43.48,50,0
02/11/18,52.21,50,1
05/11/18,50.13,50,1
06/11/18,46.16,50,0
07/11/18,46.16,50,0
08/11/18,46.16,50,0
09/11/18,46.16,50,0
12/11/18,43.82,50,0
13/11/18,41.56,50,0
14/11/18,41.56,50,0
15/11/18,41.56,50,0
16/11/18,45.1,50,0
19/11/18,39.89,50,0
20/11/18,33.62,50,0
21/11/18,37.17,50,0
22/11/18,35.15,50,0
23/11/18,41.95,50,0
26/11/18,50.36,50,1
27/11/18,47.87,50,0
28/11/18,47.87,50,0
29/11/18,45.27,50,0
30/11/18,53.43,50,1
03/12/18,57.93,50,1
04/12/18,60.01,50,1
06/12/18,51.74,50,1
07/12/18,51.74,50,1
11/12/18,51.74,50,1
12/12/18,54.36,50,1
13/12/18,59.14,50,1
14/12/18,48.26,50,0
17/12/18,42.02,50,0
18/12/18,44.59,50,0
19/12/18,49.42,50,0
20/12/18,49.42,50,0
21/12/18,47.04,50,0
24/12/18,42.62,50,0
25/12/18,37.01,50,0
26/12/18,37.01,50,0
27/12/18,40.06,50,0
28/12/18,40.06,50,0
02/01/19,43.25,50,0
03/01/19,46.33,50,0
04/01/19,41.48,50,0
07/01/19,47.41,50,0
08/01/19,44.96,50,0
09/01/19,47.86,50,0
10/01/19,50.66,50,1
11/01/19,43.17,50,0
14/01/19,46.03,50,0
15/01/19,46.03,50,0
16/01/19,51.68,50,1
17/01/19,51.68,50,1
18/01/19,34.79,50,0
21/01/19,34.79,50,0
22/01/19,33.21,50,0
23/01/19,39.14,50,0
24/01/19,41.92,50,0
25/01/19,41.92,50,0
28/01/19,37.91,50,0
29/01/19,43.71,50,0
30/01/19,46.41,50,0
31/01/19,51.42,50,1
01/02/19,51.42,50,1
04/02/19,48.77,50,0
05/02/19,48.77,50,0
06/02/19,56.55,50,1
07/02/19,56.55,50,1
08/02/19,53.42,50,1
11/02/19,50.41,50,1
12/02/19,53.24,50,1
13/02/19,53.24,50,1
14/02/19,49.93,50,0
15/02/19,49.93,50,0
18/02/19,46.57,50,0
20/02/19,53.34,50,1
21/02/19,49.93,50,0
22/02/19,55.98,50,1
25/02/19,55.98,50,1
26/02/19,58.86,50,1
27/02/19,54.99,50,1
28/02/19,51.34,50,1
01/03/19,47.92,50,0
04/03/19,44.72,50,0
05/03/19,44.72,50,0
06/03/19,41.5,50,0
07/03/19,41.5,50,0
08/03/19,41.5,50,0
11/03/19,38.07,50,0
12/03/19,38.07,50,0
13/03/19,38.07,50,0
14/03/19,38.07,50,0
15/03/19,38.07,50,0
18/03/19,44.69,50,0
19/03/19,50.39,50,1
20/03/19,45.35,50,0
21/03/19,45.35,50,0
22/03/19,62.67,50,1
25/03/19,53.53,50,1
26/03/19,53.53,50,1
27/03/19,53.53,50,1
28/03/19,53.53,50,1
29/03/19,48.76,50,0
01/04/19,40.89,50,0
02/04/19,40.89,50,0
03/04/19,40.89,50,0
04/04/19,37.15,50,0
05/04/19,42.79,50,0
09/04/19,47.83,50,0
10/04/19,47.83,50,0
