date,indy1,indy2,check
03/01/18,0,50,0
04/01/18,0,50,0
05/01/18,0,50,0
08/01/18,0,50,0
09/01/18,0,50,0
10/01/18,0,50,0
11/01/18,0,50,0
12/01/18,0,50,0
15/01/18,0,50,0
16/01/18,0,50,0
17/01/18,0,50,0
18/01/18,0,50,0
19/01/18,0,50,0
22/01/18,0,50,0
23/01/18,55.56,50,1
24/01/18,60.31,50,1
25/01/18,54.08,50,1
26/01/18,54.08,50,1
29/01/18,54.08,50,1
30/01/18,59.32,50,1
31/01/18,59.32,50,1
01/02/18,52.39,50,1
02/02/18,52.39,50,1
05/02/18,46.13,50,0
06/02/18,40.87,50,0
07/02/18,40.87,50,0
08/02/18,40.87,50,0
09/02/18,40.87,50,0
12/02/18,40.87,50,0
13/02/18,40.87,50,0
14/02/18,34.7,50,0
15/02/18,43.83,50,0
16/02/18,43.83,50,0
19/02/18,43.83,50,0
20/02/18,43.83,50,0
21/02/18,43.83,50,0
22/02/18,43.83,50,0
23/02/18,43.83,50,0
26/02/18,35.5,50,0
27/02/18,35.5,50,0
28/02/18,35.5,50,0
02/03/18,28.68,50,0
05/03/18,28.68,50,0
06/03/18,28.68,50,0
07/03/18,28.68,50,0
08/03/18,28.68,50,0
09/03/18,22.44,50,0
12/03/18,37.16,50,0
13/03/18,30.86,50,0
14/03/18,49.37,50,0
15/03/18,43.15,50,0
16/03/18,55.28,50,1
19/03/18,49.58,50,0
20/03/18,44.63,50,0
21/03/18,44.63,50,0
22/03/18,39.99,50,0
23/03/18,39.99,50,0
26/03/18,39.99,50,0
27/03/18,39.99,50,0
28/03/18,39.99,50,0
29/03/18,34.76,50,0
30/03/18,42.82,50,0
02/04/18,49.53,50,0
03/04/18,39.54,50,0
04/04/18,39.54,50,0
05/04/18,39.54,50,0
09/04/18,51.7,50,1
10/04/18,46.65,50,0
11/04/18,51.73,50,1
12/04/18,51.73,50,1
17/04/18,46.58,50,0
18/04/18,51.75,50,1
19/04/18,46.87,50,0
20/04/18,51.77,50,1
23/04/18,51.77,50,1
24/04/18,46.77,50,0
25/04/18,46.77,50,0
26/04/18,46.77,50,0
27/04/18,46.77,50,0
30/04/18,46.77,50,0
02/05/18,41.02,50,0
03/05/18,32.44,50,0
04/05/18,32.44,50,0
07/05/18,32.44,50,0
08/05/18,28.69,50,0
09/05/18,36.58,50,0
10/05/18,36.58,50,0
11/05/18,36.58,50,0
14/05/18,44.28,50,0
15/05/18,39.16,50,0
16/05/18,39.16,50,0
17/05/18,39.16,50,0
18/05/18,39.16,50,0
21/05/18,47.35,50,0
22/05/18,47.35,50,0
23/05/18,47.35,50,0
24/05/18,47.35,50,0
25/05/18,47.35,50,0
28/05/18,47.35,50,0
30/05/18,47.35,50,0
31/05/18,47.35,50,0
01/06/18,47.35,50,0
04/06/18,47.35,50,0
05/06/18,58.95,50,1
06/06/18,58.95,50,1
07/06/18,46.95,50,0
08/06/18,46.95,50,0
11/06/18,57.08,50,1
12/06/18,57.08,50,1
13/06/18,46.73,50,0
14/06/18,39.1,50,0
15/06/18,39.1,50,0
18/06/18,39.1,50,0
19/06/18,32.48,50,0
20/06/18,32.48,50,0
21/06/18,27.14,50,0
22/06/18,38.09,50,0
25/06/18,32.79,50,0
26/06/18,32.79,50,0
27/06/18,32.79,50,0
28/06/18,27.93,50,0
29/06/18,24.08,50,0
02/07/18,47.45,50,0
03/07/18,42.73,50,0
04/07/18,42.73,50,0
05/07/18,38.31,50,0
06/07/18,38.31,50,0
09/07/18,44.92,50,0
10/07/18,50.61,50,1
11/07/18,45.54,50,0
12/07/18,45.54,50,0
13/07/18,45.54,50,0
16/07/18,40.48,50,0
17/07/18,40.48,50,0
18/07/18,40.48,50,0
19/07/18,47.74,50,0
20/07/18,53.81,50,1
23/07/18,58.94,50,1
24/07/18,58.94,50,1
25/07/18,63.63,50,1
26/07/18,63.63,50,1
31/07/18,63.63,50,1
01/08/18,63.63,50,1
02/08/18,63.63,50,1
03/08/18,68.79,50,1
06/08/18,68.79,50,1
07/08/18,68.79,50,1
08/08/18,73.49,50,1
09/08/18,73.49,50,1
10/08/18,73.49,50,1
14/08/18,73.49,50,1
15/08/18,61.11,50,1
16/08/18,67.08,50,1
17/08/18,57.57,50,1
20/08/18,63.19,50,1
21/08/18,63.19,50,1
22/08/18,63.19,50,1
23/08/18,63.19,50,1
24/08/18,63.19,50,1
27/08/18,69.12,50,1
28/08/18,58.9,50,1
29/08/18,58.9,50,1
30/08/18,58.9,50,1
31/08/18,58.9,50,1
03/09/18,58.9,50,1
04/09/18,58.9,50,1
05/09/18,47.86,50,0
06/09/18,56.62,50,1
07/09/18,47.95,50,0
10/09/18,47.95,50,0
11/09/18,47.95,50,0
12/09/18,47.95,50,0
13/09/18,56.84,50,1
14/09/18,56.84,50,1
17/09/18,56.84,50,1
18/09/18,56.84,50,1
19/09/18,56.84,50,1
20/09/18,56.84,50,1
21/09/18,56.84,50,1
24/09/18,56.84,50,1
25/09/18,56.84,50,1
26/09/18,56.84,50,1
27/09/18,56.84,50,1
28/09/18,56.84,50,1
01/10/18,69.51,50,1
02/10/18,52.81,50,1
03/10/18,62.51,50,1
04/10/18,51.18,50,1
05/10/18,51.18,50,1
08/10/18,42.29,50,0
09/10/18,35.63,50,0
10/10/18,35.63,50,0
11/10/18,30.12,50,0
12/10/18,40.09,50,0
16/10/18,40.09,50,0
17/10/18,40.09,50,0
18/10/18,34.03,50,0
19/10/18,43.27,50,0
22/10/18,37.6,50,0
24/10/18,37.6,50,0
25/10/18,32.64,50,0
26/10/18,41.02,50,0
29/10/18,47.99,50,0
30/10/18,47.99,50,0
31/10/18,54.26,50,1
01/11/18,54.26,50,1
02/11/18,54.26,50,1
05/11/18,60.24,50,1
06/11/18,60.24,50,1
07/11/18,60.24,50,1
08/11/18,60.24,50,1
09/11/18,51.23,50,1
12/11/18,51.23,50,1
13/11/18,51.23,50,1
14/11/18,58.91,50,1
15/11/18,50.37,50,1
16/11/18,50.37,50,1
19/11/18,50.37,50,1
20/11/18,42.64,50,0
21/11/18,42.64,50,0
22/11/18,42.64,50,0
23/11/18,42.64,50,0
26/11/18,52.45,50,1
27/11/18,52.45,50,1
28/11/18,52.45,50,1
29/11/18,52.45,50,1
30/11/18,61.34,50,1
03/12/18,61.34,50,1
04/12/18,68.23,50,1
06/12/18,57.24,50,1
07/12/18,57.24,50,1
11/12/18,63.97,50,1
12/12/18,54.7,50,1
13/12/18,54.7,50,1
14/12/18,46.83,50,0
17/12/18,46.83,50,0
18/12/18,46.83,50,0
19/12/18,60.89,50,1
20/12/18,60.89,50,1
21/12/18,52.79,50,1
24/12/18,52.79,50,1
25/12/18,45.74,50,0
26/12/18,45.74,50,0
27/12/18,39.61,50,0
28/12/18,30.73,50,0
02/01/19,38.19,50,0
03/01/19,38.19,50,0
04/01/19,38.19,50,0
07/01/19,45.52,50,0
08/01/19,45.52,50,0
09/01/19,52.1,50,1
10/01/19,52.1,50,1
11/01/19,57.99,50,1
14/01/19,57.99,50,1
15/01/19,50.76,50,1
16/01/19,50.76,50,1
17/01/19,56.98,50,1
18/01/19,50.15,50,1
21/01/19,50.15,50,1
22/01/19,50.15,50,1
23/01/19,61.64,50,1
24/01/19,54.83,50,1
25/01/19,59.63,50,1
28/01/19,53.51,50,1
29/01/19,53.51,50,1
30/01/19,53.51,50,1
31/01/19,53.51,50,1
01/02/19,59.15,50,1
04/02/19,59.15,50,1
05/02/19,59.15,50,1
06/02/19,59.15,50,1
07/02/19,59.15,50,1
08/02/19,50.31,50,1
11/02/19,50.31,50,1
12/02/19,50.31,50,1
13/02/19,50.31,50,1
14/02/19,58.63,50,1
15/02/19,49.67,50,0
18/02/19,56.78,50,1
20/02/19,49.28,50,0
21/02/19,43.15,50,0
22/02/19,49.87,50,0
25/02/19,49.87,50,0
26/02/19,49.87,50,0
27/02/19,65.26,50,1
28/02/19,58.78,50,1
01/03/19,53.1,50,1
04/03/19,57.52,50,1
05/03/19,57.52,50,1
06/03/19,57.52,50,1
07/03/19,57.52,50,1
08/03/19,51.05,50,1
11/03/19,51.05,50,1
12/03/19,51.05,50,1
13/03/19,57.08,50,1
14/03/19,50.4,50,1
15/03/19,50.4,50,1
18/03/19,50.4,50,1
19/03/19,61.62,50,1
20/03/19,61.62,50,1
21/03/19,61.62,50,1
22/03/19,53.99,50,1
25/03/19,47.64,50,0
26/03/19,53.53,50,1
27/03/19,47.75,50,0
28/03/19,47.75,50,0
29/03/19,47.75,50,0
01/04/19,47.75,50,0
02/04/19,41.69,50,0
03/04/19,36.68,50,0
04/04/19,43.93,50,0
05/04/19,39.11,50,0
09/04/19,50.76,50,1
10/04/19,50.76,50,1
