date,indy1,indy2,check
03/01/18,0,0,0
04/01/18,0,0,0
05/01/18,0,0,0
08/01/18,0,0,0
09/01/18,0,0,0
10/01/18,0,0,0
11/01/18,0,0,0
12/01/18,0,0,0
15/01/18,0,0,0
16/01/18,17,0,0
17/01/18,17,0,0
18/01/18,17,0,0
19/01/18,17,0,0
22/01/18,17,0,0
23/01/18,17,0,0
24/01/18,17,0,0
25/01/18,17,0,0
26/01/18,16.980198019801982,0,0
29/01/18,16.960788158023725,0,0
30/01/18,16.941762649944046,0,0
31/01/18,16.92311388459862,0,0
01/02/18,16.904834401735283,0,0
02/02/18,16.886916888829635,0,0
05/02/18,16.84955219796172,0,0
06/02/18,16.81292740196248,16.6,1
07/02/18,16.77702784944837,16.58725099601594,1
08/02/18,16.741839179162262,16.574603577720993,1
09/02/18,16.707347314228358,16.56205693566744,1
12/02/18,16.673538456520866,16.54961026685734,1
13/02/18,16.640399081144217,16.537262774691147,1
14/02/18,16.60791593102255,16.525013668916717,1
15/02/18,16.57607601159636,16.512862165578735,1
16/02/18,16.544866585624156,16.500807486968547,1
19/02/18,16.514275168087043,16.488848861574375,1
20/02/18,16.48428952119423,16.47698552403195,1
21/02/18,16.454897649487414,16.46521671507552,0
22/02/18,16.4062858148441,16.44557355399922,0
23/02/18,16.358636590787782,16.426086912134686,0
26/02/18,16.311930915722677,16.40675554231688,0
27/02/18,16.285952085708367,16.39554633480838,0
28/02/18,16.26048768797157,16.38442644369437,0
02/03/18,16.23552753573451,16.37339515729043,0
05/03/18,16.191259663739764,16.354483642092898,0
06/03/18,16.14786838326967,16.335722816259487,0
07/03/18,16.105336336076213,16.317111479078136,0
08/03/18,16.06364650763906,16.298648439404207,0
09/03/18,16.02278222035908,16.280332515584252,0
12/03/18,15.982727126886623,16.262162535380394,0
13/03/18,15.943465203581937,16.244137335895292,0
14/03/18,15.904980744105067,16.22625576349772,0
15/03/18,15.88706033333071,16.21648480123877,0
16/03/18,15.869494782175646,16.206791695252804,0
19/03/18,15.852277063716723,16.197175825171108,0
20/03/18,15.835400290177779,16.187636575568153,0
21/03/18,15.838659690372278,16.18614146341223,0
22/03/18,15.82205256779065,16.17669013701054,0
23/03/18,15.805774299121527,16.167314119982567,0
26/03/18,15.80962035260427,16.165980939743662,0
27/03/18,15.813390246612107,16.164658382454867,0
28/03/18,15.81708548925345,16.163346363471163,0
29/03/18,15.800905578575165,16.15407667133195,0
30/03/18,15.785046062167735,16.144880841281495,0
02/04/18,15.769500595590156,16.13575828477726,0
03/04/18,15.774064940231934,16.134676545456326,0
04/04/18,15.75873692161348,16.125635298082173,0
05/04/18,15.743712428116183,16.116666092519765,0
09/04/18,15.728985449341605,16.107768354730762,0
10/04/18,15.714550093909098,16.098941515250836,0
11/04/18,15.700400587099017,16.09018500915322,0
12/04/18,15.6865312685426,16.081498276012557,0
17/04/18,15.672936589957597,16.07288075986903,0
18/04/18,15.659611112928735,16.06433190919278,0
19/04/18,15.646549506732127,16.055851176848616,0
20/04/18,15.633746546202778,16.047438020060977,0
23/04/18,15.640999089842326,16.047060027869257,0
24/04/18,15.64810801875634,16.04668504756751,0
25/04/18,15.655076176800769,16.046313055156613,0
26/04/18,15.661906351517585,16.04594402682867,0
27/04/18,15.66860127524991,16.045577938965494,0
30/04/18,15.675163626235062,16.045214768137082,0
02/05/18,15.701398009873971,16.052822618590174,0
03/05/18,15.727112900767557,16.060369848720928,0
04/05/18,15.752318585900872,16.067856941559803,0
07/05/18,15.7770251485563,16.075284376288412,0
08/05/18,15.781440492149244,16.074684500780137,0
09/05/18,15.785768403195794,16.07408940515639,0
10/05/18,15.790010613033502,16.07349905133044,0
11/05/18,15.794168818716006,16.072913401519042,0
14/05/18,15.818046663889946,16.080300545730047,0
15/05/18,15.841451680446582,16.08762882823419,0
16/05/18,15.824789270932788,16.07896246306898,0
17/05/18,15.808456810122237,16.07036515260628,0
18/05/18,15.792447764377243,16.061836346609415,0
21/05/18,15.77675572943908,16.05337549922607,0
22/05/18,15.761374427866029,16.044982068953352,0
23/05/18,15.746297706522148,16.036655518603126,0
24/05/18,15.731519534115769,16.028395315267645,0
25/05/18,15.717033998786745,16.020200930285434,0
28/05/18,15.702835305741463,16.01207183920746,0
30/05/18,15.688917774934701,16.004007521763576,0
31/05/18,15.675275838797381,15.996007461829205,0
01/06/18,15.661904040009315,15.988071147392318,0
04/06/18,15.64879702931606,15.980198070520666,0
05/06/18,15.63594956338901,15.972387727329266,0
06/06/18,15.623356502727841,15.964639617948157,0
07/06/18,15.630814789802537,15.964921373980442,0
08/06/18,15.61832340782625,15.957232757454701,0
11/06/18,15.606079379948502,15.94960540480566,0
12/06/18,15.594077808068334,15.942038827874937,0
13/06/18,15.582313891076883,15.934532542393862,0
14/06/18,15.570782922936747,15.927086067952477,0
15/06/18,15.559480290799385,15.919698927968792,0
18/06/18,15.548401473159794,15.912370649658284,0
19/06/18,15.5177400578497,15.897132636513597,0
20/06/18,15.487685799278418,15.882016041800341,0
21/06/18,15.458226674540231,15.867019898040976,0
22/06/18,15.429350898806762,15.852143245466944,0
25/06/18,15.401046920612568,15.837385131957248,0
26/06/18,15.373303417234101,15.822744612977509,0
27/06/18,15.32630730996214,15.800252624029481,0
28/06/18,15.28024181867576,15.777939854116896,0
29/06/18,15.215286535137626,15.74783674770959,0
02/07/18,15.15161749483787,15.717973506691983,0
03/07/18,15.109011207811378,15.696316347276111,0
04/07/18,15.067248609636895,15.674831754867537,0
05/07/18,15.006511013406461,15.645550226940305,0
06/07/18,14.946976141853858,15.6165020179607,0
09/07/18,14.90842215884685,15.595653396303643,0
10/07/18,14.870631621047902,15.57497089912194,0
11/07/18,14.833589410730122,15.554453202714594,0
12/07/18,14.797280709527545,15.534098993928023,0
13/07/18,14.761690992507198,15.513906970072023,0
16/07/18,14.72680602235854,15.49387583883639,0
17/07/18,14.692611843697975,15.47400431820821,0
18/07/18,14.659094777486134,15.454291136389818,0
19/07/18,14.626241415555715,15.43473503171739,0
20/07/18,14.59403861524768,15.415334752580199,0
23/07/18,14.562473494153666,15.396089057340516,0
24/07/18,14.551335405160524,15.384964841744177,0
25/07/18,14.540417872385067,15.373929265315937,0
26/07/18,14.529716528377442,15.362981621767602,0
31/07/18,14.519227092171947,15.352121210438776,0
01/08/18,14.508945367574483,15.341347336252014,0
02/08/18,14.4988672414839,15.330659309668333,0
03/08/18,14.488988682246596,15.320056446643086,0
06/08/18,14.479305738043694,15.309538068582185,0
07/08/18,14.469814535310155,15.299103502298662,0
08/08/18,14.460511277185201,15.288752079969589,0
09/08/18,14.471194222191436,15.286451266583377,0
10/08/18,14.46186364353418,15.276200658881518,0
14/08/18,14.43291584861271,15.258063601838638,0
15/08/18,14.404541277353053,15.240071063178569,0
16/08/18,14.376728578791607,15.222221891360412,0
17/08/18,14.349466626736326,15.204514944018895,0
20/08/18,14.322744515315804,15.186949087891254,0
21/08/18,14.296551554616482,15.16952319874471,0
22/08/18,14.270877266406254,15.152236161304513,0
23/08/18,14.245711379942763,15.135086869182565,0
24/08/18,14.221043827864689,15.118074224806609,0
27/08/18,14.196864742164397,15.101197139349983,0
28/08/18,14.17316445024035,15.084454532661935,0
29/08/18,14.14993347102767,15.067845333198493,0
30/08/18,14.12716251120534,15.051368477953883,0
31/08/18,14.104842461478501,15.035022912392497,0
03/09/18,14.082964392934372,15.018807590381401,0
04/09/18,14.061519553470324,15.002721474123382,0
05/09/18,14.040499364292694,14.986763534090526,0
06/09/18,14.019895416484918,14.970932748958331,0
07/09/18,13.999699467643632,14.955228105540337,0
10/09/18,13.979903438581381,14.939648598723283,0
11/09/18,13.960499410094622,14.924193231402779,0
12/09/18,13.941479619795718,14.90886101441949,0
13/09/18,13.922836459007684,14.893650966495828,0
14/09/18,13.904562469720403,14.878562114173153,0
17/09/18,13.886650341607128,14.863593491749462,0
18/09/18,13.869092909100056,14.848744141217594,0
19/09/18,13.851883148523816,14.834013112203907,0
20/09/18,13.835014175285721,14.819399461907462,0
21/09/18,13.838281221319667,14.812870382529713,0
24/09/18,13.841483573372743,14.80639332768884,0
25/09/18,13.864424492711898,14.807936010336737,0
26/09/18,13.886911136420572,14.80946640069262,0
27/09/18,13.908952500055808,14.810984596703038,0
28/09/18,13.930557401044801,14.81249069553409,0
01/10/18,13.951734482212231,14.813984793577642,0
02/10/18,13.97249221523773,14.815466986457501,0
03/10/18,13.992838904044904,14.816937369035529,0
04/10/18,14.012782688123222,14.818396035417715,0
05/10/18,14.032331545784148,14.819843078960202,0
08/10/18,14.051493297352778,14.821278592275261,0
09/10/18,14.070275608296287,14.82270266723721,0
10/10/18,14.08868599229042,14.82411539498831,0
11/10/18,14.086929834027243,14.817548738454539,0
12/10/18,14.085208451175218,14.811034405877212,0
16/10/18,14.083521155112342,14.804571980332375,0
17/10/18,14.062065290654672,14.790192920728133,0
18/10/18,14.041034294800124,14.775928435304005,0
19/10/18,14.020419754309032,14.761777611118315,0
22/10/18,14.000213422540536,14.747739542503826,0
24/10/18,13.960605235955576,14.725845203519732,0
25/10/18,13.941583350095069,14.712093448910013,0
26/10/18,13.903136155043681,14.690483142544196,0
29/10/18,13.86545029058737,14.669045029854601,0
30/10/18,13.82851068087277,14.647777738780063,0
31/10/18,13.81210452877628,14.634648035682213,0
01/11/18,13.79602325097873,14.621622951732554,0
02/11/18,13.780260414325685,14.608701653312375,0
05/11/18,13.764809713051909,14.595883313445343,0
06/11/18,13.749664966258802,14.583167111744583,0
07/11/18,13.734820115441796,14.570552234360164,0
08/11/18,13.72026922206671,14.558037873927015,0
09/11/18,13.706006465194102,14.545623229513254,0
12/11/18,13.692026139150654,14.533307506568924,0
13/11/18,13.678322651246681,14.521089916875148,0
14/11/18,13.664890519538826,14.508969678493672,0
15/11/18,13.651724370637067,14.49694601571683,0
16/11/18,13.638818937555145,14.48501815901789,0
19/11/18,13.626169057603558,14.473185345001811,0
20/11/18,13.61376967032428,14.461446816356379,0
21/11/18,13.601615815466372,14.449801821803739,0
22/11/18,13.589702631001693,14.438249616052314,0
23/11/18,13.578025351179877,14.426789459749108,0
26/11/18,13.586381284819879,14.423388746922422,0
27/11/18,13.594571754427406,14.420015131409096,0
28/11/18,13.602600036517952,14.416668397294282,0
29/11/18,13.610469342725517,14.41334833038357,0
30/11/18,13.61818282108739,14.41005471818928,0
03/12/18,13.62574355730348,14.406787349916854,0
04/12/18,13.633154575970737,14.403546016451381,0
06/12/18,13.6404188417931,14.4003305103442,0
07/12/18,13.627737280569473,14.389172498309584,0
11/12/18,13.615306839370078,14.378103394737396,0
12/12/18,13.603122545521165,14.367122491193673,0
13/12/18,13.591179524817775,14.35622908488934,0
14/12/18,13.57947299957386,14.345422478635243,0
17/12/18,13.56799828671101,14.334701980797512,0
18/12/18,13.53694881568703,14.31609877776327,0
19/12/18,13.526316165871444,14.305611934912566,0
20/12/18,13.49609208337894,14.287240525072626,0
21/12/18,13.466466497569456,14.269015500968461,0
24/12/18,13.437427557023527,14.250935696179868,0
25/12/18,13.40896364500326,14.232999953580824,0
26/12/18,13.381063374805175,14.21520712526544,0
27/12/18,13.353715585205071,14.19755607247448,0
28/12/18,13.32690933599309,14.180045665522492,0
02/01/19,13.300633903597188,14.1626747837255,0
03/01/19,13.274878776793283,14.14544231532928,0
04/01/19,13.249633652500346,14.12834715743821,0
07/01/19,13.224888431658755,14.111388215944679,0
08/01/19,13.200633215190265,14.094564405459064,0
09/01/19,13.176858300037983,14.077874649240266,0
10/01/19,13.153554175284755,14.061317879126799,0
11/01/19,13.130711518348424,14.044893035468418,0
14/01/19,13.108321191252415,14.02859906705831,0
15/01/19,13.086374236970189,14.012434931065814,0
16/01/19,13.064861875842066,13.996399592969672,0
17/01/19,13.043775502063015,13.980492026491826,0
18/01/19,13.023106680239986,13.964711213531732,0
21/01/19,13.002847142017412,13.9490561441012,0
22/01/19,12.982988782769542,13.933525816259756,0
23/01/19,12.963523658358264,13.918119236050515,0
24/01/19,12.94444398195513,13.902835417436567,0
25/01/19,12.925742120926316,13.88767338223787,0
28/01/19,12.927212573977279,13.880600287558684,0
29/01/19,12.928653909146046,13.873583552199651,0
30/01/19,12.930066703024343,13.866622727082524,0
31/01/19,12.931451520786236,13.859717366707365,0
01/02/19,12.932808916414231,13.85286702912404,0
04/02/19,12.93413943292088,13.846071275903927,0
05/02/19,12.93544360256601,13.839329672111864,0
06/02/19,12.936721947069653,13.832641786278304,0
07/02/19,12.93797497782075,13.826007190371703,0
08/02/19,12.939203196081724,13.819425459771132,0
11/02/19,12.940407093189016,13.812896173239091,0
12/02/19,12.94158715074963,13.806418912894557,0
13/02/19,12.942743840833796,13.799993264186234,0
14/02/19,12.94387762616382,13.793618815866026,0
15/02/19,12.94498896029919,13.78729515996271,0
18/02/19,12.946078287818018,13.781021891755836,0
20/02/19,12.94714604449489,13.774798609749814,0
21/02/19,12.94819265747519,13.768624915648221,0
22/02/19,12.949218545445978,13.762500414328315,0
25/02/19,12.950224118803483,13.756424713815738,0
26/02/19,12.951209779817276,13.750397425259438,0
27/02/19,12.952175922791191,13.744418162906774,0
28/02/19,12.953122934221069,13.738486544078832,0
01/03/19,12.934249212751345,13.724634061655893,0
04/03/19,12.915749228340427,13.710891957578953,0
05/03/19,12.89761558025448,13.69725935233928,0
06/03/19,12.899642994506866,13.691703500926218,0
07/03/19,12.901630261942374,13.68619191924553,0
08/03/19,12.883776197349457,13.672756127060307,0
11/03/19,12.866275678590062,13.659427392980145,0
12/03/19,12.849121704756596,13.646204863952414,0
13/03/19,12.832307413573297,13.633087693721718,0
14/03/19,12.815826078651053,13.620075042775728,0
15/03/19,12.799671106796577,13.60716607829146,0
18/03/19,12.783836035374863,13.594359974081966,0
19/03/19,12.768314529723876,13.581655910543464,0
20/03/19,12.753100380620433,13.569053074602879,0
21/03/19,12.738187501796267,13.556550659665804,0
22/03/19,12.723569927503272,13.54414786556488,0
25/03/19,12.709241810126969,13.531843898508587,0
26/03/19,12.695197417847227,13.51963797103043,0
27/03/19,12.681431132345303,13.507529301938554,0
28/03/19,12.667937446556287,13.495517116265736,0
29/03/19,12.654710962466064,13.483600645219793,0
01/04/19,12.641746388951884,13.471779126134377,0
02/04/19,12.629038539665707,13.460051802420159,0
03/04/19,12.616582330959456,13.448417923516413,0
04/04/19,12.604372779851348,13.436876744842975,0
05/04/19,12.592405002032509,13.425427527752593,0
09/04/19,12.580674209913052,13.414069539483648,0
10/04/19,12.569175710706853,13.40280205311326,0
11/04/19,12.557904904554242,13.391624347510765,0
12/04/19,12.54685728268188,13.380535707291555,0
17/04/19,12.53602842559907,13.369535422771303,0
18/04/19,12.525414001329782,13.358622789920537,0
19/04/19,12.515009763679688,13.347797110319576,0
22/04/19,12.504811550537516,13.337057691113841,0
23/04/19,12.494815282210041,13.326403844969509,0
24/04/19,12.485016959790041,13.315834890029512,0
25/04/19,12.475412663556575,13.305350149869914,0
26/04/19,12.46599855140694,13.294948953456608,0
29/04/19,12.456770857319674,13.284630635102372,0
30/04/19,12.447725889847996,13.274394534424266,0
02/05/19,12.438860030643086,13.264239996301363,0
03/05/19,12.43016973300659,13.254166370832825,0
07/05/19,12.421651520471807,13.244173013296308,0
08/05/19,12.413301985412959,13.234259284106695,0
09/05/19,12.40511778768201,13.224424548775168,0
10/05/19,12.397095653272464,13.214668177868594,0
13/05/19,12.389232373009643,13.204989546969243,0
14/05/19,12.361722821068858,13.187419909144786,0
15/05/19,12.33475801273086,13.16999026843447,0
16/05/19,12.308327160993615,13.152699509323439,0
17/05/19,12.242815732063049,13.119610270205323,0
21/05/19,12.15879957895289,13.07881656287301,0
22/05/19,12.096249092240951,13.046316032491552,0
23/05/19,12.034937229028259,13.014074470479667,0
24/05/19,11.974839462116808,12.98208981334437,0
27/05/19,11.915931749995684,12.950360014034853,0
28/05/19,11.877992507421512,12.926851169301507,0
29/05/19,11.840804536977522,12.903529646040141,0
30/05/19,11.804352961987869,12.880393951649383,0
31/05/19,11.768623200364347,12.8574426054211,0
04/06/19,11.733600958772975,12.834674138445633,0
05/06/19,11.699272226916085,12.81208709351778,0
06/06/19,11.665623271927647,12.789680025043534,0
07/06/19,11.632640632879575,12.767451498947569,0
10/06/19,11.600311115396812,12.745400092581454,0
11/06/19,11.568621786379053,12.723524394632598,0
12/06/19,11.537559968826992,12.701823005033932,0
13/06/19,11.507113236771012,12.6802945348743,0
14/06/19,11.477269410300298,12.658937606309564,0
17/06/19,11.448016550690392,12.637750852474428,0
18/06/19,11.419342955627215,12.61673291739495,0
19/06/19,11.391237154525687,12.595882455901764,0
20/06/19,11.36368790394102,12.575198133543982,0
21/06/19,11.3366841830709,12.55467862650379,0
24/06/19,11.310215189346724,12.534322621511729,0
25/06/19,11.284270334112136,12.514128815762632,0
26/06/19,11.258839238387143,12.494095916832253,0
27/06/19,11.23391172871611,12.474222642594546,0
28/06/19,11.209477833097969,12.45450772113961,0
01/07/19,11.185527776997018,12.434949890692282,0
02/07/19,11.162051979432722,12.415547899531388,0
03/07/19,11.139041049146925,12.396300505909624,0
04/07/19,11.116485780846986,12.377206477974088,0
05/07/19,11.094377151523284,12.358264593687442,0
08/07/19,11.072706316839655,12.339473640749693,0
09/07/19,11.051464607595305,12.320832416520611,0
10/07/19,11.030643526256783,12.302339727942758,0
11/07/19,11.010234743558629,12.283994391465127,0
12/07/19,10.990230095171329,12.265795232967397,0
15/07/19,10.970621578435264,12.247741087684789,0
17/07/19,10.951401349159317,12.229830800133515,0
18/07/19,10.932561718482894,12.212063224036834,0
19/07/19,10.914095149800065,12.19443722225168,0
22/07/19,10.895994255744618,12.17695166669589,0
23/07/19,10.878251795234824,12.159605438276003,0
24/07/19,10.86086067057671,12.142397426815636,0
25/07/19,10.843813924624696,12.125326530984436,0
26/07/19,10.827104737998464,12.108391658227589,0
30/07/19,10.81072642635493,12.091591724695895,0
31/07/19,10.794672437714238,12.074925655176406,0
01/08/19,10.778936349838709,12.058392383023605,0
02/08/19,10.743709887465664,12.034022722601106,0
05/08/19,10.709180978802978,12.009847242739744,0
06/08/19,10.675335810905889,11.985864396184049,0
07/08/19,10.642160844353297,11.962072648007283,0
08/08/19,10.609642807831449,11.938470475513201,0
09/08/19,10.577768692824886,11.915056368138593,0
13/08/19,10.546525748412511,11.891828827356612,0
14/08/19,10.51590147616672,11.868786366580862,0
15/08/19,10.485883625153518,11.845927511070258,0
16/08/19,10.456460187031666,11.823250797834639,0
19/08/19,10.42761939124886,11.800754775541137,0
20/08/19,10.399349700333042,11.778438004421288,0
21/08/19,10.371639805276942,11.756299056178888,0
22/08/19,10.344478621014032,11.734336513898578,0
23/08/19,10.31785528198405,11.712548971955163,0
26/08/19,10.291759137786347,11.690935035923648,0
27/08/19,10.24637776872127,11.661525194999953,0
28/08/19,10.20189504062778,11.6323496954382,0
29/08/19,10.178095138833172,11.611374797466581,0
30/08/19,10.154766522222614,11.590567030156091,0
02/09/19,10.131899858416226,11.569925061788313,0
03/09/19,10.109485999833726,11.549447571256135,0
04/09/19,10.087515980035038,11.529133247979193,0
05/09/19,10.065981010133354,11.508980791819996,0
06/09/19,10.044872475279229,11.488988913000712,0
09/09/19,10.024181931214294,11.469156332020628,0
10/09/19,10.003901100893218,11.449481779574247,0
11/09/19,9.98402187117256,11.42996399647007,0
12/09/19,9.964536289565183,11.41060173354999,0
13/09/19,9.945436561058942,11.391393751609353,0
16/09/19,9.92671504499837,11.372338821317646,0
17/09/19,9.908364252028104,11.353435723139816,0
18/09/19,9.890376841096854,11.334683247258223,0
19/09/19,9.872745616520678,11.316080193495209,0
20/09/19,9.855463525104428,11.297625371236283,0
23/09/19,9.838523653320182,11.279317599353922,0
24/09/19,9.821919224541565,11.261155706131978,0
25/09/19,9.805643596332821,11.243138529190688,0
26/09/19,9.789690257791577,11.225264915412277,0
27/09/19,9.774052826944219,11.20753372086716,0
30/09/19,9.758725048192849,11.189943810740727,0
01/10/19,9.723898809614772,11.164525931770681,0
02/10/19,9.68976219952339,11.139310585700795,0
03/10/19,9.656301561909066,11.114296158723098,0
04/10/19,9.623503511178193,11.08948104988865,0
07/10/19,9.591354926798427,11.064863671005076,0
08/10/19,9.579644928247964,11.048410574024956,0
09/10/19,9.548364830658896,11.02412044992914,0
10/10/19,9.517704140942879,11.000023872638867,0
11/10/19,9.487650593597476,10.976119299948516,0
15/10/19,9.458192166001487,10.952405201940959,0
16/10/19,9.429317073605418,10.928880060889636,0
17/10/19,9.401013765217192,10.905542371161431,0
18/10/19,9.373270918381207,10.882390639120304,0
21/10/19,9.346077434848906,10.859423383031697,0
22/10/19,9.299620455941007,10.82867100547766,0
24/10/19,9.254083417209502,10.798163666788595,0
25/10/19,9.209448102017236,10.767899414463587,0
28/10/19,9.165696654452537,10.737876311559495,0
29/10/19,9.12281157218615,10.70809243656699,0
30/10/19,9.080775699469593,10.67854588328757,0
31/10/19,9.039572220272175,10.649234760711574,0
01/11/19,9.018986631751934,10.628125320387179,0
04/11/19,8.998808678647936,10.607184082774532,0
05/11/19,8.959228308773719,10.578441580122943,0
06/11/19,8.940233688798001,10.557896228886904,0
07/11/19,8.921615199910912,10.537514585628841,0
08/11/19,8.903365393972082,10.517295345902715,0
11/11/19,8.885476970329071,10.497237215656478,0
12/11/19,8.848140792698793,10.469370783659215,0
13/11/19,8.811543945318618,10.4417263949448,0
14/11/19,8.775671787985576,10.414302280244044,0
15/11/19,8.740509970401703,10.387096684385526,0
18/11/19,8.706044426433353,10.36010786618325,0
19/11/19,8.672261368484177,10.333334098325217,0
20/11/19,8.63914728197954,10.306773667262865,0
21/11/19,8.586886939762122,10.272456745611368,0
22/11/19,8.535661455806437,10.238413265566656,0
25/11/19,8.505252318067695,10.212609175801186,0
26/11/19,8.475445341472295,10.18701069631273,0
27/11/19,8.4462286020372,10.161616188772388,0
28/11/19,8.39778843169983,10.128455900415636,0
29/11/19,8.350307472656269,10.095559837464117,0
02/12/19,8.30376673062347,10.062925894536116,0
03/12/19,8.277949567640828,10.038520110515908,0
04/12/19,8.232841655410317,10.006340667404228,0
06/12/19,8.188626969164568,9.97441763419782,0
09/12/19,8.14528782126032,9.94274896778987,0
11/12/19,8.10280687430467,9.911332641353297,0
12/12/19,8.06116713421943,9.88016664421104,0
13/12/19,8.040153923640826,9.857217109197405,0
16/12/19,7.999754836043978,9.826482311514557,0
17/12/19,7.960155730379741,9.795992412618027,0
18/12/19,7.921340765421727,9.765745461123062,0
19/12/19,7.903096393829217,9.743707648683834,0
20/12/19,7.865411316723688,9.713877308853684,0
23/12/19,7.828472478768764,9.684284660974372,0
24/12/19,7.792265102951561,9.65492781108613,0
25/12/19,7.756774704873312,9.625804880320503,0
26/12/19,7.7219870869550284,9.596914004780102,0
27/12/19,7.6878883327578995,9.568253335419303,0
30/12/19,7.654464801416159,9.539821037925922,0
02/01/20,7.621703122180196,9.511615292603803,0
03/01/20,7.589590189067716,9.483634294256362,0
06/01/20,7.5581131556208305,9.455876252071052,0
07/01/20,7.527259429766953,9.42833938950475,0
08/01/20,7.497016668781469,9.40102194417005,0
09/01/20,7.467372774350152,9.37392216772248,0
10/01/20,7.438315887729357,9.347038325748596,0
13/01/20,7.409834385002043,9.320368697654981,0
14/01/20,7.381916872427745,9.293911576558129,0
15/01/20,7.354552181884621,9.267665269175195,0
16/01/20,7.3277293664017575,9.241628095715631,0
17/01/20,7.30143769577994,9.215798389773674,0
20/01/20,7.275666652299149,9.190174498221692,0
