date,indy1,indy2,check
03/01/18,0,0,0
04/01/18,0,0,0
05/01/18,0,0,0
08/01/18,0,0,0
09/01/18,0,0,0
10/01/18,0,0,0
11/01/18,0,0,0
12/01/18,0,0,0
15/01/18,0,0,0
16/01/18,2,0,0
17/01/18,2,0,0
18/01/18,2,0,0
19/01/18,2,0,0
22/01/18,2,0,0
23/01/18,2,0,0
24/01/18,2,0,0
25/01/18,2,0,0
26/01/18,2,0,0
29/01/18,2,0,0
30/01/18,2,0,0
31/01/18,2,0,0
01/02/18,2,0,0
02/02/18,2,0,0
05/02/18,2,0,0
06/02/18,2,2,0
07/02/18,2,2,0
08/02/18,2,2,0
09/02/18,2,2,0
12/02/18,2,2,0
13/02/18,2,2,0
14/02/18,2,2,0
15/02/18,2,2,0
16/02/18,2,2,0
19/02/18,2,2,0
20/02/18,2,2,0
21/02/18,2,2,0
22/02/18,2,2,0
23/02/18,2,2,0
26/02/18,2,2,0
27/02/18,2,2,0
28/02/18,2,2,0
02/03/18,2,2,0
05/03/18,2,2,0
06/03/18,2,2,0
07/03/18,2,2,0
08/03/18,2,2,0
09/03/18,2,2,0
12/03/18,2,2,0
13/03/18,2,2,0
14/03/18,2,2,0
15/03/18,2,2,0
16/03/18,2,2,0
19/03/18,2,2,0
20/03/18,2,2,0
21/03/18,2,2,0
22/03/18,2,2,0
23/03/18,2,2,0
26/03/18,2,2,0
27/03/18,2,2,0
28/03/18,2,2,0
29/03/18,2,2,0
30/03/18,2,2,0
02/04/18,2,2,0
03/04/18,2,2,0
04/04/18,2,2,0
05/04/18,2,2,0
09/04/18,2,2,0
10/04/18,2,2,0
11/04/18,2,2,0
12/04/18,2,2,0
17/04/18,2,2,0
18/04/18,2,2,0
19/04/18,2,2,0
20/04/18,2,2,0
23/04/18,2,2,0
24/04/18,2,2,0
25/04/18,2,2,0
26/04/18,2,2,0
27/04/18,2,2,0
30/04/18,2,2,0
02/05/18,2,2,0
03/05/18,2,2,0
04/05/18,2,2,0
07/05/18,2,2,0
08/05/18,2,2,0
09/05/18,2,2,0
10/05/18,2,2,0
11/05/18,2,2,0
14/05/18,2,2,0
15/05/18,2,2,0
16/05/18,2,2,0
17/05/18,2,2,0
18/05/18,2,2,0
21/05/18,2,2,0
22/05/18,2,2,0
23/05/18,2,2,0
24/05/18,2,2,0
25/05/18,2,2,0
28/05/18,2,2,0
30/05/18,2,2,0
31/05/18,2,2,0
01/06/18,2,2,0
04/06/18,2,2,0
05/06/18,2,2,0
06/06/18,2,2,0
07/06/18,2,2,0
08/06/18,2,2,0
11/06/18,2,2,0
12/06/18,2,2,0
13/06/18,2,2,0
14/06/18,2,2,0
15/06/18,2,2,0
18/06/18,2,2,0
19/06/18,2,2,0
20/06/18,2,2,0
21/06/18,2,2,0
22/06/18,2,2,0
25/06/18,2,2,0
26/06/18,2,2,0
27/06/18,2,2,0
28/06/18,2,2,0
29/06/18,2,2,0
02/07/18,2,2,0
03/07/18,2,2,0
04/07/18,2,2,0
05/07/18,2,2,0
06/07/18,2,2,0
09/07/18,2,2,0
10/07/18,2,2,0
11/07/18,2,2,0
12/07/18,2,2,0
13/07/18,2,2,0
16/07/18,2,2,0
17/07/18,2,2,0
18/07/18,2,2,0
19/07/18,2,2,0
20/07/18,2,2,0
23/07/18,1.9801980198019802,1.9920318725099602,0
24/07/18,1.980590138221743,1.9920953635656578,0
25/07/18,1.9809744919203223,1.992158348716529,0
26/07/18,1.9813512346545734,1.9922208319936883,0
31/07/18,1.981720517136661,1.992282817396129,0
01/08/18,1.9820824870943508,1.9923443088909805,0
02/08/18,1.982437289330106,1.9924053104137616,0
03/08/18,1.982785065779015,1.992465825868632,0
06/08/18,1.9831259555655691,1.992525859128643,0
07/08/18,1.9834600950593202,1.9925854140359844,0
08/08/18,1.9837876179294327,1.9926444944022317,0
09/08/18,1.9841086551981568,1.9927031040085883,0
10/08/18,1.9844233352932428,1.9927612466061295,0
14/08/18,1.9847317840993173,1.992818925916041,0
15/08/18,1.9850341250082417,1.9928761456298574,0
16/08/18,1.9853304789684745,1.9929329094096992,0
17/08/18,1.9856209645334553,1.9929892208885065,0
20/08/18,1.9661037177110106,1.9850769561802315,0
21/08/18,1.9469729510236637,1.977227737405887,0
22/08/18,1.9282210113994327,1.9694410622074339,0
23/08/18,1.9098403973123153,1.9617164322296854,0
24/08/18,1.8918237557813784,1.954053353088413,0
27/08/18,1.8939658596272917,1.9544194618287443,0
28/08/18,1.8960655455752662,1.9547826533679575,0
29/08/18,1.878321673385657,1.9471748234606432,0
30/08/18,1.8807311451998023,1.9475957412019926,0
31/08/18,1.8830929047007963,1.9480133050171162,0
03/09/18,1.8854078966869192,1.9484275416305257,0
04/09/18,1.8876770472475743,1.9488384775537884,0
05/09/18,1.870099283935741,1.9412780115971844,0
06/09/18,1.8528695951449343,1.9337777883972067,0
07/09/18,1.835981088310381,1.9263373279318903,0
10/09/18,1.81942700735374,1.9189561540041462,0
11/09/18,1.8032007299803985,1.9116337942112844,0
12/09/18,1.7872957650302916,1.90436977991478,0
13/09/18,1.771705749881177,1.8971636462102799,0
14/09/18,1.7762264281013518,1.8979830593878873,0
17/09/18,1.780657587940929,1.8987959433768284,0
18/09/18,1.7850010020411087,1.899602350202511,0
19/09/18,1.7892584079412848,1.9004023314757978,0
20/09/18,1.7934315087741306,1.9011959383963095,0
21/09/18,1.7975219739469201,1.9019832217557016,0
24/09/18,1.8015314398093574,1.902764231940915,0
25/09/18,1.805461510308182,1.9035390189374017,0
26/09/18,1.809313757628812,1.904307632332323,0
27/09/18,1.813089722824281,1.9050701213177228,0
28/09/18,1.816790916431721,1.9058265346936771,0
01/10/18,1.8204188190766375,1.9065769208714167,0
02/10/18,1.8239748820652188,1.9073213278764254,0
03/10/18,1.8274605279649174,1.9080598033515137,0
04/10/18,1.830877151173533,1.9087923945598682,0
05/10/18,1.8342261184770272,1.9095191483880765,0
08/10/18,1.837508769596294,1.9102401113491276,0
09/10/18,1.8407264177231,1.9109553295853896,0
10/10/18,1.8438803500454148,1.9116648488715617,0
11/10/18,1.8469718282623373,1.9123687146176052,0
12/10/18,1.8500020890888256,1.9130669718716482,0
16/10/18,1.852972344750433,1.9137596653228701,0
17/10/18,1.8558837834682462,1.9144468393043612,0
18/10/18,1.8587375699342215,1.91512853779596,0
19/10/18,1.8615348457771081,1.915804804427068,0
22/10/18,1.8642767300191456,1.9164756824794418,0
24/10/18,1.8669643195237169,1.9171412148899643,0
25/10/18,1.8695986894341383,1.9178014442533908,0
26/10/18,1.8721808936037594,1.918456412825077,0
29/10/18,1.8747119650175463,1.9191061625236818,0
30/10/18,1.8771929162053176,1.9197507349338516,0
31/10/18,1.8796247396467964,1.9203901713088807,0
01/11/18,1.8820084081686421,1.9210245125733518,0
02/11/18,1.8843448753336196,1.9216537993257554,0
05/11/18,1.8866350758220627,1.9222780718410881,0
06/11/18,1.8888799258057842,1.92289737007343,0
07/11/18,1.8910803233145805,1.9235117336585021,0
08/11/18,1.89323714859548,1.9241212019162033,0
09/11/18,1.8953512644648765,1.924725813853126,0
12/11/18,1.8974235166536908,1.9253256081650534,0
13/11/18,1.8994547341456969,1.9259206232394355,0
14/11/18,1.9014457295091485,1.9265108971578464,0
15/11/18,1.9033972992218386,1.9270964676984212,0
16/11/18,1.905310223989723,1.9276773723382745,0
19/11/18,1.9071852690592335,1.9282536482558978,0
20/11/18,1.9090231845234071,1.92882533233354,0
21/11/18,1.9108247056219536,1.9293924611595676,0
22/11/18,1.9125905530353802,1.9299550710308062,0
23/11/18,1.9143214331732934,1.9305131979548635,0
26/11/18,1.9160180384569905,1.9310668776524345,0
27/11/18,1.917681047596456,1.9316161455595864,0
28/11/18,1.9193111258618727,1.932161036830028,0
29/11/18,1.9209089253497564,1.9327015863373584,0
30/11/18,1.9224750852438206,1.9332378286772998,0
03/12/18,1.9240102320706756,1.933769798169911,0
04/12/18,1.925514979950464,1.934297528861784,0
06/12/18,1.926989930842534,1.934821054528224,0
07/12/18,1.9284356747862461,1.9353404086754096,0
11/12/18,1.9298527901370135,1.9358556245425378,0
12/12/18,1.9312418437976666,1.9363667351039517,0
13/12/18,1.9326033914452376,1.9368737730712509,0
14/12/18,1.9339379777532528,1.9373767708953844,0
17/12/18,1.935246136609624,1.937875760768728,0
18/12/18,1.9365283913302256,1.9383707746271446,0
19/12/18,1.9377852548682408,1.9388618441520278,0
20/12/18,1.9390172300193649,1.9393490007723304,0
21/12/18,1.9402248096229417,1.939832275666575,1
24/12/18,1.941408476759121,1.9403116997648493,1
25/12/18,1.9425687049421088,1.9407873037507868,1
26/12/18,1.9437059583095917,1.9412591180635295,1
27/12/18,1.9250187116103918,1.9337590454096367,0
28/12/18,1.9265034895983049,1.9342868617808746,0
02/01/19,1.9279588660419027,1.9348104724439752,0
03/01/19,1.909583442951964,1.9273617834205172,0
04/01/19,1.9113738698242024,1.9279405739908717,0
07/01/19,1.893326862500951,1.9205466251941317,0
08/01/19,1.8954392018573678,1.9211797198140987,0
09/01/19,1.8777077325136575,1.9138396423653807,0
10/01/19,1.880129361572793,1.9145261790796009,0
11/01/19,1.8825030375812526,1.9152072453817555,0
14/01/19,1.8650277299063762,1.9079147573707456,0
15/01/19,1.8478984679280321,1.9006803768339269,0
16/01/19,1.8509103794542097,1.9014717682535769,0
17/01/19,1.8538626491679877,1.9022568537655007,0
18/01/19,1.8369544778973346,1.895067556125935,0
21/01/19,1.8203811218993675,1.887935543726525,0
22/01/19,1.804135951168687,1.8808603601111742,0
23/01/19,1.8080144471851487,1.8818096799509259,0
24/01/19,1.8118161413002942,1.8827514354891655,0
25/01/19,1.8155425543438528,1.883685686999212,0
28/01/19,1.8191951770301131,1.8846124942741187,0
29/01/19,1.8029734903562495,1.8775637891404604,0
30/01/19,1.8068750053987,1.8785393764779865,0
31/01/19,1.8106992627175376,1.8795071902112297,0
01/02/19,1.8144477921686755,1.8804672922812598,0
04/02/19,1.8181220933138502,1.8814197441355924,0
05/02/19,1.8217236360205067,1.8823646067321216,0
06/02/19,1.8252538610498037,1.883301940543021,0
07/02/19,1.8287141806329759,1.8842318055586145,0
08/02/19,1.8321059790362832,1.885154261291215,0
11/02/19,1.8354306131147726,1.8860693667789346,0
12/02/19,1.8386894128550741,1.886977180589461,0
13/02/19,1.8418836819074489,1.887877760823808,0
14/02/19,1.8450146981073015,1.8887711651200325,0
15/02/19,1.8480837139863648,1.8896574506569246,0
18/02/19,1.8510919572737636,1.8905366741576661,0
20/02/19,1.8540406313871545,1.8914088918934617,0
21/02/19,1.8569309159141416,1.8922741596871393,0
22/02/19,1.8597639670841586,1.893132532916724,0
25/02/19,1.8625409182310069,1.893984066518981,0
26/02/19,1.8652628802462345,1.8948288149929335,0
27/02/19,1.8679309420235368,1.8956668324033483,0
28/02/19,1.8705461708943578,1.896498172384198,0
01/03/19,1.8731096130548657,1.897322888142093,0
04/03/19,1.8756222939844722,1.898141032459686,0
05/03/19,1.8780852188560668,1.898952657699051,0
06/03/19,1.880499372938125,1.8997578158050346,0
07/03/19,1.8828657219888552,1.9005565583085802,0
08/03/19,1.8851852126425412,1.9013489363300258,0
11/03/19,1.8874587727882335,1.902135000582376,0
12/03/19,1.869885331742922,1.8949466738845084,0
13/03/19,1.8526598796292009,1.8878156246902096,0
14/03/19,1.8357755255771375,1.8807413966050286,0
15/03/19,1.8192255151696695,1.873723536871124,0
18/03/19,1.8030032277405672,1.8667615963382864,0
19/03/19,1.7871021737259025,1.8598551294351926,0
20/03/19,1.771515992067964,1.8530036941408883,0
21/03/19,1.7562384476705786,1.8462068519564987,0
22/03/19,1.7412634289048246,1.839464167877164,0
25/03/19,1.7265849451641349,1.8327752103641985,0
26/03/19,1.7121971244678154,1.8261395513174719,0
27/03/19,1.698094211112017,1.8195567660480099,0
28/03/19,1.6842705633672246,1.8130264332508146,0
29/03/19,1.6707206512213388,1.8065481349778998,0
01/04/19,1.6574390541674509,1.800121456611542,0
02/04/19,1.644420459035422,1.7937459868377448,0
03/04/19,1.6316596578664038,1.787421317619914,0
04/04/19,1.6191515458294452,1.7811470441727435,0
05/04/19,1.6068911191793571,1.7749227649363073,0
09/04/19,1.5948734732550134,1.7687480815503607,0
10/04/19,1.5830938005172903,1.7626225988288438,0
11/04/19,1.5715473886258589,1.75654592473459,0
12/04/19,1.5602296185540596,1.7505176703542347,0
17/04/19,1.5491359627411079,1.7445374498733244,0
18/04/19,1.538261983280888,1.7386048805516245,0
19/04/19,1.527603330146613,1.7327195826986235,0
22/04/19,1.5171557394506405,1.726881179649232,0
23/04/19,1.5069150317387467,1.7210892977396763,0
24/04/19,1.4968771103181775,1.7153435662835832,0
25/04/19,1.4870379596188077,1.709643617548256,0
26/04/19,1.477393643586752,1.7039890867311382,0
29/04/19,1.4679403041097867,1.6983796119364678,0
30/04/19,1.4586741594739494,1.6928148341521134,0
02/05/19,1.449591502850703,1.6872943972265986,0
03/05/19,1.4406887008140554,1.681817947846307,0
07/05/19,1.4319621918870444,1.6763851355128703,0
08/05/19,1.423408485117004,1.670995612520736,0
09/05/19,1.4150241586790435,1.6656490339349133,0
10/05/19,1.4068058585071812,1.660345057568898,0
13/05/19,1.3987502969525836,1.6550833439627715,0
14/05/19,1.390854251468374,1.6498635563614745,0
15/05/19,1.3831145633204853,1.6446853606932557,0
16/05/19,1.3755281363240401,1.6395484255482895,0
17/05/19,1.3680919356047523,1.6344524221574666,0
21/05/19,1.3608029863848563,1.6293970243713514,0
22/05/19,1.3536583727930769,1.6243819086393088,0
23/05/19,1.3466552366981646,1.6194067539887964,0
24/05/19,1.3397907765655277,1.614471242004822,0
27/05/19,1.3330622463365074,1.6095750568095644,0
28/05/19,1.326466954329844,1.6047178850421575,0
29/05/19,1.3200022621648966,1.5998994158386344,0
30/05/19,1.3136655837061857,1.5951193408120317,0
31/05/19,1.3074543840288355,1.590377354032653,0
04/06/19,1.301366178404502,1.5856731520084884,0
05/06/19,1.2953985313073832,1.5810064336657912,0
06/06/19,1.2895490554399103,1.5763769003298087,0
07/06/19,1.2838154107777338,1.5717842557056667,0
10/06/19,1.2781953036336202,1.5672282058594065,0
11/06/19,1.2726864857398852,1.5627084591991722,0
12/06/19,1.2672867533489964,1.5582247264565494,0
13/06/19,1.2619939463519867,1.553776720668051,0
14/06/19,1.2568059474143236,1.5493641571567518,0
17/06/19,1.2517206811288915,1.5449867535140684,0
18/06/19,1.246736113185745,1.5406442295816853,0
19/06/19,1.2418502495583046,1.536336307433624,0
20/06/19,1.237061135705665,1.5320627113584557,0
21/06/19,1.2323668557907013,1.5278231678416554,0
24/06/19,1.2277655319136578,1.5236174055480964,0
25/06/19,1.223255323360912,1.5194451553046853,0
26/06/19,1.2188344258686168,1.515306150083134,0
27/06/19,1.2145010709009214,1.51120012498287,0
28/06/19,1.2102535249424873,1.5071268172140821,0
01/07/19,1.2060900888050123,1.5030859660809022,0
02/07/19,1.2020090969474873,1.4990773129647197,0
03/07/19,1.1980089168099133,1.4951006013076302,0
04/07/19,1.194087948160212,1.4911555765960156,0
05/07/19,1.1902446224540693,1.4872419863442545,0
08/07/19,1.186477402207454,1.4833595800785633,0
09/07/19,1.1827847803815639,1.4795081093209652,0
10/07/19,1.1791652797799488,1.4756873275733877,0
11/07/19,1.1756174524575735,1.4718969903018866,0
12/07/19,1.172139879141582,1.468136854920995,0
15/07/19,1.1687311686635309,1.4644066807781981,0
17/07/19,1.165389957402867,1.4607062291385313,0
18/07/19,1.162114908741424,1.4570352631693,0
19/07/19,1.1589047125287226,1.4533935479249231,0
22/07/19,1.1557580845578568,1.4497808503318959,0
23/07/19,1.1526737660517605,1.4461969391738727,0
24/07/19,1.1496505231596466,1.4426415850768697,0
25/07/19,1.1466871464634159,1.4391145604945839,0
26/07/19,1.1437824504938432,1.4356156396938302,0
30/07/19,1.1409352732563414,1.4321445987400945,0
31/07/19,1.1381444757661168,1.4287012154832013,0
01/08/19,1.1354089415925304,1.4252852695430962,0
02/08/19,1.1327275764124802,1.4218965422957408,0
05/08/19,1.130099307572629,1.4185348168591214,0
06/08/19,1.1275230836602999,1.4151998780793675,0
07/08/19,1.124997874082868,1.4118915125169822,0
08/08/19,1.1225226686554846,1.4086095084331816,0
09/08/19,1.1200964771969601,1.4053536557763435,0
13/08/19,1.117718329133654,1.4021237461685638,0
14/08/19,1.1153872731112056,1.3989195728923203,0
15/08/19,1.113102376613954,1.395740930877242,0
16/08/19,1.1108627255918955,1.392587616686985,0
19/08/19,1.1086674240950263,1.3894594285062123,0
20/08/19,1.1065155939149267,1.3863561661276766,0
21/08/19,1.1044063742334431,1.3832776309394084,0
22/08/19,1.1023389212783254,1.3802236259120026,0
23/08/19,1.1003124079856854,1.3771939555860107,0
26/08/19,1.0983260236691372,1.3741884260594288,0
27/08/19,1.096378973695491,1.3712068449752899,0
28/08/19,1.0944704791668673,1.3682490215093512,0
29/08/19,1.0925997766091076,1.3653147663578824,0
30/08/19,1.090766117666353,1.3624038917255488,0
02/09/19,1.0889687688016727,1.359516211313393,0
03/09/19,1.0872070110036198,1.3566515403069117,0
04/09/19,1.0854801394985976,1.3538096953642271,0
05/09/19,1.0837874634689224,1.3509904946043527,0
06/09/19,1.0821283057764686,1.3481937575955532,0
09/09/19,1.080502002691786,1.3454193053437957,0
10/09/19,1.0789079036285822,1.3426669602812953,0
11/09/19,1.0773453708834617,1.3399365462551496,0
12/09/19,1.075813779380819,1.3372278885160647,0
13/09/19,1.074312516422783,1.3345408137071717,0
16/09/19,1.072840981444114,1.3318751498529313,0
17/09/19,1.0713985857719532,1.3292307263481271,0
18/09/19,1.0699847523903303,1.3266073739469468,0
19/09/19,1.0685989157093336,1.3240049247521504,0
20/09/19,1.0672405213388518,1.3214232122043246,0
23/09/19,1.0659090258667954,1.3188620710712224,0
24/09/19,1.0646038966417104,1.3163213374371887,0
25/09/19,1.0633246115596964,1.3138008486926693,0
26/09/19,1.062070658855544,1.3113004435238034,0
27/09/19,1.0608415368980084,1.3088199619020997,0
30/09/19,1.059636753989137,1.3063592450741945,0
01/10/19,1.0584558281675698,1.303918135551691,0
02/10/19,1.0572982870157368,1.3014964771010797,0
03/10/19,1.0561636674708708,1.2990941147337405,0
04/10/19,1.0550515156397644,1.2967108946960215,0
07/10/19,1.0539613866171949,1.2943466644594,0
08/10/19,1.0528928443079435,1.2920012727107195,0
09/10/19,1.0518454612523407,1.2896745693425067,0
10/10/19,1.0508188184552647,1.2873664054433631,0
11/10/19,1.0498125052185268,1.285076633288436,0
15/10/19,1.0488261189765757,1.2828051063299624,0
16/10/19,1.0478592651354555,1.280551679187891,0
17/10/19,1.0469115569149514,1.2783162076405772,0
18/10/19,1.0459826151938634,1.2760985486155527,0
21/10/19,1.0450720683583414,1.273898560180369,0
22/10/19,1.0441795521532258,1.2717161015335134,0
24/10/19,1.0433047095363301,1.2695510329953978,0
25/10/19,1.0424471905356107,1.2674032159994186,0
28/10/19,1.041606652109163,1.2652725130830886,0
29/10/19,1.0407827580079914,1.2631587878792394,0
30/10/19,1.0399751786414966,1.2610619051072933,0
31/10/19,1.0391835909456253,1.2589817305646058,0
01/11/19,1.0384076782536327,1.2569181311178759,0
04/11/19,1.0376471301694024,1.2548709746946258,0
05/11/19,1.0369016424432755,1.2528401302747483,0
06/11/19,1.0361709168503395,1.250825467882121,0
07/11/19,1.0354546610711248,1.2488268585762872,0
08/11/19,1.034752588574667,1.2468441744442051,0
11/11/19,1.0340644185038814,1.24487728859206,0
12/11/19,1.0333898755632105,1.2429260751371431,0
13/11/19,1.0327286899084935,1.2409904091997954,0
14/11/19,1.0320805970390183,1.2390701668954145,0
15/11/19,1.031445337691711,1.2371652253265266,0
18/11/19,1.0308226577374198,1.235275462574921,0
19/11/19,1.0302123080792531,1.233400757693846,0
20/11/19,1.0296140445529314,1.2315409907002695,0
21/11/19,1.029027627829111,1.2296960425671997,0
22/11/19,1.0284528233176435,1.2278657952160665,0
25/11/19,1.0278894010737298,1.2260501315091656,0
26/11/19,1.027337135705933,1.2242489352421604,0
27/11/19,1.0267958062860136,1.222462091136645,0
28/11/19,1.026265196260548,1.2206894848327674,0
29/11/19,1.0257450933642995,1.2189310028819087,0
02/12/19,1.0252352895353034,1.2171865327394233,0
03/12/19,1.024735580831634,1.215455962757436,0
04/12/19,1.0242457673498195,1.2137391821776955,0
06/12/19,1.0237656531448727,1.2120360811244868,0
09/12/19,1.0232950461519048,1.2103465505975985,0
11/12/19,1.0228337581092928,1.2086704824653467,0
12/12/19,1.0223816044833662,1.2070077694576546,0
13/12/19,1.0219384043945867,1.2053583051591872,0
16/12/19,1.0215039805451889,1.2037219840025404,0
17/12/19,1.0210781591482545,1.2020987012614843,0
18/12/19,1.02066076985819,1.2004883530442614,0
19/12/19,1.0202516457025823,1.1988908362869366,0
20/12/19,1.0198506230154025,1.1973060487468017,0
23/12/19,1.0194575413715332,1.195733888995831,0
24/12/19,1.019072243522592,1.194174256414191,0
25/12/19,1.018694575334026,1.192627051183799,0
26/12/19,1.0183243857234512,1.191092174281936,0
27/12/19,1.0179615266002144,1.1895695274749087,0
30/12/19,1.0176058528061507,1.1880590133117621,0
02/01/20,1.017257222057514,1.1865605351180428,0
03/01/20,1.0169154948880583,1.1850739969896122,0
06/01/20,1.0165805345932453,1.1835993037865078,0
07/01/20,1.0162522071755573,1.1821363611268543,0
08/01/20,1.0159303812908929,1.1806850753808236,0
09/01/20,1.0156149281960236,1.1792453536646417,0
10/01/20,1.0153057216970924,1.1778171038346446,0
13/01/20,1.0150026380991302,1.1764002344813804,0
14/01/20,1.0147055561565732,1.1749946549237598,0
15/01/20,1.01441435702476,1.1736002752032517,0
16/01/20,1.0141289242123883,1.1722170060781263,0
17/01/20,1.0138491435349153,1.1708447590177429,0
20/01/20,1.0135749030688774,1.1694834461968844,0
21/01/20,1.0133060931071174,1.1681329804901364,0
22/01/20,1.0130426061148972,1.1667932754663106,0
23/01/20,1.0127843366868794,1.1654642453829138,0
24/01/20,1.012531181504961,1.1641458051806595,0
27/01/20,1.012283039296942,1.1628378704780247,0
28/01/20,1.0120398107960125,1.1615403575658492,0
29/01/20,1.011801398701042,1.1602531834019778,0
30/01/20,1.011567707637655,1.1589762656059461,0
31/01/20,1.0113386441200778,1.1577095224537075,0
03/02/20,1.0111141165137396,1.156452872872403,0
04/02/20,1.010894034998616,1.1552062364351727,0
05/02/20,1.010678311533297,1.153969533356008,0
06/02/20,1.0104668598197664,1.1527426844846453,0
07/02/20,1.01025959526888,1.1515256113015007,0
11/02/20,1.010056434966526,1.150318235912644,0
12/02/20,1.009857297640456,1.1491204810448141,0
13/02/20,1.0096621036277738,1.147932270040473,0
14/02/20,1.0094707748430654,1.1467535268528997,0
17/02/20,1.009283234747163,1.1455841760413228,0
18/02/20,1.0090994083165261,1.144424142766093,0
19/02/20,1.0089192220132286,1.1432733527838932,0
20/02/20,1.008742603755541,1.1421317324429856,0
21/02/20,1.0085694828890945,1.1409992086784997,0
24/02/20,1.0083997901586175,1.1398757090077547,0
25/02/20,1.008233457680229,1.1387611615256212,0
26/02/20,1.008070418914284,1.1376554948999191,0
27/02/20,1.0079106086387535,1.136558638366852,0
28/02/20,1.0077539629231347,1.1354705217264787,0
02/03/20,1.0076004191028747,1.1343910753382198,0
03/03/20,1.0074499157543029,1.1333202301164014,0
04/03/20,1.0073023926700593,1.1322579175258325,0
05/03/20,1.0071577908350087,1.1312040695774195,0
