date,open,high,low,close
03/01/18,6.1,6.15,6,6
04/01/18,6,6.1,6,6.1
05/01/18,6.1,6.15,6.05,6.1
08/01/18,6.1,6.15,6,6
09/01/18,6,6,6,6
10/01/18,6,6.05,5.85,5.9
11/01/18,5.9,5.95,5.85,5.85
12/01/18,5.9,5.95,5.85,5.85
15/01/18,5.9,5.9,5.6,5.7
16/01/18,5.7,5.75,5.65,5.7
17/01/18,5.75,5.85,5.7,5.75
18/01/18,5.8,5.8,5.7,5.75
19/01/18,5.7,5.8,5.65,5.8
22/01/18,5.8,5.9,5.75,5.9
23/01/18,5.9,5.95,5.8,5.8
24/01/18,5.8,5.9,5.8,5.85
25/01/18,5.85,5.9,5.75,5.8
26/01/18,5.8,5.8,5.7,5.75
29/01/18,5.8,5.8,5.75,5.75
30/01/18,5.75,5.8,5.7,5.7
31/01/18,5.7,5.75,5.65,5.7
01/02/18,5.7,5.75,5.65,5.65
02/02/18,5.65,5.7,5.65,5.65
05/02/18,5.6,5.65,5.5,5.5
06/02/18,5.3,5.45,5.3,5.4
07/02/18,5.5,5.6,5.45,5.55
08/02/18,5.65,5.85,5.6,5.85
09/02/18,5.75,5.95,5.7,5.9
12/02/18,5.9,5.95,5.85,5.85
13/02/18,5.9,5.9,5.75,5.85
14/02/18,5.8,5.9,5.75,5.8
15/02/18,5.75,5.8,5.6,5.6
16/02/18,5.65,5.7,5.5,5.6
19/02/18,5.6,5.65,5.55,5.55
20/02/18,5.55,5.7,5.55,5.65
21/02/18,5.65,5.7,5.6,5.6
22/02/18,5.65,5.7,5.5,5.5
23/02/18,5.5,5.65,5.5,5.65
26/02/18,5.7,5.7,5.55,5.55
27/02/18,5.6,5.6,5.55,5.55
28/02/18,5.6,5.65,5.55,5.55
02/03/18,5.6,5.6,5.5,5.5
05/03/18,5.5,5.55,5.35,5.35
06/03/18,5.4,5.4,5.4,5.4
07/03/18,5.4,5.45,5.3,5.35
08/03/18,5.4,5.4,5.3,5.4
09/03/18,5.35,5.4,5.3,5.35
12/03/18,5.4,5.4,5.35,5.35
13/03/18,5.35,5.4,5.3,5.3
14/03/18,5.3,5.4,5.3,5.4
15/03/18,5.4,5.45,5.35,5.45
16/03/18,5.45,5.45,5.35,5.35
19/03/18,5.4,5.5,5.35,5.35
20/03/18,5.4,5.45,5.35,5.4
21/03/18,5.4,5.45,5.35,5.4
22/03/18,5.4,5.45,5.35,5.35
23/03/18,5.35,5.4,5.25,5.25
26/03/18,5.25,5.25,5.15,5.2
27/03/18,5.25,5.3,5.2,5.3
28/03/18,5.3,5.3,5.15,5.2
29/03/18,5.2,5.25,5.1,5.1
30/03/18,5.15,5.2,5.1,5.15
02/04/18,5.2,5.65,5.2,5.65
03/04/18,5.6,5.7,5.55,5.7
04/04/18,5.7,5.95,5.65,5.75
05/04/18,5.8,5.85,5.7,5.75
09/04/18,5.8,6,5.75,6
10/04/18,6,6,5.8,6
11/04/18,5.95,5.95,5.85,5.85
12/04/18,5.8,5.9,5.7,5.85
17/04/18,5.85,5.9,5.7,5.7
18/04/18,5.8,5.85,5.65,5.75
19/04/18,5.8,5.8,5.65,5.65
20/04/18,5.65,5.7,5.5,5.55
23/04/18,5.55,5.7,5.5,5.55
24/04/18,5.55,5.65,5.5,5.65
25/04/18,5.65,5.75,5.6,5.65
26/04/18,5.65,5.7,5.55,5.55
27/04/18,5.6,5.6,5.5,5.55
30/04/18,5.6,5.85,5.55,5.85
02/05/18,5.85,6,5.85,6
03/05/18,5.9,6,5.85,5.95
04/05/18,6,6.1,5.9,5.9
07/05/18,5.9,6.1,5.8,5.95
08/05/18,5.95,5.95,5.8,5.9
09/05/18,5.85,5.9,5.8,5.85
10/05/18,5.85,5.85,5.5,5.6
11/05/18,5.6,5.75,5.6,5.6
14/05/18,5.8,5.85,5.75,5.85
15/05/18,5.85,5.85,5.75,5.8
16/05/18,5.8,5.85,5.75,5.75
17/05/18,5.8,5.85,5.75,5.8
18/05/18,5.8,5.8,5.75,5.8
21/05/18,5.8,5.85,5.75,5.8
22/05/18,5.8,5.9,5.8,5.8
23/05/18,5.8,5.85,5.75,5.85
24/05/18,5.8,5.85,5.7,5.75
25/05/18,5.55,5.6,5.5,5.6
28/05/18,5.7,5.75,5.65,5.7
30/05/18,5.6,5.65,5.55,5.6
31/05/18,5.55,5.6,5.45,5.5
01/06/18,5.5,5.55,5.5,5.5
04/06/18,5.5,5.7,5.5,5.65
05/06/18,5.65,5.7,5.6,5.65
06/06/18,5.65,5.75,5.65,5.7
07/06/18,5.7,5.75,5.65,5.65
08/06/18,5.7,5.7,5.6,5.65
11/06/18,5.65,5.65,5.6,5.6
12/06/18,5.6,5.65,5.55,5.55
13/06/18,5.6,5.6,5.5,5.5
14/06/18,5.5,5.5,5.35,5.4
15/06/18,5.45,5.45,5.4,5.45
18/06/18,5.45,5.45,5.4,5.4
19/06/18,5.35,5.4,5.15,5.2
20/06/18,5.2,5.35,5.2,5.35
21/06/18,5.35,5.35,5.2,5.25
22/06/18,5.2,5.3,5.2,5.25
25/06/18,5.25,5.3,5.2,5.2
26/06/18,5.2,5.25,5.15,5.15
27/06/18,5.2,5.25,5.2,5.2
28/06/18,5.25,5.25,5,5.05
29/06/18,5.05,5.1,4.86,5
02/07/18,5,5,4.82,4.84
03/07/18,4.86,4.96,4.84,4.92
04/07/18,4.9,4.98,4.86,4.9
05/07/18,4.9,4.92,4.84,4.84
06/07/18,4.84,4.9,4.82,4.88
09/07/18,4.9,4.92,4.84,4.84
10/07/18,4.88,4.88,4.58,4.64
11/07/18,4.6,4.68,4.6,4.64
12/07/18,4.66,4.68,4.64,4.66
13/07/18,4.66,4.8,4.66,4.78
16/07/18,4.74,4.82,4.66,4.66
17/07/18,4.68,4.7,4.64,4.66
18/07/18,4.7,4.72,4.66,4.68
19/07/18,4.72,4.76,4.68,4.72
20/07/18,4.74,4.76,4.7,4.7
23/07/18,4.7,4.72,4.64,4.66
24/07/18,4.64,4.68,4.58,4.58
25/07/18,4.58,4.64,4.56,4.6
26/07/18,4.62,4.64,4.58,4.6
31/07/18,4.6,4.62,4.56,4.58
01/08/18,4.58,4.64,4.56,4.62
02/08/18,4.62,4.62,4.56,4.58
03/08/18,4.56,4.58,4.52,4.52
06/08/18,4.54,4.54,4.48,4.5
07/08/18,4.5,4.5,4.44,4.46
08/08/18,4.46,4.52,4.46,4.48
09/08/18,4.48,4.5,4.36,4.38
10/08/18,4.3,4.3,4.16,4.24
14/08/18,4.2,4.24,4.18,4.24
15/08/18,4.22,4.22,4.18,4.2
16/08/18,4.2,4.22,4.18,4.2
17/08/18,4.22,4.28,4.2,4.28
20/08/18,4.28,4.32,4.26,4.32
21/08/18,4.32,4.42,4.32,4.34
22/08/18,4.34,4.38,4.3,4.3
23/08/18,4.34,4.38,4.32,4.36
24/08/18,4.36,4.4,4.34,4.36
27/08/18,4.36,4.38,4.32,4.32
28/08/18,4.32,4.44,4.32,4.42
29/08/18,4.44,4.48,4.42,4.44
30/08/18,4.44,4.46,4.36,4.38
31/08/18,4.36,4.46,4.36,4.46
03/09/18,4.46,4.46,4.38,4.4
04/09/18,4.4,4.44,4.38,4.4
05/09/18,4.4,4.4,4.3,4.3
06/09/18,4.3,4.34,4.28,4.34
07/09/18,4.34,4.34,4.3,4.34
10/09/18,4.34,4.34,4.28,4.3
11/09/18,4.32,4.32,4.28,4.28
12/09/18,4.3,4.3,4.14,4.2
13/09/18,4.24,4.28,4.22,4.28
14/09/18,4.28,4.3,4.26,4.26
17/09/18,4.26,4.4,4.26,4.38
18/09/18,4.38,4.44,4.36,4.42
19/09/18,4.44,4.44,4.4,4.42
20/09/18,4.42,4.44,4.38,4.4
21/09/18,4.42,4.46,4.4,4.42
24/09/18,4.44,4.46,4.4,4.44
25/09/18,4.32,4.34,4.26,4.28
26/09/18,4.26,4.28,4.26,4.28
27/09/18,4.28,4.28,4.24,4.28
28/09/18,4.28,4.3,4.26,4.28
01/10/18,4.3,4.3,4.26,4.28
02/10/18,4.26,4.28,4.24,4.26
03/10/18,4.26,4.34,4.24,4.32
04/10/18,4.3,4.3,4.26,4.3
05/10/18,4.28,4.34,4.28,4.3
08/10/18,4.3,4.3,4.24,4.24
09/10/18,4.26,4.28,4.22,4.26
10/10/18,4.26,4.28,4.26,4.28
11/10/18,4.2,4.24,4.18,4.22
12/10/18,4.24,4.26,4.2,4.22
16/10/18,4.22,4.24,4.16,4.2
17/10/18,4.24,4.24,4.18,4.2
18/10/18,4.18,4.2,4.16,4.18
19/10/18,4.16,4.18,4.12,4.12
22/10/18,4.12,4.16,3.98,3.98
24/10/18,4,4.04,3.94,3.94
25/10/18,3.92,3.94,3.86,3.92
26/10/18,3.94,4,3.92,3.98
29/10/18,3.98,4.1,3.98,4
30/10/18,4,4,3.98,4
31/10/18,4.02,4.02,3.98,4
01/11/18,4,4.02,3.98,4
02/11/18,4.02,4.04,4,4.02
05/11/18,4.02,4.04,3.98,4.04
06/11/18,4.04,4.06,4,4.02
07/11/18,4.04,4.06,4,4.02
08/11/18,4.02,4.04,4,4.02
09/11/18,4.02,4.02,3.98,4
12/11/18,4,4,3.92,3.94
13/11/18,3.92,3.94,3.9,3.92
14/11/18,3.96,4.14,3.96,4.14
15/11/18,4.12,4.12,4.06,4.1
16/11/18,4.12,4.12,4.04,4.06
19/11/18,4.06,4.08,4.02,4.06
20/11/18,4.08,4.08,3.94,3.94
21/11/18,4,4.02,3.96,4.02
22/11/18,4,4,3.98,3.98
23/11/18,4,4,3.96,4
26/11/18,4.02,4.08,4,4.06
27/11/18,4.08,4.28,4.08,4.2
28/11/18,4.22,4.34,4.22,4.34
29/11/18,4.34,4.36,4.26,4.36
30/11/18,4.32,4.36,4.3,4.34
03/12/18,4.34,4.36,4.22,4.28
