date,open,high,low,close
03/01/18,191.5,197.5,191,196.5
04/01/18,196.5,197,194,194
05/01/18,195,197,194.5,195
08/01/18,195,197,194.5,196
09/01/18,194.5,194.5,194.5,194.5
10/01/18,196,196.5,193.5,194
11/01/18,194.5,194.5,190.5,192
12/01/18,192,193.5,191.5,192
15/01/18,192,195.5,191.5,194.5
16/01/18,195.5,195.5,193.5,193.5
17/01/18,193,193.5,192,192.5
18/01/18,192.5,194,192,192
19/01/18,191,194,190.5,193
22/01/18,193,195,192.5,195
23/01/18,195,197.5,195,196.5
24/01/18,196.5,198,195.5,198
25/01/18,198,198.5,192.5,193
26/01/18,193.5,194.5,193,194
29/01/18,195,195.5,193.5,194
30/01/18,193.5,194,192.5,193.5
31/01/18,193,194.5,192.5,192.5
01/02/18,192.5,195,192.5,194
02/02/18,194.5,195.5,193.5,194.5
05/02/18,192,194.5,192,194.5
06/02/18,191.5,192.5,190.5,192
07/02/18,194,195.5,192,193
08/02/18,193,194,192,192
09/02/18,191,192.5,190.5,192.5
12/02/18,193.5,194,193,193.5
13/02/18,194,196,194,195.5
14/02/18,196.5,196.5,195,195
15/02/18,195.5,196,194.5,196
16/02/18,196.5,197,195,195
19/02/18,195,195.5,193.5,194
20/02/18,194,194.5,193.5,193.5
21/02/18,194,194.5,192.5,192.5
22/02/18,193,194.5,192,192.5
23/02/18,193,195,192.5,194.5
26/02/18,195,196,194.5,196
27/02/18,197,200,195,196
28/02/18,196,199.5,196,198
02/03/18,197.5,199.5,196,197
05/03/18,197,198,194,196.5
06/03/18,200,200,200,200
07/03/18,200,201,197.5,197.5
08/03/18,197.5,202,197.5,201
09/03/18,203,206,202,204
12/03/18,206,208,205,208
13/03/18,207,210,207,207
14/03/18,207,208,206,207
15/03/18,206,209,203,207
16/03/18,208,215,207,212
19/03/18,213,213,208,210
20/03/18,209,210,207,210
21/03/18,212,215,209,210
22/03/18,212,213,208,209
23/03/18,204,209,204,209
26/03/18,209,213,209,212
27/03/18,213,213,206,206
28/03/18,206,209,205,208
29/03/18,207,209,206,206
30/03/18,208,209,206,208
02/04/18,208,209,207,209
03/04/18,208,213,206,207
04/04/18,208,211,202,202
05/04/18,200,200,196,197
09/04/18,197,201,197,201
10/04/18,201,202,199.5,199.5
11/04/18,199,201,197.5,200
12/04/18,201,201,200,201
17/04/18,202,205,201,204
18/04/18,204,205,201,203
19/04/18,201,203,199,203
20/04/18,202,207,202,207
23/04/18,206,206,204,204
24/04/18,206,209,206,208
25/04/18,207,209,206,207
26/04/18,207,208,204,206
27/04/18,207,209,205,209
30/04/18,209,209,207,208
02/05/18,207,209,206,209
03/05/18,207,209,206,207
04/05/18,207,208,206,206
07/05/18,207,209,206,209
08/05/18,209,209,203,204
09/05/18,201,201,195,195
10/05/18,193.5,197.5,193.5,194
11/05/18,195,197.5,193.5,197
14/05/18,197.5,199.5,196,198.5
15/05/18,197.5,198,194,196
16/05/18,194.5,195,190.5,191.5
17/05/18,192,192,187,188.5
18/05/18,188.5,192.5,185.5,192
21/05/18,193.5,194,191,193
22/05/18,193,195,193,194.5
23/05/18,194.5,195.5,193,195
24/05/18,193.5,194.5,192,193.5
25/05/18,194,194.5,193,194.5
28/05/18,194.5,195,193,193.5
30/05/18,192,193.5,189,191.5
31/05/18,191,192.5,189,190.5
01/06/18,190.5,191,188.5,190.5
04/06/18,189,195,189,194.5
05/06/18,194.5,194.5,190,193.5
06/06/18,193,196,193,195.5
07/06/18,196,196.5,192.5,192.5
08/06/18,193,195.5,192.5,193
11/06/18,192.5,193,191,191
12/06/18,191.5,192.5,190.5,191
13/06/18,190,191,188.5,189.5
14/06/18,188.5,189,186.5,189
15/06/18,190.5,194.5,190,190.5
18/06/18,190,194.5,190,193
19/06/18,190.5,192.5,189,189
20/06/18,189.5,192,188.5,191.5
21/06/18,191.5,192,184.5,186
