date,open,high,low,close
03/01/18,104,104,103,103.5
04/01/18,103.5,104,103,103.5
05/01/18,104.5,106,104,104
08/01/18,104.5,106,104.5,105
09/01/18,120,120,120,120
10/01/18,122,124,112.5,114.5
11/01/18,115,121,114.5,119
12/01/18,119.5,148,119.5,135
15/01/18,138,152,138,144
16/01/18,145,148,132.5,133
17/01/18,136,157.5,134.5,155
18/01/18,159,168,152,152.5
19/01/18,152.5,153.5,146.5,151
22/01/18,151,154,148,149
23/01/18,151,155.5,147.5,147.5
24/01/18,149,151.5,148,150
25/01/18,150.5,151,143,145.5
26/01/18,146,147.5,143,145
29/01/18,146.5,147.5,145,145.5
30/01/18,145,149,141,141
31/01/18,141.5,145.5,141.5,145.5
01/02/18,145.5,164.5,145.5,163
02/02/18,161.5,175,161.5,165
05/02/18,160,171,160,165
06/02/18,163,164.5,160,164.5
07/02/18,165.5,168,157,158.5
08/02/18,162,162,156.5,160
09/02/18,159,174.5,158.5,173
12/02/18,175,186.5,174.5,178.5
13/02/18,180,180,169,169
14/02/18,172,175,169,170
15/02/18,171.5,171.5,167,171.5
16/02/18,171.5,184,170,184
19/02/18,184,192.5,179.5,179.5
20/02/18,180.5,182,175.5,177
21/02/18,181.5,184,176,178
22/02/18,179,179,167.5,168
23/02/18,169,173,163,173
26/02/18,175,178.5,172,176
27/02/18,175.5,177.5,170.5,170.5
28/02/18,170.5,177.5,170,175
02/03/18,173.5,173.5,166,168.5
05/03/18,169,171,167,169
06/03/18,167,167,167,167
07/03/18,166,166,160,160
08/03/18,160,161.5,157,158
09/03/18,158,159,149.5,155.5
12/03/18,158.5,166.5,157.5,166.5
13/03/18,168.5,177.5,166.5,177.5
14/03/18,174.5,176.5,173.5,173.5
15/03/18,173.5,178,173,174
16/03/18,174,174.5,171,172
19/03/18,171.5,176.5,171,173.5
20/03/18,173.5,182,173.5,180
21/03/18,181,183,175.5,179.5
22/03/18,180,180.5,177,180.5
23/03/18,175,179,175,176.5
26/03/18,176.5,182,176.5,182
27/03/18,183.5,187.5,182.5,187.5
28/03/18,188.5,194,186,186.5
29/03/18,187.5,189,181,183.5
30/03/18,185,186,175,178.5
02/04/18,180,181.5,177,181
03/04/18,181,181,175,175
04/04/18,176,176,162,162.5
05/04/18,164.5,176.5,164,175
09/04/18,173,174.5,168,170
10/04/18,171,175.5,169.5,170
11/04/18,171,173,169.5,170
12/04/18,171,174.5,170,174
17/04/18,173.5,178,173,175
18/04/18,179.5,182.5,177,179.5
19/04/18,181,185.5,180,185.5
20/04/18,184,184,180.5,182.5
23/04/18,182.5,182.5,176,176
24/04/18,178.5,178.5,175.5,176
25/04/18,174.5,182,174.5,176
26/04/18,176.5,177,170.5,173
27/04/18,174,174,169.5,171.5
30/04/18,173.5,175.5,172.5,175
02/05/18,175.5,175.5,171,172.5
03/05/18,173.5,175.5,165.5,167
04/05/18,167,167.5,165,166
07/05/18,166.5,170.5,165.5,168
08/05/18,169,170,163.5,164
09/05/18,165,167,162.5,166.5
10/05/18,166.5,166.5,162.5,163.5
11/05/18,164.5,168,163.5,167
14/05/18,168,168,166,166
15/05/18,163.5,163.5,157.5,160
16/05/18,157.5,159.5,151,153
17/05/18,152.5,153.5,145.5,151
18/05/18,151.5,162.5,151.5,162.5
21/05/18,162,164,159,161.5
22/05/18,163,167.5,161.5,164
23/05/18,163.5,166.5,163,165.5
24/05/18,165,166.5,161.5,163
25/05/18,163,164.5,158.5,162.5
28/05/18,161.5,162,159,161
30/05/18,161,161,156.5,158
31/05/18,160,161.5,155.5,158
01/06/18,156.5,159.5,156.5,159.5
04/06/18,159,159,155,159
05/06/18,156,158,154.5,156
06/06/18,156.5,159,156,158.5
07/06/18,158,158.5,156.5,158.5
08/06/18,157,158,156,157.5
11/06/18,156,156,154,156
12/06/18,155.5,156.5,152.5,153
13/06/18,153,153.5,150.5,151.5
14/06/18,151.5,151.5,147.5,149.5
15/06/18,149.5,153,149,149
18/06/18,149,150,144.5,144.5
19/06/18,144,147.5,144,146.5
20/06/18,147,151,145,150
21/06/18,151,151,147,148
22/06/18,152,157,152,153
25/06/18,153,159,153,157.5
26/06/18,157,164.5,155,163
27/06/18,164.5,173,164.5,172.5
28/06/18,172.5,175,163,164
29/06/18,166,168,161.5,167.5
02/07/18,168,172.5,165.5,170.5
03/07/18,171.5,173.5,168.5,171.5
04/07/18,172,172.5,167.5,169.5
05/07/18,170,170.5,167,167
06/07/18,168,168,159.5,165
09/07/18,167,170.5,166,168.5
10/07/18,169.5,171,168,170
11/07/18,168.5,190,164,190
12/07/18,189,190.5,181,184
13/07/18,184.5,186,179.5,179.5
16/07/18,177.5,179,166,166
17/07/18,169,173,166.5,172.5
18/07/18,172.5,176,171.5,175
19/07/18,176,176.5,174,176
20/07/18,175.5,177,171.5,175.5
23/07/18,176,176,173.5,174
24/07/18,174.5,174.5,169.5,170
25/07/18,169,170,166,167.5
26/07/18,167.5,168,165,166
31/07/18,166.5,169,165,168
01/08/18,168.5,169,166.5,168
02/08/18,168,168,166.5,166.5
03/08/18,166.5,168,166,167.5
06/08/18,167.5,168.5,166.5,167.5
07/08/18,167.5,168,166.5,167.5
08/08/18,167.5,169.5,166.5,169.5
09/08/18,168.5,173,168,171
10/08/18,170.5,171.5,169,170
14/08/18,169.5,169.5,165,168
15/08/18,167.5,167.5,161,161.5
16/08/18,162,164.5,160,163.5
17/08/18,164.5,168,164,167.5
20/08/18,167.5,173.5,167,172.5
21/08/18,171.5,172.5,168.5,171
22/08/18,171,176.5,171,174
23/08/18,174,176,174,176
24/08/18,176,179,174.5,179
27/08/18,179.5,181.5,178.5,181
28/08/18,181.5,182,176,177.5
29/08/18,177.5,179.5,175.5,178.5
30/08/18,180,180.5,178,178
31/08/18,178.5,180,177,180
03/09/18,180.5,182,179,181.5
04/09/18,181.5,185,179,183
05/09/18,181.5,183,178,179.5
06/09/18,178.5,180,177.5,178
07/09/18,178,178,175.5,176
10/09/18,175.5,177,174.5,176
11/09/18,176,179.5,176,177.5
12/09/18,177.5,178,176,177.5
13/09/18,177.5,181,177.5,180
14/09/18,180,181.5,178.5,180
17/09/18,179,180.5,176.5,176.5
18/09/18,177,181.5,176,180
19/09/18,181,183,179.5,182
20/09/18,182,183,178,179
21/09/18,181,192.5,180.5,190.5
24/09/18,190,196,187.5,193.5
25/09/18,190,191.5,188.5,189.5
26/09/18,192,203,192,201
27/09/18,203,213,202,210
28/09/18,211,215,207,209
01/10/18,210,214,210,210
02/10/18,210,212,205,207
03/10/18,209,217,209,211
04/10/18,208,213,205,208
05/10/18,209,214,192.5,195.5
08/10/18,196.5,203,196,202
09/10/18,203,203,198,199
10/10/18,199.5,201,197.5,199
11/10/18,197,198.5,195.5,197
12/10/18,197.5,201,197,199
16/10/18,201,202,198.5,201
17/10/18,202,204,199.5,199.5
18/10/18,197.5,199,195.5,197
19/10/18,198,198,195.5,198
22/10/18,197,197.5,194,196.5
24/10/18,196,198,195.5,197.5
25/10/18,194,194.5,187,192.5
26/10/18,192.5,199,192,195.5
29/10/18,194.5,198.5,193,194
30/10/18,194.5,195.5,192,192
31/10/18,194.5,196,192.5,195
01/11/18,196,197.5,194,195.5
02/11/18,197.5,203,196,203
05/11/18,201,201,197.5,198
06/11/18,199,199,194,194.5
07/11/18,195,195.5,189,191.5
08/11/18,192.5,195,190.5,190.5
09/11/18,190.5,190.5,184,185.5
12/11/18,185.5,187,184.5,184.5
13/11/18,183,188.5,181,188
14/11/18,188.5,193.5,188.5,192
15/11/18,192.5,192.5,187.5,188
16/11/18,188,191.5,188,189
19/11/18,189,190,186,187.5
20/11/18,185,187,182.5,183.5
21/11/18,183,186,181.5,185
22/11/18,185,186,183,185
23/11/18,186,188.5,184,188.5
26/11/18,188.5,188.5,186.5,187
27/11/18,187,187.5,186.5,187
28/11/18,187.5,190,187.5,188
29/11/18,189.5,192,188.5,189
30/11/18,189,190.5,189,189
03/12/18,191.5,194,188,194
04/12/18,194,194,192,193.5
06/12/18,192,192,188.5,189
07/12/18,189.5,190,189,189
11/12/18,189,189,185,185.5
12/12/18,186.5,188,185,186
13/12/18,186,186.5,182.5,183
14/12/18,182,184.5,181,181
17/12/18,180,181,170.5,175
18/12/18,174,176.5,173.5,175.5
19/12/18,175,176.5,173.5,174.5
20/12/18,174.5,176,172,174
21/12/18,173,177,173,176
24/12/18,175,179,175,178.5
25/12/18,177,177,173.5,174
26/12/18,173.5,174,171,172.5
27/12/18,173.5,175.5,172.5,175
28/12/18,173.5,182,173.5,182
02/01/19,181.5,184,180,183
03/01/19,183,189.5,183,186.5
04/01/19,186,189.5,185,186.5
07/01/19,186.5,188.5,186.5,187
08/01/19,187,187,186,187
09/01/19,187.5,191.5,187,188.5
10/01/19,189.5,191,183.5,185
11/01/19,184,184.5,176.5,178.5
14/01/19,177,177.5,171.5,173.5
15/01/19,173.5,174,171.5,172.5
16/01/19,171.5,171.5,163.5,168.5
17/01/19,168.5,173,168.5,171.5
18/01/19,170.5,170.5,160.5,161
21/01/19,161.5,165.5,161.5,161.5
22/01/19,163,164,161.5,163.5
23/01/19,164,174,164,174
24/01/19,173.5,177,170.5,171.5
25/01/19,172,174.5,172,173.5
28/01/19,174,175.5,173.5,175
29/01/19,175,175,171,172
30/01/19,172.5,173.5,172,172.5
31/01/19,173.5,179,173.5,177
01/02/19,178,182,177,179
04/02/19,179.5,183.5,179.5,182
05/02/19,182.5,182.5,180,180.5
06/02/19,180.5,181.5,179.5,181
07/02/19,183,186.5,181.5,182
08/02/19,182,182,179,180.5
11/02/19,180.5,181.5,178.5,180
12/02/19,181,183,180.5,183
13/02/19,183.5,188,183,188
14/02/19,188,188.5,185,187
15/02/19,187,188,182,182
18/02/19,184,185,182,183.5
20/02/19,184,186,183,183.5
21/02/19,184,184,180.5,182.5
22/02/19,182,183,180,182.5
25/02/19,183,186.5,182,184
26/02/19,183,185,182.5,182.5
27/02/19,182.5,183,178.5,179.5
28/02/19,180.5,181,178.5,179.5
01/03/19,181.5,182.5,179,180
04/03/19,181.5,184.5,180,183.5
05/03/19,182,184,181.5,182.5
06/03/19,183,183.5,182,182
07/03/19,183,184,182,182.5
08/03/19,182.5,184,181.5,181.5
11/03/19,181.5,182.5,181,181.5
12/03/19,181.5,182,179.5,180
13/03/19,180,183,179.5,182.5
14/03/19,182.5,183,181,182
15/03/19,181,181.5,178.5,178.5
18/03/19,179.5,179.5,173.5,176
19/03/19,174.5,177.5,174.5,176.5
20/03/19,176.5,181,175.5,178
21/03/19,179,181,179,180
22/03/19,180.5,182.5,179,182.5
25/03/19,180,181,179,180
26/03/19,180,181,180,180
27/03/19,181,183,181,182
28/03/19,182.5,183,181.5,182
29/03/19,183,184,182.5,182.5
01/04/19,184,186.5,183,185.5
02/04/19,187,187.5,185,186.5
03/04/19,186,186,184,184.5
04/04/19,184.5,184.5,178,178.5
05/04/19,178.5,180.5,177,179.5
09/04/19,179,180.5,178.5,179.5
