date,open,high,low,close
03/01/18,25.75,27.25,25.75,27
04/01/18,27,27.75,26.25,27.5
05/01/18,27.75,28,26.75,27.5
08/01/18,27.5,28,26.75,26.75
09/01/18,26.5,26.5,26.5,26.5
10/01/18,26.75,27.5,26.5,26.5
11/01/18,26.5,27,26.25,26.75
12/01/18,27,27,26.5,26.5
15/01/18,26.5,28.5,26.5,28
16/01/18,28,29,27.75,28.5
17/01/18,28.25,28.5,28,28.5
18/01/18,28.75,29,28,28.25
19/01/18,28,28.5,27.25,28
22/01/18,27.75,28.25,27.25,27.25
23/01/18,27.5,28.25,25.25,25.75
24/01/18,25.5,26,24.6,25.5
25/01/18,25.75,26.25,25.25,25.5
26/01/18,25.5,25.75,24.5,24.9
29/01/18,24.9,25.5,24.9,25
30/01/18,25.25,26,25,25.5
31/01/18,25.25,26,25.25,25.75
01/02/18,25.75,26.25,25.25,25.25
02/02/18,25.75,26,25.25,25.5
05/02/18,24.700001,25.25,24.700001,24.9
06/02/18,24.4,25.25,23.6,25
07/02/18,25.5,25.75,25,25.5
08/02/18,25.75,26.5,25.75,26.5
09/02/18,26,26.75,25.75,26.5
12/02/18,26.5,26.75,26.25,26.75
13/02/18,26.75,27,26.25,26.25
14/02/18,26.5,27,26.25,26.25
15/02/18,26.5,26.75,26.25,26.5
16/02/18,26.75,26.75,26.25,26.5
19/02/18,26.5,26.75,26.25,26.5
20/02/18,26.5,27,26.25,26.25
21/02/18,26.25,26.5,25.25,25.25
22/02/18,25.25,26,25.25,25.5
23/02/18,25.25,26,25.25,26
26/02/18,26,26.25,25.25,25.5
27/02/18,25.5,26,25.25,25.5
28/02/18,25.25,25.5,25.25,25.25
02/03/18,25,25.25,24.6,24.6
05/03/18,24.6,24.6,23.700001,23.700001
06/03/18,21.9,21.9,21.9,21.9
07/03/18,21.700001,21.799999,21.1,21.200001
08/03/18,21.5,22.5,21.4,22.299999
09/03/18,22.299999,22.299999,21.299999,21.9
12/03/18,22.200001,22.299999,21.9,22.299999
13/03/18,22.1,22.5,22,22.299999
14/03/18,22.1,23,22.1,22.9
15/03/18,22.9,23.4,22.9,23.1
16/03/18,23.1,23.200001,22.5,22.5
19/03/18,22.299999,22.4,21.5,21.5
20/03/18,21.4,21.700001,21.299999,21.4
21/03/18,21.6,21.6,21.299999,21.4
22/03/18,21.5,21.9,21.4,21.6
23/03/18,21.200001,21.4,21.1,21.200001
26/03/18,21.299999,21.6,21,21.5
27/03/18,21.700001,21.799999,21.5,21.5
28/03/18,21.4,21.5,20.6,20.6
29/03/18,20.6,20.700001,20.1,20.200001
30/03/18,20.4,20.9,20,20.799999
02/04/18,20.799999,20.799999,20.4,20.5
03/04/18,20.299999,20.5,20,20
04/04/18,20,20,18.700001,18.700001
05/04/18,18.9,19.1,18.6,18.9
09/04/18,18.700001,18.9,18.1,18.4
10/04/18,18.5,19.4,18.200001,19.4
11/04/18,19.200001,19.4,18.700001,18.9
12/04/18,18.799999,19.799999,18.6,19.700001
17/04/18,19.700001,20.299999,19.4,20.1
18/04/18,20.5,21.5,20.200001,21.5
19/04/18,21.4,21.700001,21,21.1
20/04/18,21.200001,21.5,21.1,21.299999
23/04/18,21.299999,21.4,21,21
24/04/18,21,21.1,20.299999,20.4
25/04/18,20.299999,20.799999,20,20.799999
26/04/18,20.799999,20.799999,20.200001,20.200001
27/04/18,20.4,20.5,20.200001,20.299999
30/04/18,20.4,20.799999,20.299999,20.5
02/05/18,20.5,21.1,20.4,21
03/05/18,21,21.1,20.799999,20.799999
04/05/18,20.799999,21.299999,20.799999,20.799999
07/05/18,21,21.299999,20.799999,21
08/05/18,21,21.1,20.4,20.6
09/05/18,20.299999,20.5,20,20.200001
10/05/18,20.299999,20.5,20,20.200001
11/05/18,20.299999,20.700001,20.299999,20.5
14/05/18,20.799999,20.799999,20.5,20.799999
15/05/18,21.1,21.4,20.799999,21
16/05/18,21.4,21.799999,21.200001,21.5
17/05/18,21.799999,22.799999,21.799999,22.799999
18/05/18,22.9,23.200001,22.4,23.1
21/05/18,23.1,23.200001,22.799999,23
22/05/18,23.1,23.700001,23,23.200001
23/05/18,23.200001,23.4,22.799999,23.200001
24/05/18,23.1,23.200001,22.6,22.700001
25/05/18,22.799999,23.1,22.6,23.1
28/05/18,23,23.299999,22.799999,23.1
30/05/18,22.9,23.1,22,22.6
31/05/18,22.9,23.200001,22.700001,23
01/06/18,23,23,22.6,22.700001
04/06/18,22.799999,23,22.299999,22.4
05/06/18,22.5,23.1,22.200001,23.1
06/06/18,23.1,23.200001,22.6,22.6
07/06/18,22.799999,23.1,22.700001,22.799999
08/06/18,22.700001,23,22.6,22.700001
11/06/18,22.700001,22.799999,22.299999,22.4
12/06/18,22.4,22.9,22.4,22.700001
13/06/18,22.700001,22.700001,22.200001,22.4
14/06/18,22.299999,22.6,21.700001,22.1
15/06/18,22,22.4,21.799999,22.1
18/06/18,22,22,21.299999,21.299999
19/06/18,21,21.1,20.1,20.299999
20/06/18,20.4,20.700001,20,20.6
21/06/18,20.6,20.6,19.799999,19.799999
22/06/18,19.9,20.200001,19.700001,19.9
25/06/18,20,20.1,19.1,19.1
26/06/18,18.799999,19.5,18.6,19.4
27/06/18,19.5,19.799999,19,19
28/06/18,19.1,19.1,18.299999,18.4
29/06/18,18.6,18.700001,18.200001,18.700001
02/07/18,18.700001,19.5,18.5,19.5
03/07/18,19.4,20.200001,19.200001,20.200001
04/07/18,19.9,20,19.5,19.5
05/07/18,19.5,19.6,18.9,19
06/07/18,19,19.5,18.700001,19.299999
09/07/18,19.5,19.700001,19.200001,19.299999
10/07/18,19.4,19.4,18.799999,19.200001
11/07/18,18.9,19.299999,18.799999,18.9
12/07/18,18.9,19.200001,18.6,19
13/07/18,19.200001,19.6,19.200001,19.5
16/07/18,19.5,19.6,19,19
17/07/18,19,19.200001,19,19.1
18/07/18,19.299999,19.6,19,19.1
19/07/18,19.200001,19.299999,18.799999,19.200001
20/07/18,19.299999,20,19.200001,19.700001
23/07/18,19.6,20,19.5,19.700001
24/07/18,19.799999,20.1,19.4,19.5
25/07/18,19.6,20,19.4,19.700001
26/07/18,20.1,20.6,20,20.5
31/07/18,20.5,20.5,20,20.1
01/08/18,20.200001,20.5,20.1,20.299999
02/08/18,20.299999,20.700001,20.200001,20.4
03/08/18,20.5,20.799999,20.299999,20.799999
06/08/18,20.9,21,20,20
07/08/18,20.1,20.299999,19.700001,20
08/08/18,20.1,20.4,20.1,20.200001
09/08/18,20.299999,20.299999,20.1,20.200001
10/08/18,20.200001,20.299999,20,20
14/08/18,19.9,20,19.700001,19.799999
15/08/18,19.299999,19.4,18.6,18.6
16/08/18,18.6,19,18.5,19
17/08/18,19.200001,19.299999,19,19
20/08/18,19.200001,19.5,19.1,19.5
