date,open,high,low,close
03/01/18,5.85,5.95,5.8,5.8
04/01/18,5.8,5.85,5.45,5.55
05/01/18,5.55,5.65,5.4,5.45
08/01/18,5.4,5.6,5.4,5.5
09/01/18,5.65,5.65,5.65,5.65
10/01/18,5.65,5.65,5.5,5.55
11/01/18,5.55,5.6,5.45,5.45
12/01/18,5.45,5.6,5.45,5.5
15/01/18,5.6,5.65,5.55,5.6
16/01/18,5.65,5.75,5.55,5.75
17/01/18,5.7,5.7,5.55,5.7
18/01/18,5.75,5.95,5.7,5.8
19/01/18,5.8,5.85,5.65,5.7
22/01/18,5.7,5.8,5.65,5.75
23/01/18,5.75,5.85,5.7,5.8
24/01/18,5.8,5.8,5.7,5.75
25/01/18,5.8,5.85,5.7,5.7
26/01/18,5.75,5.75,5.65,5.75
29/01/18,5.75,5.8,5.65,5.7
30/01/18,5.75,5.75,5.65,5.7
31/01/18,5.65,5.75,5.6,5.6
01/02/18,5.6,5.65,5.5,5.5
02/02/18,5.55,5.65,5.5,5.6
05/02/18,5.5,5.6,5.5,5.55
06/02/18,5.4,5.5,5.25,5.4
07/02/18,5.5,5.6,5.45,5.45
08/02/18,5.4,5.5,5.4,5.4
09/02/18,5.35,5.35,5.1,5.2
12/02/18,5.15,5.35,5.15,5.3
13/02/18,5.35,5.45,5.2,5.25
14/02/18,5.25,5.3,5,5.15
15/02/18,5.2,5.25,5.05,5.1
16/02/18,5.1,5.15,5.05,5.05
19/02/18,5.1,5.15,5.05,5.05
20/02/18,5.1,5.1,5.05,5.05
21/02/18,5.05,5.1,4.96,4.96
22/02/18,4.94,5.05,4.94,5
23/02/18,5,5.25,5,5.15
26/02/18,5.25,5.35,5.1,5.15
27/02/18,5.2,5.25,5.05,5.05
28/02/18,5.05,5.1,5.05,5.05
02/03/18,5.05,5.05,4.96,5
05/03/18,5.05,5.05,4.94,4.98
06/03/18,4.9,4.9,4.9,4.9
07/03/18,4.9,4.9,4.66,4.78
08/03/18,4.78,4.78,4.6,4.7
09/03/18,4.72,4.72,4.48,4.5
12/03/18,4.46,4.58,4.46,4.58
13/03/18,4.54,4.58,4.48,4.52
14/03/18,4.52,4.68,4.5,4.68
15/03/18,4.68,4.7,4.62,4.64
16/03/18,4.64,4.66,4.24,4.26
19/03/18,4.14,4.2,3.88,3.88
20/03/18,3.92,4.18,3.9,4
21/03/18,4.04,4.1,3.98,4
22/03/18,4.02,4.04,3.96,3.98
23/03/18,3.98,3.98,3.9,3.94
26/03/18,3.96,4.04,3.96,4
27/03/18,4.02,4.04,3.96,3.98
28/03/18,3.98,3.98,3.76,3.88
29/03/18,3.92,3.94,3.86,3.86
30/03/18,3.9,3.96,3.84,3.86
02/04/18,3.9,3.96,3.84,3.86
03/04/18,3.86,3.92,3.84,3.84
04/04/18,3.88,3.88,3.72,3.74
05/04/18,3.74,3.78,3.66,3.68
09/04/18,3.7,3.8,3.68,3.74
