date,open,high,low,close
03/01/18,69,71,68.75,70.5
04/01/18,71.25,71.25,70,70.5
05/01/18,70.75,72.25,70.5,72
08/01/18,72.75,77.75,72.5,74.25
09/01/18,74,74,72.25,73.25
10/01/18,72.75,73,71,71.25
11/01/18,70.75,71,69,69.75
12/01/18,69.75,70.75,69.5,69.5
15/01/18,70,71.5,69.75,71.25
16/01/18,71.5,71.75,70.5,70.75
17/01/18,71,71.25,70,70.5
18/01/18,70.5,71.25,70,70.25
19/01/18,70,70.5,69.75,70.25
22/01/18,70.5,71.5,70.25,70.5
23/01/18,70.75,70.75,69,69.75
24/01/18,69.75,70.75,69.5,70.25
25/01/18,70.25,70.75,70,70
26/01/18,70,70.5,69.75,70.5
29/01/18,70.75,71,70.25,70.5
30/01/18,70.5,70.75,69.75,69.75
31/01/18,69.75,70.25,69.75,70
01/02/18,70,70.5,70,70
02/02/18,70,70.25,69.75,70
05/02/18,69.25,69.75,69.25,69.75
06/02/18,68.5,69.25,67.25,69.25
07/02/18,69.5,69.75,68.75,69
08/02/18,69,69.25,68.5,68.75
09/02/18,68,68.25,67.25,67.75
12/02/18,67.75,68.25,67.25,67.5
13/02/18,67.75,69,67.25,68.75
14/02/18,69.25,70,69.25,69.25
15/02/18,69.75,69.75,69.25,69.25
16/02/18,69.5,69.5,68.75,68.75
19/02/18,69,69.5,68.75,69.25
20/02/18,69.25,69.5,68.5,68.5
21/02/18,68.75,69,67.75,68
22/02/18,67.75,68,67,67.75
23/02/18,67.75,69,67.75,68.75
26/02/18,69,71.5,68.75,71.25
27/02/18,72,72.25,70.75,70.75
28/02/18,70.5,71.5,70.25,70.75
02/03/18,70.25,70.5,69,69.5
05/03/18,69,69.5,68.5,69
06/03/18,68.75,68.75,68.75,68.75
07/03/18,68.5,68.75,68,68.25
08/03/18,68,69.25,68,68
09/03/18,68,68.25,67,67.5
12/03/18,68,68.5,67.75,68.5
13/03/18,68.25,68.75,67.75,68.5
14/03/18,68.25,69,67.75,68
15/03/18,68,68.25,67.75,67.75
16/03/18,67.5,68,67.5,68
19/03/18,68,68.25,67.5,67.75
20/03/18,67.75,68,67.5,67.75
21/03/18,68,69,67.75,68.5
22/03/18,68.75,69,68,68
23/03/18,67.75,68,67.5,68
26/03/18,67.75,68,67.5,67.75
27/03/18,68,68.25,67.5,67.75
28/03/18,67.75,68,67.5,67.75
29/03/18,67.5,67.5,65.5,66
30/03/18,66.5,67.5,66,67.5
02/04/18,67.25,67.5,66.75,67.5
03/04/18,67.5,69.75,67.25,69.5
04/04/18,69.75,70.75,68.5,68.5
05/04/18,69,69.75,68.75,69.75
09/04/18,70,70.75,69.75,70.5
10/04/18,71,72,70.25,72
11/04/18,71.75,72,71,71.25
12/04/18,71.5,71.5,70.5,71
17/04/18,70.75,71.25,69.25,70
18/04/18,70,70.25,69.75,70.25
19/04/18,70.5,70.75,69.5,70.25
20/04/18,70.25,70.5,69.75,70
23/04/18,70,72,70,71
24/04/18,71,71.5,70.25,70.5
25/04/18,70.25,71.25,70.25,70.75
26/04/18,71,71.25,70.75,71
27/04/18,71,71.75,70.75,71.75
30/04/18,71.75,72.25,71,71.25
02/05/18,71,71.75,70.5,71.5
03/05/18,71.75,72.25,71.5,71.5
04/05/18,71.5,71.75,71,71
07/05/18,71.25,71.5,71,71
08/05/18,70.75,71.25,69.5,69.75
09/05/18,69.75,70.5,69.5,70.25
10/05/18,70.25,70.75,69.75,70.25
11/05/18,70.25,71.25,70.25,71.25
14/05/18,71.25,71.75,71,71.5
15/05/18,71.5,71.5,70.5,71
16/05/18,71,71,70,70
17/05/18,70.25,71,70.25,70.5
18/05/18,70.25,70.25,69.25,69.75
21/05/18,70,70.25,69.25,69.5
22/05/18,69.5,69.75,68.75,69
23/05/18,68.75,69.25,68.5,68.75
