date,open,high,low,close
03/01/18,9.15,9.25,8.9,9
04/01/18,8.95,9,8.7,8.8
05/01/18,8.8,8.85,8.7,8.75
08/01/18,8.75,8.9,8.75,8.8
09/01/18,8.95,8.95,8.95,8.95
10/01/18,9,9.05,8.95,8.95
11/01/18,8.95,9.05,8.9,9
12/01/18,9,9.2,9,9.1
15/01/18,9.15,9.25,9.15,9.2
16/01/18,9.2,9.3,9.15,9.2
17/01/18,9.2,9.25,9.05,9.25
18/01/18,9.3,9.45,9.25,9.35
19/01/18,9.35,9.35,9.05,9.25
22/01/18,9.3,9.3,9.1,9.15
23/01/18,9.2,9.3,9.15,9.2
24/01/18,9.25,9.3,9.2,9.25
25/01/18,9.25,9.4,9.2,9.25
26/01/18,9.2,9.25,9.1,9.2
29/01/18,9.2,9.25,9.1,9.2
30/01/18,9.15,9.2,9.05,9.1
31/01/18,9.05,9.1,8.85,8.85
01/02/18,8.85,9.1,8.85,9
02/02/18,9.1,9.1,8.85,8.9
05/02/18,8.7,8.8,8.65,8.75
06/02/18,8.6,8.8,8.55,8.7
07/02/18,8.75,8.8,8.55,8.65
08/02/18,8.65,8.7,8.55,8.7
09/02/18,8.55,8.65,8.45,8.55
12/02/18,8.6,8.65,8.55,8.65
13/02/18,8.7,8.75,8.5,8.6
14/02/18,8.6,8.65,8.5,8.55
15/02/18,8.55,8.65,8.45,8.5
16/02/18,8.5,8.55,8.3,8.4
19/02/18,8.4,8.55,8.4,8.4
20/02/18,8.35,8.5,8.35,8.45
21/02/18,8.5,8.55,8.45,8.45
22/02/18,8.45,8.5,8.2,8.3
23/02/18,8.35,8.5,8.25,8.4
26/02/18,8.45,8.6,8.4,8.5
27/02/18,8.55,8.7,8.55,8.6
28/02/18,8.55,8.65,8.3,8.4
02/03/18,8.4,8.4,8.3,8.35
05/03/18,8.35,8.4,8.3,8.35
06/03/18,8.35,8.35,8.35,8.35
07/03/18,8.35,8.35,8.25,8.3
08/03/18,8.3,8.35,8.2,8.25
09/03/18,8.25,8.3,8.2,8.25
12/03/18,8.25,8.35,8.2,8.35
13/03/18,8.3,8.55,8.3,8.45
14/03/18,8.4,8.45,8.35,8.45
15/03/18,8.45,8.5,8.4,8.5
16/03/18,8.5,8.5,8.4,8.45
19/03/18,8.45,8.5,8.35,8.5
20/03/18,8.4,8.45,8.35,8.45
21/03/18,8.45,8.5,8.35,8.5
22/03/18,8.5,8.5,8.4,8.45
23/03/18,8.4,8.45,8.3,8.45
26/03/18,8.45,8.45,8.3,8.35
27/03/18,8.35,8.4,8.1,8.25
28/03/18,8.25,8.25,8.1,8.1
29/03/18,8.15,8.15,7.85,7.9
30/03/18,7.95,7.95,7.65,7.9
02/04/18,7.95,8.05,7.9,8
03/04/18,8,8.1,8,8.05
04/04/18,8.1,8.15,8,8.05
05/04/18,8.05,8.05,7.85,8.05
09/04/18,8,8.1,7.95,8.1
10/04/18,8.1,8.1,8,8.05
11/04/18,8.05,8.25,8.05,8.15
12/04/18,8.15,8.15,8,8.1
17/04/18,8.1,8.15,8.05,8.1
18/04/18,8.05,8.2,8,8.15
19/04/18,8.1,8.25,8.05,8.1
20/04/18,8.2,8.25,8.15,8.15
23/04/18,8.15,8.25,8.15,8.2
24/04/18,8.2,8.3,8.15,8.25
25/04/18,8.2,8.25,8.15,8.25
26/04/18,8.3,8.35,8.25,8.3
27/04/18,8.3,8.4,8.25,8.4
30/04/18,8.4,8.45,8.3,8.4
02/05/18,8.5,8.5,8.3,8.4
03/05/18,8.45,8.65,8.4,8.6
04/05/18,8.6,8.7,8.55,8.65
07/05/18,8.7,8.7,8.55,8.6
08/05/18,8.6,8.75,8.6,8.65
09/05/18,8.25,8.25,8.15,8.25
10/05/18,8.2,8.25,8.2,8.25
11/05/18,8.25,8.6,8.2,8.5
14/05/18,8.55,8.9,8.55,8.85
15/05/18,8.85,8.95,8.8,8.9
16/05/18,8.9,8.9,8.8,8.9
17/05/18,8.9,8.9,8.6,8.7
18/05/18,8.65,8.95,8.65,8.95
21/05/18,8.95,9.1,8.9,9.1
22/05/18,9.1,9.15,9.05,9.1
23/05/18,9.05,9.15,9.05,9.1
24/05/18,9.1,9.1,8.9,9
25/05/18,9,9.1,8.95,9.1
28/05/18,9.1,9.25,9.05,9.2
30/05/18,9.05,9.15,8.8,8.9
31/05/18,8.85,9.25,8.8,9.2
01/06/18,9.15,9.2,9.05,9.15
04/06/18,9.25,9.4,9.2,9.3
05/06/18,9.35,9.35,9.15,9.25
06/06/18,9.25,9.35,9.2,9.3
07/06/18,9.3,9.35,9.2,9.2
08/06/18,9.2,9.25,8.9,9
11/06/18,9,9.1,8.9,9
12/06/18,9,9.15,8.95,9.15
13/06/18,9.15,9.15,9,9.05
14/06/18,9.05,9.1,8.85,8.95
15/06/18,8.95,9.05,8.85,8.9
18/06/18,8.85,9,8.65,8.75
19/06/18,8.65,8.75,8.45,8.65
20/06/18,8.6,8.9,8.55,8.9
21/06/18,8.9,8.9,8.6,8.75
22/06/18,8.7,8.85,8.65,8.8
25/06/18,8.75,8.95,8.7,8.8
26/06/18,8.7,8.7,8.55,8.7
27/06/18,8.75,8.85,8.75,8.75
28/06/18,8.75,8.8,8.5,8.55
29/06/18,8.55,8.6,8.1,8.15
02/07/18,8.2,8.45,8.2,8.25
03/07/18,8.3,8.7,8.25,8.6
04/07/18,8.55,8.75,8.5,8.7
05/07/18,8.7,8.8,8.6,8.7
06/07/18,8.65,8.9,8.5,8.9
09/07/18,8.9,9,8.75,8.95
10/07/18,9.05,9.05,8.8,8.85
11/07/18,8.75,8.85,8.65,8.7
12/07/18,8.6,8.8,8.6,8.75
13/07/18,8.7,8.85,8.7,8.8
16/07/18,8.8,8.85,8.65,8.7
17/07/18,8.7,8.75,8.65,8.7
18/07/18,8.7,8.9,8.7,8.75
19/07/18,8.85,9,8.8,8.85
20/07/18,8.85,9.05,8.8,9.05
23/07/18,9.1,9.2,8.95,9.1
24/07/18,9,9.1,8.95,9.05
25/07/18,8.95,9.2,8.85,9
26/07/18,9.1,9.15,9,9.05
31/07/18,9.05,9.2,9,9.2
01/08/18,9.2,9.25,9.1,9.2
02/08/18,9.2,9.25,9.05,9.1
03/08/18,9.2,9.55,9.15,9.4
06/08/18,9.4,9.45,9.15,9.15
07/08/18,9.15,9.25,9.05,9.1
08/08/18,9.1,9.25,9.1,9.2
09/08/18,9.25,9.5,9.2,9.5
10/08/18,9.5,9.55,9.35,9.5
14/08/18,9.35,9.6,9.15,9.6
15/08/18,9.6,9.6,9.15,9.25
16/08/18,9.2,9.35,9.05,9.3
17/08/18,9.25,9.45,9.2,9.35
20/08/18,9.4,9.4,9.25,9.3
21/08/18,9.45,9.5,9.25,9.4
22/08/18,9.4,9.45,9.25,9.35
23/08/18,9.35,9.35,9.2,9.3
24/08/18,9.25,9.3,9.1,9.1
27/08/18,9.15,9.2,9,9.2
28/08/18,9.25,9.4,9.2,9.35
29/08/18,9.4,9.4,9.2,9.25
30/08/18,9.25,9.35,9.25,9.35
31/08/18,9.25,9.4,9.25,9.4
03/09/18,9.4,9.45,9.35,9.35
04/09/18,9.3,9.4,9.3,9.3
05/09/18,9.25,9.25,9.05,9.1
06/09/18,9.05,9.1,9,9.1
07/09/18,9.05,9.15,9.05,9.1
10/09/18,9.05,9.15,9,9.1
11/09/18,9.1,9.5,9.1,9.45
12/09/18,9.45,9.45,9.3,9.4
13/09/18,9.4,9.55,9.35,9.45
14/09/18,9.45,9.55,9.45,9.5
17/09/18,9.5,9.55,9.4,9.55
18/09/18,9.5,9.55,9.4,9.45
19/09/18,9.45,9.5,9.3,9.3
20/09/18,9.35,9.45,9.35,9.45
21/09/18,9.5,9.5,9.3,9.35
24/09/18,9.35,9.35,9.2,9.2
25/09/18,9.2,9.25,9,9
26/09/18,9,9.05,8.95,9
27/09/18,8.95,9.15,8.9,9.05
28/09/18,9,9.1,9,9.1
01/10/18,9.1,9.2,8.9,8.9
02/10/18,8.9,8.95,8.8,8.95
03/10/18,8.95,9,8.8,8.8
04/10/18,8.8,8.8,8.55,8.65
05/10/18,8.6,8.6,8.35,8.35
08/10/18,8.4,8.55,8.35,8.45
09/10/18,8.5,8.6,8.4,8.4
10/10/18,8.4,8.7,8.4,8.6
11/10/18,8.5,8.6,8.4,8.4
12/10/18,8.45,8.55,8.4,8.5
16/10/18,8.45,8.5,8.3,8.45
17/10/18,8.45,8.55,8.4,8.4
18/10/18,8.4,8.5,8.3,8.3
19/10/18,8.25,8.35,8.05,8.35
22/10/18,8.3,8.3,8,8.05
24/10/18,8,8.1,7.85,7.95
25/10/18,7.85,8.4,7.8,8.35
26/10/18,8.3,8.3,8.05,8.1
29/10/18,8.15,8.15,8,8.05
30/10/18,8.05,8.1,8,8.05
31/10/18,8.1,8.2,8.05,8.2
01/11/18,8.2,8.35,8.2,8.35
02/11/18,8.4,8.4,8.3,8.3
05/11/18,8.3,8.3,8.1,8.15
06/11/18,8.15,8.25,8.1,8.1
07/11/18,8.1,8.15,8,8.15
08/11/18,8.2,8.4,8.2,8.3
09/11/18,8.3,8.3,8,8.15
12/11/18,8.15,8.15,8,8
13/11/18,8,8.1,7.75,8
14/11/18,8,8,7.85,7.85
15/11/18,7.85,7.9,7.25,7.25
16/11/18,7.25,7.45,7.2,7.3
19/11/18,7.25,7.25,6.85,6.9
20/11/18,6.75,6.85,6.65,6.7
21/11/18,6.65,7,6.65,6.9
22/11/18,6.85,7,6.8,7
23/11/18,6.95,7.1,6.9,7.05
26/11/18,7.05,7.1,6.95,7.1
27/11/18,7.05,7.1,7,7
28/11/18,7.05,7.1,6.85,6.95
29/11/18,6.9,7,6.75,6.75
30/11/18,6.8,6.85,6.75,6.8
03/12/18,6.9,7.05,6.9,6.95
04/12/18,6.8,6.95,6.8,6.85
06/12/18,6.8,6.85,6.7,6.75
07/12/18,6.7,6.85,6.65,6.65
11/12/18,6.65,6.7,6.55,6.55
12/12/18,6.6,6.65,6.45,6.55
13/12/18,6.5,6.55,6.2,6.2
14/12/18,6.2,6.4,6.15,6.25
17/12/18,6.25,6.3,6.15,6.25
18/12/18,6.2,6.3,6.15,6.2
19/12/18,6.2,6.4,6.15,6.3
20/12/18,6.25,6.35,6.2,6.2
21/12/18,6.2,6.25,6.05,6.1
24/12/18,6.15,6.2,6.05,6.1
25/12/18,6.05,6.05,5.85,5.9
26/12/18,5.9,5.95,5.85,5.9
27/12/18,6,6.15,6,6.05
28/12/18,6,6.05,5.8,6
02/01/19,6.05,6.1,5.9,6.05
03/01/19,6,6.2,6,6.15
04/01/19,6.1,6.15,5.9,6.15
07/01/19,6.3,6.4,6.1,6.25
08/01/19,6.3,6.4,6.25,6.35
09/01/19,6.4,6.45,6.3,6.4
10/01/19,6.4,6.6,6.4,6.55
11/01/19,6.55,6.75,6.5,6.7
14/01/19,6.7,6.85,6.45,6.55
15/01/19,6.5,6.65,6.5,6.65
16/01/19,6.65,6.7,6.5,6.65
17/01/19,6.6,6.85,6.6,6.75
18/01/19,6.85,6.9,6.7,6.75
21/01/19,6.75,6.75,6.55,6.65
22/01/19,6.55,6.65,6.45,6.65
23/01/19,6.65,6.95,6.6,6.9
24/01/19,6.9,6.95,6.8,6.85
25/01/19,6.85,7,6.85,6.95
28/01/19,6.95,7.1,6.95,7
29/01/19,6.95,7,6.85,6.9
30/01/19,6.85,6.95,6.75,6.8
