date,open,high,low,close
10/10/19,6,6.1,6,6.05
11/10/19,6.05,6.2,6.05,6.2
15/10/19,6.25,6.4,6.2,6.35
16/10/19,6.4,6.5,6.35,6.45
17/10/19,6.5,6.8,6.45,6.8
18/10/19,6.75,6.8,6.55,6.55
21/10/19,6.55,6.55,6.15,6.15
22/10/19,6.2,6.3,6.15,6.25
24/10/19,6.25,6.3,6,6.05
25/10/19,6.1,6.15,6,6.05
28/10/19,6.05,6.15,6,6.05
29/10/19,6.1,6.15,6,6.1
30/10/19,6.1,6.1,6,6.05
31/10/19,6.05,6.1,6,6.05
01/11/19,6.05,6.1,6,6.05
04/11/19,6.05,6.1,6,6.05
05/11/19,6,6.1,6,6.05
06/11/19,6.05,6.1,6,6.05
07/11/19,6,6.25,6,6.05
08/11/19,6.05,6.1,6,6.05
11/11/19,6.05,6.05,5.25,5.4
12/11/19,5.35,5.45,5.2,5.35
13/11/19,5.3,5.45,5.3,5.35
14/11/19,5.45,5.7,5.4,5.7
15/11/19,5.7,5.7,5.5,5.55
18/11/19,5.6,5.8,5.55,5.8
19/11/19,5.85,6.05,5.85,6.05
20/11/19,6,6.05,5.9,5.9
21/11/19,5.85,6.05,5.85,6
22/11/19,6,6.05,5.9,5.95
25/11/19,6,6,5.9,5.95
26/11/19,5.95,6,5.9,5.95
27/11/19,5.95,6,5.9,5.9
28/11/19,5.95,6.05,5.9,5.9
29/11/19,5.95,6,5.8,6
02/12/19,6,6,5.9,5.95
03/12/19,5.9,5.95,5.85,5.9
04/12/19,5.85,5.9,5.55,5.65
06/12/19,5.7,5.85,5.65,5.65
09/12/19,5.65,5.85,5.6,5.85
11/12/19,5.85,6,5.8,5.95
12/12/19,6,6,5.9,5.95
13/12/19,5.95,6,5.85,5.95
16/12/19,5.95,6,5.85,5.95
17/12/19,5.85,5.95,5.85,5.9
18/12/19,5.9,5.95,5.85,5.85
19/12/19,5.85,5.9,5.8,5.8
20/12/19,5.85,5.85,5.6,5.65
23/12/19,5.7,5.8,5.7,5.75
24/12/19,5.8,5.8,5.75,5.8
25/12/19,5.75,5.9,5.7,5.8
26/12/19,5.85,5.85,5.75,5.8
27/12/19,5.85,5.9,5.6,5.75
30/12/19,5.8,5.85,5.75,5.85
02/01/20,5.9,5.9,5.65,5.7
03/01/20,5.7,5.75,5.6,5.65
06/01/20,5.6,5.65,5.5,5.5
07/01/20,5.55,5.7,5.55,5.65
08/01/20,5.5,5.7,5.45,5.55
09/01/20,5.6,5.75,5.55,5.7
10/01/20,5.75,5.75,5.65,5.75
13/01/20,5.8,5.8,5.7,5.75
14/01/20,5.75,5.8,5.65,5.75
15/01/20,5.7,6.25,5.7,6.25
16/01/20,6.25,6.25,6,6.05
17/01/20,6.1,6.15,5.95,5.95
20/01/20,5.9,6.15,5.85,6.05
21/01/20,6.05,6.05,5.8,5.8
22/01/20,5.8,5.95,5.75,5.95
23/01/20,5.85,6,5.85,5.9
24/01/20,5.9,6.05,5.9,6
27/01/20,5.7,5.75,5.5,5.6
28/01/20,5.55,5.65,5.5,5.55
29/01/20,5.6,5.65,5.5,5.5
30/01/20,5.5,5.55,5.35,5.4
31/01/20,5.4,5.45,5.35,5.35
03/02/20,5.35,5.45,5.3,5.4
04/02/20,5.45,5.65,5.3,5.6
05/02/20,5.55,5.6,5.45,5.55
06/02/20,5.55,5.7,5.5,5.5
07/02/20,5.5,5.55,5.45,5.55
11/02/20,5.6,5.7,5.55,5.6
12/02/20,5.65,5.85,5.65,5.7
13/02/20,5.7,5.85,5.7,5.7
14/02/20,5.8,5.8,5.7,5.7
17/02/20,5.7,5.75,5.65,5.75
18/02/20,5.75,5.75,5.6,5.6
19/02/20,5.65,5.65,5.55,5.6
20/02/20,5.65,5.65,5.55,5.55
21/02/20,5.55,5.65,5.55,5.65
24/02/20,5.55,5.6,5.15,5.15
25/02/20,5.2,5.3,5,5.05
26/02/20,5.15,5.15,4.62,4.68
27/02/20,4.72,4.98,4.64,4.9
28/02/20,4.72,4.98,4.68,4.88
02/03/20,5,5.2,4.8,5.2
03/03/20,5.2,5.3,5.1,5.15
04/03/20,5.15,5.3,5,5.2
05/03/20,5.25,5.4,5.2,5.25
06/03/20,5.2,5.25,5.05,5.2
09/03/20,5.05,5.2,4.54,4.74
10/03/20,4.74,4.9,4.72,4.82
11/03/20,4.76,4.86,4.6,4.62
12/03/20,4.08,4.5,3.48,3.64
13/03/20,3.12,4.14,2.7,3.72
16/03/20,3.48,3.56,3.22,3.22
17/03/20,3.22,3.48,3.2,3.34
18/03/20,3.46,3.56,3.28,3.4
19/03/20,3.3,3.3,3.04,3.12
20/03/20,3.22,3.58,3.16,3.54
23/03/20,3.26,3.3,3.02,3.02
24/03/20,3.18,3.2,2.9,2.94
25/03/20,3.1,3.16,2.98,3.08
26/03/20,3.08,3.24,3.04,3.12
27/03/20,3.18,3.38,3.16,3.22
30/03/20,3.12,3.12,3.12,3.12
31/03/20,3.12,3.3,3.12,3.26
01/04/20,3.22,3.36,3.2,3.26
