date,open,high,low,close
03/01/18,202,207,202,205
04/01/18,206,207,205,205
05/01/18,206,210,206,206
08/01/18,207,209,206,207
09/01/18,208,208,208,208
10/01/18,208,210,206,206
11/01/18,206,208,204,208
12/01/18,209,211,207,209
15/01/18,210,213,210,212
16/01/18,213,213,210,212
17/01/18,210,213,209,213
18/01/18,213,213,211,213
19/01/18,211,212,208,212
22/01/18,210,211,209,211
23/01/18,212,215,211,215
24/01/18,215,216,213,215
25/01/18,215,217,211,211
26/01/18,210,211,206,210
29/01/18,212,212,209,209
30/01/18,210,210,207,207
31/01/18,207,209,206,207
01/02/18,207,210,207,208
02/02/18,209,210,207,210
05/02/18,206,209,205,208
06/02/18,206,207,201,206
07/02/18,209,210,204,204
08/02/18,204,207,204,206
09/02/18,203,208,203,208
12/02/18,208,208,205,206
13/02/18,206,207,205,205
14/02/18,205,207,205,206
15/02/18,205,207,205,206
16/02/18,207,209,206,206
19/02/18,207,208,207,208
20/02/18,206,207,205,205
21/02/18,206,207,205,206
22/02/18,206,206,204,206
23/02/18,205,207,204,206
26/02/18,206,208,205,208
27/02/18,209,214,208,210
28/02/18,210,213,209,211
02/03/18,209,211,208,210
05/03/18,209,211,207,208
06/03/18,208,208,208,208
07/03/18,208,209,206,206
08/03/18,207,209,206,209
09/03/18,210,210,208,210
12/03/18,211,211,209,211
13/03/18,211,212,208,209
14/03/18,209,210,209,209
15/03/18,209,210,208,210
16/03/18,210,210,209,209
19/03/18,209,210,208,208
20/03/18,208,208,206,206
21/03/18,208,208,203,203
22/03/18,204,204,202,204
23/03/18,202,203,201,202
26/03/18,202,204,199.5,200
27/03/18,203,207,202,202
28/03/18,202,204,200,202
29/03/18,200,201,198,198
30/03/18,198.5,199,195,197
02/04/18,197,199.5,196.5,199.5
03/04/18,199.5,201,198,198.5
04/04/18,199.5,199.5,187.5,188.5
05/04/18,191,191.5,188.5,189
09/04/18,189,194,188.5,193
10/04/18,194.5,196,193.5,194.5
11/04/18,196,199.5,196,197.5
12/04/18,198.5,198.5,195.5,197
17/04/18,198.5,201,197.5,201
18/04/18,202,205,201,205
19/04/18,205,206,199.5,201
20/04/18,201,203,199.5,203
23/04/18,197.5,198.5,196,196
24/04/18,195.5,195.5,190,191
25/04/18,190,191.5,189,191.5
26/04/18,192,193.5,191.5,192.5
27/04/18,193,194.5,191,194.5
30/04/18,195,195,193,193
02/05/18,193,195,192.5,195
03/05/18,194.5,195,192,194
04/05/18,193,193,191,191
07/05/18,191.5,192,188,189
08/05/18,190,191.5,189,191.5
09/05/18,191.5,191.5,184.5,188
10/05/18,186.5,187,185.5,187
11/05/18,187.5,190.5,187.5,190
14/05/18,191,192.5,190.5,192
15/05/18,192,192,190.5,191.5
16/05/18,190.5,192,190,191
17/05/18,190.5,191,187,187
18/05/18,188,189,187.5,188.5
21/05/18,189,194,189,193.5
22/05/18,194,194.5,192.5,194
23/05/18,195,195,193,193.5
24/05/18,193.5,193.5,192,192
25/05/18,193,194,191,193.5
28/05/18,193.5,196.5,193,195.5
30/05/18,192,193.5,190.5,192.5
31/05/18,191.5,192,189,189
01/06/18,189.5,191,188.5,189.5
04/06/18,189,190.5,188.5,189.5
05/06/18,190,195,189.5,195
06/06/18,195.5,196,194,194.5
07/06/18,196,197.5,194.5,195
08/06/18,194.5,196,194,195.5
11/06/18,195.5,196.5,193.5,196.5
12/06/18,197,198.5,196,198
13/06/18,198,198.5,197,198
14/06/18,198,199.5,195.5,199.5
15/06/18,198,201,197.5,199.5
18/06/18,198.5,199,197.5,197.5
19/06/18,195.5,197.5,191.5,195
20/06/18,195.5,197,193.5,197
21/06/18,198,198,193,195
22/06/18,195,195,192.5,192.5
25/06/18,192,193.5,191.5,192.5
26/06/18,191.5,194.5,190.5,193.5
27/06/18,194,195.5,193.5,194.5
28/06/18,194.5,196,193,194.5
29/06/18,195.5,196,193.5,195.5
02/07/18,195.5,197,193.5,197
03/07/18,197,197,195,196
04/07/18,195.5,198.5,195.5,196
05/07/18,196.5,198,194.5,194.5
06/07/18,194.5,197.5,194.5,197
09/07/18,197.5,198.5,196,197
10/07/18,197,198,195.5,197.5
11/07/18,194,197.5,194,196
12/07/18,195.5,196.5,192.5,193
13/07/18,193.5,195,192.5,193
16/07/18,192.5,193.5,192.5,193
17/07/18,193,195.5,193,194
18/07/18,194.5,195.5,194,194
19/07/18,194.5,195,193,193
20/07/18,196,198.5,195.5,197.5
23/07/18,199.5,203,199.5,202
24/07/18,203,205,201,205
25/07/18,205,206,203,203
26/07/18,205,205,202,204
31/07/18,205,207,203,206
01/08/18,206,206,204,206
02/08/18,205,206,202,203
03/08/18,204,206,203,205
06/08/18,206,207,204,205
07/08/18,206,207,204,206
08/08/18,206,208,205,206
09/08/18,207,209,206,208
10/08/18,208,208,206,206
14/08/18,205,206,203,204
15/08/18,203,203,201,201
16/08/18,202,205,202,204
17/08/18,205,206,204,205
20/08/18,206,207,205,206
21/08/18,207,208,204,206
22/08/18,206,208,205,207
23/08/18,208,208,206,207
24/08/18,206,208,206,207
27/08/18,209,210,208,210
28/08/18,211,211,209,209
29/08/18,210,210,207,207
30/08/18,208,209,206,206
31/08/18,206,207,204,205
03/09/18,205,207,205,206
04/09/18,206,207,204,205
05/09/18,204,205,203,204
06/09/18,204,206,204,205
07/09/18,205,205,202,202
10/09/18,202,203,201,202
11/09/18,202,204,201,202
12/09/18,200,202,199,201
13/09/18,204,210,203,209
14/09/18,209,212,209,209
17/09/18,207,210,207,209
18/09/18,209,214,208,213
19/09/18,213,214,211,211
20/09/18,211,212,207,208
21/09/18,209,210,208,208
24/09/18,208,212,208,211
25/09/18,211,212,210,211
26/09/18,211,212,209,211
27/09/18,211,212,208,212
28/09/18,212,213,209,210
01/10/18,211,212,209,210
02/10/18,209,211,207,209
03/10/18,209,210,208,208
04/10/18,208,210,207,208
05/10/18,208,210,208,210
08/10/18,210,211,208,208
09/10/18,208,211,207,210
10/10/18,211,212,210,212
11/10/18,208,210,206,208
12/10/18,209,210,208,210
16/10/18,210,212,209,212
17/10/18,213,214,212,213
18/10/18,213,213,211,213
19/10/18,212,213,210,211
22/10/18,211,211,210,210
24/10/18,208,211,208,209
25/10/18,208,209,204,207
26/10/18,208,208,206,206
29/10/18,206,209,205,206
30/10/18,206,209,205,207
31/10/18,207,209,207,207
01/11/18,208,212,208,212
02/11/18,213,215,211,214
05/11/18,212,216,212,214
06/11/18,215,216,215,216
07/11/18,216,217,214,215
08/11/18,217,218,214,215
09/11/18,213,215,213,214
12/11/18,214,215,211,212
13/11/18,212,216,211,213
14/11/18,212,214,209,210
15/11/18,211,212,209,210
16/11/18,210,211,209,210
19/11/18,210,210,206,206
20/11/18,205,206,203,205
21/11/18,203,208,202,207
22/11/18,208,209,206,207
23/11/18,207,208,204,205
26/11/18,206,209,205,209
27/11/18,209,210,208,210
28/11/18,210,211,207,207
29/11/18,208,210,206,206
30/11/18,207,210,205,208
03/12/18,210,212,209,210
04/12/18,210,212,210,211
06/12/18,208,210,207,209
07/12/18,208,210,206,207
11/12/18,206,208,206,206
12/12/18,208,208,206,206
13/12/18,207,209,207,209
14/12/18,208,209,205,207
17/12/18,207,208,204,206
18/12/18,204,205,202,205
19/12/18,205,208,204,208
20/12/18,206,207,204,206
21/12/18,205,207,204,207
24/12/18,205,207,205,206
25/12/18,204,205,199,203
26/12/18,201,203,200,202
27/12/18,205,205,199,199
28/12/18,200,204,200,203
02/01/19,204,205,203,203
03/01/19,204,206,204,205
04/01/19,204,205,201,203
07/01/19,205,208,204,208
08/01/19,207,208,206,207
09/01/19,208,210,207,208
10/01/19,207,209,205,205
11/01/19,206,207,205,206
14/01/19,206,208,205,208
15/01/19,207,208,205,206
16/01/19,206,207,205,206
17/01/19,205,207,202,203
18/01/19,203,203,198,199.5
21/01/19,203,205,202,205
22/01/19,205,209,204,208
23/01/19,209,212,208,210
24/01/19,211,212,210,212
25/01/19,213,214,209,209
28/01/19,209,211,208,210
29/01/19,210,212,209,212
30/01/19,211,212,209,211
31/01/19,213,215,212,215
01/02/19,215,216,214,215
04/02/19,215,216,213,213
05/02/19,212,214,212,213
06/02/19,213,214,212,212
07/02/19,212,214,211,211
08/02/19,210,212,208,211
11/02/19,211,212,209,212
12/02/19,212,212,210,211
13/02/19,212,212,211,211
14/02/19,211,211,209,210
15/02/19,209,210,206,207
18/02/19,208,209,206,206
20/02/19,207,208,205,207
21/02/19,208,211,207,211
22/02/19,211,211,208,211
25/02/19,212,213,211,212
26/02/19,212,212,210,211
27/02/19,211,212,207,208
28/02/19,208,210,207,209
01/03/19,210,211,209,209
04/03/19,209,210,206,206
05/03/19,206,209,205,209
06/03/19,208,209,206,206
07/03/19,205,209,205,207
08/03/19,206,208,205,206
11/03/19,207,208,206,207
12/03/19,208,209,207,208
13/03/19,208,211,207,210
14/03/19,211,211,209,209
15/03/19,210,210,208,208
18/03/19,209,209,207,209
19/03/19,208,210,207,209
20/03/19,209,209,207,208
21/03/19,209,210,208,208
22/03/19,208,209,207,208
25/03/19,207,209,206,207
26/03/19,207,209,206,208
27/03/19,208,209,206,207
28/03/19,206,207,205,207
