date,open,high,low,close
03/01/18,16.200001,16.5,16,16.200001
04/01/18,16.299999,16.299999,15.7,15.9
05/01/18,15.7,15.9,15.5,15.6
08/01/18,15.6,15.9,15.3,15.4
09/01/18,15.4,15.4,15,15.3
10/01/18,15.3,15.6,15.3,15.4
11/01/18,15.6,15.9,15.5,15.7
12/01/18,15.6,15.8,15.6,15.6
15/01/18,15.6,15.8,15.4,15.5
16/01/18,15.5,15.7,15.5,15.7
17/01/18,15.6,15.7,15.4,15.5
18/01/18,15.6,16.1,15.5,15.9
19/01/18,15.9,15.9,15.6,15.8
22/01/18,15.8,16.1,15.7,15.9
23/01/18,15.9,16.1,15.7,15.8
24/01/18,15.9,16.299999,15.8,16.1
25/01/18,16.1,16.200001,15.7,15.7
26/01/18,15.7,16.1,15.7,15.9
29/01/18,15.9,16.299999,15.9,16.1
30/01/18,16.1,16.1,15.9,16
31/01/18,15.9,16.299999,15.9,16.200001
01/02/18,16.200001,16.9,16.200001,16.9
02/02/18,16.9,16.9,16.4,16.5
05/02/18,16.1,16.4,16,16.4
06/02/18,15.9,16.200001,15.6,16.1
07/02/18,16.1,16.299999,16,16.1
08/02/18,16.1,16.4,16.1,16.200001
09/02/18,16,16.200001,15.9,16.200001
12/02/18,16.200001,16.5,16.200001,16.5
13/02/18,16.5,16.700001,16.4,16.700001
14/02/18,16.700001,16.700001,16.200001,16.4
15/02/18,16.5,16.6,16.200001,16.5
16/02/18,16.5,16.6,16.4,16.6
19/02/18,16.6,16.799999,16.5,16.700001
20/02/18,16.799999,16.799999,16.4,16.5
21/02/18,16.5,16.5,16.1,16.299999
22/02/18,16.200001,16.299999,16,16.1
23/02/18,16.200001,16.4,16.1,16.299999
26/02/18,16.299999,16.6,16.200001,16.4
27/02/18,16.6,16.700001,15.9,16.299999
28/02/18,16.4,16.4,15.9,15.9
02/03/18,15.9,16.6,15.8,16.4
05/03/18,16.299999,16.5,16.200001,16.4
06/03/18,16.5,16.5,16.5,16.5
07/03/18,16.5,16.6,16.299999,16.4
08/03/18,16.5,16.799999,16.299999,16.5
09/03/18,16.5,16.6,16.200001,16.299999
12/03/18,16.299999,16.6,16.299999,16.299999
13/03/18,16.299999,16.5,16.1,16.200001
14/03/18,16.200001,16.5,16.200001,16.4
15/03/18,16.4,16.6,16.200001,16.4
16/03/18,16.5,16.9,16.4,16.700001
19/03/18,16.799999,17.4,16.700001,17
20/03/18,17,17.200001,16.9,17
21/03/18,17,17.1,16.799999,16.9
22/03/18,16.9,17.1,16.5,16.700001
23/03/18,16.5,17,16.5,16.799999
26/03/18,16.799999,17,16.700001,16.700001
27/03/18,16.799999,17,16.799999,16.9
28/03/18,16.9,17,16.5,16.6
29/03/18,16.6,17,16.6,16.9
30/03/18,16.799999,17.1,16.700001,17.1
02/04/18,17.200001,17.700001,17.1,17.700001
03/04/18,17.6,17.700001,17.200001,17.5
04/04/18,17.5,17.5,16.700001,16.9
05/04/18,17,17.200001,16.799999,16.9
09/04/18,16.9,17.700001,16.9,17.5
10/04/18,17.6,17.700001,17.299999,17.5
11/04/18,17.6,18.299999,17.5,17.799999
12/04/18,17.700001,17.799999,17.5,17.6
17/04/18,17.6,18,17.6,17.799999
18/04/18,17.799999,18.200001,17.5,17.700001
19/04/18,17.700001,17.9,17.4,17.6
20/04/18,17.4,17.799999,17.200001,17.5
23/04/18,17.5,17.6,17,17.200001
24/04/18,17.1,18.1,17.1,17.5
25/04/18,17.6,18.1,17.5,17.9
26/04/18,17.9,18.1,17.799999,18
27/04/18,17.799999,17.799999,17,17.200001
30/04/18,17.200001,17.6,17.1,17.4
02/05/18,17.4,17.700001,17.200001,17.299999
03/05/18,17.299999,17.700001,17.299999,17.6
04/05/18,17.6,17.700001,17.200001,17.299999
07/05/18,17.4,17.6,16.799999,17
08/05/18,16.9,17.1,16.700001,16.799999
09/05/18,16.700001,17,16.6,16.799999
10/05/18,17,17.4,16.799999,17
11/05/18,17,17.5,17,17.299999
14/05/18,17.4,17.799999,17.4,17.700001
15/05/18,17.5,17.6,16.1,16.6
16/05/18,16.5,16.6,16.1,16.299999
17/05/18,16.299999,16.700001,16.200001,16.6
18/05/18,16.6,16.6,16.299999,16.4
21/05/18,16.5,16.799999,16.4,16.5
22/05/18,16.4,16.5,16.1,16.299999
23/05/18,16.299999,16.6,16.299999,16.4
24/05/18,16.299999,16.799999,16.299999,16.5
25/05/18,16.5,16.700001,16.4,16.6
28/05/18,16.6,16.700001,16.4,16.700001
30/05/18,16.5,16.799999,16.299999,16.4
31/05/18,16.4,16.5,16.1,16.4
01/06/18,16.4,16.5,16,16.200001
04/06/18,16.200001,16.4,16.1,16.200001
05/06/18,16.299999,16.5,16.1,16.299999
06/06/18,16.299999,16.4,15.9,16
07/06/18,16,16.1,15.9,15.9
08/06/18,15.9,15.9,15.6,15.9
11/06/18,15.9,16.200001,15.8,16
12/06/18,16.1,16.5,16,16.4
13/06/18,16.299999,16.4,16.1,16.200001
14/06/18,16.299999,16.4,16.1,16.200001
15/06/18,16.200001,16.4,16.200001,16.299999
18/06/18,16.200001,16.299999,15.7,15.8
19/06/18,15.7,15.9,15.5,15.6
20/06/18,15.6,15.8,15.4,15.8
21/06/18,15.8,15.8,15.3,15.5
22/06/18,15.5,15.6,15.2,15.5
25/06/18,15.5,15.6,15.4,15.4
26/06/18,15.3,15.5,15.1,15.4
27/06/18,15.4,15.4,14.9,15.1
28/06/18,15.3,15.5,15.3,15.3
29/06/18,15.3,15.5,15.1,15.3
02/07/18,15.3,15.7,15.2,15.5
03/07/18,15.5,16.4,15.4,16.200001
04/07/18,16.200001,16.4,15.9,16.299999
05/07/18,16.299999,16.4,16,16.1
06/07/18,16.1,16.200001,15.9,16.1
09/07/18,16.299999,16.5,16.1,16.299999
10/07/18,16.4,16.4,15.8,16.200001
11/07/18,15.9,16,15.5,15.7
12/07/18,15.7,16,15.5,15.7
13/07/18,15.7,15.8,15.7,15.7
16/07/18,15.7,15.8,15.5,15.5
17/07/18,15.6,15.9,15.5,15.7
18/07/18,15.7,16.200001,15.7,15.9
19/07/18,15.9,16.200001,15.8,16
20/07/18,16.1,16.200001,16,16
23/07/18,16.1,16.4,16.1,16.200001
24/07/18,16.200001,16.299999,16,16.200001
25/07/18,16.200001,16.799999,16.1,16.6
26/07/18,16.700001,16.9,16.4,16.6
31/07/18,16.5,16.6,16.1,16.299999
01/08/18,16.299999,16.6,16.200001,16.6
02/08/18,16.5,16.6,16.200001,16.4
03/08/18,16.4,16.5,16.200001,16.299999
06/08/18,16.4,16.6,16.200001,16.299999
07/08/18,16.299999,16.299999,16,16.200001
08/08/18,16.200001,16.9,16.200001,16.799999
09/08/18,16.799999,17.799999,16.799999,17.5
10/08/18,17.4,17.700001,17.4,17.700001
14/08/18,17.700001,18,17.6,17.700001
15/08/18,17.700001,17.799999,17.200001,17.5
16/08/18,17.5,17.9,17.200001,17.700001
17/08/18,17.700001,18.299999,17.700001,17.9
20/08/18,17.9,18.4,17.9,18.4
21/08/18,18.5,18.799999,18.200001,18.5
22/08/18,18.5,18.6,18.4,18.5
23/08/18,18.6,18.6,18,18.299999
24/08/18,18.200001,18.700001,18.200001,18.6
27/08/18,18.700001,19.200001,18.6,18.799999
28/08/18,19,19.1,18.799999,19.1
29/08/18,19.1,19.1,18.4,18.6
30/08/18,18.799999,19,18.700001,18.9
31/08/18,18.9,19.299999,18.799999,19.1
03/09/18,19.1,19.4,18.700001,19
04/09/18,19,19.1,18.799999,18.9
05/09/18,18.799999,19.200001,18.5,18.6
06/09/18,18.6,19,18.6,19
07/09/18,18.9,19.700001,18.9,19.4
10/09/18,19.200001,19.4,19.1,19.200001
11/09/18,19.200001,19.5,19.200001,19.200001
12/09/18,19.200001,19.299999,19,19.200001
13/09/18,19.200001,19.4,19.1,19.299999
14/09/18,19.299999,19.4,19.1,19.200001
17/09/18,19.1,19.200001,18.9,18.9
18/09/18,19,20,19,19.4
19/09/18,19.4,20,19.299999,20
20/09/18,20,21.1,19.9,20.1
21/09/18,20.1,20.4,19.799999,20.200001
24/09/18,20,20.200001,19.5,19.6
