date,open,high,low,close
03/01/18,41,41.75,40.75,41.75
04/01/18,41.75,41.75,41,41.75
05/01/18,41.75,41.75,41.25,41.5
08/01/18,41.25,41.5,40.5,40.75
09/01/18,40.5,40.5,40.5,40.5
10/01/18,41.25,41.75,40.75,41.25
11/01/18,41.5,42.25,41.25,42
12/01/18,42.5,43.25,42,43.25
15/01/18,43.5,43.75,42.75,42.75
16/01/18,42.5,42.75,42,42.25
17/01/18,42,42.25,41.5,42
18/01/18,42.25,42.75,41.5,41.5
19/01/18,41.25,41.75,40.75,41.25
22/01/18,41,42,41,41.75
23/01/18,42,42.75,41.5,42.25
24/01/18,42.25,42.5,41.5,42
25/01/18,42.25,42.25,41.5,41.5
26/01/18,41.25,41.75,41,41.25
29/01/18,41.5,42.25,41.5,41.75
30/01/18,41.5,42.25,41.25,42.25
31/01/18,41.75,42.25,41.5,41.75
01/02/18,41.75,42,41.5,41.5
02/02/18,42,42.5,41.5,41.75
05/02/18,40.75,41,40.25,40.75
06/02/18,39.5,40.25,39.25,40
07/02/18,40.25,40.75,39.75,39.75
08/02/18,39.75,40.25,39.75,40
09/02/18,39.25,39.75,39,39.75
12/02/18,39.75,40.25,39.25,40
13/02/18,40,40,39.25,39.5
14/02/18,39.5,40.25,39.5,39.5
15/02/18,40,40,39.5,40
16/02/18,40,40.25,39.75,39.75
19/02/18,40,40.75,39.75,40.25
20/02/18,40.25,40.75,40.25,40.5
21/02/18,40.5,40.5,40,40.25
22/02/18,40.25,40.5,39.5,39.75
23/02/18,39.75,40.5,39.75,40.25
26/02/18,40.5,41,40.25,40.75
27/02/18,41,41.5,40.5,40.5
28/02/18,40.5,40.75,39.75,40.5
02/03/18,40.75,41,39.75,40
05/03/18,40,40.5,39.75,40.25
06/03/18,40.25,40.5,39.75,40
07/03/18,39.75,40,39.25,39.5
08/03/18,39.5,40,39.25,39.5
09/03/18,39.75,39.75,39.25,39.5
12/03/18,39.75,40.5,39.75,40
13/03/18,39,39.25,38.75,39
14/03/18,39,39.25,38.75,39.25
15/03/18,39.25,40,39,39.75
16/03/18,39.75,40,39,39.5
19/03/18,39.25,39.5,39,39
20/03/18,39,39.25,38.5,38.75
21/03/18,39,39,38.5,38.5
22/03/18,38.75,39.25,38.5,38.75
23/03/18,38.5,38.5,38,38.25
26/03/18,38.25,38.5,38,38.25
27/03/18,38.25,38.5,38,38.25
28/03/18,38.25,38.5,37.75,37.75
29/03/18,37.75,37.75,36.25,36.75
30/03/18,36.75,37,35.5,36.25
02/04/18,36,36.75,36,36.5
03/04/18,36.25,36.5,36,36
04/04/18,36,36.25,34.5,35
05/04/18,35,35.75,34.5,35.25
09/04/18,35.25,36.5,35.25,36.25
10/04/18,36.25,36.5,35.5,36.5
11/04/18,36.75,37,36.25,36.25
12/04/18,36.25,37.25,36.25,37
17/04/18,37.25,37.5,36.75,37
18/04/18,37,37.5,37,37.25
19/04/18,37.5,38.25,37.5,37.75
20/04/18,37.5,37.75,36.25,36.5
23/04/18,36,36.25,35.75,36
24/04/18,36.25,36.5,35.75,36
25/04/18,36,37,36,36.5
26/04/18,36.5,36.5,36,36.5
27/04/18,36.5,36.75,36.25,36.75
30/04/18,36.5,36.5,36,36.25
02/05/18,36,36.5,36,36.5
03/05/18,36.25,36.5,35.75,36.25
04/05/18,36,36.5,36,36.25
07/05/18,36.25,36.5,36,36
08/05/18,36.25,36.75,36,36.25
09/05/18,36.25,36.5,36,36.25
10/05/18,36.5,36.5,36,36
11/05/18,36,36.25,35.75,36
14/05/18,35,35.5,34.5,35.5
15/05/18,35.25,35.5,35,35.25
16/05/18,35,35.25,34.75,35
17/05/18,35,35.5,35,35.25
18/05/18,35,35.5,35,35.5
21/05/18,35.5,36.25,35.25,35.75
22/05/18,35.75,36,35.25,35.5
23/05/18,35.25,35.5,35,35.5
24/05/18,35.25,35.25,35,35
25/05/18,35,35.25,34.75,35.25
28/05/18,35,35.5,35,35.5
30/05/18,35.25,35.5,35,35.25
31/05/18,35.25,36.25,35.25,36.25
01/06/18,36,36.25,35.5,35.75
