date,open,high,low,close
03/01/18,23.9,24.700001,23.799999,24.6
04/01/18,24.799999,25.75,24.700001,25.5
05/01/18,25.75,26.75,25.5,26
08/01/18,26,26,25.25,25.25
09/01/18,25.5,25.5,25.5,25.5
10/01/18,25.75,26,25,25.5
11/01/18,25.5,27,25,27
12/01/18,27.25,28,27.25,27.5
15/01/18,27.75,28,26.5,26.5
16/01/18,26.25,26.25,25.5,25.75
17/01/18,25.25,27.25,25.25,26.75
18/01/18,27,27.25,25.75,25.75
19/01/18,25.5,26.5,25.5,26.5
22/01/18,26.25,27,26.25,26.75
23/01/18,27,27.25,26,26
24/01/18,26.25,27,26,27
25/01/18,26.75,27,26,26
26/01/18,25.5,26.25,25.5,26
29/01/18,26.25,26.25,25.75,26
30/01/18,25.75,26,25.25,25.75
31/01/18,25.5,26,25.5,25.75
01/02/18,25.75,26,25.5,25.75
02/02/18,26,26.25,25.5,25.75
05/02/18,25,25.5,25,25.25
06/02/18,24.6,25.25,24.1,25
07/02/18,25.5,25.5,24.9,25
08/02/18,25.25,25.25,24.700001,24.9
09/02/18,24.5,25.25,24.5,25
12/02/18,25,25.75,25,25.75
13/02/18,25.75,25.75,25.25,25.25
14/02/18,25.5,25.5,24.9,25.25
15/02/18,25,25.25,24.9,25
16/02/18,25.25,25.25,24.9,25
19/02/18,25,25.25,24.799999,24.799999
20/02/18,24.799999,25,24.5,24.6
21/02/18,24.700001,24.799999,24.200001,24.200001
22/02/18,24,24.200001,23.1,23.1
23/02/18,23.299999,24.5,23.299999,24.4
26/02/18,24.4,24.6,24.200001,24.6
27/02/18,24.799999,25.25,24.299999,24.4
28/02/18,23.799999,23.9,23,23
02/03/18,22.799999,22.9,22.200001,22.200001
05/03/18,22.299999,22.799999,22.200001,22.4
06/03/18,21.4,21.4,21.4,21.4
07/03/18,21.299999,22,21,21.700001
08/03/18,21.9,22,21.299999,21.5
09/03/18,21.5,21.6,21.1,21.5
12/03/18,21.9,21.9,21.299999,21.6
13/03/18,21.5,22.5,21.4,22.5
14/03/18,22.299999,22.9,22.200001,22.5
15/03/18,22.5,22.700001,22.299999,22.4
16/03/18,22.4,22.5,21.700001,21.799999
19/03/18,21.700001,21.9,21.200001,21.200001
20/03/18,21.1,21.9,21.1,21.6
21/03/18,21.700001,21.9,21.6,21.700001
22/03/18,21.799999,22.200001,21.5,21.5
23/03/18,21.200001,21.6,21.200001,21.6
26/03/18,21.6,21.9,21.5,21.799999
27/03/18,22,22.1,21.700001,21.700001
28/03/18,21.700001,21.799999,21.299999,21.4
29/03/18,21.5,21.799999,21.200001,21.4
30/03/18,21.5,21.6,20.200001,20.6
02/04/18,20.5,20.5,19.799999,19.799999
03/04/18,19.700001,19.799999,18.9,19
04/04/18,19.1,19.4,18.299999,18.4
05/04/18,18.700001,18.9,18.4,18.799999
09/04/18,18.6,19.1,18.5,18.700001
10/04/18,18.799999,19.1,17.5,19.1
11/04/18,19.299999,19.4,18.700001,19.1
12/04/18,19,19.6,18.799999,19.6
17/04/18,19.5,19.6,19.1,19.200001
18/04/18,19.299999,19.6,18.700001,19
19/04/18,19.1,19.799999,19.1,19.6
20/04/18,19.6,19.700001,19.299999,19.4
23/04/18,19.4,19.6,19.200001,19.200001
24/04/18,19.299999,19.299999,18.799999,18.9
25/04/18,18.9,19.299999,18.799999,19
26/04/18,19.1,19.5,19,19.299999
27/04/18,19.299999,19.5,19,19.200001
30/04/18,19.299999,19.6,19.200001,19.5
02/05/18,19.5,20.200001,19.4,20.200001
03/05/18,20.1,20.299999,20,20.1
04/05/18,20.1,20.200001,19.6,19.799999
07/05/18,19.9,20.200001,19.799999,19.9
08/05/18,19.9,19.9,19.200001,19.299999
09/05/18,19.4,19.799999,19,19.5
10/05/18,19.6,19.799999,19.4,19.4
11/05/18,19.4,19.799999,19.4,19.799999
14/05/18,19.299999,19.5,19.1,19.200001
15/05/18,19.200001,19.299999,19.1,19.1
16/05/18,19.1,19.299999,19,19.1
17/05/18,19.1,19.6,19.1,19.299999
18/05/18,19.299999,19.6,19.299999,19.4
21/05/18,19.5,20.1,19.5,19.9
22/05/18,20,20,19.6,19.700001
23/05/18,19.700001,20.299999,19.700001,20.1
24/05/18,19.9,20.200001,19.4,19.4
25/05/18,19.5,19.6,19.200001,19.5
28/05/18,19.5,19.6,19.4,19.4
30/05/18,19.299999,19.5,19.1,19.200001
31/05/18,19.299999,19.6,19.200001,19.6
01/06/18,19.6,19.6,19.200001,19.4
04/06/18,19.4,19.799999,19.299999,19.6
05/06/18,19.4,19.5,19.200001,19.4
06/06/18,19.4,19.700001,19.299999,19.4
07/06/18,19.5,19.799999,19.4,19.5
08/06/18,19.6,19.6,19.299999,19.4
11/06/18,19.5,19.5,19.200001,19.299999
12/06/18,19.299999,19.6,19.200001,19.299999
13/06/18,19.4,19.4,19.200001,19.200001
14/06/18,19.299999,19.299999,18.6,18.799999
15/06/18,18.9,19.200001,18.700001,18.799999
18/06/18,18.799999,18.9,18.6,18.700001
19/06/18,18.6,18.6,17.700001,17.700001
20/06/18,17.799999,18.1,17.700001,18
21/06/18,18,18.1,17.299999,17.299999
22/06/18,17.4,17.5,17,17.1
25/06/18,17.200001,17.4,16.9,16.9
26/06/18,16.700001,17.1,16.5,16.9
27/06/18,17,17.200001,16.799999,16.799999
28/06/18,16.799999,16.9,16.299999,16.299999
29/06/18,16.299999,16.299999,15.6,15.8
02/07/18,15.8,16.200001,15.6,16.200001
03/07/18,16.1,16.6,16,16.5
04/07/18,16.5,16.6,16.200001,16.4
05/07/18,16.5,16.700001,16,16
06/07/18,16,16.4,15.9,16.200001
09/07/18,16.4,16.6,16.299999,16.4
10/07/18,16.5,16.799999,16.299999,16.700001
11/07/18,16.5,16.9,16.5,16.799999
12/07/18,16.9,17.1,16.700001,16.9
13/07/18,16.9,16.9,16.700001,16.799999
16/07/18,16.799999,16.9,16.6,16.700001
17/07/18,16.6,16.700001,16.5,16.700001
18/07/18,16.700001,16.700001,16.5,16.6
19/07/18,16.6,17.5,16.6,17.5
20/07/18,17.5,17.6,17.299999,17.6
23/07/18,17.6,18.1,17.6,18
24/07/18,18.1,18.200001,17.5,17.799999
25/07/18,17.799999,17.9,17.700001,17.799999
26/07/18,17.799999,18,17.700001,17.9
31/07/18,18,18,17.700001,17.700001
01/08/18,17.799999,18.4,17.799999,18.299999
02/08/18,18.200001,18.200001,18,18.200001
03/08/18,18.200001,19.1,18.1,18.9
06/08/18,18.9,19.299999,18.799999,19
07/08/18,18.9,19.1,18.700001,19
08/08/18,18.299999,18.799999,18.200001,18.700001
09/08/18,18.700001,19,18.6,18.9
10/08/18,18.799999,18.799999,18.5,18.6
14/08/18,18.200001,18.4,18,18.1
15/08/18,18.1,18.1,17.799999,17.799999
16/08/18,17.299999,18,17.299999,18
17/08/18,18,18.1,17.700001,17.799999
20/08/18,17.9,18.200001,17.700001,18
21/08/18,18.1,18.200001,17.799999,17.799999
22/08/18,17.799999,18.200001,17.799999,18
23/08/18,18.1,18.5,18.1,18.5
24/08/18,18.4,18.5,18.200001,18.4
27/08/18,18.5,18.700001,18.4,18.6
28/08/18,18.799999,18.9,18.6,18.700001
29/08/18,18.700001,18.700001,18.5,18.6
30/08/18,18.700001,19.299999,18.700001,19.1
31/08/18,19,19.299999,18.9,19.299999
03/09/18,19.1,19.200001,18.9,19
04/09/18,19,19.200001,18.799999,18.9
05/09/18,18.799999,18.799999,18,18
06/09/18,18.1,18.200001,17.9,18.200001
07/09/18,18.1,18.200001,18,18
10/09/18,18,18.299999,17.9,18.200001
11/09/18,18.200001,18.5,18.1,18.299999
12/09/18,18.299999,18.299999,18,18.200001
13/09/18,18.299999,18.799999,18.299999,18.700001
14/09/18,18.799999,19.5,18.700001,19.5
17/09/18,19.5,20.6,19.4,20.6
18/09/18,20.6,20.9,20.4,20.700001
19/09/18,20.799999,21.5,20.700001,20.9
20/09/18,21,21.200001,20.799999,20.9
21/09/18,21,21.200001,20.799999,20.799999
24/09/18,20.700001,21.5,20.6,21.299999
25/09/18,21.4,21.4,21,21.1
26/09/18,21.1,21.4,21.1,21.299999
27/09/18,21.4,21.4,21.1,21.200001
28/09/18,21.299999,22.700001,21.299999,22.700001
01/10/18,22.5,22.6,22.200001,22.5
02/10/18,22.5,22.799999,22.200001,22.4
03/10/18,22.4,22.6,20.5,20.700001
04/10/18,20.4,20.799999,20.1,20.4
05/10/18,20.299999,20.700001,19.799999,20
08/10/18,19.9,20.1,19.5,19.799999
09/10/18,19.9,20.4,19.700001,20.299999
10/10/18,20.5,21,20.200001,21
11/10/18,20.299999,20.6,19.9,20
12/10/18,20.200001,20.5,20.1,20.4
16/10/18,20.4,20.4,20.1,20.4
17/10/18,20.6,20.6,20.200001,20.200001
18/10/18,20.200001,20.200001,19.700001,19.700001
19/10/18,19.6,19.799999,19.200001,19.4
22/10/18,19.4,19.4,18.6,18.6
24/10/18,18.200001,18.4,18,18
25/10/18,17.799999,18.5,17.700001,18.5
26/10/18,18.299999,18.4,18.1,18.1
29/10/18,18.200001,18.5,18.1,18.299999
30/10/18,18.299999,18.6,18.1,18.299999
31/10/18,18.5,18.799999,18.4,18.700001
01/11/18,18.700001,18.799999,18.299999,18.4
02/11/18,18.5,19.1,18.4,18.799999
05/11/18,18.700001,18.799999,18.299999,18.5
06/11/18,18.5,18.6,18.1,18.1
07/11/18,18.4,18.700001,18.1,18.6
08/11/18,18.700001,18.700001,18.5,18.5
09/11/18,18.5,18.6,18.200001,18.299999
12/11/18,18.4,18.4,18.1,18.1
13/11/18,18.1,18.4,18,18.1
14/11/18,18.1,18.5,18,18.200001
15/11/18,18.299999,18.299999,17.9,17.9
16/11/18,17.9,18.1,17.799999,17.799999
19/11/18,17.799999,17.9,17.6,17.700001
20/11/18,17.6,17.700001,17.299999,17.299999
21/11/18,17.1,17.5,17,17.200001
22/11/18,17.200001,17.4,17,17
23/11/18,17.1,17.5,16.9,17.4
26/11/18,17.4,17.5,17.200001,17.4
27/11/18,17.4,17.700001,17.4,17.6
28/11/18,17.700001,18,17.700001,17.9
29/11/18,18,18.1,17.700001,17.700001
30/11/18,17.799999,18,17.700001,17.9
03/12/18,18.200001,18.4,18.1,18.299999
04/12/18,18.4,18.4,18.1,18.200001
06/12/18,18,18.1,17.799999,18
07/12/18,17.799999,18,17.799999,17.9
11/12/18,17.799999,17.9,17.5,17.5
12/12/18,17.6,17.700001,17.200001,17.299999
13/12/18,17.5,17.5,17,17.1
14/12/18,17,17.299999,16.9,17
17/12/18,17,17.200001,16.6,16.799999
18/12/18,16.700001,16.799999,16.5,16.6
19/12/18,16.6,17.1,16.6,17
20/12/18,16.9,17.1,16.5,16.9
21/12/18,16.700001,16.9,16.6,16.700001
24/12/18,16.700001,16.9,16.5,16.5
25/12/18,16.299999,16.299999,15.8,15.9
26/12/18,15.9,16,15.3,15.4
27/12/18,15.8,15.9,15,15
28/12/18,15.1,15.3,14.7,15.2
02/01/19,15.2,15.4,15.2,15.3
03/01/19,15.3,15.9,15.2,15.3
04/01/19,15.3,15.6,15.2,15.6
07/01/19,15.8,16.4,15.7,16.1
08/01/19,16.200001,16.200001,15.9,16.1
09/01/19,16.299999,16.4,15.9,16
10/01/19,15.9,16.299999,15.9,16.1
11/01/19,16.200001,16.200001,16,16.1
14/01/19,16,16.1,15.6,15.6
15/01/19,15.3,15.4,14.9,15.1
16/01/19,15.2,15.4,14.8,15.2
17/01/19,15.2,15.3,15.1,15.1
18/01/19,15.1,15.4,15.1,15.2
21/01/19,15.3,15.7,15.3,15.4
22/01/19,15.3,15.8,15.3,15.8
23/01/19,15.8,16.4,15.7,16.4
24/01/19,16.4,16.5,16.200001,16.299999
25/01/19,16.4,16.6,16.299999,16.4
28/01/19,16.6,17,16.6,16.700001
29/01/19,16.6,16.799999,16.5,16.5
30/01/19,16.6,16.700001,16.299999,16.6
31/01/19,16.700001,17.1,16.700001,16.799999
01/02/19,16.9,17,16.6,16.799999
04/02/19,16.9,17.1,16.799999,16.799999
05/02/19,16.799999,16.9,16.700001,16.799999
06/02/19,16.799999,17.1,16.799999,16.9
07/02/19,16.799999,17.299999,16.799999,16.9
08/02/19,16.700001,16.799999,16.6,16.700001
11/02/19,16.700001,16.700001,16.299999,16.299999
12/02/19,16.299999,16.5,16.299999,16.299999
13/02/19,16.5,17.1,16.4,16.9
14/02/19,17,17.1,16.6,16.700001
15/02/19,16.700001,16.799999,16.4,16.4
18/02/19,16.5,16.6,16.4,16.5
20/02/19,16.6,16.6,16.4,16.5
21/02/19,16.6,16.799999,16.5,16.6
22/02/19,16.5,16.700001,16.5,16.6
25/02/19,16.700001,17.1,16.6,16.799999
26/02/19,16.9,16.9,16.700001,16.700001
27/02/19,16.799999,16.9,16.6,16.700001
28/02/19,16.799999,16.9,16.6,16.799999
01/03/19,16.799999,16.9,16.299999,16.4
04/03/19,16.299999,16.4,16,16.1
05/03/19,15.9,16,15.8,15.9
06/03/19,15.9,16.1,15.8,15.8
07/03/19,15.8,16.299999,15.6,16.200001
08/03/19,16.1,16.299999,15.9,15.9
11/03/19,16,16.200001,15.9,16.200001
12/03/19,16.200001,16.299999,16.1,16.1
13/03/19,16.1,16.799999,16.1,16.700001
14/03/19,16.9,16.9,16.700001,16.700001
15/03/19,16.700001,16.700001,16.299999,16.299999
18/03/19,16.299999,16.4,16.1,16.1
19/03/19,16.1,16.299999,16.1,16.200001
20/03/19,16.200001,16.5,16.1,16.299999
21/03/19,16.4,16.6,16.299999,16.299999
22/03/19,16.4,16.5,16.200001,16.299999
25/03/19,16.200001,16.4,16.1,16.299999
26/03/19,16.4,16.4,16.200001,16.299999
27/03/19,16.299999,16.4,16.200001,16.299999
28/03/19,16.299999,16.4,16.200001,16.4
29/03/19,16.4,16.6,16.4,16.4
01/04/19,16.4,16.6,16.4,16.4
02/04/19,16.4,16.799999,16.4,16.6
03/04/19,16.700001,16.700001,16.5,16.6
04/04/19,16.6,16.6,16.5,16.5
05/04/19,16.5,16.5,16.299999,16.299999
09/04/19,16.4,16.5,16.299999,16.4
10/04/19,16.5,16.9,16.4,16.799999
11/04/19,16.799999,17,16.700001,16.799999
12/04/19,16.799999,16.9,16.700001,16.799999
17/04/19,17,17.299999,16.9,17.299999
18/04/19,17.299999,17.4,17.1,17.299999
19/04/19,17.299999,17.4,17.200001,17.299999
22/04/19,17.4,17.9,17.299999,17.9
23/04/19,17.799999,18,17.700001,17.9
24/04/19,17.9,18.200001,17.700001,18
25/04/19,18,18.1,17.700001,17.700001
26/04/19,17.700001,18.1,17.700001,17.799999
29/04/19,17.799999,18.200001,17.799999,18.200001
30/04/19,18.200001,18.299999,18,18.1
02/05/19,18.200001,18.700001,18.1,18.5
03/05/19,18.6,18.6,18.299999,18.4
07/05/19,18.200001,18.299999,17.5,17.6
08/05/19,17.299999,17.4,17.1,17.200001
09/05/19,17.299999,17.799999,17.299999,17.700001
10/05/19,17.799999,17.9,17.299999,17.6
13/05/19,17.6,17.700001,17.299999,17.299999
14/05/19,17.200001,17.299999,17,17.200001
15/05/19,17.299999,17.4,16.9,16.9
16/05/19,17,17,16.5,16.700001
17/05/19,16.799999,17,16.6,16.6
21/05/19,16.5,17,16.4,16.700001
22/05/19,16.9,17.200001,16.9,17.1
23/05/19,17,17.1,16.700001,16.799999
24/05/19,16.700001,17.1,16.6,17
27/05/19,17.1,17.299999,17,17.200001
28/05/19,17.299999,17.6,17.200001,17.6
29/05/19,17.5,17.6,17.299999,17.299999
30/05/19,17.299999,17.6,17.299999,17.4
31/05/19,17.5,17.799999,17.4,17.6
04/06/19,17.4,17.799999,17.299999,17.700001
05/06/19,17.799999,17.799999,17.6,17.6
06/06/19,17.700001,17.700001,17.5,17.700001
07/06/19,17.700001,17.9,17.5,17.6
10/06/19,17.700001,18.5,17.700001,18.4
11/06/19,18.4,18.700001,18.200001,18.200001
12/06/19,18.200001,18.200001,17.799999,18.200001
13/06/19,18.1,18.5,18.1,18.5
14/06/19,18.5,18.799999,18.4,18.700001
17/06/19,18.700001,19.299999,18.700001,19.1
18/06/19,19.1,19.4,18.9,19.200001
19/06/19,19.4,19.6,19.299999,19.4
20/06/19,19.5,19.9,19.4,19.6
21/06/19,19.6,19.6,19,19.200001
24/06/19,19.200001,19.4,19.1,19.200001
25/06/19,19.200001,19.9,19.200001,19.799999
26/06/19,19.9,20.6,19.799999,20.6
27/06/19,20.6,20.9,20.4,20.700001
28/06/19,20.700001,20.700001,20.5,20.5
01/07/19,20.799999,21.4,20.5,21.299999
02/07/19,21.299999,21.299999,20.9,20.9
03/07/19,20.9,21.299999,20.799999,21
04/07/19,21.1,21.5,19,19.200001
05/07/19,19.4,19.5,18.6,19.200001
08/07/19,19,19.5,18.9,19.5
09/07/19,19.5,19.6,18.9,18.9
10/07/19,19,19.5,18.9,19.4
11/07/19,19.5,19.5,19.1,19.4
12/07/19,19.4,19.4,19.1,19.200001
15/07/19,19.200001,19.200001,19,19.1
17/07/19,19.1,19.1,18.6,18.799999
18/07/19,18.700001,19.200001,18.700001,19.1
19/07/19,19.200001,19.200001,18.9,19
22/07/19,19,19.1,18.799999,18.799999
23/07/19,18.9,19.1,18.799999,19
24/07/19,19,19.1,18.799999,18.799999
25/07/19,18.799999,19.9,18.799999,19.799999
26/07/19,19.799999,19.799999,19.299999,19.700001
30/07/19,19.700001,20.200001,19.5,19.799999
31/07/19,19.799999,19.9,19.6,19.700001
01/08/19,19.700001,20.1,19.6,20
02/08/19,19.700001,19.9,19.6,19.799999
05/08/19,19.700001,19.9,19.6,19.6
06/08/19,19.4,19.700001,19.1,19.6
07/08/19,19.700001,20,19.6,19.700001
08/08/19,19.799999,20.1,19.6,20
09/08/19,20.200001,20.299999,18.700001,18.799999
13/08/19,18.5,18.700001,18.299999,18.5
14/08/19,18.700001,18.9,18.299999,18.299999
15/08/19,18,18.200001,17.799999,18.200001
16/08/19,18.200001,18.4,18,18.4
19/08/19,18.5,18.6,18.299999,18.5
20/08/19,18.5,18.6,18.200001,18.299999
21/08/19,18.299999,18.6,18.299999,18.4
22/08/19,18.4,18.5,18.299999,18.4
23/08/19,18.5,18.5,18.200001,18.4
26/08/19,17.9,18.1,17.799999,18
27/08/19,18.1,18.4,18,18.4
28/08/19,18.4,18.5,18.299999,18.5
29/08/19,18.5,18.6,18.299999,18.6
30/08/19,18.700001,18.9,18.6,18.700001
02/09/19,18.700001,18.799999,18.5,18.700001
03/09/19,18.5,18.9,18.5,18.6
04/09/19,18.6,18.9,18.6,18.799999
05/09/19,18.9,19.1,18.9,19
06/09/19,19.1,19.299999,19,19
09/09/19,19.1,19.700001,19,19.700001
10/09/19,19.700001,19.700001,19.299999,19.4
11/09/19,19.5,19.5,19,19.299999
12/09/19,19.4,19.4,19.1,19.1
13/09/19,19.1,19.299999,19,19.200001
16/09/19,19.200001,19.4,18.799999,18.799999
17/09/19,18.9,19.200001,18.6,19.1
18/09/19,19.200001,19.200001,18.9,19.200001
19/09/19,19.1,19.200001,18.6,18.700001
20/09/19,19,19.1,18.5,18.6
23/09/19,18.6,18.700001,18.200001,18.200001
24/09/19,18.200001,18.6,18.200001,18.5
25/09/19,18.700001,18.700001,18.200001,18.200001
26/09/19,18.299999,18.5,18.200001,18.5
27/09/19,18.5,18.6,18.299999,18.5
30/09/19,18.6,18.6,18.1,18.200001
01/10/19,18.299999,18.299999,18,18.200001
02/10/19,18.1,18.1,17.799999,17.799999
03/10/19,17.799999,18.1,17.700001,18.1
04/10/19,18.1,18.299999,18,18
07/10/19,18,18.200001,18,18.1
08/10/19,18.1,18.299999,18.1,18.1
09/10/19,18.1,18.299999,17.9,18.299999
10/10/19,18.299999,18.299999,18,18.200001
11/10/19,18.200001,18.6,18.200001,18.5
15/10/19,18.6,18.6,18.4,18.5
16/10/19,18.6,18.9,18.5,18.799999
17/10/19,18.799999,18.9,18.6,18.700001
18/10/19,18.700001,18.799999,18.5,18.700001
21/10/19,18.6,18.799999,18.5,18.700001
22/10/19,18.799999,19.5,18.700001,19.5
24/10/19,19.6,19.6,19.1,19.200001
25/10/19,19.299999,19.299999,18.1,18.200001
28/10/19,18.200001,18.200001,17.700001,18
29/10/19,18,18.299999,17.9,17.9
30/10/19,17.9,18.1,17.799999,18.1
31/10/19,18.200001,18.200001,17.9,18
01/11/19,18,18.1,17.799999,18
04/11/19,18.1,18.299999,18,18.200001
05/11/19,18.299999,18.4,18.1,18.200001
06/11/19,18.200001,18.200001,18,18
07/11/19,17.9,18.200001,17.5,18.200001
08/11/19,18.1,18.1,17.700001,18
11/11/19,18,18,17.700001,17.799999
12/11/19,17.799999,17.9,17.700001,17.799999
13/11/19,17.799999,17.799999,17.5,17.799999
14/11/19,17.799999,17.799999,17.5,17.6
15/11/19,17.6,17.700001,16.5,16.6
18/11/19,16.6,16.799999,15.8,16.700001
19/11/19,16.799999,16.799999,16.4,16.4
20/11/19,16.5,16.9,16.4,16.700001
21/11/19,16.700001,16.799999,16.5,16.700001
22/11/19,16.700001,16.799999,16.5,16.6
25/11/19,16.700001,17.200001,16.700001,17.1
26/11/19,17.1,17.299999,17,17.299999
27/11/19,17.299999,17.299999,17,17
28/11/19,17,17.200001,16.9,17
29/11/19,17,17.1,16.9,17
02/12/19,17.1,17.299999,16.799999,16.9
03/12/19,16.799999,16.799999,16.6,16.700001
04/12/19,16.700001,16.799999,16.6,16.700001
06/12/19,16.700001,16.9,16.700001,16.700001
09/12/19,16.799999,16.799999,16.5,16.6
11/12/19,16.6,16.700001,16.4,16.4
12/12/19,16.5,16.700001,16.5,16.5
13/12/19,16.6,16.799999,16.5,16.700001
16/12/19,16.700001,16.799999,16.299999,16.299999
17/12/19,16.4,16.5,15.7,15.8
18/12/19,15.9,16,15.7,15.8
19/12/19,15.9,16.200001,15.8,16.200001
20/12/19,16.1,16.200001,15.8,16
23/12/19,16,16.1,15.6,15.7
24/12/19,15.7,15.8,15.6,15.7
25/12/19,15.7,16.200001,15.7,15.9
26/12/19,15.9,16.200001,15.9,16.1
27/12/19,16.200001,16.6,16.1,16.4
30/12/19,16.5,16.6,16.200001,16.200001
02/01/20,16.299999,16.700001,16.200001,16.700001
03/01/20,16.700001,17.200001,16.700001,17
06/01/20,16.700001,17.1,16.700001,16.799999
07/01/20,17,17.1,16.799999,16.9
08/01/20,16.6,16.700001,16.299999,16.299999
09/01/20,16.700001,17.1,16.700001,16.9
10/01/20,16.9,17.200001,16.799999,17
