date,open,high,low,close
03/01/18,20.9,21.200001,20.700001,21
04/01/18,21.299999,21.5,20.9,21.1
05/01/18,21.200001,21.299999,20.9,20.9
08/01/18,21,21.299999,20.9,21
09/01/18,21,21,21,21
10/01/18,21,21.299999,21,21.1
11/01/18,21.1,21.200001,20.700001,21
12/01/18,21,21.200001,21,21.1
15/01/18,21,21.1,20.6,20.799999
16/01/18,20.9,21,20.700001,20.9
17/01/18,20.9,20.9,20.700001,20.799999
18/01/18,20.799999,21,20.799999,20.9
19/01/18,21,21.200001,20.700001,21.200001
22/01/18,21.200001,21.299999,21,21.200001
23/01/18,21.200001,21.200001,21,21.1
24/01/18,21,21.200001,20.9,21.200001
25/01/18,21.200001,21.200001,20.9,21
26/01/18,21,21.200001,20.9,21.1
29/01/18,21,21.5,21,21.4
30/01/18,21.4,21.6,21.299999,21.6
31/01/18,21.5,21.700001,21.4,21.6
01/02/18,21.6,22.5,21.6,22.4
02/02/18,22.299999,22.5,21.9,22.200001
05/02/18,21.799999,22,21.700001,22
06/02/18,21.5,21.9,21.4,21.799999
07/02/18,21.700001,21.799999,21.5,21.700001
08/02/18,21.799999,22.1,21.6,21.700001
09/02/18,21.5,21.700001,21.299999,21.6
12/02/18,21.6,22.299999,21.6,22.299999
13/02/18,22.299999,22.299999,22,22.299999
14/02/18,22.299999,22.4,21.9,22.1
15/02/18,22.200001,22.5,22.1,22.5
16/02/18,22.5,22.700001,22.299999,22.700001
19/02/18,22.700001,22.799999,22.4,22.4
20/02/18,22.5,22.6,22.1,22.299999
21/02/18,22.200001,22.299999,21.9,22.1
22/02/18,22.200001,22.4,21.9,21.9
23/02/18,21.9,22.5,21.9,22.5
26/02/18,22.6,22.6,22.299999,22.6
27/02/18,22.6,22.6,22.1,22.200001
28/02/18,22.1,22.4,22.1,22.1
02/03/18,22,22.6,21.9,22.6
05/03/18,22.6,22.6,22.299999,22.5
06/03/18,22.200001,22.200001,22.200001,22.200001
07/03/18,22.299999,22.4,22.1,22.4
08/03/18,22.6,23.200001,22.5,23.1
09/03/18,23.200001,23.200001,22.799999,23.1
12/03/18,23.1,23.1,22.700001,22.9
13/03/18,23,23.1,22.799999,23
14/03/18,22.9,22.9,22.299999,22.4
15/03/18,22.5,22.9,22.4,22.700001
16/03/18,22.9,22.9,22.4,22.6
19/03/18,22.700001,23,22.6,22.700001
20/03/18,22.6,22.799999,22.5,22.700001
21/03/18,22.799999,22.799999,22.6,22.700001
22/03/18,22.6,22.799999,22.299999,22.299999
23/03/18,22.299999,22.799999,22.1,22.799999
26/03/18,22.700001,22.9,22.6,22.799999
27/03/18,22.9,23,22.700001,22.9
28/03/18,22.9,23.299999,22.799999,23
29/03/18,23,23.5,23,23.5
30/03/18,23.5,23.5,23.200001,23.5
02/04/18,23.6,23.799999,23.4,23.799999
03/04/18,23.700001,23.700001,23.4,23.5
04/04/18,23.5,23.6,23.1,23.5
05/04/18,23.299999,23.6,23,23.1
09/04/18,23.1,24,23.1,23.9
10/04/18,23.9,24,23.4,23.700001
11/04/18,23.799999,24.1,23.6,23.6
12/04/18,23.6,23.6,23.299999,23.299999
17/04/18,23.4,23.5,23.1,23.1
18/04/18,23.200001,23.5,23.200001,23.4
19/04/18,23.5,23.700001,23.299999,23.700001
20/04/18,23.5,23.6,23.200001,23.299999
23/04/18,23.4,23.799999,23.299999,23.4
24/04/18,23.6,24,23.5,23.799999
25/04/18,23.6,23.799999,23.299999,23.700001
26/04/18,23.799999,23.799999,23.4,23.5
27/04/18,23.5,23.700001,22.799999,23
30/04/18,23,23.200001,22.4,22.5
02/05/18,22.6,22.9,22.5,22.799999
03/05/18,22.799999,23.200001,22.799999,22.9
04/05/18,22.700001,23,22.700001,22.799999
07/05/18,22.799999,22.9,22.1,22.299999
08/05/18,22.299999,22.4,22.1,22.200001
09/05/18,22.299999,22.6,22.200001,22.4
10/05/18,22.700001,23.1,22.6,23
11/05/18,23,23.5,22.9,23.5
14/05/18,23.799999,23.799999,23.4,23.6
15/05/18,24.799999,25.75,24.4,24.799999
16/05/18,24.6,24.799999,24.299999,24.5
17/05/18,24.4,25.5,24.4,25.5
18/05/18,25.5,26.25,25.5,26.25
21/05/18,26.25,26.5,25.5,26.25
22/05/18,26.25,26.5,25.75,26.25
23/05/18,26,27,26,26.25
24/05/18,26.25,27,26.25,26.75
25/05/18,26.75,27,26,27
28/05/18,27,27.25,26.75,27.25
30/05/18,27,27,26,26
31/05/18,26.5,27,26.25,26.75
01/06/18,26.5,26.75,26.25,26.75
04/06/18,26.5,27.25,26.5,26.75
05/06/18,27,27.25,26.25,26.25
06/06/18,26.25,26.5,25.25,25.25
07/06/18,25.25,25.75,24.799999,25
08/06/18,25,25.25,24.700001,25
11/06/18,25.25,25.25,24.9,25.25
12/06/18,25.25,26.25,25,25.5
13/06/18,25.5,25.75,25,25.5
14/06/18,25.5,25.5,25,25
15/06/18,25,25.25,24.700001,24.9
18/06/18,24.799999,25,24.6,24.6
19/06/18,24.5,25,24,24
20/06/18,24,25.5,24,25.5
21/06/18,25,25.5,24.799999,25.5
22/06/18,25.5,25.75,25,25
25/06/18,25,25.5,25,25.25
26/06/18,25,25.25,24.700001,24.799999
27/06/18,24.799999,25,24.4,24.6
28/06/18,24.6,25.25,24.5,24.9
29/06/18,24.799999,25,24.4,25
02/07/18,25,25.25,24.6,24.700001
03/07/18,24.6,26,24.5,26
04/07/18,25.75,26,25.5,26
05/07/18,26,26,25,25.25
06/07/18,25.25,26,24.9,25.75
09/07/18,26,26.25,25.75,25.75
10/07/18,26,26,25.5,26
11/07/18,26,26,25.25,25.25
12/07/18,25.25,26,25.25,25.75
13/07/18,26,26.25,25.5,26
16/07/18,25.75,26,25.5,26
17/07/18,25.75,26.25,25.5,26.25
18/07/18,26.25,26.5,26,26.25
19/07/18,26.25,26.5,25.75,26
20/07/18,26.25,26.5,26,26
23/07/18,26.25,26.75,26.25,26.5
24/07/18,26.75,27.25,26.5,26.75
25/07/18,27,28,27,27.25
26/07/18,27.25,27.75,26.75,27
31/07/18,27,27,26.5,26.5
01/08/18,27,27.25,26.75,27.25
02/08/18,27,27.25,26.75,27
03/08/18,27,27.5,26.75,27
06/08/18,27,27,25.5,26
07/08/18,25.75,26,25.5,26
08/08/18,26,27.5,26,27
09/08/18,27.25,27.5,26.75,27
10/08/18,27,27.25,26.75,26.75
14/08/18,26.75,26.75,26,26.25
15/08/18,26,26.25,25.25,25.5
16/08/18,25.5,25.75,25,25.5
17/08/18,25.75,26.25,25.5,25.5
20/08/18,25.75,26.75,25.5,26.5
21/08/18,26.5,26.75,25.25,25.75
22/08/18,25.75,26.25,25.75,26
23/08/18,26.25,26.5,25.75,26.5
24/08/18,26.25,26.5,26,26.5
27/08/18,26.5,26.75,26.25,26.75
28/08/18,27,27.25,26.5,27
29/08/18,26.75,27,26.5,26.75
30/08/18,27,27,26.25,26.25
