date,open,high,low,close
03/01/18,29.5,30.5,29.5,30.25
04/01/18,30.5,30.75,29.5,30.5
05/01/18,30.75,31.5,30.5,31
08/01/18,31,31.5,30.5,30.5
09/01/18,30.5,30.5,30.5,30.5
10/01/18,30.5,31.75,30.25,31.5
11/01/18,31.25,32,30.75,32
12/01/18,32.25,33,31.75,32.5
15/01/18,32.75,33,31.25,31.25
16/01/18,30.75,31,29.25,29.75
17/01/18,29.5,30.25,29.25,30
18/01/18,30.25,30.5,29,29
19/01/18,28.5,29.75,28.25,29.75
22/01/18,30.5,31,30.25,31
23/01/18,31.25,31.5,30.5,30.75
24/01/18,30.5,31,30.5,31
25/01/18,30.75,31,29.75,30
26/01/18,30,30.25,29.25,29.75
29/01/18,30.25,30.25,29.5,29.75
30/01/18,29.5,29.75,29.25,29.5
31/01/18,29.25,30.25,29.25,29.5
01/02/18,29.5,30,29.25,29.25
02/02/18,29.25,30.25,29.25,29.25
05/02/18,28.75,29.25,28.5,29
06/02/18,28.25,29.5,28,29.5
07/02/18,30,30.25,29.5,30
08/02/18,30,30.25,29.5,29.5
09/02/18,29,30,29,30
12/02/18,30,30.5,29.5,30.5
13/02/18,30.75,31,30,30.25
14/02/18,30.25,30.5,29.25,29.5
15/02/18,29.75,30,29,29.75
16/02/18,29.75,30.5,29.5,30
19/02/18,30.25,30.75,30,30.25
20/02/18,30.5,30.5,29.75,30
21/02/18,30,30.25,29.25,29.25
22/02/18,29.25,29.5,28.5,28.75
23/02/18,29,29.5,28.75,29.25
26/02/18,29.5,30,29.25,29.5
27/02/18,30,30.5,29.5,29.5
28/02/18,29.5,29.75,28.75,28.75
02/03/18,28.5,29.25,28,28.75
05/03/18,28.75,29.5,28.5,29.25
06/03/18,28.75,28.75,28.75,28.75
07/03/18,28.5,28.75,28,28.25
08/03/18,28.5,28.5,25.25,25.5
09/03/18,26,26.25,24.299999,25.25
12/03/18,26,26.25,25.25,26
13/03/18,26,27.5,25.75,27.5
14/03/18,27.25,28.25,27,27.75
15/03/18,27.75,28,27.25,27.25
16/03/18,27.25,27.5,26.25,26.5
19/03/18,26.5,27,25.75,25.75
20/03/18,25.5,26.25,25,26.25
21/03/18,26.5,27,26.25,27
22/03/18,27,27.5,26.75,26.75
23/03/18,26.25,26.75,26,26.75
