date,open,high,low,close
03/01/18,189.5,192,189,192
04/01/18,191,194,191,194
05/01/18,195,195,191,192.5
08/01/18,191,193.5,190,190
09/01/18,192,192,192,192
10/01/18,194,204,193.5,200
11/01/18,199.5,202,195.5,196
12/01/18,195,202,195,196
15/01/18,196.5,201,194.5,195
16/01/18,197,198,195,197
17/01/18,196.5,199,194.5,195
18/01/18,195,198,195,196.5
19/01/18,197,198,196,197
22/01/18,197.5,198.5,196,197
23/01/18,197.5,198.5,196.5,197.5
24/01/18,198,200,197.5,198.5
25/01/18,198.5,199,192.5,193
26/01/18,193,195,192,193.5
29/01/18,196,198.5,194,197.5
30/01/18,197,198,196,196.5
31/01/18,195.5,197,195,196
01/02/18,196,204,196,204
02/02/18,205,207,200,202
05/02/18,198,199.5,196,198.5
06/02/18,194,196.5,192,195
07/02/18,196,198,195.5,197
08/02/18,196,199.5,196,198
09/02/18,196.5,197,195,196
12/02/18,196.5,197,194.5,196.5
13/02/18,197,201,197,199
14/02/18,201,202,199,199.5
15/02/18,201,201,198.5,201
16/02/18,201,206,200,206
19/02/18,205,208,201,204
20/02/18,204,204,197,198
21/02/18,198.5,201,198,198.5
22/02/18,199.5,203,198.5,201
23/02/18,202,207,201,207
26/02/18,206,207,204,207
27/02/18,208,208,203,204
28/02/18,205,206,204,206
02/03/18,206,210,206,208
05/03/18,207,209,204,207
06/03/18,210,210,210,210
07/03/18,210,212,207,211
08/03/18,212,220,211,217
09/03/18,218,218,212,215
12/03/18,216,217,213,215
13/03/18,213,216,213,214
14/03/18,212,212,208,208
15/03/18,211,215,208,212
16/03/18,211,214,208,209
19/03/18,209,211,207,207
20/03/18,207,209,204,209
21/03/18,209,210,207,207
22/03/18,208,209,206,207
23/03/18,207,209,205,209
26/03/18,209,211,208,211
27/03/18,213,213,209,211
28/03/18,210,210,206,207
29/03/18,206,210,206,207
30/03/18,209,213,207,213
02/04/18,212,219,212,218
03/04/18,217,218,214,215
04/04/18,215,218,209,210
05/04/18,210,214,209,213
09/04/18,213,222,212,221
10/04/18,222,223,220,221
11/04/18,220,225,218,219
12/04/18,219,222,216,218
17/04/18,218,219,216,216
18/04/18,219,220,217,220
19/04/18,222,222,212,214
20/04/18,215,217,213,217
23/04/18,217,218,215,217
24/04/18,215,220,215,216
25/04/18,214,220,214,220
26/04/18,218,218,206,206
27/04/18,202,202,195,195
30/04/18,195,195.5,190,190
02/05/18,189.5,193.5,189,191.5
03/05/18,190.5,194,190.5,193
04/05/18,192,194,192,192
07/05/18,192.5,192.5,190,190
08/05/18,190,190.5,185,186
09/05/18,186,187.5,185,186
10/05/18,186.5,188.5,185.5,185.5
11/05/18,186.5,192.5,186.5,192
14/05/18,191,192.5,189,190
15/05/18,189.5,191,188,190
16/05/18,190,194.5,188.5,194
17/05/18,193.5,193.5,189.5,191
18/05/18,191,193,190,192
21/05/18,193,194,191,191.5
22/05/18,191,191.5,188.5,189.5
23/05/18,188,191,188,189
24/05/18,189.5,192,188.5,192
25/05/18,192,194,191.5,194
28/05/18,195,195,192,193.5
30/05/18,192,193.5,191.5,191.5
31/05/18,192,193.5,191,192.5
01/06/18,193,195,192,194
04/06/18,195,197,193.5,194.5
05/06/18,195,195.5,193,193.5
06/06/18,194.5,196.5,191.5,192
07/06/18,192,192.5,190.5,190.5
08/06/18,190,191.5,189.5,191
11/06/18,191,192.5,190.5,192.5
12/06/18,191,192.5,190.5,191.5
13/06/18,191,193.5,190,192.5
14/06/18,192,193,191,193
15/06/18,191.5,192.5,189.5,191
18/06/18,190,191,186.5,186.5
19/06/18,184,185,177.5,181
20/06/18,180.5,184,179.5,183.5
21/06/18,182.5,182.5,178.5,181
22/06/18,181,182,175,176
25/06/18,176,179,175,175
26/06/18,174,176.5,171,171
27/06/18,171,171,166,168
28/06/18,168.5,173,168,171
29/06/18,171.5,171.5,166,166.5
02/07/18,167.5,168.5,166,168
03/07/18,167.5,172,167,171
04/07/18,170,173,169.5,172
05/07/18,173,173,168,169
06/07/18,169,172,169,170
09/07/18,171.5,174,171.5,173
10/07/18,174,175.5,172.5,174
11/07/18,173,174,171.5,171.5
12/07/18,171,172,170,171.5
13/07/18,172,173.5,171.5,173
16/07/18,172.5,173,170.5,171
17/07/18,171,173,171,172.5
18/07/18,173,173.5,171.5,173
19/07/18,173,175,172.5,174.5
20/07/18,175,179,174,178.5
23/07/18,178.5,178.5,175,176.5
24/07/18,177.5,179,176.5,177
25/07/18,177,183.5,177,183
26/07/18,184.5,185,179,181.5
31/07/18,181.5,181.5,179,181.5
01/08/18,182.5,184,181.5,183.5
02/08/18,182.5,183.5,180,182
03/08/18,182.5,186,181.5,184
06/08/18,185,186,181.5,182.5
07/08/18,183,185,181,184
