date,open,high,low,close
03/01/18,65.75,66,64.5,65.25
04/01/18,65.75,66,64,64.25
05/01/18,64,64.5,63,64
08/01/18,63.25,63.5,61,61
09/01/18,59.5,59.5,59.5,59.5
10/01/18,60,60.75,58,58.75
11/01/18,58.5,60.25,58.25,59.25
12/01/18,59.75,60.25,58.25,58.75
15/01/18,59,59.25,57.25,57.75
16/01/18,58.5,60.25,58,60
17/01/18,59.75,60,58.25,58.5
18/01/18,59,59.25,58.25,58.25
19/01/18,58.25,58.5,57.25,58
22/01/18,57.5,58.25,57.5,58
23/01/18,58,59.25,58,58.5
24/01/18,58.5,59,58.25,58.5
25/01/18,58.5,59,58,58.25
26/01/18,58.25,58.25,56.5,57.5
29/01/18,57.75,58.25,56.5,57.25
30/01/18,57.5,57.75,56.5,57
31/01/18,56.75,58.5,56.5,57.5
01/02/18,57.5,60.25,57.5,59.5
02/02/18,59.25,59.5,57.5,58.5
05/02/18,57.25,58.5,57.25,58
06/02/18,57,57.5,56.25,57
07/02/18,57.5,58.5,57.25,57.5
08/02/18,57.5,58.25,57.25,57.75
09/02/18,56.75,57.25,56.5,56.75
12/02/18,57.25,57.25,56,56.5
13/02/18,56.5,57.25,56.25,56.25
14/02/18,56.25,56.5,55,55
15/02/18,55.25,55.75,54.5,55.75
16/02/18,55.25,55.5,55,55.5
19/02/18,55.25,56.75,55.25,56.5
20/02/18,56.5,56.75,56.25,56.5
21/02/18,56.5,56.5,55.25,55.5
22/02/18,55.25,55.75,53.75,54.5
23/02/18,54.5,55.5,54.5,55
26/02/18,55,57,54.75,56.75
27/02/18,57.25,57.25,56.25,56.25
28/02/18,57.5,60,57.25,59.5
02/03/18,59.25,60.25,58.75,59.75
05/03/18,60,60.25,58,58.75
06/03/18,59,59.75,58.5,59
07/03/18,59,59,57.5,58
08/03/18,58.25,59.75,57.75,59.25
09/03/18,59.5,60.25,59.25,59.5
12/03/18,60.5,61.75,60.25,61.75
13/03/18,61.75,61.75,60.75,61.25
14/03/18,61.25,62,61,61.5
15/03/18,61.5,61.5,60.25,60.75
16/03/18,60,60,58,58.5
19/03/18,58.5,59.25,58,58.25
20/03/18,58,59.25,57.5,58
21/03/18,58,58.5,57.75,58
22/03/18,58.25,59,58.25,58.25
23/03/18,57.75,58,57,57.25
26/03/18,57.25,59,57.25,58.5
27/03/18,59,59,58,58.25
28/03/18,58.25,58.25,57,57
29/03/18,57,57,55.75,56.5
30/03/18,57,57.25,55.75,57
02/04/18,56.25,56.75,56,56.5
03/04/18,56.5,58,56.5,56.75
04/04/18,56.75,57.5,54.75,56
05/04/18,55.75,57.25,55.25,56.75
09/04/18,56.75,57.5,56,56.25
10/04/18,56.25,57.25,56.25,56.75
11/04/18,56.5,57.5,55.75,56
12/04/18,56,57,56,56.25
17/04/18,56.75,57,55.75,56.25
18/04/18,56.25,58,56.25,57.5
19/04/18,57.75,58.75,57.25,58.5
20/04/18,58.5,59.25,58.25,59
23/04/18,59.25,59.5,58.5,58.75
24/04/18,59,59.25,58,58.25
25/04/18,58,58.75,58,58.5
26/04/18,58.5,58.75,58,58.25
27/04/18,58.75,59,58,58.5
30/04/18,58.5,60.25,58.25,59.75
02/05/18,60,60.5,59.5,60.5
03/05/18,60,62.25,60,61.5
04/05/18,60.75,61.25,60.5,60.75
07/05/18,61,61.75,60.5,61
08/05/18,60.75,61,59.5,59.75
09/05/18,59.75,59.75,58.75,59
10/05/18,58.75,59.5,56.5,57
11/05/18,57.25,58.5,57,58.25
14/05/18,59.25,60.25,59,60
15/05/18,59.5,59.75,58.75,59
16/05/18,59,59,57.5,58
17/05/18,57.75,58,57.5,57.75
18/05/18,57.5,59,57.5,58
21/05/18,58,59.5,58,59.25
22/05/18,59,59,57.5,58
23/05/18,58,58.5,57.5,58
24/05/18,57.5,57.5,56.5,57
25/05/18,57,57.75,56.5,57.75
28/05/18,57.75,58.5,57.5,58
30/05/18,57.5,58.25,56.75,57
31/05/18,57,57.5,56.75,57
01/06/18,56.5,56.5,55,55.25
04/06/18,55.25,55.75,53.25,54
05/06/18,53.75,55.25,53.5,55.25
06/06/18,55.5,56.5,55,55.75
07/06/18,55.75,56.75,55.75,56
08/06/18,55.75,56,55,55.5
11/06/18,55.5,55.75,53.75,54.5
12/06/18,55.5,55.75,54.5,54.75
13/06/18,54.75,55.75,54.75,55.25
14/06/18,55,55.5,54.5,55.5
15/06/18,55.5,55.75,54.75,55.25
18/06/18,55.25,55.25,53.25,53.75
19/06/18,52.5,53,49.25,52.5
20/06/18,52,54.5,51.75,53.75
21/06/18,54,54,50.5,51.25
22/06/18,52,52.25,51.25,51.5
25/06/18,51,52,50.25,50.5
26/06/18,50.5,52,50,51.5
27/06/18,51.5,52.5,49.75,50.5
28/06/18,50.25,51.5,49.75,50.5
29/06/18,50.75,51.5,50,50.5
02/07/18,50.5,51.25,50,51
03/07/18,50.75,53,50.75,52.25
04/07/18,52,52.25,51.25,51.75
05/07/18,51.75,52.25,51.25,51.25
06/07/18,51.25,53.75,51.25,53.5
09/07/18,53.5,53.5,52.5,52.75
10/07/18,52.75,53.25,52.25,53
11/07/18,52.5,53.75,52,53.25
12/07/18,53.5,54,53,53.5
13/07/18,53.5,54.5,53.5,53.75
16/07/18,53.5,53.75,52.5,53
17/07/18,53,54,53,53.5
18/07/18,53.75,54.75,53.75,54.25
19/07/18,54.5,54.5,54,54
20/07/18,54,55.5,54,55.25
23/07/18,55,55.25,54.25,55
24/07/18,55,55,54.25,54.75
25/07/18,55,56,55,55.5
26/07/18,55.75,56.5,55.5,56.5
31/07/18,56.25,57,55.75,57
01/08/18,57,57,55.5,56
02/08/18,56,56,55.5,55.5
03/08/18,55.5,56.25,55.5,55.5
06/08/18,56,56.25,54.75,55.5
07/08/18,55.5,56,55.25,55.5
08/08/18,55.5,56,55.5,56
09/08/18,56,57.5,56,56.75
10/08/18,56.75,57,55.75,56.25
14/08/18,55.75,56,54,55
15/08/18,55,55.5,54,54
16/08/18,54.25,55.5,53.75,55.25
17/08/18,55.25,57,55.25,56.5
20/08/18,56.5,56.75,55.5,56.5
21/08/18,56.75,57,55,56
22/08/18,55.5,56.5,55.5,56
23/08/18,56.75,56.75,56,56.5
24/08/18,56,57.25,55.75,57
27/08/18,57.75,59.25,57.75,58.5
28/08/18,58.5,59,57,57.75
29/08/18,58.5,58.5,58,58.5
30/08/18,58.5,58.5,57.75,57.75
31/08/18,57.25,58.5,57.25,58
03/09/18,57.75,58.25,57.25,57.75
04/09/18,57.5,58.5,57.5,57.5
05/09/18,56.75,57.25,55.25,55.75
06/09/18,55.5,56.5,55.5,56.25
07/09/18,56,56.75,56,56.25
10/09/18,55.75,56.25,55.5,56.25
11/09/18,56.25,56.5,55,55.25
12/09/18,55,56.5,54.75,55.75
13/09/18,56.5,58.75,56.5,58.5
14/09/18,58.75,59,58.25,58.75
17/09/18,58.25,58.75,58.25,58.5
18/09/18,58.25,60,58,59.5
19/09/18,60,61.5,59.75,60
20/09/18,60.25,60.5,59.5,59.5
21/09/18,59.75,61.25,59.75,60.5
24/09/18,60,60.25,59,59
25/09/18,59,60,58.75,59
26/09/18,59.25,60.5,59,59.25
27/09/18,59.25,59.75,58.25,59.75
28/09/18,60.25,60.25,58.75,59.5
01/10/18,59.25,59.75,58.75,59.25
02/10/18,59.25,60,57.75,58
03/10/18,58.25,59,57.75,58
04/10/18,57.25,58,57,57.25
05/10/18,57.25,58,57,57
08/10/18,56.75,57.5,56.25,56.5
09/10/18,56.5,57.25,56,56.5
10/10/18,57,58.25,56.75,57.75
11/10/18,55.75,56.25,55,56
12/10/18,56.5,57.25,56,57
