date,open,high,low,close
03/01/18,25.75,26.75,25.5,26.5
04/01/18,26.75,27.75,26.5,27.5
05/01/18,27.5,28.25,27.5,28
08/01/18,28,28.25,27,27
09/01/18,27.5,27.5,27.5,27.5
10/01/18,27.75,27.75,26.75,27
11/01/18,27,27.25,26.5,27
12/01/18,27.25,27.5,26.75,27
15/01/18,27.25,27.25,26.75,26.75
16/01/18,26.75,27.25,26.75,26.75
17/01/18,26.75,26.75,26.25,26.5
18/01/18,26.75,27.25,26.5,26.75
19/01/18,26.5,26.75,26,26.25
22/01/18,26,26.25,25.75,26.25
23/01/18,26.25,26.75,26.25,26.25
24/01/18,26.25,26.75,26.25,26.75
25/01/18,26.75,26.75,26.25,26.25
26/01/18,26,26.5,26,26.5
29/01/18,26.5,26.5,26.25,26.5
30/01/18,26.5,26.75,26.25,26.25
31/01/18,26.25,26.75,26,26.5
01/02/18,26.5,26.5,26,26.25
02/02/18,26.25,26.25,26,26
05/02/18,25.75,26,25.5,25.5
06/02/18,25.25,25.5,25,25.25
07/02/18,25.5,25.5,24.4,24.6
08/02/18,24.4,24.9,24.4,24.9
09/02/18,24.6,24.799999,24.4,24.6
12/02/18,24.700001,25.5,24.6,25
13/02/18,25,25,24.700001,24.799999
14/02/18,24.700001,24.9,24.700001,24.799999
15/02/18,24.700001,25.25,24.700001,25.25
16/02/18,25,25,24.799999,24.9
19/02/18,24.9,25,24.700001,24.799999
20/02/18,24.9,24.9,24.6,24.700001
21/02/18,24.6,24.799999,24.6,24.799999
22/02/18,24.6,24.799999,24.299999,24.299999
23/02/18,24.299999,24.799999,24.299999,24.799999
26/02/18,24.9,25.75,24.799999,25.75
27/02/18,26,26,25.5,25.75
28/02/18,25.75,26,25.5,25.75
02/03/18,25.75,26,25.25,25.25
05/03/18,25.25,26,25.25,25.5
06/03/18,25.5,25.5,25.5,25.5
07/03/18,25.5,25.5,24.5,24.6
08/03/18,24.700001,24.700001,23.1,24.299999
09/03/18,24.4,24.4,23.799999,23.9
12/03/18,24.1,24.1,23.700001,24.1
13/03/18,24.1,24.799999,24,24.700001
14/03/18,24.6,25.25,24.5,24.9
15/03/18,25,25,24.6,24.700001
16/03/18,24.700001,24.799999,24.5,24.5
19/03/18,24.5,24.6,24.4,24.5
20/03/18,24.4,24.6,24.299999,24.5
21/03/18,24.6,24.700001,24.5,24.700001
22/03/18,24.700001,24.799999,24.700001,24.700001
23/03/18,24.6,24.700001,24.299999,24.700001
26/03/18,24.700001,24.700001,24.299999,24.5
27/03/18,24.6,25.25,24.5,24.799999
28/03/18,24.700001,24.799999,24.5,24.5
29/03/18,24.700001,24.700001,24.200001,24.6
30/03/18,24.700001,24.700001,24.200001,24.299999
02/04/18,23.799999,24.5,23.799999,24.5
03/04/18,24.299999,24.6,24,24
04/04/18,24,24.299999,23.9,24
05/04/18,23.9,24.299999,23.799999,24.1
09/04/18,24.1,24.5,23.9,24.299999
10/04/18,23.9,24,23.700001,23.9
11/04/18,23.799999,24.1,23.6,23.799999
12/04/18,23.700001,24.200001,23.5,23.9
17/04/18,23.9,24.1,23.799999,23.9
18/04/18,23.9,24.1,23.799999,24
19/04/18,24.1,24.4,23.9,24.299999
20/04/18,24.1,24.299999,24,24.1
23/04/18,24,24.4,24,24.1
24/04/18,24,24.299999,23.9,23.9
25/04/18,23.9,24.4,23.9,23.9
26/04/18,24,24.4,23.9,24.4
27/04/18,24.6,24.9,24.4,24.799999
30/04/18,24.799999,25,24.6,24.700001
02/05/18,24.6,24.9,24.5,24.9
