date,open,high,low,close
03/01/18,81,83,81,82.75
04/01/18,83.5,83.75,82.5,83.25
05/01/18,83.5,86.5,82.75,86
08/01/18,86.75,89.5,86.75,88.5
09/01/18,87.25,87.25,87.25,87.25
10/01/18,88,89,86.75,87.75
11/01/18,88.25,88.5,85.25,85.75
12/01/18,86,86.5,81.5,81.75
15/01/18,81.5,82.75,80.75,81
16/01/18,82.75,82.75,81.25,81.5
17/01/18,81,82.5,81,81.75
18/01/18,82.5,84.25,81.25,81.25
19/01/18,81.5,82.25,80,82.25
22/01/18,82.25,82.75,81.5,81.5
23/01/18,82,84,82,83.25
24/01/18,83.5,83.5,82,82.75
25/01/18,83.25,84,82.5,82.5
26/01/18,82.25,82.75,81.25,82.25
29/01/18,82.75,83,81.75,82.25
30/01/18,82.25,82.5,81.5,82.25
31/01/18,82,82.75,81.75,82.5
01/02/18,82.5,82.5,81,81.25
02/02/18,81.25,81.5,80.25,80.25
05/02/18,78,79.25,77.5,77.5
06/02/18,75.25,76.5,73.75,76.5
07/02/18,77.5,77.5,75.5,75.75
08/02/18,75.75,77.25,75.25,75.75
09/02/18,75,76.75,74.75,76
12/02/18,76.5,78,76.25,77.5
13/02/18,77.5,78.25,76,76
14/02/18,76.25,76.75,75.75,76
15/02/18,76.25,76.5,75.25,76.25
16/02/18,76.5,77.25,76.25,77
19/02/18,77,77.5,76,76
20/02/18,77.25,77.25,75.25,75.25
21/02/18,75.25,75.25,69.5,69.5
22/02/18,65,67.5,59.5,59.75
23/02/18,61,63.75,60,63.25
26/02/18,63.25,63.5,60.5,61.25
27/02/18,61.75,63.5,61.5,61.75
28/02/18,62,66.75,61.75,66
02/03/18,65.5,66,64.25,64.25
05/03/18,64.5,65.5,62.5,63.75
06/03/18,64,64,64,64
07/03/18,64,64,61,62
08/03/18,62,63.25,61.5,61.5
09/03/18,62.5,62.5,60.5,61
12/03/18,61.5,62.25,61.25,62
13/03/18,62,64.5,61.75,64.5
14/03/18,64.25,66.5,64,65.25
15/03/18,65.25,65.25,63.5,63.5
16/03/18,63.75,63.75,62.25,63
19/03/18,62.75,63,62,62.25
20/03/18,61.75,62.75,61.5,62.25
21/03/18,62.5,64,62.5,63
22/03/18,63.25,63.25,61.5,61.75
23/03/18,61,62.5,61,62.5
26/03/18,62,63,61.5,63
27/03/18,63.75,66,63.75,64.75
28/03/18,65,65.25,62.25,62.75
29/03/18,63.25,64.25,62,62
30/03/18,62.5,64.25,62.25,63.75
02/04/18,63.5,65,63.5,65
03/04/18,64.5,64.5,62.75,63
04/04/18,63.25,63.75,61.5,61.5
05/04/18,62,62.5,60.5,61.5
09/04/18,61.75,62.25,61,61.5
10/04/18,61.75,62.25,61.5,62.25
11/04/18,62.5,63.25,61.5,61.5
12/04/18,61.5,62.5,61.25,62
17/04/18,62,62.75,61,61.25
18/04/18,61.5,62,61.25,61.5
19/04/18,61.75,63,61.5,61.75
20/04/18,61.75,62.5,61,61
23/04/18,61,61,56,56.25
24/04/18,56.5,57,55,55.25
25/04/18,55,56.75,54.25,56.5
26/04/18,56.25,57,53.5,54
27/04/18,54.25,54.75,53,53.25
30/04/18,53.75,54.75,53.5,54
02/05/18,54,55.25,54,54.75
03/05/18,54.75,57.75,54.5,57.75
04/05/18,57.5,58.25,57.25,58
07/05/18,58,58,55.75,56.75
08/05/18,56.5,56.5,54.5,54.5
09/05/18,54.5,55.25,54,55
10/05/18,55.25,55.25,53.75,54
11/05/18,54,55,54,55
14/05/18,56,57,55.5,55.75
15/05/18,55.75,55.75,54.25,54.5
16/05/18,54.25,55.25,53.75,54.25
17/05/18,54.25,55,54.25,54.5
18/05/18,54.25,54.5,51.75,52.25
21/05/18,52.75,53.75,51.75,53.75
22/05/18,53.75,54,53,53.75
23/05/18,53.75,54.75,53.25,54.25
24/05/18,53.75,54.5,53.5,53.75
25/05/18,54.25,54.25,51.5,52.25
28/05/18,52.25,53,52.25,52.5
30/05/18,52,54.25,51.75,54
31/05/18,54,54,53.25,53.5
01/06/18,53.5,53.5,52.5,52.75
04/06/18,52.75,53.25,50.5,51.75
05/06/18,51.75,52.75,51,52.75
06/06/18,52.5,53,52.25,52.5
07/06/18,52.75,57,52.5,56.25
08/06/18,56,56.75,55.5,56.5
11/06/18,56.75,57.5,56,56.5
12/06/18,57,57,56,56
13/06/18,56.25,59.5,56,59
14/06/18,59.5,59.75,58.5,58.75
15/06/18,59,59,57.75,58
18/06/18,57.5,58,56.5,57.25
19/06/18,56.5,57,54.75,55
20/06/18,55.5,56,54.75,56
21/06/18,56,56.25,55.25,55.25
22/06/18,56,56.5,53.75,54
25/06/18,53.75,55,53.25,53.5
26/06/18,53.5,53.5,52,52.5
27/06/18,52.5,53.5,51.25,51.25
28/06/18,51.5,52.5,51,51
29/06/18,51.25,51.25,46.25,47
02/07/18,47.5,47.75,46.5,46.5
03/07/18,47,49.5,46.75,48.75
04/07/18,48.25,50.75,47.5,48
05/07/18,48,48.25,43,43.25
06/07/18,43.25,45.5,40.75,44
09/07/18,45,45.25,43.75,43.75
10/07/18,44.25,46.75,42.5,46.5
11/07/18,46.25,48,46,46.5
12/07/18,46.5,47.75,46.25,47.5
13/07/18,48,48.25,46.75,46.75
16/07/18,46.25,46.75,45,45.75
17/07/18,45,45.5,44,44.25
18/07/18,44.75,45.25,42.75,44
19/07/18,44.5,46.25,43.75,46
20/07/18,46,47.5,45.25,47
23/07/18,47,47.25,45.75,46
24/07/18,46,48.25,46,47.5
25/07/18,48,50,47.75,49.25
26/07/18,49.75,49.75,48.5,48.75
31/07/18,48.75,49.25,47.75,47.75
01/08/18,48.25,48.5,47.5,48
02/08/18,48,48,46.75,47.5
03/08/18,47.5,48,46.75,47
06/08/18,47.25,48.25,47.25,48
07/08/18,48.25,48.5,44.75,45.5
08/08/18,45.75,46.5,45.5,46.5
09/08/18,46.5,46.75,45.5,46.25
10/08/18,46.25,46.25,43.5,44
14/08/18,41.75,43.5,41,42.5
15/08/18,42,43,41.25,41.5
16/08/18,42,43.75,41.25,43.25
17/08/18,43.75,43.75,42.25,42.25
20/08/18,42.75,43.75,42.5,43
21/08/18,43.5,43.5,42.25,42.75
22/08/18,43,44.25,42.5,43.75
23/08/18,44.25,45.25,44.25,44.75
24/08/18,44.5,47,44.25,46.75
27/08/18,47,47.5,46.25,46.25
28/08/18,46.75,47,45.5,45.75
29/08/18,46,48.75,46,48.5
30/08/18,48.5,48.75,47.25,47.75
31/08/18,46.25,46.5,45.5,46.25
03/09/18,46.5,49.5,46.5,49.25
04/09/18,49.5,53,49.5,52.25
05/09/18,51.5,52,49.5,49.75
06/09/18,50.25,52,50.25,52
07/09/18,51.25,54.75,50.75,54.25
10/09/18,53.75,54.5,53,54.5
11/09/18,54.5,54.75,52.5,52.75
12/09/18,53,53.75,52.5,52.75
13/09/18,53.25,54.75,53.25,53.75
14/09/18,54,55,53.75,54.5
17/09/18,53.75,55.75,53.75,55.5
18/09/18,55.25,55.75,54.25,55
19/09/18,55.25,55.5,54.25,54.25
20/09/18,54.5,56.25,54.25,54.75
21/09/18,55.25,55.5,53.75,53.75
24/09/18,53.25,54.5,53,53.75
25/09/18,53.75,55,53.75,54
26/09/18,54.5,54.75,53.75,53.75
27/09/18,54,54.5,52.5,53.75
28/09/18,53.75,55,53.5,54
01/10/18,54.25,54.25,53.5,53.5
02/10/18,53.25,53.5,52,52
03/10/18,52.5,53.25,52.25,52.25
04/10/18,52,53,51.75,52.5
05/10/18,52.75,53.75,51.75,52.5
08/10/18,52.5,53,51,51
09/10/18,51,51.5,50.25,50.25
10/10/18,51.25,51.75,49,49.5
11/10/18,48.5,48.5,46.5,47
12/10/18,47.25,48,47,48
16/10/18,48,48.75,47.5,47.75
17/10/18,48.75,49.25,47.25,47.25
18/10/18,47,47,44.75,44.75
19/10/18,45,45.25,44,44.25
22/10/18,44.25,44.5,42.75,43
24/10/18,42.25,43,41.5,42
25/10/18,41.5,44.5,40.75,44.5
26/10/18,44,44.5,42.75,42.75
29/10/18,42.75,43.75,42.75,43.25
30/10/18,43.5,43.5,42.75,43.25
31/10/18,44,45.75,43.5,45.25
01/11/18,45.5,46.25,45,45.25
02/11/18,46.25,46.5,45.5,46
05/11/18,46.25,46.25,44.75,45
06/11/18,45.25,46.5,45,45.25
07/11/18,45.25,45.75,44,45
08/11/18,45.5,45.5,43.25,43.25
09/11/18,43,43.5,42.5,43.5
12/11/18,44.25,45.25,43.5,44.5
13/11/18,44.5,49,43.5,48.5
14/11/18,47.75,48.25,44.75,45.25
15/11/18,46,47,44.75,45.75
16/11/18,45.5,46.25,44.75,44.75
19/11/18,44.5,45.75,44.5,44.75
20/11/18,45,46,44.5,45
21/11/18,45.25,46.25,44.75,45.75
22/11/18,45.75,46.25,43.25,43.25
23/11/18,43.75,44.75,43.25,44.5
26/11/18,44.5,46.75,44.5,46.75
27/11/18,46.75,46.75,45.75,46
