date,open,high,low,close
03/01/18,60,60,57.5,58.5
04/01/18,58.25,58.5,55.5,55.5
05/01/18,56,56.5,54,54.5
08/01/18,53.75,54,51.5,51.5
09/01/18,53,53,53,53
10/01/18,53.25,54,52.25,52.5
11/01/18,52.25,53.75,52.25,53.5
12/01/18,53.5,54.5,52.5,52.75
15/01/18,52.5,54.75,52.25,54
16/01/18,55.25,55.25,54.25,54.75
17/01/18,54.25,54.25,53.25,53.5
18/01/18,54,55,52.25,52.25
19/01/18,52.25,52.5,50.75,51.5
22/01/18,51.25,52,51,51.5
23/01/18,51.75,53,51.25,51.75
24/01/18,51.25,52.25,51,52
25/01/18,52,52,50.75,50.75
26/01/18,50.5,50.5,49,49.5
29/01/18,49.5,51.75,49.5,51.5
30/01/18,51.25,51.5,50.5,51.5
31/01/18,51.25,52,50.75,51.75
01/02/18,51.75,53.5,51.75,52.5
02/02/18,52.25,52.5,50.25,50.5
05/02/18,49.5,49.75,48.25,48.75
06/02/18,47.25,48.75,47,48.75
07/02/18,50,50.5,48.25,48.75
08/02/18,49.25,50.5,49.25,50.5
09/02/18,49.25,50.5,49.25,50
12/02/18,50.25,51.5,49.75,50.5
13/02/18,50.75,52,50.75,51.25
14/02/18,51.5,52,50.5,50.5
15/02/18,51,51.25,50,50.5
16/02/18,50.75,51,50.5,51
19/02/18,51.25,51.75,51,51.25
20/02/18,51.25,52,51,51
21/02/18,50.75,51,49,49
22/02/18,48.75,49.25,48,48.75
23/02/18,48.75,51,48.75,51
26/02/18,51.25,52,50.75,52
27/02/18,52.25,52.75,50.25,50.25
28/02/18,50.25,51.5,50.25,51.25
02/03/18,51,51.25,49.75,49.75
05/03/18,49.25,50,48.25,49
06/03/18,48.25,48.25,48.25,48.25
07/03/18,48,49,48,48.5
08/03/18,47.75,48,45.5,45.5
09/03/18,45.75,46,43.25,43.5
12/03/18,44.25,46.25,43.75,46.25
13/03/18,46.25,46.25,45.25,46
14/03/18,46,47,45.75,46.25
15/03/18,46.25,48.75,46.25,48.25
16/03/18,48.25,49,47.25,47.25
19/03/18,47,47.5,45.25,45.75
20/03/18,45.25,47.25,45.25,47.25
21/03/18,47.5,48,46.5,47
22/03/18,46.75,47.5,46.5,47
23/03/18,45.75,47.5,45.75,47.25
26/03/18,47,47.75,47,47.5
27/03/18,47.75,49.25,47.5,48.25
28/03/18,48.25,48.25,47.75,48
29/03/18,48.75,49,46.75,48
30/03/18,48.5,49.25,47.75,49.25
02/04/18,49.5,50.75,49.5,50.75
03/04/18,51,51,49,49.75
04/04/18,50.25,51.75,49,49.5
05/04/18,49.75,52.25,49.75,51.75
09/04/18,51.75,52.5,51,52.5
10/04/18,53,53.25,51.5,52
11/04/18,51.75,52.75,51.75,52
12/04/18,51.75,51.75,50,50.75
17/04/18,50.75,51,50,50.25
18/04/18,50.25,51,50.25,50.75
19/04/18,51,51.5,50.25,50.5
20/04/18,50,50.25,48.75,49.25
23/04/18,48.75,49.25,48.5,48.5
24/04/18,48.25,52.25,48,52
25/04/18,51,52,50.5,50.75
26/04/18,51,51.5,50.75,50.75
27/04/18,51.5,51.5,50.5,51
30/04/18,51.5,53,51.25,52.5
02/05/18,52,52.25,51,51.5
03/05/18,51.25,53,51.25,52.5
04/05/18,52.5,53.5,49.25,50
07/05/18,49.5,49.75,48,48.75
08/05/18,49,50.25,48.5,50
09/05/18,49.25,49.75,48.75,48.75
10/05/18,48.75,50,48.75,49.5
11/05/18,49.25,50,49.25,50
14/05/18,49.5,50,48.75,49
15/05/18,49,50.5,49,50
16/05/18,49.5,49.5,48.25,48.25
17/05/18,48,48,45.25,45.75
18/05/18,46,47.25,45.25,45.75
21/05/18,46.25,46.75,45.5,45.75
22/05/18,46,47,46,46.25
23/05/18,46.25,46.75,46,46.25
24/05/18,46.25,46.75,45.5,45.75
25/05/18,45.75,46.25,44,44.25
28/05/18,44.5,47.25,44.5,47
30/05/18,46.75,46.75,45.25,45.25
31/05/18,45.5,45.75,44.5,45.25
01/06/18,45,45.5,44.25,44.25
04/06/18,44.25,44.75,43.25,44.75
05/06/18,45,45.75,45,45.25
06/06/18,45.75,45.75,45,45.5
07/06/18,46,46.5,45.5,46
08/06/18,46,46,45.25,45.5
11/06/18,45.5,45.75,45.25,45.5
12/06/18,45.75,47,45.25,46.25
13/06/18,46.25,47,46,46.25
14/06/18,46,47,45.5,46.5
15/06/18,46.5,46.75,45.25,45.25
18/06/18,45.25,46.25,45,45.5
19/06/18,45,45.75,44.5,45
20/06/18,45,45.75,44.75,45.5
21/06/18,45.5,45.5,44,45
22/06/18,45.25,45.25,44.5,44.5
25/06/18,44.25,44.5,43.5,43.75
26/06/18,43.25,45,43.25,44.5
27/06/18,44.25,44.75,43.75,44
28/06/18,44,44.5,43,43.5
29/06/18,43.75,44,42.5,43
02/07/18,42.75,45.25,41.75,45.25
03/07/18,45.25,46,44.5,45.5
04/07/18,45.25,46,45,45.75
05/07/18,46.25,46.25,44.25,45
06/07/18,44.75,45.5,44.75,45.25
09/07/18,45.5,45.5,44.75,45
10/07/18,45.25,45.25,43.5,44.5
11/07/18,44,44.5,44,44.25
12/07/18,44,45,43.75,44.25
13/07/18,44.5,44.5,44,44
16/07/18,43.75,44,42.25,42.75
17/07/18,42.5,43,42.5,42.75
18/07/18,42.75,43,41,41.25
19/07/18,41.25,42,41,41.75
20/07/18,41.75,42.75,41.5,42.5
23/07/18,42.5,43.25,42.25,42.5
24/07/18,42.75,43.75,42.75,43.25
25/07/18,43,43.5,42.75,43
26/07/18,43.5,43.5,42.75,43.25
31/07/18,43.5,44.5,43.25,43.75
01/08/18,44,44.5,43.75,44
02/08/18,43.75,44.25,43,43.25
03/08/18,43.25,44.5,43,43.5
06/08/18,44,44.5,43,43.25
07/08/18,44,44.75,43.25,44.5
08/08/18,44.75,45.5,44.25,44.5
09/08/18,44.75,45.5,43.5,44
10/08/18,44.25,44.5,42.5,43.75
14/08/18,42.75,43.5,42.25,43
15/08/18,42.5,43,42,42.25
16/08/18,42.25,42.5,41,41.75
17/08/18,42,42.25,41.25,41.25
20/08/18,41.5,41.5,39.25,39.5
21/08/18,39.75,40.25,39.25,39.75
22/08/18,40,40.25,39.25,39.5
23/08/18,39.5,39.75,38.25,38.5
24/08/18,38.25,38.5,37,37.5
27/08/18,38,39.75,37.75,39.25
28/08/18,39.5,40,38.75,39
29/08/18,39.25,39.75,39,39.5
30/08/18,39.5,40,39.25,39.75
31/08/18,39.5,39.75,39.25,39.75
03/09/18,39.75,40,38.75,39.25
04/09/18,39.25,39.5,38,38.25
05/09/18,38.25,38.5,37.75,38
06/09/18,38,38.75,37.5,38.75
07/09/18,38.75,38.75,38.25,38.5
10/09/18,38.5,39.25,38.25,38.75
11/09/18,38.75,38.75,37.25,37.75
12/09/18,37.5,38,36.75,37.75
13/09/18,38,39,38,38.5
14/09/18,38.5,39,38.25,38.75
17/09/18,38.5,39.25,38.5,38.75
18/09/18,38.75,40,38.5,39.75
19/09/18,40,42.75,40,42
20/09/18,42.25,42.5,41.5,42
21/09/18,42.25,42.25,41,41.75
24/09/18,41.25,42.25,40.5,41.75
25/09/18,42.25,43.25,41.75,42.5
26/09/18,42.75,43.25,41.25,41.75
27/09/18,42,42.25,41.25,42
28/09/18,41.75,42.25,41.5,41.75
01/10/18,42,42.25,41,41.5
02/10/18,41.5,41.5,40,40.75
03/10/18,41,41,39.5,39.75
04/10/18,39.25,40,39,39.75
05/10/18,39.5,39.75,39,39.5
08/10/18,39.25,39.5,38.25,38.75
09/10/18,38.5,39.5,38.25,39
10/10/18,39,39.75,39,39.5
11/10/18,38,39.25,37.25,39.25
12/10/18,39.25,40,39,39.5
16/10/18,39.5,39.75,39,39.5
17/10/18,39.75,40,38.75,39.25
18/10/18,39,39.5,38.75,39.25
19/10/18,39.25,39.75,37.75,39.25
22/10/18,39.25,39.75,38.75,39
24/10/18,38.25,39.5,38.25,39.25
25/10/18,38.75,39,37.75,39
26/10/18,39,39.25,38.75,39.25
29/10/18,39.25,39.5,38.75,39.25
30/10/18,39.25,39.5,39,39
31/10/18,39.75,40.5,39.25,40.25
01/11/18,40.5,41.5,40.25,41
02/11/18,41,41.25,40.5,41
05/11/18,41,41.75,40.25,41.5
06/11/18,41.75,42,41.5,41.5
07/11/18,41.75,41.75,40.75,41.25
08/11/18,41.5,41.5,41,41.5
09/11/18,41,41.25,40.5,40.75
12/11/18,40.75,41,40.5,40.75
13/11/18,40.25,40.5,39.5,39.75
14/11/18,39.5,40.75,39.5,40.25
15/11/18,40.5,40.5,40,40.25
16/11/18,40,40.5,39.75,40
19/11/18,40,40.25,39.75,40
20/11/18,40,40.25,39.5,39.75
21/11/18,39.75,40.75,39.5,40.5
22/11/18,40.25,41.5,40.25,40.5
23/11/18,40.5,41,40,40.5
26/11/18,40.5,41,40.5,40.75
27/11/18,40.75,42.5,40.75,42
28/11/18,42,42.5,41.75,42
29/11/18,42.25,42.5,42,42
30/11/18,42,42.25,41.75,42.25
03/12/18,42.5,43.25,42.25,43
04/12/18,43.5,44,42.75,43.75
06/12/18,42.5,44,42.25,43.75
07/12/18,44,44,42.75,43.25
11/12/18,43,43,42.25,42.25
12/12/18,42.75,43.5,42,42.5
13/12/18,43,43,41.25,41.5
14/12/18,41.5,42.75,41.25,42
17/12/18,42.5,42.5,41.25,41.75
18/12/18,41.75,41.75,40,40
19/12/18,40.25,41.25,39.75,41
20/12/18,40.5,41,40.25,40.75
21/12/18,40.75,41.75,40.5,41.25
24/12/18,41.25,42,40.75,41.75
25/12/18,41.25,41.5,40.5,40.75
26/12/18,40.5,40.75,39.5,39.75
27/12/18,40.75,41,38.25,38.5
28/12/18,38.25,41,38,40
02/01/19,40.25,40.75,39.75,40
03/01/19,40.5,41.75,40,40
04/01/19,40,40.25,38.5,38.75
07/01/19,38.75,39.75,38.75,39.5
08/01/19,39.5,40.25,39.5,39.75
09/01/19,40,40.25,39.5,39.5
10/01/19,39.5,40.5,39.5,40
11/01/19,40.5,40.5,39,39.5
14/01/19,39.25,39.5,38.25,38.5
15/01/19,38.5,39,38.5,38.75
16/01/19,39,39,38.25,38.5
17/01/19,38.75,38.75,38.25,38.25
18/01/19,38.5,39.25,38.5,39.25
21/01/19,39.5,39.5,39,39.25
22/01/19,39.25,40.25,39,40
23/01/19,40.25,41.75,40,40.75
24/01/19,41,41.75,40.25,40.5
25/01/19,41.25,41.5,40.5,40.75
28/01/19,41.5,42.5,41.25,41.75
29/01/19,42.5,43,42,42.5
30/01/19,42.75,42.75,41.5,42.25
