date,open,high,low,close
03/01/18,2.1,2.14,2.08,2.12
04/01/18,2.12,2.14,2.1,2.1
05/01/18,2.12,2.14,2.1,2.1
08/01/18,2.1,2.12,2.06,2.06
09/01/18,2.1,2.1,2.1,2.1
10/01/18,2.1,2.1,2.06,2.06
11/01/18,2.08,2.08,2,2.04
12/01/18,2.04,2.06,2.04,2.04
15/01/18,2.04,2.06,2.02,2.02
16/01/18,2.02,2.06,2.02,2.04
17/01/18,2.02,2.06,2.02,2.04
18/01/18,2.04,2.08,2.04,2.06
19/01/18,2.06,2.08,2.04,2.08
22/01/18,2.08,2.1,2.04,2.06
23/01/18,2.08,2.08,2.04,2.06
24/01/18,2.06,2.08,2.04,2.08
25/01/18,2.08,2.08,2.02,2.02
26/01/18,2.04,2.06,2,2.04
29/01/18,2.04,2.06,2.02,2.04
30/01/18,2.04,2.06,2.02,2.04
31/01/18,2.02,2.04,2.02,2.02
01/02/18,2.02,2.12,2.02,2.12
02/02/18,2.16,2.18,2.08,2.08
05/02/18,2.04,2.1,2.02,2.08
06/02/18,2.04,2.06,2.02,2.04
07/02/18,2.06,2.08,2.04,2.04
08/02/18,2.06,2.08,2.04,2.06
09/02/18,2.02,2.06,2.02,2.04
12/02/18,2.06,2.1,2.04,2.08
13/02/18,2.08,2.1,2.06,2.06
14/02/18,2.08,2.08,2.04,2.04
15/02/18,2.04,2.06,2.02,2.04
16/02/18,2.04,2.06,2.04,2.06
19/02/18,2.06,2.14,2.06,2.12
20/02/18,2.14,2.16,2.08,2.08
21/02/18,2.1,2.1,2.04,2.06
22/02/18,2.04,2.06,2.02,2.04
23/02/18,2.02,2.06,2.02,2.06
26/02/18,2.06,2.08,2.04,2.04
27/02/18,2.04,2.06,2.02,2.04
28/02/18,2.04,2.06,2.02,2.04
02/03/18,2.02,2.06,2.02,2.02
05/03/18,2.04,2.04,2.02,2.04
06/03/18,2.02,2.02,2.02,2.02
07/03/18,2.04,2.04,2,2
08/03/18,2,2.02,1.87,1.87
09/03/18,1.87,1.88,1.81,1.85
12/03/18,1.86,1.9,1.84,1.88
13/03/18,1.87,1.9,1.85,1.9
14/03/18,1.9,1.92,1.89,1.9
15/03/18,1.9,1.91,1.88,1.88
16/03/18,1.89,1.9,1.87,1.87
19/03/18,1.87,1.88,1.85,1.87
20/03/18,1.86,1.88,1.85,1.86
21/03/18,1.87,1.88,1.86,1.87
22/03/18,1.88,1.93,1.87,1.92
23/03/18,1.88,1.9,1.88,1.9
26/03/18,1.89,1.91,1.88,1.9
27/03/18,1.91,1.92,1.88,1.88
28/03/18,1.88,1.89,1.86,1.86
29/03/18,1.86,1.88,1.85,1.87
30/03/18,1.88,1.94,1.88,1.93
02/04/18,1.93,1.95,1.91,1.95
03/04/18,1.95,1.97,1.94,1.94
04/04/18,1.94,1.95,1.89,1.89
05/04/18,1.9,1.91,1.88,1.89
09/04/18,1.89,1.92,1.88,1.91
10/04/18,1.92,1.95,1.91,1.93
11/04/18,1.93,2,1.93,1.98
12/04/18,1.97,2,1.95,1.99
17/04/18,2,2,1.96,1.98
18/04/18,2,2.04,1.98,2.02
19/04/18,2.04,2.04,2,2
20/04/18,2.02,2.02,1.96,1.96
23/04/18,1.96,1.98,1.94,1.95
24/04/18,1.95,1.99,1.95,1.98
25/04/18,1.97,2.02,1.97,1.99
26/04/18,2,2.02,1.99,1.99
27/04/18,2,2,1.95,1.96
30/04/18,1.95,1.97,1.95,1.96
02/05/18,1.97,1.98,1.96,1.98
03/05/18,1.97,1.99,1.97,1.98
04/05/18,1.99,2.02,1.99,2
