date,open,high,low,close
03/01/18,26.25,26.5,26,26.25
04/01/18,26.5,26.5,26,26.25
05/01/18,26.25,27.5,26.25,27
08/01/18,27.25,27.5,27,27
09/01/18,28,28,28,28
10/01/18,28,28,27.5,27.5
11/01/18,27.5,27.75,27.25,27.5
12/01/18,27.5,28,27.25,27.5
15/01/18,27.5,27.75,27.25,27.5
16/01/18,27.75,28.75,27.5,28.5
17/01/18,28.5,29,28,28.25
18/01/18,28.5,28.75,27.5,27.75
19/01/18,27.75,27.75,27,27.5
22/01/18,27.25,27.75,27,27.5
23/01/18,27.5,27.75,27,27
24/01/18,27,27.25,26.75,27
25/01/18,27.25,27.25,26.75,26.75
26/01/18,27,27,26.5,26.75
29/01/18,26.75,27.25,26.75,27
30/01/18,27,27.25,26.75,27
31/01/18,27,27,26.75,26.75
01/02/18,26.75,27,26.75,27
02/02/18,27,27,26.5,26.75
05/02/18,26.5,26.75,26.25,26.5
06/02/18,26,26,24.700001,25.5
07/02/18,26,26,25.5,25.75
08/02/18,25.75,25.75,25.5,25.75
09/02/18,25,25.75,25,25.75
12/02/18,25.75,26,25.5,25.75
13/02/18,25.75,26,25.5,25.5
14/02/18,25.75,25.75,25,25
15/02/18,25,25.25,24.200001,24.299999
16/02/18,24.5,25,24.4,24.9
19/02/18,24.9,25.25,24.799999,25
20/02/18,25,25.25,24.9,24.9
21/02/18,24.9,25.25,24.799999,24.799999
22/02/18,24.700001,24.799999,24.299999,24.299999
23/02/18,24.4,25.25,24.4,24.9
26/02/18,25,25,24.700001,24.799999
27/02/18,24.9,25.25,24.700001,25
28/02/18,25,25.5,24.799999,25.5
02/03/18,25,25,24.700001,24.700001
05/03/18,24.700001,24.9,24.4,24.5
06/03/18,24.1,24.1,24.1,24.1
07/03/18,24.200001,24.299999,24.1,24.1
08/03/18,24.200001,24.5,24.200001,24.200001
09/03/18,24.299999,24.4,23.5,23.6
12/03/18,23.700001,23.799999,23.5,23.6
13/03/18,23.6,23.700001,23.299999,23.5
14/03/18,23.5,24.299999,23.4,24.200001
15/03/18,24.4,24.700001,24.299999,24.4
16/03/18,24.5,24.5,24.1,24.1
19/03/18,24.200001,24.4,23.9,23.9
20/03/18,23.9,24.200001,23.9,24
21/03/18,24.1,24.1,23.9,23.9
22/03/18,24,24.1,23.799999,23.799999
23/03/18,23.6,23.799999,23.5,23.6
26/03/18,23.6,24.1,23.6,24
27/03/18,24.1,24.299999,23.9,24
28/03/18,24.1,24.1,23.700001,23.799999
29/03/18,23.799999,23.799999,23.5,23.5
30/03/18,23.700001,24.299999,23.700001,24.1
02/04/18,24,24.299999,23.9,24.200001
03/04/18,24,24.200001,23.9,24.1
04/04/18,24,24.1,23.700001,23.700001
05/04/18,23.9,23.9,23.5,23.6
09/04/18,23.6,24.1,23.6,24
10/04/18,23.9,23.9,23.6,23.799999
11/04/18,23.9,24.4,23.799999,24.200001
12/04/18,24.200001,24.200001,23.9,24
17/04/18,24,24.1,23.700001,23.799999
18/04/18,24,24,23.799999,23.799999
19/04/18,23.799999,24.1,23.799999,24.1
20/04/18,24,24.1,23.9,24.1
23/04/18,24.1,24.4,23.9,24
24/04/18,24.1,24.1,23.9,24.1
25/04/18,24,24.200001,23.9,23.9
26/04/18,23.9,24.1,23.6,23.6
27/04/18,23.700001,23.799999,23.6,23.700001
30/04/18,24,24.1,23.9,24
02/05/18,24,24.1,23.799999,24.1
03/05/18,24.1,24.4,24,24.299999
04/05/18,24.1,24.200001,23.9,23.9
07/05/18,23.9,24.1,23.700001,23.700001
08/05/18,23.799999,23.9,23.700001,23.700001
09/05/18,23.799999,23.799999,23.6,23.700001
10/05/18,23.799999,23.9,23.6,23.700001
11/05/18,23.799999,24,23.700001,24
14/05/18,24,24.4,23.9,24.200001
15/05/18,24.299999,24.6,24.200001,24.6
16/05/18,24.4,25.25,24.4,25
17/05/18,25.25,25.25,24.700001,24.9
18/05/18,24.9,25,24.6,24.700001
21/05/18,25,25.5,24.9,25.5
22/05/18,25.5,25.75,25,25.25
23/05/18,25.5,26.5,25.5,26
24/05/18,26,26.25,25.75,26
25/05/18,26.25,26.25,25.75,26.25
28/05/18,26.25,26.75,26.25,26.25
30/05/18,25.75,26.25,25.75,26.25
31/05/18,26.25,26.75,26,26.75
01/06/18,26.75,26.75,26,26.5
04/06/18,26.5,26.5,25.75,26
05/06/18,26.25,26.5,26,26.25
06/06/18,26.5,27,26.25,26.75
07/06/18,27,27.5,26.75,27.25
08/06/18,27,27.75,26.75,27.75
11/06/18,27.5,27.75,27.25,27.5
12/06/18,27.25,27.75,27.25,27.5
13/06/18,27.5,27.5,27,27
14/06/18,27,27.5,26.75,27
15/06/18,26.75,27,26.5,26.75
18/06/18,26.5,26.75,26.25,26.25
19/06/18,26.25,26.25,25,25.25
20/06/18,25.25,26,25,26
21/06/18,26,26,25.25,25.25
22/06/18,25.25,26.25,25.25,25.75
25/06/18,25.75,26,25.5,25.75
26/06/18,25.5,25.75,25.25,25.75
27/06/18,25.5,26,25,25.25
28/06/18,25,25.25,24.299999,24.299999
29/06/18,24.299999,24.4,23.6,23.9
02/07/18,24,24.700001,24,24.6
03/07/18,24.6,25.75,24.5,25.5
04/07/18,25.25,25.5,25,25.5
05/07/18,25.5,25.75,24.6,24.799999
06/07/18,24.700001,25.25,24.5,25
09/07/18,25.25,25.25,24.700001,24.700001
10/07/18,24.9,25.5,24.799999,25.25
11/07/18,25,25.5,24.9,25.5
12/07/18,25.25,26,25.25,26
13/07/18,26,26.25,25.75,25.75
16/07/18,26,26,25.25,25.5
17/07/18,25.5,25.5,25,25.25
18/07/18,25.25,25.75,25,25.25
19/07/18,25.5,25.75,25.25,25.5
20/07/18,25.75,26,25.5,25.75
23/07/18,25.75,26.25,25.75,26.25
24/07/18,26.25,26.75,26.25,26.5
25/07/18,26.5,26.75,26.25,26.25
26/07/18,26.5,26.75,26.25,26.25
31/07/18,26.5,26.75,26,26.5
01/08/18,26.5,26.75,26.25,26.5
02/08/18,26.25,26.5,26,26
03/08/18,26.25,26.5,26,26.5
06/08/18,26.5,26.5,25.75,25.75
07/08/18,25.75,26,25.75,26
08/08/18,26,26.25,25.5,26
09/08/18,26,26,25.75,25.75
10/08/18,26,26,25.5,25.5
14/08/18,25.5,25.75,25,25
15/08/18,25,25.5,24.9,25
16/08/18,25,25.25,24.9,25
17/08/18,25.25,25.5,25,25.5
20/08/18,25.5,25.75,25.25,25.5
21/08/18,25.5,26,25.5,26
22/08/18,26,26.25,25.5,25.75
23/08/18,25.75,25.75,25.25,25.5
24/08/18,25.5,26,25.25,26
27/08/18,26,26,25.75,26
28/08/18,26.25,26.75,26.25,26.5
29/08/18,26.5,26.5,26.25,26.5
30/08/18,26.5,27.25,26.25,27
31/08/18,26.75,26.75,26.25,26.5
03/09/18,26.5,26.75,26.25,26.25
04/09/18,26.25,26.5,26,26
05/09/18,26,26.25,25.75,26
06/09/18,26,26,25.5,26
07/09/18,25.75,26.25,25.75,26
10/09/18,25.75,26,25.75,26
11/09/18,26,26.5,26,26.25
12/09/18,26.25,26.5,25.75,26.5
13/09/18,26.5,27.5,26.5,27
14/09/18,27.25,27.5,26.75,27
17/09/18,26.75,27.25,26.5,27
18/09/18,26.75,28,26.5,27.75
19/09/18,28,28.25,27.25,27.5
20/09/18,27.5,27.75,27.25,27.75
21/09/18,28,28,27.5,27.75
24/09/18,27.75,27.75,27.25,27.25
25/09/18,27.25,27.5,26.25,26.25
26/09/18,26.5,27,26.25,26.75
27/09/18,27,27,26.5,26.75
28/09/18,27,27.5,26.75,27.25
01/10/18,27.5,27.5,27,27
02/10/18,27,27.25,26.75,26.75
03/10/18,27,27,26.5,26.75
04/10/18,26.5,26.75,26.25,26.25
05/10/18,26.25,27,26.25,26.5
08/10/18,26.5,26.75,26,26
09/10/18,26.25,26.5,26,26
10/10/18,26.25,27,26.25,27
11/10/18,26,26.25,25.75,26.25
12/10/18,26.25,26.75,26.25,26.5
16/10/18,26.5,26.75,26.5,26.5
17/10/18,26.75,27,26.5,26.5
18/10/18,26.5,26.5,26,26
19/10/18,26,26,25.5,25.5
22/10/18,25.5,25.75,25.25,25.25
24/10/18,25.25,25.5,24.9,25
25/10/18,24.6,25.5,24.299999,25.25
26/10/18,25.25,25.25,24.9,25.25
29/10/18,25.25,25.5,25,25.25
30/10/18,25.25,25.5,25.25,25.25
31/10/18,25.5,25.75,25,25.5
01/11/18,25.5,25.5,25,25.25
02/11/18,25.5,26.25,25.25,25.75
05/11/18,25.75,25.75,25.25,25.5
06/11/18,25.5,25.75,25.25,25.5
07/11/18,25.5,26,25.25,25.75
08/11/18,26,26.25,25.75,25.75
09/11/18,26,26.25,25.5,26
12/11/18,26.25,26.25,25.75,25.75
13/11/18,25.5,26,25.25,25.75
14/11/18,25.5,25.75,25.5,25.75
15/11/18,25.75,26,25.25,25.25
16/11/18,25.5,25.5,25,25
19/11/18,25,25.25,24.9,25.25
20/11/18,25,25.25,24.9,24.9
21/11/18,24.799999,25.25,24.5,24.9
22/11/18,24.9,25,24.700001,24.700001
23/11/18,24.799999,25.25,24.799999,25
26/11/18,25,25.75,25,25.75
27/11/18,25.75,25.75,25.25,25.5
28/11/18,25.75,26,25.5,25.5
29/11/18,25.75,26,25.5,26
30/11/18,25.75,26,25.75,25.75
03/12/18,26,26.5,25.75,26.25
04/12/18,26.25,26.5,26,26.25
06/12/18,26,26.5,25.75,26
07/12/18,26,26.5,26,26.5
11/12/18,26.25,26.5,26,26.25
