date,open,high,low,close
03/01/18,4.06,4.26,4.06,4.26
04/01/18,4.3,4.32,4.24,4.28
05/01/18,4.3,4.34,4.26,4.28
08/01/18,4.3,4.32,4.22,4.22
09/01/18,4.26,4.26,4.26,4.26
10/01/18,4.32,4.4,4.32,4.38
11/01/18,4.38,4.48,4.34,4.38
12/01/18,4.4,4.6,4.36,4.58
15/01/18,4.62,4.8,4.6,4.64
16/01/18,4.66,4.66,4.42,4.42
17/01/18,4.36,4.48,4.28,4.46
18/01/18,4.54,4.54,4.42,4.44
19/01/18,4.4,4.44,4.22,4.34
22/01/18,4.32,4.38,4.28,4.36
23/01/18,4.38,4.46,4.32,4.34
24/01/18,4.32,4.38,4.32,4.38
25/01/18,4.4,4.4,4.24,4.24
26/01/18,4.2,4.24,4.12,4.22
29/01/18,4.26,4.28,4.22,4.22
30/01/18,4.22,4.28,4.18,4.24
31/01/18,4.2,4.36,4.2,4.32
01/02/18,4.32,4.36,4.28,4.3
02/02/18,4.32,4.38,4.3,4.32
05/02/18,4.22,4.28,4.22,4.24
06/02/18,4.14,4.22,4.04,4.18
07/02/18,4.22,4.22,4.16,4.16
08/02/18,4.14,4.2,4.14,4.16
09/02/18,4.12,4.18,4.12,4.14
12/02/18,4.2,4.26,4.18,4.24
13/02/18,4.26,4.28,4.2,4.2
14/02/18,4.2,4.22,4.18,4.18
15/02/18,4.18,4.22,4.12,4.16
16/02/18,4.16,4.2,4.16,4.18
19/02/18,4.18,4.26,4.18,4.22
20/02/18,4.22,4.26,4.18,4.18
21/02/18,4.18,4.2,4.08,4.1
22/02/18,4.1,4.12,4.04,4.06
23/02/18,4.06,4.14,4.04,4.14
26/02/18,4.14,4.16,4.1,4.14
27/02/18,4.16,4.16,4.06,4.08
28/02/18,4.06,4.12,4.04,4.04
02/03/18,4.04,4.1,4.04,4.04
05/03/18,4.04,4.06,3.94,4.02
06/03/18,3.98,3.98,3.98,3.98
07/03/18,3.98,3.98,3.94,3.94
08/03/18,3.98,3.98,3.94,3.94
09/03/18,3.96,3.96,3.84,3.88
12/03/18,3.9,3.96,3.86,3.92
13/03/18,3.9,4.02,3.9,4
14/03/18,3.98,4.02,3.96,4
15/03/18,4,4.04,3.96,3.98
16/03/18,3.98,4.06,3.96,3.96
19/03/18,3.98,4.02,3.94,3.94
20/03/18,3.92,3.96,3.9,3.94
21/03/18,3.96,3.98,3.94,3.94
22/03/18,3.94,4.04,3.94,3.94
23/03/18,3.9,3.96,3.86,3.94
26/03/18,3.94,4.02,3.94,3.98
27/03/18,3.98,4.04,3.98,4
28/03/18,4,4,3.92,3.92
29/03/18,3.92,3.96,3.88,3.92
30/03/18,3.94,3.96,3.86,3.88
02/04/18,3.88,3.94,3.88,3.92
03/04/18,3.9,3.92,3.88,3.88
04/04/18,3.88,3.9,3.8,3.84
05/04/18,3.86,3.86,3.76,3.8
09/04/18,3.78,3.8,3.64,3.64
10/04/18,3.6,3.62,3.46,3.6
11/04/18,3.68,3.82,3.64,3.82
12/04/18,3.78,3.86,3.74,3.86
17/04/18,3.86,3.88,3.78,3.78
18/04/18,3.82,3.84,3.76,3.84
19/04/18,3.82,3.88,3.82,3.84
20/04/18,3.84,3.86,3.76,3.8
23/04/18,3.8,3.94,3.78,3.9
24/04/18,3.92,3.92,3.86,3.88
25/04/18,3.88,3.9,3.82,3.84
26/04/18,3.86,3.88,3.82,3.82
27/04/18,3.84,3.84,3.8,3.8
30/04/18,3.8,3.86,3.8,3.84
02/05/18,3.86,3.96,3.84,3.94
03/05/18,3.92,4.04,3.92,4
04/05/18,4.02,4.02,3.94,3.94
07/05/18,3.98,4.06,3.98,4.06
08/05/18,4.1,4.14,3.98,4.02
09/05/18,4.02,4.02,3.92,3.98
10/05/18,3.98,4.04,3.96,3.96
11/05/18,3.98,4.06,3.98,4.04
14/05/18,4.04,4.12,4.04,4.08
15/05/18,4.08,4.1,4.04,4.06
16/05/18,4.04,4.1,4.04,4.08
17/05/18,4.1,4.16,4.1,4.12
18/05/18,4.14,4.16,4.06,4.06
21/05/18,4.06,4.1,4.02,4.1
22/05/18,4.1,4.1,4.04,4.08
23/05/18,4.08,4.08,4.02,4.04
24/05/18,4.04,4.06,3.96,3.96
25/05/18,3.96,4,3.94,3.96
28/05/18,3.96,3.98,3.92,3.92
30/05/18,3.92,3.98,3.9,3.94
31/05/18,3.96,3.98,3.9,3.98
01/06/18,3.98,4,3.92,3.98
04/06/18,3.94,3.98,3.92,3.94
05/06/18,3.94,3.96,3.92,3.96
06/06/18,3.94,4.08,3.94,4.04
07/06/18,4.06,4.12,4.06,4.08
08/06/18,4.08,4.1,4.04,4.06
11/06/18,4.06,4.2,4.04,4.2
12/06/18,4.2,4.28,4.18,4.26
13/06/18,4.24,4.24,4.16,4.18
14/06/18,4.16,4.18,4.12,4.16
15/06/18,4.16,4.24,4.14,4.16
18/06/18,4.14,4.22,4.12,4.14
19/06/18,4.12,4.14,4.04,4.1
20/06/18,4.1,4.14,4.06,4.12
21/06/18,4.14,4.16,4.04,4.06
22/06/18,4.06,4.1,4.02,4.04
25/06/18,4.06,4.12,4.02,4.06
26/06/18,4.04,4.08,4.02,4.08
27/06/18,4.1,4.16,4.06,4.1
28/06/18,4.1,4.1,3.94,3.94
29/06/18,3.94,3.94,3.76,3.76
02/07/18,3.66,3.86,3.66,3.86
03/07/18,3.84,3.92,3.78,3.92
04/07/18,3.9,3.94,3.86,3.9
05/07/18,3.88,3.88,3.8,3.82
06/07/18,3.82,3.88,3.8,3.84
09/07/18,3.88,3.94,3.86,3.92
10/07/18,3.92,4,3.9,3.98
11/07/18,3.94,3.98,3.9,3.98
12/07/18,3.98,4.02,3.94,3.96
13/07/18,3.98,4.04,3.98,3.98
16/07/18,3.98,4,3.92,3.94
17/07/18,3.96,4,3.94,3.94
18/07/18,3.96,3.98,3.94,3.96
19/07/18,3.98,4.1,3.98,4.08
20/07/18,4.08,4.1,4.04,4.06
23/07/18,4.06,4.08,4.02,4.04
24/07/18,4.06,4.08,3.98,4
25/07/18,4,4.02,3.98,4
26/07/18,4.02,4.02,3.98,4
31/07/18,4,4.04,3.98,3.98
01/08/18,4,4.12,3.98,4.1
02/08/18,4.1,4.1,4.06,4.06
03/08/18,4.06,4.18,4.06,4.12
06/08/18,4.14,4.14,4.06,4.06
07/08/18,4.06,4.08,4.02,4.06
08/08/18,4.08,4.14,4.06,4.14
09/08/18,4.14,4.16,4.1,4.14
10/08/18,4.08,4.1,4.06,4.06
14/08/18,4.02,4.08,3.98,4.04
15/08/18,4.02,4.04,3.98,3.98
16/08/18,3.98,4.06,3.94,4.06
17/08/18,4.06,4.08,4.04,4.04
20/08/18,4.06,4.14,4.04,4.1
21/08/18,4.1,4.12,4.04,4.04
22/08/18,4.08,4.1,4.04,4.06
23/08/18,4.08,4.1,4.08,4.1
