date,open,high,low,close
03/01/18,77,78.75,77,78.5
04/01/18,78.75,78.75,77.75,78.5
05/01/18,79,79,77.75,77.75
08/01/18,77,77.75,76.25,76.5
09/01/18,76.25,76.25,76.25,76.25
10/01/18,76.75,77.75,76.25,77.5
11/01/18,77.5,78.75,77,78.5
12/01/18,78.5,79.5,78.25,79
15/01/18,79,79.75,77.75,78.25
16/01/18,78.25,79.5,77.25,78.5
17/01/18,78.5,80,78.5,80
18/01/18,80,80.5,79.5,79.5
19/01/18,80.25,80.25,79.5,80.25
22/01/18,80.25,80.5,79.75,80.5
23/01/18,80.5,80.75,80,80.5
24/01/18,80.5,80.5,80,80.25
25/01/18,80.25,81,80,80
26/01/18,80.25,80.25,79.5,80.25
29/01/18,80.25,80.25,79.5,79.75
30/01/18,79.5,80,79,79.5
31/01/18,79.75,80,79.5,79.75
01/02/18,79.75,80.75,79.75,80
02/02/18,80.25,80.25,79.25,79.75
05/02/18,79,79.5,78.75,79.25
06/02/18,77,79.25,77,78.5
07/02/18,79,79.75,78.75,79.5
08/02/18,79.75,80,79.25,79.25
09/02/18,78.5,79,78.25,78.5
12/02/18,78.5,78.75,78.25,78.5
13/02/18,78.5,79.25,78.5,79
14/02/18,79.5,80,79,79.5
15/02/18,79.75,80.5,79.75,80.25
16/02/18,80.5,81.25,80,81.25
19/02/18,83,85.75,83,83.75
20/02/18,83.75,84.25,82.25,82.75
21/02/18,83.75,84.75,83.25,83.5
22/02/18,83.75,85,83.25,84.25
23/02/18,84.5,84.5,82.75,84
26/02/18,84,84.75,83.25,84.5
27/02/18,84.25,84.25,83.25,83.25
28/02/18,82.75,84,82.5,84
02/03/18,84,84.75,83.5,84.75
05/03/18,84.75,87.25,84.5,87
06/03/18,87,87,86,86.5
07/03/18,86.25,86.75,84.75,85.5
08/03/18,86,86.75,85.25,85.75
09/03/18,86.5,87,86,87
12/03/18,87.25,88,87.25,87.75
13/03/18,87.5,87.75,86.75,87.75
14/03/18,87,87.5,86.5,87
15/03/18,87,87.5,86.5,87
16/03/18,86.75,88.25,86.5,87.5
19/03/18,87.5,88,87.25,87.5
20/03/18,87,87.5,87,87
21/03/18,87.75,88.5,87.5,87.75
22/03/18,88,88.25,87.5,88
23/03/18,87.5,88.5,87.25,88.5
26/03/18,88.5,88.75,88,88.5
27/03/18,88.5,90,88.25,90
28/03/18,89,89.5,87.25,87.75
29/03/18,87,87.75,86.5,87.25
30/03/18,87.25,88,86.25,88
02/04/18,87.5,88,87.25,87.5
03/04/18,87,88.5,87,88
04/04/18,88,88,86.5,86.5
05/04/18,87.5,88,87,87.75
09/04/18,87.5,87.75,87.25,87.75
10/04/18,87.5,88,86.25,86.75
11/04/18,86.75,87.25,86.25,87.25
12/04/18,87,87.25,86.5,87
17/04/18,86.5,86.5,83,83.25
18/04/18,84,85.5,83.75,85.5
19/04/18,86,87.25,85.75,87
20/04/18,87,87,86,87
23/04/18,87,87.5,86.5,87
24/04/18,87,87,86,86.5
25/04/18,86.5,87.25,86.25,87
26/04/18,87,87.25,86.75,87
27/04/18,86.25,87,85.75,87
30/04/18,87,87.25,86.75,87
02/05/18,87,88,86.75,88
03/05/18,88,88.25,87.75,88
04/05/18,88,88.25,87.25,87.5
07/05/18,88,88.5,87.75,88.25
08/05/18,88,88.5,87.25,87.75
09/05/18,87.5,87.75,86.25,87
10/05/18,87,87.5,85.75,86
11/05/18,86,86,84.5,85.5
14/05/18,86.25,86.75,85.75,86.5
15/05/18,86,86.25,85,85.25
16/05/18,84.75,85,83,83.5
17/05/18,83.25,83.5,81.25,81.75
18/05/18,81.75,82.5,80.25,81.5
21/05/18,82.25,83,81.75,82
22/05/18,82,82.5,81.5,81.5
23/05/18,81.5,81.75,80.75,80.75
24/05/18,80.5,81.25,79.75,80.25
25/05/18,80.5,81,79.5,80.5
28/05/18,80.75,82.25,80.5,81
30/05/18,80.75,81,80,80.5
