date,open,high,low,close
03/01/18,86.25,86.25,84,85.5
04/01/18,86,86,83.75,84.75
05/01/18,84.75,85,82.75,83.25
08/01/18,83,84,82,82
09/01/18,81.75,81.75,81.75,81.75
10/01/18,82,83,81.25,82
11/01/18,82.25,82.75,81.25,82
12/01/18,82,84.25,82,82.75
15/01/18,82.75,84,82.25,83.25
16/01/18,84,84.5,83.75,84
17/01/18,84.5,86,84,85.5
18/01/18,86,86.25,84.75,85.25
19/01/18,85.25,86,84.5,86
22/01/18,85.75,86,85,85.5
23/01/18,86,86,83.5,84.25
24/01/18,83.5,85,83,84.5
25/01/18,84.5,86.25,84.25,85
26/01/18,84.5,85.75,84,85.75
29/01/18,85.25,85.75,84,84.25
30/01/18,83.75,84.25,82.75,82.75
31/01/18,82,83.25,81.5,83
01/02/18,83,84,82.5,83.5
02/02/18,83.5,83.5,82,82.5
05/02/18,81.75,82.75,81.5,82.25
06/02/18,81,82,78.75,81.75
07/02/18,82.5,82.5,81,81
08/02/18,81.25,84,81.25,83.25
09/02/18,81.75,82.75,81.75,82.25
12/02/18,82.25,84.5,82.25,84.5
13/02/18,84.5,84.5,82.25,82.75
14/02/18,82.75,83.5,82.5,82.75
15/02/18,83,83.75,82.75,83.25
16/02/18,83.5,83.75,83,83.5
19/02/18,83.75,84,82.5,83.75
20/02/18,83.75,83.75,82.75,82.75
21/02/18,82.75,83.75,82.5,83.25
22/02/18,83.25,83.75,82.25,83
23/02/18,82.75,84,82.5,84
26/02/18,84,85.25,83.5,85.25
27/02/18,85.5,85.75,83.5,84
28/02/18,84.25,85.5,83.75,84.25
02/03/18,83.75,84,82.25,83.25
05/03/18,82.75,83,81.25,82.75
06/03/18,81.25,81.75,80,80.25
07/03/18,79.75,82.75,79.75,81.75
08/03/18,81,81.25,77.75,77.75
09/03/18,79,79.5,77.75,78.75
12/03/18,79.5,80.25,79.25,80
13/03/18,79.5,80,79.25,80
14/03/18,80,81.75,79.75,81
15/03/18,80.75,80.75,79,79.5
16/03/18,79.5,79.75,78.25,79.5
19/03/18,79,80,78.5,79.5
20/03/18,78.5,79.25,78,78
21/03/18,78.5,79.75,78.5,78.5
22/03/18,78.5,79.75,78.5,78.75
23/03/18,78.5,78.75,77.5,78
26/03/18,78,78.25,77.5,78.25
27/03/18,78.25,79.5,78,78.5
28/03/18,78.5,79.75,78.25,79.5
29/03/18,78.5,79.25,77.75,78.5
30/03/18,79.25,79.25,77,78
02/04/18,77.25,78,77.25,77.25
03/04/18,76.75,77,74.5,75
04/04/18,75.5,76.25,74.75,75.5
05/04/18,75.5,77.5,75.5,77
09/04/18,76,78.5,75.75,77.75
10/04/18,79,81.5,78.75,81
11/04/18,80.25,81,79.25,80.75
12/04/18,81,81,79.5,80.5
17/04/18,80,80.5,78.5,79
18/04/18,79,79.5,78,78.75
19/04/18,79.5,80,79.25,80
20/04/18,79.5,80,79,80
23/04/18,79.25,80,79.25,79.75
24/04/18,80.5,82.25,80,81.5
25/04/18,80.75,81,79.75,80.25
26/04/18,80,81,80,81
27/04/18,81,81.25,80.25,81.25
30/04/18,81.5,81.75,80,80.75
02/05/18,80,80.5,79,79.75
03/05/18,79.5,79.75,78.5,78.5
04/05/18,78.25,79.5,78,79
07/05/18,79.25,80,77,77.25
08/05/18,77.25,78.75,77.25,78.25
09/05/18,78,78.5,77.25,78
10/05/18,78.25,78.25,76.5,77
11/05/18,77.5,79.25,77.5,78.5
14/05/18,78.25,78.75,77.75,78.5
15/05/18,77.5,78,76.75,78
16/05/18,77.25,77.75,77,77.25
17/05/18,77,78,76.75,77.25
18/05/18,77.25,77.25,76,76.25
21/05/18,76.75,77.75,76.5,77.5
22/05/18,77,78,76.75,76.75
23/05/18,76.75,78,76.75,77.5
24/05/18,77,77.25,75.5,76.25
25/05/18,76.75,77.75,76.5,77.5
28/05/18,77.5,78.25,77.25,78.25
30/05/18,78,78,77.25,77.5
31/05/18,77.75,78,76.25,76.25
01/06/18,76.5,76.75,75.25,76.25
04/06/18,76.25,78,76,77.25
05/06/18,77,77.5,76.25,77.5
06/06/18,77.75,78,76.75,77.5
07/06/18,77.5,77.75,75.5,76
08/06/18,76,76.25,74,74.25
11/06/18,74.75,75,73.25,73.75
12/06/18,73.25,73.5,71.25,72.25
13/06/18,72.75,74.5,72.75,73.25
14/06/18,73,73.75,72.25,72.75
15/06/18,72.5,73.25,72.25,72.25
18/06/18,72,73,71.5,71.5
19/06/18,69.75,70.75,69,69.75
20/06/18,70,71.5,69.25,70.5
21/06/18,71,71.25,69.25,70.25
22/06/18,70.75,71,69.25,69.25
25/06/18,69.5,70.25,69,69.25
26/06/18,69.25,71,68.5,70.25
27/06/18,70.5,71.5,70,70.75
28/06/18,70.75,71.75,70,71
29/06/18,70.75,71.25,69.25,69.75
02/07/18,70,70.75,68.25,70
03/07/18,70,71.75,69.5,71
04/07/18,72,73,71.75,72.25
05/07/18,72.25,73.25,71.75,72.25
06/07/18,72,74,71.75,72.75
09/07/18,72.75,73.5,72.25,72.75
10/07/18,73,73.75,72.5,73.25
11/07/18,73.5,73.75,73,73.25
12/07/18,73.25,74.5,73.25,73.75
13/07/18,74,74.75,73.75,74.5
16/07/18,74,74.5,73,73.25
17/07/18,73.25,75,72.75,74.25
18/07/18,75,75.5,74,74.75
19/07/18,74.5,74.75,74,74.5
20/07/18,74.5,76.75,74.25,76.5
23/07/18,76.5,76.5,75.25,76
24/07/18,76,76,74.75,75.5
25/07/18,76,77,75.75,76.25
26/07/18,76,76.5,74.75,75.25
31/07/18,75.25,76.25,75,75.75
01/08/18,76,78.5,76,78
02/08/18,77.75,79,77.75,78.75
03/08/18,78.75,80,78.25,79.75
06/08/18,79.75,80.5,79,79.5
07/08/18,79.25,80.5,79.25,79.75
08/08/18,79.25,80.5,79,80.5
09/08/18,80.75,80.75,79.5,79.75
10/08/18,79.75,81.25,79.75,80.5
14/08/18,79,79.25,77.75,79
15/08/18,78,79.5,77.75,78.25
16/08/18,78.25,78.5,77.75,78.25
17/08/18,78.75,79,78,78.5
20/08/18,79,80,78.5,79.25
21/08/18,79,80.25,78.75,78.75
22/08/18,78.75,79.25,78.5,78.75
23/08/18,79.75,80.25,79,79.75
24/08/18,79.75,79.75,78.75,79.75
27/08/18,80.5,81.25,80.25,81
28/08/18,82,83.5,81.75,82.5
29/08/18,82.25,83.25,82,83
30/08/18,83.25,83.25,82.5,82.5
31/08/18,82,82.5,81.5,82.5
03/09/18,82,83.5,82,82
04/09/18,82,82.75,81.5,81.75
05/09/18,81.5,82.25,80.75,81
06/09/18,81.5,82,81,81.5
07/09/18,81,82,80.75,81.5
10/09/18,81.5,81.75,81,81.75
11/09/18,81.75,82.5,80.5,80.5
12/09/18,80,82.5,79.75,81.25
13/09/18,82,83.25,82,82.75
14/09/18,82.75,83.25,82,82.5
17/09/18,82,82.75,81.5,82
18/09/18,82,87.25,82,86.25
19/09/18,85.5,86,84.25,84.25
20/09/18,84.75,85.25,84.25,84.5
21/09/18,84.5,84.5,83.5,83.5
24/09/18,82.75,83.5,82.25,82.75
25/09/18,83,83.25,82,82.5
26/09/18,82.5,83.5,82.5,83.25
27/09/18,83.75,84,82.25,84
28/09/18,83.75,84,82.5,83
01/10/18,83,83.25,82.75,83.25
02/10/18,82.5,82.75,81,82
03/10/18,82.25,82.5,81,81.5
04/10/18,80.75,82,80.5,81.5
05/10/18,80.75,81.5,80.5,81.25
08/10/18,81,81.5,80,80
09/10/18,79.75,80.25,78.25,79
10/10/18,79,80.75,79,80.25
11/10/18,76.75,79.5,75.5,79.25
12/10/18,79.25,79.5,77.75,78.25
16/10/18,77.75,78,76.25,77
17/10/18,77.5,79.25,77.5,78.5
18/10/18,78,78.5,77.5,77.75
19/10/18,78,79.25,77,79
22/10/18,78.75,79,78.25,78.5
24/10/18,76.5,77.5,75.75,75.75
25/10/18,74,78.5,72.25,77.25
26/10/18,77,78,76,76.25
29/10/18,76.5,78.25,76.5,77.75
30/10/18,78.25,78.25,76.75,77.25
31/10/18,78,79,77.25,79
01/11/18,79,79,77.5,77.75
02/11/18,78.5,79.75,78.25,79
05/11/18,78.75,79,78.5,79
06/11/18,79,79,77.25,77.75
07/11/18,78,78.5,75.5,78.25
08/11/18,78.75,79.5,78.25,78.25
09/11/18,77.75,79,77.75,78.25
12/11/18,78.5,78.75,78,78.25
13/11/18,77.5,78,76.5,78
14/11/18,77,78.75,77,78.75
15/11/18,78.75,79.25,77.75,77.75
16/11/18,76.75,77,75.25,75.25
19/11/18,74.5,74.75,73.75,74.25
20/11/18,73.5,74,73,73.25
21/11/18,72,74.75,72,74.5
22/11/18,74.25,75.25,74,74.25
23/11/18,74.25,75.5,73.25,74.75
26/11/18,75.25,76.25,74.5,76
27/11/18,75.5,75.75,74.25,75.75
28/11/18,76,76.25,75.25,76
29/11/18,76,77.5,75.75,76.5
30/11/18,77,77.25,75.75,75.75
03/12/18,76.5,78.75,76.5,78
04/12/18,78.75,79.5,78.5,79
06/12/18,77,77.5,76.5,77
07/12/18,76.75,77.75,76.5,76.5
11/12/18,76.25,76.5,75.25,75.25
12/12/18,76.5,77.5,76.25,76.75
13/12/18,77,78.25,77,77.25
14/12/18,76.5,77.75,76.25,77.75
17/12/18,77.75,78.25,76,77.25
18/12/18,76.5,77,75.25,75.25
19/12/18,75.5,76.5,75,76.25
20/12/18,75.75,76.75,74.5,76.5
21/12/18,76,76.5,75.25,75.5
24/12/18,75.25,75.75,75,75.5
25/12/18,75,75.25,73.5,74
26/12/18,73,73.75,72.5,73.5
27/12/18,75.75,77.25,72.5,73.25
28/12/18,73,74.75,73,74.75
02/01/19,74.75,75.5,73.5,75
03/01/19,75,75,72.75,73
04/01/19,73,75.25,72.5,74.5
07/01/19,74.5,75.5,74,75.25
08/01/19,75.25,75.75,74.5,75.25
09/01/19,75.5,75.75,75,75.25
10/01/19,75,75.5,74.75,75.5
11/01/19,75.75,76.25,75.25,76
14/01/19,75.25,75.75,75,75.5
15/01/19,76,77.5,75.75,76.5
16/01/19,77.5,77.5,76,76
17/01/19,76.25,76.75,76,76.5
18/01/19,77.25,77.25,76.25,77
21/01/19,77,77.25,75.25,75.75
22/01/19,75.5,76,75,75.75
23/01/19,75.75,77.25,75.75,76.25
24/01/19,76.5,77.25,76.25,77
25/01/19,77.25,79.5,77.25,79.25
28/01/19,80,81.25,79.75,80.5
29/01/19,79.5,80.25,78.75,79.5
30/01/19,79.5,80.5,79,80
31/01/19,80.25,80.75,79.5,79.75
01/02/19,79.5,80.25,79,79.75
04/02/19,79.25,79.75,78,78.25
05/02/19,78,78.75,77.75,78.75
06/02/19,79,79.5,78.75,79
07/02/19,79.25,80,78,78.25
08/02/19,78.25,79.5,77.75,78.75
11/02/19,78,79.25,78,78.75
12/02/19,78.5,79.25,78,78.25
13/02/19,78.25,79.5,78.25,79
14/02/19,79.25,79.5,78,78
15/02/19,77.75,77.75,76.25,76.25
18/02/19,76.5,77,76,76.5
20/02/19,75.75,76,74.75,75.25
21/02/19,75.25,77.5,75,77.5
22/02/19,77.5,77.75,77,77.5
25/02/19,78,78.75,77.75,78.25
26/02/19,76.75,76.75,75.25,75.5
27/02/19,75,76.5,75,76.25
28/02/19,76.25,76.75,75.5,75.5
01/03/19,75.5,76.5,75,75
04/03/19,75,75.5,73.75,74.25
05/03/19,73.75,74.5,73.75,74.25
06/03/19,73.5,74.25,73.25,73.25
07/03/19,73,74.25,73,74
08/03/19,74,74.25,72.75,73.25
11/03/19,73.5,73.75,73,73
12/03/19,73.25,73.75,72.25,72.5
13/03/19,72.5,73.25,72,73
14/03/19,72.25,73,72,72.5
15/03/19,72.5,72.75,71.5,71.75
18/03/19,72,72,70.75,71.5
19/03/19,71.25,72.5,70.75,72.25
20/03/19,72.5,73.25,72,72.75
21/03/19,72.75,73.25,72.5,73
22/03/19,73,73.5,72.25,73
25/03/19,72.25,73.5,71.75,72.75
26/03/19,72.5,72.75,71.75,72.5
27/03/19,72.25,72.75,71.75,72.25
28/03/19,72,73,71.75,72.75
29/03/19,73.25,73.5,72.75,73.25
01/04/19,74,75,73.75,74.75
02/04/19,74,75.25,73.75,74.5
03/04/19,74.25,74.5,73.75,74.25
04/04/19,74,74.25,72.5,73
05/04/19,73.25,74.25,73.25,73.75
09/04/19,74.25,74.75,73.25,74.25
10/04/19,74.25,74.5,73.75,74.5
11/04/19,74,74.25,73.25,74.25
12/04/19,74.25,74.75,73.75,74.75
17/04/19,75,76.5,74.75,76.25
18/04/19,77,77,75.5,76
19/04/19,75.75,76.25,75.5,76.25
22/04/19,76.25,76.5,75.75,76.25
23/04/19,76.25,76.5,75.5,75.5
24/04/19,76,76,75,75.75
25/04/19,76,76.25,75.5,76.25
26/04/19,76,76.25,75.5,76
29/04/19,76.25,76.25,75.25,75.75
30/04/19,75.75,76,75.25,75.5
02/05/19,75.75,76,75,75.5
03/05/19,75.5,75.75,74.5,75.25
07/05/19,74.5,75,73.75,73.75
08/05/19,73.75,74,73,74
09/05/19,73.75,74.75,73.75,74.25
10/05/19,74.5,74.75,73.25,73.5
13/05/19,73,74,73,73.75
14/05/19,73,73.5,72.25,73.5
15/05/19,72.5,72.75,72,72
16/05/19,72.25,73,71.5,72
17/05/19,72.25,72.5,71.75,72.25
21/05/19,72.5,73.5,72,73
22/05/19,73.5,75,73.25,75
