date,open,high,low,close
20/02/20,42,42.25,41.5,41.75
21/02/20,41.75,42,41.25,41.25
24/02/20,40,40.25,35.25,36.5
25/02/20,36.75,38.5,36.25,37.25
26/02/20,36.25,37,32.5,32.5
27/02/20,33,34.5,30.75,34
28/02/20,31.75,32.5,29.5,31.5
02/03/20,32.75,33.75,32,33
03/03/20,34,36,34,35.25
04/03/20,35.25,37.5,35.25,37.25
05/03/20,38,38,36.5,36.75
06/03/20,36.25,36.75,35.75,36.5
09/03/20,34.25,35.25,33,34.75
10/03/20,35,36.75,35,36.5
11/03/20,36,36.5,35.25,35.25
12/03/20,33.5,33.75,29,30
13/03/20,28.25,31.5,27,31
16/03/20,30.75,32.25,29,29.25
17/03/20,29.5,30.25,29,29
18/03/20,29.5,29.5,25.5,26
19/03/20,24.700001,24.799999,23.4,23.5
20/03/20,24.5,26.25,23.799999,24.700001
23/03/20,21,21.5,21,21
24/03/20,21.9,22.799999,20.700001,21
25/03/20,21.700001,24.1,21.299999,24.1
26/03/20,25,27,24.799999,26.5
27/03/20,27,28,25,25
30/03/20,26.5,26.5,26.5,26.5
31/03/20,26.5,29,26.5,28
01/04/20,27.5,28.25,26.5,27
