date,open,high,low,close
03/01/18,49.5,51.5,49.25,50.5
04/01/18,51,51.75,50.25,50.75
05/01/18,51,51.25,49.25,50
08/01/18,50,50.5,48.25,48.25
09/01/18,48.5,48.5,48.5,48.5
10/01/18,48.5,50.25,48.25,50
11/01/18,50,51.25,48.25,48.5
12/01/18,48.75,49.5,48.5,49
15/01/18,49.25,50.75,49.25,50.25
16/01/18,50.75,50.75,49.5,49.75
17/01/18,49.5,49.75,48.75,49
18/01/18,49.25,50,49,49
19/01/18,49.5,52.25,49.25,51.5
22/01/18,52.5,53.5,52.25,53
23/01/18,53.5,53.5,52.25,52.5
24/01/18,52.5,53.5,52.25,53
25/01/18,53.25,53.5,51.5,51.75
26/01/18,51.5,51.75,49.75,50.25
29/01/18,50.75,51.75,50.25,51.75
30/01/18,51.75,52,50.25,50.25
31/01/18,50.25,50.5,49,49.25
01/02/18,49.25,50.5,49.25,50
02/02/18,50,50.25,49.25,49.25
05/02/18,48.25,48.25,46.75,46.75
06/02/18,45,48.25,44.75,48.25
07/02/18,48.5,48.75,46.5,47
08/02/18,48,48,47,47.25
09/02/18,46.75,47.25,46.5,47.25
12/02/18,47.5,47.5,46.5,46.75
13/02/18,47.5,49.5,47.5,48.75
14/02/18,48.75,49,47,47
15/02/18,47,47.5,46.5,47.25
16/02/18,47.5,47.75,46.5,46.75
19/02/18,47,47.25,45.5,45.75
20/02/18,46.25,46.25,45.5,45.75
21/02/18,46,46.25,45.5,45.75
22/02/18,45.75,46,43.75,44.5
23/02/18,45,45.75,44.5,45.25
26/02/18,45.75,45.75,44.75,45.75
27/02/18,46.25,47.25,45.75,46.25
28/02/18,46.25,46.75,45.75,45.75
02/03/18,45.75,46.5,45.5,46.5
05/03/18,46.5,46.5,45.5,45.75
06/03/18,46.5,46.5,46.5,46.5
07/03/18,46.5,46.75,45.5,45.5
08/03/18,45.5,46.25,45,45.75
09/03/18,46.25,46.5,45.5,46
12/03/18,46,46.25,45.25,46
13/03/18,46,47.5,45.75,46.75
14/03/18,46.25,46.25,44.5,45
15/03/18,44.75,46.25,44.5,46
