date,open,high,low,close
03/01/18,52.5,53.5,52.25,52.75
04/01/18,53,53.25,52.5,52.5
05/01/18,53,54,52.5,53.5
08/01/18,53,55.5,52.75,54.5
09/01/18,53.5,53.5,53.5,53.5
10/01/18,53.75,54.25,52.5,53.25
11/01/18,56.5,66,56.5,63.5
12/01/18,66.75,68.25,63.5,65
15/01/18,65,71.25,63.5,68.75
16/01/18,69,69.5,67,67
17/01/18,65,68.75,64.5,67.75
18/01/18,68.5,70.25,67.25,67.5
19/01/18,68.25,69,67,69
22/01/18,69,70,68.75,69.5
23/01/18,70,70,67.75,68.5
24/01/18,68.25,69.25,67.25,68
25/01/18,68.25,68.5,66,66
26/01/18,66,67.25,65.25,67.25
29/01/18,67.5,68.5,67.25,67.5
30/01/18,67.5,67.5,66,67.25
31/01/18,67.25,68.75,67,67.75
01/02/18,67.75,68.25,66.25,66.25
02/02/18,66.5,67,64.75,65
05/02/18,63.5,65,63.25,64.5
06/02/18,63,64.75,61.5,64.25
07/02/18,65.25,67.25,65,66.25
08/02/18,66.5,67.25,65.5,66.5
09/02/18,65.5,68.25,65,68
12/02/18,68.25,69.25,68,69
13/02/18,69.25,69.5,67.25,67.25
14/02/18,67.5,68.25,67.25,67.25
15/02/18,68,68.25,67.25,68
16/02/18,68.25,68.25,67.5,67.75
19/02/18,68,68,66.5,66.75
20/02/18,67,68,66.75,67
21/02/18,67.5,67.5,66,66.5
22/02/18,66.5,66.5,64.25,64.25
23/02/18,64.75,67,64.75,66.75
26/02/18,67.25,68,66.75,68
27/02/18,68.25,69.25,67,67.5
28/02/18,67.75,68.5,67.25,67.25
02/03/18,65.5,66.25,63.25,63.25
05/03/18,63.25,64,58.75,59.75
06/03/18,60.25,60.25,49.75,50.25
07/03/18,50.75,52.5,49.25,50.75
08/03/18,51.5,52.25,49.5,49.5
09/03/18,50.5,50.5,41.5,45.5
12/03/18,46.75,47,42.5,42.5
13/03/18,42.75,48.75,42.75,48
14/03/18,47.5,50.5,47.25,49
15/03/18,49.25,50,47.75,48
16/03/18,48.25,48.5,45,45.75
19/03/18,46,49.25,46,48.25
20/03/18,49,49.5,47,47.5
21/03/18,47.5,48,46.75,47.25
22/03/18,47.75,48.75,47,47
23/03/18,46,47.5,46,46.5
26/03/18,46.75,47,46,46.5
27/03/18,46.75,48.5,46.75,47.75
28/03/18,48.25,48.25,44.5,44.75
29/03/18,45.5,46,42.75,43.75
30/03/18,44.25,44.5,42,43.75
02/04/18,43.5,43.75,39,39
03/04/18,38.75,39,34,34
04/04/18,33,35.75,32,32.75
05/04/18,33.75,35.5,32.75,35.25
09/04/18,35,35.25,30.25,30.75
10/04/18,31.75,36,30.75,36
11/04/18,36,36.5,32.25,33
12/04/18,33,35.25,32.25,34.25
17/04/18,34.25,35,32.75,33
18/04/18,34,35,33.5,34.75
19/04/18,35,37.75,34.75,37
20/04/18,37,37.5,36,36.75
23/04/18,36.5,36.5,35,35
24/04/18,35.5,36.5,34.25,34.75
25/04/18,34.25,35.25,33.25,33.75
26/04/18,34.25,35.5,34,34.75
27/04/18,35.25,36.75,35,36.5
30/04/18,37,38.25,35.75,36
02/05/18,36.25,37.25,35.75,37
03/05/18,36.75,37.75,36.5,37
04/05/18,37.25,37.5,36.25,36.5
07/05/18,37,37,35.25,35.25
08/05/18,35.5,35.5,34.5,34.75
09/05/18,35,35.75,34.75,35.5
10/05/18,35.5,35.5,34,34.25
11/05/18,34.5,35.75,34.5,35.5
14/05/18,36.75,37,36,36.5
15/05/18,36.5,37,36,36
16/05/18,36,36,35,35.25
17/05/18,35.25,36.5,35.25,36.25
18/05/18,36.5,39.75,36.5,38
21/05/18,38.75,38.75,37.25,38
22/05/18,38,38.25,37.25,37.75
23/05/18,37.75,39,37.5,38.75
24/05/18,38.5,39.75,38.5,39.5
25/05/18,39.75,40.25,39,39.25
28/05/18,39.5,40.75,39.25,40.5
30/05/18,40,40.75,37.75,38.5
31/05/18,38.75,39,38,38.75
01/06/18,38.75,39.25,37.75,37.75
04/06/18,38,38.5,36.75,38.25
05/06/18,38.25,39.75,38.25,39.5
06/06/18,39.5,39.5,39,39.25
07/06/18,39.25,40,39.25,39.25
08/06/18,39.25,39.25,38.25,38.75
11/06/18,38.75,39.25,38.5,38.75
12/06/18,39,39.75,38.75,39.25
13/06/18,39.25,40,38.25,38.5
14/06/18,38.25,38.75,37.5,38
15/06/18,38,38.25,36.5,36.75
18/06/18,36.5,36.75,36,36
19/06/18,35.25,35.75,34.25,34.25
20/06/18,34.75,35.25,34.5,35
21/06/18,35,35.25,33.5,33.5
22/06/18,33.75,34.5,33.25,33.75
25/06/18,34.25,35.25,33.5,34
26/06/18,33.5,34.5,33.5,34.25
27/06/18,34.75,35.25,34.5,34.75
28/06/18,34.75,34.75,33.5,33.5
29/06/18,33.5,34,32.25,32.75
02/07/18,32.75,33,30.5,31.5
03/07/18,31.5,32.75,31.25,32.25
04/07/18,32.25,32.75,31.75,31.75
05/07/18,31.75,31.75,28.25,28.25
06/07/18,28.25,30.5,27.5,29.5
09/07/18,30.25,30.75,29.25,29.25
10/07/18,29.75,31.75,29.5,31.5
11/07/18,31,32,30.75,31.25
12/07/18,31.5,33.5,31.25,33.25
13/07/18,33.25,33.25,32.25,32.5
16/07/18,32.5,33.75,32.5,33.25
17/07/18,33,33.25,32,33
18/07/18,33.25,33.5,32.5,33
19/07/18,33.25,35.25,33.25,35
