date,open,high,low,close
03/01/18,216,221,216,220
04/01/18,221,221,215,217
05/01/18,217,221,216,216
08/01/18,216,218,215,217
09/01/18,216,216,216,216
10/01/18,216,218,215,218
11/01/18,218,223,216,223
12/01/18,221,223,218,219
15/01/18,218,221,217,218
16/01/18,219,220,218,218
17/01/18,218,220,217,220
18/01/18,219,221,217,217
19/01/18,217,219,217,218
22/01/18,219,221,218,220
23/01/18,220,221,219,221
24/01/18,219,221,218,219
25/01/18,220,221,219,219
26/01/18,219,221,218,221
29/01/18,222,223,221,222
30/01/18,222,222,219,220
31/01/18,219,220,218,218
01/02/18,219,219,217,218
02/02/18,217,220,217,220
05/02/18,218,219,217,219
06/02/18,218,218,215,218
07/02/18,218,218,216,216
08/02/18,217,218,216,217
09/02/18,216,220,216,218
12/02/18,219,222,218,221
13/02/18,221,223,220,221
14/02/18,223,223,221,221
15/02/18,222,230,222,229
16/02/18,229,241,226,241
19/02/18,235,246,235,239
20/02/18,240,240,231,231
21/02/18,233,238,231,233
22/02/18,235,236,229,232
23/02/18,232,238,231,237
26/02/18,237,244,237,243
27/02/18,245,245,236,238
28/02/18,239,240,237,238
02/03/18,237,237,231,235
05/03/18,235,239,232,239
06/03/18,238,238,238,238
07/03/18,237,237,234,235
08/03/18,231,233,230,233
09/03/18,232,236,230,231
12/03/18,232,239,232,239
13/03/18,239,242,236,240
14/03/18,238,241,237,238
15/03/18,238,240,234,234
16/03/18,233,239,233,236
19/03/18,235,238,235,236
20/03/18,234,236,233,236
21/03/18,236,238,235,236
22/03/18,236,239,236,236
23/03/18,234,235,233,233
26/03/18,232,234,231,232
27/03/18,233,234,232,232
28/03/18,232,233,231,232
29/03/18,231,232,225,229
30/03/18,228,232,227,232
02/04/18,232,235,232,235
03/04/18,233,235,227,228
04/04/18,229,230,224,224
05/04/18,226,228,224,228
09/04/18,225,226,222,226
10/04/18,225,227,218,227
11/04/18,225,229,225,228
12/04/18,228,232,227,231
17/04/18,230,230,224,225
18/04/18,225,229,224,229
19/04/18,230,236,228,234
20/04/18,231,232,227,229
23/04/18,228,229,227,228
24/04/18,227,230,225,226
25/04/18,226,228,223,227
26/04/18,227,228,223,226
27/04/18,226,226,219,222
30/04/18,223,224,221,223
02/05/18,222,230,222,229
03/05/18,227,232,226,231
04/05/18,228,230,225,228
07/05/18,228,229,226,229
08/05/18,228,228,226,227
09/05/18,227,233,227,232
10/05/18,232,232,226,227
11/05/18,227,230,226,228
14/05/18,229,232,229,230
15/05/18,230,232,229,231
16/05/18,231,232,226,228
17/05/18,228,232,226,232
18/05/18,231,231,228,230
21/05/18,230,233,228,232
22/05/18,232,232,230,232
23/05/18,231,233,230,232
24/05/18,232,237,228,235
25/05/18,235,242,234,240
28/05/18,238,240,236,237
30/05/18,236,237,232,234
31/05/18,234,244,234,241
01/06/18,239,240,236,236
04/06/18,235,240,235,237
05/06/18,240,243,238,241
06/06/18,242,242,239,241
07/06/18,242,243,240,242
08/06/18,240,242,239,241
11/06/18,239,239,237,237
12/06/18,237,239,236,237
13/06/18,237,237,231,233
14/06/18,232,237,232,237
15/06/18,235,238,235,237
18/06/18,235,237,233,234
19/06/18,232,234,225,227
20/06/18,228,232,227,231
21/06/18,230,233,228,229
22/06/18,232,232,229,231
25/06/18,228,231,225,228
26/06/18,226,231,226,230
27/06/18,228,230,226,229
28/06/18,229,230,226,226
29/06/18,226,227,222,224
02/07/18,224,225,219,224
03/07/18,222,224,220,222
04/07/18,222,231,222,227
05/07/18,228,229,226,226
06/07/18,226,229,224,225
09/07/18,225,230,225,229
10/07/18,230,233,228,233
11/07/18,231,231,227,229
12/07/18,228,233,228,230
13/07/18,230,231,228,230
16/07/18,228,229,227,228
17/07/18,228,229,227,229
18/07/18,228,229,221,225
19/07/18,226,227,224,226
20/07/18,224,229,224,227
23/07/18,227,229,226,227
24/07/18,225,227,224,225
25/07/18,225,231,225,230
26/07/18,230,232,229,231
31/07/18,230,233,229,231
01/08/18,234,234,228,230
02/08/18,231,232,229,231
03/08/18,231,231,228,231
06/08/18,232,234,231,231
07/08/18,231,232,229,229
08/08/18,229,235,229,233
09/08/18,234,235,230,232
10/08/18,228,230,224,226
14/08/18,228,230,226,229
15/08/18,226,227,225,226
16/08/18,226,227,223,226
17/08/18,225,227,225,225
