date,open,high,low,close
03/01/18,11.3,11.4,11.1,11.1
04/01/18,11.2,11.3,11.1,11.1
05/01/18,11.2,11.2,11,11
08/01/18,11,11.1,10.9,11
09/01/18,10.9,10.9,10.9,10.9
10/01/18,11,11,10.8,10.9
11/01/18,10.9,11,10.8,10.9
12/01/18,10.9,11,10.8,10.8
15/01/18,10.8,10.9,10.7,10.7
16/01/18,10.7,10.8,10.6,10.7
17/01/18,10.7,10.9,10.7,10.9
18/01/18,10.9,10.9,10.7,10.9
19/01/18,10.9,10.9,10.7,10.7
22/01/18,10.7,10.8,10.7,10.7
23/01/18,10.8,11,10.7,10.9
24/01/18,10.9,10.9,10.7,10.7
25/01/18,10.8,10.8,10.6,10.6
26/01/18,10.6,10.7,10.5,10.5
29/01/18,10.6,10.6,10.5,10.6
30/01/18,10.6,10.6,10.4,10.4
31/01/18,10.4,10.4,10,10.1
01/02/18,10.1,10.2,9.85,9.95
02/02/18,9.9,10.2,9.9,10
05/02/18,9.8,9.95,9.7,9.7
06/02/18,9.45,9.55,9.25,9.25
07/02/18,9.4,9.4,9,9
08/02/18,9,9.25,9,9.05
09/02/18,9,9.25,9,9.2
12/02/18,9.15,9.2,9.1,9.15
13/02/18,9.1,9.1,8.8,8.9
14/02/18,8.85,8.9,8.55,8.55
15/02/18,8.55,8.8,8.25,8.3
16/02/18,8.25,8.55,8.25,8.5
19/02/18,8.55,8.7,8.5,8.6
20/02/18,8.6,8.7,8.25,8.3
21/02/18,8.3,8.3,7.65,7.75
22/02/18,7.8,7.9,7.05,7.15
23/02/18,7.2,7.75,7.2,7.65
26/02/18,7.7,7.75,7.5,7.55
27/02/18,7.7,7.75,7.55,7.6
28/02/18,7.55,7.6,7.3,7.3
02/03/18,7.35,7.4,7.05,7.05
05/03/18,7.15,7.15,6.75,6.8
06/03/18,6.85,6.85,6.85,6.85
07/03/18,6.85,6.9,6.7,6.7
08/03/18,6.8,6.8,6.5,6.5
09/03/18,6.55,6.75,6.4,6.7
12/03/18,6.8,7,6.8,6.95
13/03/18,7,7.2,6.95,7.2
14/03/18,7.15,7.4,7.05,7.25
15/03/18,7.25,7.25,7.1,7.2
16/03/18,7.2,7.25,7.1,7.2
19/03/18,7.25,7.25,7.05,7.05
20/03/18,7.05,7.1,6.95,6.95
21/03/18,7.05,7.15,6.95,6.95
22/03/18,7,7.2,6.95,7.05
