date,open,high,low,close
03/01/18,8.8,8.8,8.5,8.6
04/01/18,8.6,8.7,8.45,8.6
05/01/18,8.55,8.7,8.1,8.35
08/01/18,8.35,8.5,8.15,8.35
09/01/18,8.25,8.25,8.25,8.25
10/01/18,8.15,8.25,8.1,8.15
11/01/18,8.15,8.25,8.1,8.15
12/01/18,8.15,8.5,8.15,8.4
15/01/18,8.45,8.7,8.45,8.65
16/01/18,8.65,8.9,8.6,8.9
17/01/18,8.8,9,8.8,8.9
18/01/18,8.95,8.95,8.55,8.6
19/01/18,8.55,8.7,8.5,8.55
22/01/18,8.55,8.6,8.4,8.45
23/01/18,8.45,8.5,8.25,8.25
24/01/18,8.35,8.55,8.3,8.45
25/01/18,8.45,8.55,8.35,8.45
26/01/18,8.4,8.55,8.3,8.55
29/01/18,8.55,8.55,8.5,8.5
30/01/18,8.5,8.55,8.4,8.45
31/01/18,8.35,8.45,8.3,8.35
01/02/18,8.35,8.75,8.35,8.75
02/02/18,8.7,8.75,8.5,8.6
05/02/18,8.35,8.6,8.35,8.5
06/02/18,8.35,8.55,8.15,8.55
07/02/18,8.55,8.55,8.45,8.5
08/02/18,8.45,8.55,8.35,8.45
09/02/18,8.45,8.65,8.4,8.65
12/02/18,8.65,8.65,8.55,8.55
13/02/18,8.55,8.75,8.5,8.7
14/02/18,8.7,8.85,8.4,8.5
15/02/18,8.45,8.6,8.35,8.6
16/02/18,8.55,8.6,8.45,8.5
19/02/18,8.6,8.65,8.45,8.5
20/02/18,8.5,8.6,8.45,8.55
21/02/18,8.5,8.55,8.25,8.25
22/02/18,8.2,8.45,8.2,8.3
23/02/18,8.3,8.4,8.2,8.25
26/02/18,8.25,8.45,8.25,8.45
27/02/18,8.45,8.5,8.25,8.4
28/02/18,8.4,8.6,8.35,8.6
02/03/18,8.4,8.45,8.2,8.2
05/03/18,8.3,8.35,8.2,8.25
06/03/18,8.05,8.05,8.05,8.05
07/03/18,8.1,8.15,7.6,7.7
08/03/18,7.7,7.95,7.7,7.85
09/03/18,7.85,8.05,7.45,7.7
12/03/18,7.8,8.05,7.75,8.05
13/03/18,8.15,8.15,7.95,8
14/03/18,8,8.05,7.9,7.95
15/03/18,8,8.1,7.95,8.05
16/03/18,8,8.05,7.9,8
19/03/18,7.9,7.95,7.8,7.8
20/03/18,7.8,7.85,7.7,7.8
21/03/18,7.9,8,7.7,7.9
22/03/18,7.75,7.8,7.75,7.8
23/03/18,7.7,7.75,7.6,7.6
26/03/18,7.6,7.6,7.4,7.5
27/03/18,7.5,7.85,7.5,7.8
28/03/18,7.75,7.9,7.7,7.85
29/03/18,7.85,7.85,7.7,7.8
30/03/18,7.85,8,7.75,8
02/04/18,8.05,8.15,7.95,8.15
03/04/18,8.1,8.15,7.85,7.85
04/04/18,7.9,8.05,7.75,7.8
05/04/18,7.85,8.2,7.75,8.15
09/04/18,8.15,8.2,7.95,8.05
10/04/18,8.05,8.25,8,8.15
11/04/18,8.15,8.35,8.1,8.2
12/04/18,8.2,8.25,8.05,8.25
17/04/18,8.25,8.25,8.1,8.2
18/04/18,8.2,8.25,8.1,8.2
19/04/18,8.25,8.45,8.25,8.45
20/04/18,8.45,8.45,8.2,8.4
23/04/18,8.4,8.4,8.1,8.2
24/04/18,8.2,8.35,8.15,8.2
25/04/18,8.2,8.35,8.05,8.15
26/04/18,8.15,8.4,8.15,8.4
27/04/18,8.3,8.35,8.2,8.2
30/04/18,8.25,8.25,8.15,8.2
02/05/18,8.2,8.25,8.1,8.15
03/05/18,8.15,8.35,8.15,8.3
04/05/18,8.3,8.4,8.2,8.3
07/05/18,8.3,8.4,7.9,8.1
08/05/18,8.05,8.15,8,8.15
09/05/18,8.1,8.1,7.8,7.85
10/05/18,7.95,8,7.85,7.9
11/05/18,7.9,7.95,7.85,7.9
14/05/18,7.9,8.1,7.85,7.95
15/05/18,8.15,8.35,8.05,8.2
16/05/18,8.1,8.15,7.95,8
17/05/18,8,8.05,7.85,7.9
18/05/18,7.95,7.95,7.7,7.85
21/05/18,7.9,8,7.85,7.95
22/05/18,7.95,8.1,7.95,8.1
23/05/18,8,8.15,7.95,7.95
24/05/18,7.95,7.95,7.75,7.95
25/05/18,8.1,8.1,7.9,8
28/05/18,7.95,8,7.9,7.95
30/05/18,7.9,8,7.8,8
31/05/18,8.1,8.15,8,8.15
01/06/18,8.2,8.3,8.1,8.3
04/06/18,8.3,8.3,8.15,8.2
05/06/18,8.25,8.3,8.15,8.25
06/06/18,8.2,8.3,8.15,8.3
07/06/18,8.25,8.3,8.15,8.25
08/06/18,8.25,8.3,8.25,8.3
11/06/18,8.3,8.3,8.05,8.1
12/06/18,8,8.2,8,8.15
13/06/18,8.1,8.15,8.05,8.05
14/06/18,8.05,8.1,8,8.05
15/06/18,8.05,8.1,8,8.05
18/06/18,7.95,8,7.9,7.95
19/06/18,7.9,7.95,7.6,7.7
20/06/18,7.65,7.8,7.6,7.8
21/06/18,7.8,7.8,7.45,7.6
22/06/18,7.55,7.65,7.25,7.3
25/06/18,7.25,7.25,6.5,6.6
26/06/18,6.5,6.9,6.5,6.65
27/06/18,6.7,6.9,6.65,6.8
28/06/18,6.75,6.75,6.3,6.3
29/06/18,6.25,6.35,6,6.3
02/07/18,6.25,6.3,6.15,6.2
03/07/18,6.25,6.7,6.2,6.7
04/07/18,6.6,6.9,6.5,6.9
05/07/18,6.9,6.9,6.45,6.45
06/07/18,6.45,6.7,6.3,6.65
09/07/18,6.7,6.7,6.25,6.25
10/07/18,6.3,6.45,6.25,6.3
11/07/18,6.3,6.45,6.25,6.3
12/07/18,6.3,6.6,6.3,6.55
13/07/18,6.55,6.95,6.55,6.85
16/07/18,6.85,6.9,6.55,6.65
17/07/18,6.65,6.75,6.5,6.55
18/07/18,6.55,6.65,6.55,6.6
19/07/18,6.65,6.9,6.6,6.75
20/07/18,6.75,7.35,6.75,7.15
23/07/18,7.1,7.2,7.05,7.15
24/07/18,7.15,7.15,6.9,7
25/07/18,7.05,7.35,7.05,7.25
26/07/18,7.3,7.35,7.15,7.2
31/07/18,7.2,7.45,7.15,7.3
01/08/18,7.35,7.5,7.3,7.35
02/08/18,7.35,7.35,7.1,7.2
03/08/18,7.2,7.35,7.15,7.3
06/08/18,7.4,7.4,7.15,7.2
07/08/18,7.2,7.25,7,7.2
08/08/18,7.2,7.35,7.15,7.35
09/08/18,7.3,7.3,7.05,7.1
10/08/18,7.1,7.3,7.05,7.1
14/08/18,7.1,7.1,6.95,7
15/08/18,6.95,7.2,6.95,7.15
16/08/18,7.15,7.3,7,7.3
17/08/18,7.4,7.9,7.35,7.75
20/08/18,7.75,7.9,7.55,7.9
21/08/18,7.9,7.9,7.6,7.7
22/08/18,7.7,7.75,7.6,7.6
23/08/18,7.6,7.85,7.55,7.55
24/08/18,7.6,7.6,7.4,7.5
27/08/18,7.55,7.75,7.55,7.75
28/08/18,7.75,7.95,7.7,7.9
29/08/18,7.9,8,7.85,8
30/08/18,8,8.05,7.75,7.8
31/08/18,7.8,8.1,7.8,8.1
03/09/18,8,8.2,7.95,7.95
04/09/18,7.95,8.1,7.75,8
05/09/18,8,8,7.7,7.7
06/09/18,7.75,7.9,7.55,7.8
07/09/18,7.8,7.9,7.7,7.7
10/09/18,7.75,7.8,7.65,7.7
11/09/18,7.75,7.95,7.65,7.75
12/09/18,7.75,7.8,7.65,7.75
13/09/18,7.75,7.95,7.75,7.9
14/09/18,7.95,7.95,7.8,7.85
17/09/18,7.85,8,7.8,7.9
18/09/18,7.95,8.05,7.85,8.05
19/09/18,8.05,8.15,8,8
20/09/18,8,8.05,7.9,8.05
21/09/18,8.05,8.1,8,8.1
24/09/18,8.15,8.4,8.1,8.35
25/09/18,8.35,8.45,8,8.1
26/09/18,8.1,8.15,7.95,8
27/09/18,8,8.05,7.9,8.05
28/09/18,8.1,8.15,7.95,8.1
01/10/18,8.15,8.2,8.05,8.1
02/10/18,8.1,8.15,7.9,7.95
03/10/18,7.95,8,7.85,7.85
04/10/18,7.85,7.95,7.75,7.75
05/10/18,7.75,8,7.75,7.8
08/10/18,7.75,7.85,7.15,7.3
09/10/18,7.2,7.55,7.1,7.5
10/10/18,7.45,7.6,7.35,7.5
11/10/18,7.3,7.4,7.2,7.3
12/10/18,7.35,7.6,7.35,7.6
16/10/18,7.6,7.65,7.5,7.6
17/10/18,7.65,7.7,7.6,7.6
18/10/18,7.55,7.65,7.5,7.55
19/10/18,7.5,7.85,7.5,7.85
22/10/18,7.8,7.8,7.55,7.6
24/10/18,7.45,7.6,7.2,7.2
25/10/18,7,7.2,7,7.15
