date,open,high,low,close
03/01/18,15.0109,15.6218,14.9236,15.5345
04/01/18,15.7091,15.7964,15.36,15.7091
05/01/18,15.7091,15.7964,15.4473,15.5345
08/01/18,15.6218,15.8836,15.2727,15.2727
09/01/18,15.6218,15.6218,15.6218,15.6218
10/01/18,15.7091,15.8836,15.36,15.36
11/01/18,15.2727,15.7964,15.2727,15.7091
12/01/18,15.5345,15.8836,15.5345,15.7091
15/01/18,15.7964,16.4946,15.7091,16.32
16/01/18,16.4946,16.4946,16.058201,16.32
17/01/18,16.2327,16.2327,15.8836,16.058201
18/01/18,16.1455,16.407301,16.058201,16.1455
19/01/18,16.1455,16.2327,15.8836,16.1455
22/01/18,16.2327,16.5818,16.1455,16.2327
23/01/18,16.407301,16.407301,15.9709,16.058201
24/01/18,15.9709,16.1455,15.7091,15.9709
25/01/18,15.9709,16.1455,15.7091,15.7091
26/01/18,15.5345,15.7091,15.2727,15.36
29/01/18,15.36,15.4473,14.6618,14.8364
30/01/18,14.9236,15.0982,14.8364,15.0109
31/01/18,14.9236,15.0109,14.8364,14.8364
01/02/18,14.8364,15.0109,14.7491,14.7491
02/02/18,14.7491,14.9236,14.6618,14.7491
05/02/18,14.5745,14.5745,14.2254,14.3127
06/02/18,13.7018,14.4,13.44,14.4
07/02/18,15.0109,15.2727,14.6618,15.0109
08/02/18,14.9236,15.0109,14.5745,14.5745
09/02/18,14.3127,14.9236,14.3127,14.8364
12/02/18,14.8364,15.0982,14.8364,15.0982
13/02/18,15.2727,15.36,14.6618,14.6618
14/02/18,14.9236,14.9236,14.5745,14.7491
15/02/18,14.7491,14.9236,14.6618,14.8364
16/02/18,14.8364,14.9236,14.7491,14.8364
19/02/18,14.7491,15.0109,14.7491,15.0109
20/02/18,15.0109,15.0109,14.7491,14.7491
21/02/18,14.7491,14.8364,14.4,14.4
22/02/18,14.2254,14.4873,14.2254,14.4
23/02/18,14.3127,14.4,14.1382,14.3127
26/02/18,14.3127,14.6618,14.3127,14.5745
27/02/18,14.6618,14.7491,14.4,14.5745
28/02/18,14.5745,14.5745,14.2254,14.3127
02/03/18,14.2254,14.2254,13.7018,13.8764
05/03/18,13.7018,14.3127,13.7018,14.2254
06/03/18,13.3527,13.3527,13.3527,13.3527
07/03/18,13.1782,13.3527,12.9164,13.0036
08/03/18,12.9091,13.0909,12.7273,12.7273
09/03/18,13,13,12.7273,12.9091
12/03/18,13.0909,13.2727,12.8182,12.9091
13/03/18,13,14,12.9091,14
14/03/18,14.0909,14.5455,13.9091,14.4545
15/03/18,14.4545,14.5455,14.0909,14.0909
16/03/18,14.0909,14.2727,14,14
19/03/18,13.9091,14,13.4545,13.6364
20/03/18,13.5455,14,13.5455,14
21/03/18,14.3636,14.3636,13.7273,14.1818
22/03/18,14.2727,14.2727,14,14.1818
23/03/18,14,14.1818,13.9091,13.9091
26/03/18,14.1818,14.1818,13.7273,14
27/03/18,14.1818,14.1818,13.7273,13.9091
28/03/18,13.9091,14.2727,13.8182,14.1818
29/03/18,14.1818,14.4545,13.8182,14.1818
30/03/18,14.4545,14.4545,14.0909,14.2727
02/04/18,14.3636,14.3636,14,14.2727
03/04/18,14.0909,14.2727,14.0909,14.2727
04/04/18,14.2727,14.3636,14,14
05/04/18,14,14.1818,13.8182,14.0909
09/04/18,14.0909,14.0909,13.8182,14.0909
10/04/18,14,14.3636,13.9091,14.3636
11/04/18,14.2727,14.3636,14,14.0909
12/04/18,14,14.0909,13.9091,14
17/04/18,13.9091,14,13.7273,13.7273
18/04/18,13.7273,14.0909,13.7273,14.0909
19/04/18,14.1818,14.1818,13.6364,13.7273
20/04/18,13.7273,13.9091,13.5455,13.7273
23/04/18,13.7273,14.2727,13.7273,14.2727
24/04/18,14.2727,14.2727,13.9091,14.2727
25/04/18,14.0909,14.2727,13.9091,14
26/04/18,14,14.0909,13.9091,13.9091
27/04/18,13.9091,14.3636,13.9091,14.3636
30/04/18,14.5455,14.9091,14.2727,14.8182
02/05/18,14.8182,15.3636,14.8182,15.2727
03/05/18,15.2727,15.3636,15,15.0909
