date,open,high,low,close
03/01/18,13.05,13.85,13.05,13.75
04/01/18,13.7,13.9,13.4,13.85
05/01/18,13.95,14,13.75,13.75
08/01/18,13.55,13.8,13.5,13.65
09/01/18,13.6,13.6,13.6,13.6
10/01/18,13.65,14,13.55,13.95
11/01/18,14,14.05,13.75,14
12/01/18,14.1,15.3,13.9,15.3
15/01/18,15.25,16.75,14.8,15.3
16/01/18,15.2,15.25,14.2,14.8
17/01/18,14.45,15.4,14.45,15.3
18/01/18,15.4,15.4,14.7,15
19/01/18,14.9,15.2,14.75,15.2
22/01/18,15.1,15.65,15.05,15.5
23/01/18,15.6,15.6,15.25,15.5
24/01/18,15.4,15.6,15.3,15.5
25/01/18,15.4,15.45,14.7,14.7
26/01/18,14.6,14.8,14,14.7
29/01/18,14.8,14.9,14.5,14.7
30/01/18,14.6,14.6,14.3,14.45
31/01/18,14.3,14.8,14.2,14.7
01/02/18,14.7,14.8,14.65,14.75
02/02/18,14.7,14.75,14.45,14.45
05/02/18,14.15,14.5,14.15,14.4
06/02/18,14,14.4,13.95,14.35
07/02/18,14.45,14.5,14.2,14.3
08/02/18,14.3,14.6,14.2,14.55
09/02/18,14.3,14.65,14.25,14.6
12/02/18,14.7,15.2,14.6,15.2
13/02/18,15.25,15.25,15,15.15
14/02/18,15.15,15.2,14.75,14.9
15/02/18,14.95,15,14.75,15
16/02/18,15.1,15.4,15,15.35
19/02/18,15.15,15.2,14.95,15.2
20/02/18,15.1,15.15,15,15.05
21/02/18,15.05,15.05,14.45,14.65
22/02/18,14.55,14.6,14.2,14.3
23/02/18,14.35,14.6,14.05,14.5
26/02/18,14.65,14.9,14.55,14.85
27/02/18,15.15,15.15,14.7,14.8
28/02/18,14.75,14.8,14.5,14.65
02/03/18,14.5,14.55,14.35,14.45
05/03/18,14.5,14.8,14.45,14.7
06/03/18,14.7,14.7,14.7,14.7
07/03/18,14.65,14.8,14.5,14.7
08/03/18,14.8,14.8,14.1,14.4
09/03/18,14.35,14.35,12.75,13.5
12/03/18,13.85,14.4,13.65,14.25
13/03/18,14.15,14.65,14.1,14.6
14/03/18,14.45,14.65,14.35,14.4
15/03/18,14.4,14.5,14.25,14.25
16/03/18,14.25,14.45,14.05,14.05
19/03/18,14.05,14.25,13.7,13.7
20/03/18,13.7,13.95,13.7,13.75
21/03/18,13.8,14.05,13.75,13.85
22/03/18,13.9,14.2,13.8,14
23/03/18,13.85,14.2,13.8,14.2
26/03/18,14.25,14.35,14.15,14.3
27/03/18,14.35,14.4,14.25,14.3
28/03/18,14.25,14.3,14,14
29/03/18,14.05,14.15,13.8,13.9
30/03/18,14,14,13.4,13.55
02/04/18,13.5,13.65,13.45,13.55
03/04/18,13.5,13.6,13.1,13.2
04/04/18,13.15,13.25,12.7,12.8
05/04/18,12.9,12.95,12.25,12.6
09/04/18,12.45,12.9,12.45,12.7
10/04/18,12.85,13.4,12.65,13.4
11/04/18,13.4,13.4,13.05,13.3
12/04/18,13.25,13.6,13.15,13.5
17/04/18,13.5,13.5,13.05,13.05
18/04/18,13.2,13.3,12.85,13.05
19/04/18,13.2,13.55,13.15,13.4
20/04/18,13.4,13.5,13.25,13.4
23/04/18,13.4,13.65,13.3,13.3
24/04/18,13.3,13.4,13,13.05
25/04/18,13,13.15,12.9,13
26/04/18,13.05,13.5,13,13.5
27/04/18,13.5,13.5,13.3,13.45
30/04/18,13.5,13.5,13.35,13.5
02/05/18,13.45,13.75,13.35,13.75
03/05/18,13.85,14.45,13.85,14.3
04/05/18,14.25,14.55,14.2,14.5
07/05/18,14.5,14.55,14.4,14.45
08/05/18,14.45,14.55,14.15,14.15
09/05/18,14.1,14.25,13.95,14.15
10/05/18,14.25,14.4,13.95,13.95
11/05/18,14.05,14.4,13.95,14.4
14/05/18,14.45,14.6,14.3,14.6
15/05/18,14.3,14.35,14,14
16/05/18,14,14.2,13.95,14
17/05/18,14.05,14.2,14,14.15
18/05/18,14.15,14.3,14.1,14.1
21/05/18,14.25,14.45,14.15,14.45
22/05/18,14.4,14.45,14.2,14.25
23/05/18,14.25,14.3,14.1,14.15
24/05/18,14.1,14.15,13.95,14.05
25/05/18,14.05,14.15,13.95,14.05
28/05/18,14.15,14.3,14.05,14.2
30/05/18,14.1,14.15,13.95,14
31/05/18,14.05,14.05,13.45,13.6
01/06/18,13.7,13.7,13.45,13.45
04/06/18,13.55,13.7,13.5,13.6
05/06/18,13.65,14,13.6,14
06/06/18,14,14.15,13.9,13.95
07/06/18,14,14.05,13.95,13.95
08/06/18,13.95,14.05,13.85,13.95
11/06/18,13.9,13.95,13.8,13.85
12/06/18,13.85,14.05,13.85,13.95
13/06/18,13.95,13.95,13.85,13.85
14/06/18,13.8,14.05,13.75,13.95
15/06/18,13.95,14,13.7,13.75
18/06/18,13.6,13.75,13.5,13.55
19/06/18,13.4,13.45,13.1,13.25
20/06/18,13.3,13.55,13.2,13.5
21/06/18,13.4,13.45,13.2,13.2
22/06/18,13.2,13.25,12.75,12.9
25/06/18,12.95,13.05,12.35,12.45
26/06/18,12.1,12.6,12,12.55
